"","x"
"860",31890
"861",31643
"862",30227
"863",28309
"864",26457
"865",24818
"866",23982
"867",23887
"868",23898
"869",23618
"870",23263
"871",22987
"872",22990
"873",22764
"874",22399
"875",22589
"876",23219
"877",25275
"878",27918
"879",31219
"880",33642
"881",35220
"882",35757
"883",36569
"884",36876
"885",36928
"886",37087
"887",37191
"888",37439
"889",37385
"890",36914
"891",36253
"892",35983
"893",35707
"894",35269
"895",34879
"896",34885
"897",35075
"898",35346
"899",35131
"900",34313
"901",33544
"902",32824
"903",32102
"904",31035
"905",30421
"906",30052
"907",30107
"908",30249
"909",30060
"910",28893
"911",27258
"912",25692
"913",24039
"914",23381
"915",23128
"916",23016
"917",22516
"918",22196
"919",21834
"920",21720
"921",21384
"922",20703
"923",20462
"924",20707
"925",21880
"926",23026
"927",24656
"928",26407
"929",28200
"930",29479
"931",30652
"932",31175
"933",31370
"934",31497
"935",31436
"936",31377
"937",30833
"938",30254
"939",29571
"940",28827
"941",28635
"942",28406
"943",28136
"944",28065
"945",28262
"946",28945
"947",29254
"948",29355
"949",29091
"950",28699
"951",28218
"952",27876
"953",27371
"954",26955
"955",26786
"956",27440
"957",27474
"958",26648
"959",25523
"960",24304
"961",22914
"962",22095
"963",21902
"964",21947
"965",21516
"966",21077
"967",20723
"968",20501
"969",20234
"970",19590
"971",19194
"972",19374
"973",19962
"974",20551
"975",21558
"976",22652
"977",23820
"978",25012
"979",26294
"980",27372
"981",28278
"982",28957
"983",29437
"984",29743
"985",30032
"986",29798
"987",28856
"988",28128
"989",27602
"990",27416
"991",27185
"992",26997
"993",27165
"994",27555
"995",27727
"996",27887
"997",27803
"998",27657
"999",27749
"1000",27593
"1001",27626
"1002",27495
"1003",27509
"1004",27996
"1005",28413
"1006",27306
"1007",25514
"1008",23667
"1009",22428
"1010",21687
"1011",21865
"1012",21984
"1013",21701
"1014",21514
"1015",21395
"1016",21224
"1017",21188
"1018",20759
"1019",20948
"1020",21826
"1021",24283
"1022",26965
"1023",30507
"1024",33060
"1025",34783
"1026",35322
"1027",36130
"1028",36494
"1029",36593
"1030",36826
"1031",36985
"1032",37098
"1033",37200
"1034",36654
"1035",36464
"1036",36257
"1037",36157
"1038",36098
"1039",35959
"1040",36207
"1041",36559
"1042",36790
"1043",36577
"1044",35727
"1045",34602
"1046",33578
"1047",32714
"1048",31926
"1049",31142
"1050",30833
"1051",31109
"1052",31310
"1053",31236
"1054",30184
"1055",28147
"1056",26299
"1057",24702
"1058",23875
"1059",23785
"1060",23876
"1061",23658
"1062",23346
"1063",23059
"1064",23039
"1065",22859
"1066",22414
"1067",22518
"1068",23241
"1069",25541
"1070",28017
"1071",31278
"1072",33530
"1073",35240
"1074",35783
"1075",36372
"1076",36610
"1077",36651
"1078",36835
"1079",37248
"1080",37128
"1081",37230
"1082",36841
"1083",36529
"1084",36500
"1085",36445
"1086",36348
"1087",36152
"1088",36282
"1089",36853
"1090",37137
"1091",36844
"1092",35875
"1093",34589
"1094",33987
"1095",32959
"1096",32015
"1097",31847
"1098",31404
"1099",31501
"1100",31824
"1101",31759
"1102",30395
"1103",28511
"1104",26709
"1105",24940
"1106",24165
"1107",24078
"1108",24101
"1109",23755
"1110",23378
"1111",23122
"1112",23155
"1113",22902
"1114",22598
"1115",22661
"1116",23335
"1117",25540
"1118",28023
"1119",31383
"1120",33907
"1121",35592
"1122",36022
"1123",36643
"1124",36976
"1125",36985
"1126",37123
"1127",37144
"1128",37385
"1129",37334
"1130",36914
"1131",36630
"1132",36433
"1133",36461
"1134",36246
"1135",36131
"1136",36534
"1137",37099
"1138",37346
"1139",37098
"1140",36145
"1141",34997
"1142",34342
"1143",33431
"1144",33088
"1145",32201
"1146",32185
"1147",31966
"1148",32214
"1149",31736
"1150",30325
"1151",28319
"1152",26480
"1153",24966
"1154",24194
"1155",24143
"1156",24020
"1157",23750
"1158",23398
"1159",23179
"1160",23197
"1161",23163
"1162",22808
"1163",22887
"1164",23495
"1165",25600
"1166",28064
"1167",31494
"1168",33985
"1169",35754
"1170",35972
"1171",36855
"1172",37135
"1173",37159
"1174",37282
"1175",37347
"1176",37408
"1177",37444
"1178",37066
"1179",36874
"1180",36696
"1181",36707
"1182",36456
"1183",36362
"1184",36506
"1185",36831
"1186",37268
"1187",36851
"1188",36027
"1189",34950
"1190",34149
"1191",33515
"1192",32938
"1193",32777
"1194",32443
"1195",32620
"1196",32453
"1197",31486
"1198",30006
"1199",28139
"1200",26396
"1201",24714
"1202",24047
"1203",24050
"1204",24083
"1205",23671
"1206",23354
"1207",22935
"1208",23009
"1209",23004
"1210",22721
"1211",22911
"1212",23404
"1213",25429
"1214",27965
"1215",31283
"1216",33772
"1217",35443
"1218",35929
"1219",36898
"1220",37272
"1221",37270
"1222",37363
"1223",37445
"1224",37550
"1225",37543
"1226",36995
"1227",36620
"1228",36032
"1229",35843
"1230",35606
"1231",35131
"1232",35079
"1233",35341
"1234",35546
"1235",35305
"1236",34459
"1237",33526
"1238",32835
"1239",32000
"1240",31136
"1241",30696
"1242",30054
"1243",29993
"1244",30178
"1245",29786
"1246",28757
"1247",27433
"1248",25781
"1249",24272
"1250",23520
"1251",23361
"1252",23268
"1253",22677
"1254",22324
"1255",21853
"1256",21854
"1257",21574
"1258",21078
"1259",20827
"1260",21003
"1261",22034
"1262",23208
"1263",24792
"1264",26592
"1265",28313
"1266",29687
"1267",30737
"1268",31531
"1269",31785
"1270",31805
"1271",31710
"1272",31593
"1273",31228
"1274",30907
"1275",30011
"1276",29356
"1277",28974
"1278",28618
"1279",28268
"1280",28292
"1281",28518
"1282",29006
"1283",29463
"1284",29508
"1285",29035
"1286",28476
"1287",28005
"1288",27658
"1289",26955
"1290",26327
"1291",26569
"1292",27221
"1293",27427
"1294",26845
"1295",25780
"1296",24384
"1297",23084
"1298",22221
"1299",22108
"1300",21854
"1301",21401
"1302",21023
"1303",20711
"1304",20569
"1305",20217
"1306",19687
"1307",19391
"1308",19433
"1309",20108
"1310",20674
"1311",21676
"1312",22689
"1313",24104
"1314",25283
"1315",26606
"1316",27556
"1317",28707
"1318",29415
"1319",29983
"1320",30335
"1321",30650
"1322",30474
"1323",29654
"1324",28741
"1325",28299
"1326",27957
"1327",28013
"1328",27779
"1329",27966
"1330",28383
"1331",28508
"1332",28442
"1333",28272
"1334",28345
"1335",28120
"1336",27929
"1337",27848
"1338",27868
"1339",28378
"1340",29042
"1341",28948
"1342",27699
"1343",25889
"1344",24053
"1345",22627
"1346",21979
"1347",22025
"1348",22158
"1349",21906
"1350",21615
"1351",21366
"1352",21327
"1353",21257
"1354",21032
"1355",21261
"1356",22085
"1357",24437
"1358",27187
"1359",30833
"1360",33448
"1361",35245
"1362",35900
"1363",36798
"1364",37251
"1365",37335
"1366",37677
"1367",37887
"1368",38066
"1369",38091
"1370",37784
"1371",37622
"1372",37408
"1373",37354
"1374",37172
"1375",36995
"1376",37311
"1377",37693
"1378",37887
"1379",37446
"1380",36451
"1381",35267
"1382",34434
"1383",33733
"1384",32812
"1385",32061
"1386",32089
"1387",32345
"1388",32564
"1389",32096
"1390",30702
"1391",28412
"1392",26445
"1393",24933
"1394",24205
"1395",24262
"1396",24154
"1397",23786
"1398",23431
"1399",23268
"1400",23290
"1401",23166
"1402",22943
"1403",23042
"1404",23492
"1405",25723
"1406",28273
"1407",31617
"1408",34140
"1409",35901
"1410",36473
"1411",37122
"1412",37559
"1413",37703
"1414",37933
"1415",38059
"1416",38274
"1417",38303
"1418",37876
"1419",37688
"1420",37414
"1421",37312
"1422",37234
"1423",37086
"1424",37421
"1425",37923
"1426",38363
"1427",38127
"1428",37433
"1429",36363
"1430",35617
"1431",34829
"1432",34036
"1433",33520
"1434",33163
"1435",33322
"1436",32823
"1437",32221
"1438",30611
"1439",28724
"1440",26678
"1441",25050
"1442",24246
"1443",24305
"1444",24317
"1445",24019
"1446",23684
"1447",23449
"1448",23430
"1449",23282
"1450",23111
"1451",23102
"1452",23612
"1453",25812
"1454",28246
"1455",31571
"1456",33923
"1457",35446
"1458",35973
"1459",36833
"1460",37164
"1461",37342
"1462",37642
"1463",37713
"1464",37898
"1465",37963
"1466",37603
"1467",37290
"1468",36955
"1469",36956
"1470",36815
"1471",36637
"1472",37003
"1473",37526
"1474",37775
"1475",37630
"1476",36722
"1477",35559
"1478",34742
"1479",34002
"1480",33230
"1481",32809
"1482",32446
"1483",32614
"1484",32715
"1485",32150
"1486",30568
"1487",28613
"1488",26727
"1489",25157
"1490",24403
"1491",24354
"1492",24156
"1493",23846
"1494",23539
"1495",23256
"1496",23233
"1497",23253
"1498",22932
"1499",22969
"1500",23574
"1501",25737
"1502",28306
"1503",31552
"1504",34093
"1505",35828
"1506",36337
"1507",37142
"1508",37407
"1509",37471
"1510",37632
"1511",37920
"1512",38095
"1513",38118
"1514",37735
"1515",37411
"1516",37205
"1517",37064
"1518",36870
"1519",36749
"1520",37029
"1521",37542
"1522",37684
"1523",37470
"1524",36532
"1525",35290
"1526",34597
"1527",33819
"1528",33104
"1529",32718
"1530",32512
"1531",32693
"1532",32784
"1533",32151
"1534",30654
"1535",28721
"1536",26754
"1537",25228
"1538",24439
"1539",24440
"1540",24284
"1541",23918
"1542",23582
"1543",23295
"1544",23219
"1545",23124
"1546",22838
"1547",22834
"1548",23420
"1549",25594
"1550",27965
"1551",31460
"1552",33905
"1553",35501
"1554",36128
"1555",36898
"1556",37056
"1557",37165
"1558",37294
"1559",37516
"1560",37537
"1561",37478
"1562",36905
"1563",36316
"1564",36081
"1565",35478
"1566",35101
"1567",34944
"1568",34929
"1569",35327
"1570",35498
"1571",35065
"1572",34315
"1573",33258
"1574",32375
"1575",31716
"1576",30629
"1577",29779
"1578",29340
"1579",29324
"1580",29776
"1581",29963
"1582",29024
"1583",27300
"1584",25726
"1585",24204
"1586",23325
"1587",23000
"1588",23044
"1589",22515
"1590",22123
"1591",21767
"1592",21659
"1593",21418
"1594",21029
"1595",20726
"1596",20909
"1597",21885
"1598",23052
"1599",24710
"1600",26360
"1601",28141
"1602",29612
"1603",30662
"1604",31096
"1605",31292
"1606",31464
"1607",31393
"1608",31269
"1609",30742
"1610",30282
"1611",29564
"1612",29052
"1613",28800
"1614",28266
"1615",28042
"1616",27744
"1617",28022
"1618",28777
"1619",29265
"1620",29112
"1621",29024
"1622",28670
"1623",28278
"1624",27954
"1625",27769
"1626",27266
"1627",27354
"1628",27792
"1629",27328
"1630",26650
"1631",25350
"1632",24166
"1633",22823
"1634",21928
"1635",21880
"1636",21835
"1637",21337
"1638",20910
"1639",20662
"1640",20406
"1641",20262
"1642",19830
"1643",19438
"1644",19419
"1645",20138
"1646",20625
"1647",21517
"1648",22611
"1649",24061
"1650",25219
"1651",26549
"1652",27609
"1653",28951
"1654",29592
"1655",30153
"1656",30634
"1657",31033
"1658",30704
"1659",29870
"1660",29244
"1661",28944
"1662",28578
"1663",28295
"1664",28170
"1665",28448
"1666",28772
"1667",28856
"1668",28824
"1669",28702
"1670",28426
"1671",28269
"1672",28094
"1673",28196
"1674",27913
"1675",28361
"1676",29118
"1677",29093
"1678",27596
"1679",25651
"1680",23892
"1681",22387
"1682",21817
"1683",22012
"1684",22081
"1685",21839
"1686",21599
"1687",21460
"1688",21442
"1689",21353
"1690",21143
"1691",21307
"1692",22058
"1693",24474
"1694",27218
"1695",30787
"1696",33457
"1697",35273
"1698",36011
"1699",36866
"1700",37346
"1701",37510
"1702",37825
"1703",38248
"1704",38518
"1705",38621
"1706",38270
"1707",37907
"1708",37766
"1709",37646
"1710",37477
"1711",37261
"1712",37766
"1713",38302
"1714",38496
"1715",38279
"1716",37451
"1717",36435
"1718",35601
"1719",34543
"1720",33925
"1721",33161
"1722",32709
"1723",32881
"1724",32719
"1725",32030
"1726",30569
"1727",28389
"1728",26384
"1729",24822
"1730",24126
"1731",24296
"1732",24461
"1733",24172
"1734",23917
"1735",23664
"1736",23528
"1737",23498
"1738",23108
"1739",23044
"1740",23585
"1741",25750
"1742",28353
"1743",31634
"1744",34080
"1745",35646
"1746",36079
"1747",36758
"1748",36958
"1749",37169
"1750",37410
"1751",37601
"1752",37773
"1753",37672
"1754",37245
"1755",36995
"1756",36519
"1757",36533
"1758",36464
"1759",36274
"1760",36577
"1761",37042
"1762",37242
"1763",36996
"1764",36020
"1765",34759
"1766",33932
"1767",33001
"1768",32254
"1769",31581
"1770",31270
"1771",31776
"1772",32287
"1773",32117
"1774",30604
"1775",28597
"1776",26528
"1777",24897
"1778",24117
"1779",24330
"1780",24524
"1781",24179
"1782",23915
"1783",23877
"1784",23725
"1785",23499
"1786",23077
"1787",22919
"1788",23596
"1789",25786
"1790",28277
"1791",31689
"1792",33984
"1793",35449
"1794",35832
"1795",36526
"1796",36882
"1797",36959
"1798",37105
"1799",37355
"1800",37510
"1801",37519
"1802",37159
"1803",36810
"1804",36474
"1805",36565
"1806",36459
"1807",36267
"1808",36585
"1809",37062
"1810",37301
"1811",37110
"1812",36312
"1813",35274
"1814",34483
"1815",33804
"1816",33187
"1817",32918
"1818",32800
"1819",32820
"1820",32686
"1821",31877
"1822",30754
"1823",28729
"1824",26781
"1825",25257
"1826",24292
"1827",24519
"1828",24610
"1829",24207
"1830",23882
"1831",23748
"1832",23692
"1833",23602
"1834",23299
"1835",23493
"1836",23934
"1837",26095
"1838",28615
"1839",32005
"1840",34393
"1841",35901
"1842",36370
"1843",37303
"1844",37585
"1845",37565
"1846",37943
"1847",37990
"1848",38062
"1849",38124
"1850",37692
"1851",37429
"1852",37067
"1853",37005
"1854",36949
"1855",36646
"1856",37019
"1857",37402
"1858",37476
"1859",37062
"1860",36292
"1861",35247
"1862",34449
"1863",33822
"1864",32999
"1865",32569
"1866",32485
"1867",32879
"1868",32866
"1869",32106
"1870",30590
"1871",28500
"1872",26640
"1873",25050
"1874",24352
"1875",24382
"1876",24432
"1877",24041
"1878",23871
"1879",23754
"1880",23547
"1881",23380
"1882",23043
"1883",23089
"1884",23586
"1885",25660
"1886",28125
"1887",31541
"1888",33932
"1889",35554
"1890",36040
"1891",36630
"1892",36857
"1893",36971
"1894",37020
"1895",37181
"1896",37304
"1897",37487
"1898",36880
"1899",36159
"1900",35654
"1901",35564
"1902",35302
"1903",34901
"1904",34910
"1905",35229
"1906",35529
"1907",35253
"1908",34636
"1909",33774
"1910",33031
"1911",32090
"1912",31084
"1913",30377
"1914",29800
"1915",29891
"1916",30297
"1917",30087
"1918",29109
"1919",27248
"1920",25675
"1921",24173
"1922",23461
"1923",23473
"1924",23536
"1925",22979
"1926",22600
"1927",22224
"1928",21999
"1929",21842
"1930",21230
"1931",20984
"1932",21009
"1933",22206
"1934",23293
"1935",25031
"1936",26663
"1937",28460
"1938",29684
"1939",30672
"1940",31072
"1941",31512
"1942",31397
"1943",31348
"1944",31058
"1945",30639
"1946",30135
"1947",29432
"1948",28907
"1949",28471
"1950",28126
"1951",27925
"1952",27809
"1953",27954
"1954",28318
"1955",28834
"1956",28724
"1957",28518
"1958",28181
"1959",27605
"1960",27165
"1961",26661
"1962",26316
"1963",26514
"1964",27119
"1965",27223
"1966",26513
"1967",25354
"1968",23947
"1969",22782
"1970",22034
"1971",22004
"1972",21934
"1973",21541
"1974",21189
"1975",20806
"1976",20556
"1977",20390
"1978",19881
"1979",19496
"1980",19418
"1981",19949
"1982",20714
"1983",21604
"1984",22589
"1985",23902
"1986",25052
"1987",26384
"1988",27504
"1989",28492
"1990",29177
"1991",29732
"1992",29982
"1993",30197
"1994",29994
"1995",29104
"1996",28063
"1997",27510
"1998",27184
"1999",27021
"2000",26775
"2001",26879
"2002",27097
"2003",27143
"2004",27119
"2005",27142
"2006",27110
"2007",27107
"2008",26775
"2009",26886
"2010",26834
"2011",27667
"2012",28552
"2013",28495
"2014",27452
"2015",25565
"2016",23764
"2017",22421
"2018",21724
"2019",21844
"2020",22095
"2021",21862
"2022",21554
"2023",21466
"2024",21428
"2025",21326
"2026",21131
"2027",21356
"2028",22078
"2029",24352
"2030",27030
"2031",30528
"2032",33059
"2033",34851
"2034",35312
"2035",36154
"2036",36505
"2037",36568
"2038",36774
"2039",37118
"2040",37178
"2041",37214
"2042",36869
"2043",36460
"2044",36140
"2045",36118
"2046",35976
"2047",35708
"2048",36061
"2049",36546
"2050",36640
"2051",36326
"2052",35617
"2053",34407
"2054",33339
"2055",32612
"2056",31904
"2057",30899
"2058",31018
"2059",31444
"2060",32118
"2061",31907
"2062",30526
"2063",28336
"2064",26355
"2065",24734
"2066",24085
"2067",24069
"2068",24101
"2069",23761
"2070",23408
"2071",23348
"2072",23215
"2073",23144
"2074",22998
"2075",22906
"2076",23350
"2077",25446
"2078",27975
"2079",31231
"2080",33490
"2081",35026
"2082",35632
"2083",36220
"2084",36620
"2085",36723
"2086",36903
"2087",36974
"2088",37261
"2089",37289
"2090",36930
"2091",36633
"2092",36432
"2093",36440
"2094",36248
"2095",36290
"2096",36496
"2097",36996
"2098",37118
"2099",36876
"2100",35845
"2101",34725
"2102",33861
"2103",32843
"2104",32012
"2105",31430
"2106",31386
"2107",31681
"2108",32285
"2109",32111
"2110",30656
"2111",28577
"2112",26503
"2113",25097
"2114",24328
"2115",24180
"2116",24265
"2117",23924
"2118",23566
"2119",23332
"2120",23302
"2121",23252
"2122",23072
"2123",22909
"2124",23491
"2125",25587
"2126",27993
"2127",31313
"2128",33752
"2129",35371
"2130",35944
"2131",36773
"2132",36978
"2133",36973
"2134",37072
"2135",37051
"2136",37318
"2137",37513
"2138",37156
"2139",36774
"2140",36567
"2141",36449
