"","ridership","Austin","Quincy_Wells","Belmont","Archer_35th","Oak_Park","Western","Clark_Lake","Clinton","Merchandise_Mart","Irving_Park","Washington_Wells","Harlem","Monroe","Polk","Ashland","Kedzie","Addison","Jefferson_Park","Montrose","California","temp_min","temp","temp_max","temp_change","dew","humidity","pressure","pressure_change","wind","wind_max","gust","gust_max","percip","percip_max","weather_rain","weather_snow","weather_cloud","weather_storm","Blackhawks_Away","Blackhawks_Home","Bulls_Away","Bulls_Home","Bears_Away","Bears_Home","WhiteSox_Away","WhiteSox_Home","Cubs_Away","Cubs_Home","date"
"13",2.477,0.663,0.914,2.28,0.643,0.402,1.037,2.32,0.78,0.858,1.745,0.738,1.015,1.066,0.01,0.563,1.158,0.782,2.692,0.739,0.361,10,17.1,30,20,12,75,30.23,0.289999999999999,11.5,15,0,26.5,0,0,0,0.185185185185185,0.814814814814815,0.592592592592593,0,0,1,0,0,0,0,0,0,0,2001-02-03
"14",1.556,0.411,0.454,1.639,0.337,0.212,0.562,1.491,0.579,0.267,1.178,0.34,0.626,0.671,0,0.323,0.675,0.506,1.945,0.49,0.263,30,34,36,6,30,82,29.97,0.149999999999999,6.9,12.7,0,0,0,0.01,0,0.206896551724138,0.793103448275862,0.724137931034483,0,0,0,0,0,0,0,0,0,0,2001-02-04
"15",15.562,1.584,8.258,4.637,2.15,1.453,3.268,15.732,2.372,6.179,3.811,7.461,2.665,5.624,2.503,1.358,3.089,2.446,6.708,1.933,0.762,28,30,34,6,25,82,30.01,0.119999999999997,9.2,16.1,0,18.4,0,0,0,0.314285714285714,0.685714285714286,0.314285714285714,0,0,1,0,0,0,0,0,0,0,2001-02-05
"16",15.796,1.581,8.151,4.695,2.166,1.454,3.456,15.762,2.357,6.234,3.822,7.469,2.838,5.887,2.602,1.411,3.174,2.561,6.878,2.027,0.803,30,32,37.9,7.9,28,85,29.94,0.34,8.1,11.5,0,0,0,0.04,0.0666666666666667,0.266666666666667,0.7,0.333333333333333,0,0,1,0,0,0,0,0,0,0,2001-02-06
"17",15.885,1.547,8.106,4.651,2.115,1.432,3.382,15.872,2.399,6.484,3.797,7.449,2.708,5.9,2.507,1.341,3.035,2.534,6.947,1.98,0.749,21.2,27,36,14.8,24.45,87,30.27,0.170000000000002,5.8,15,0,0,0,0,0,0.233333333333333,0.7,0.266666666666667,0,0,0,0,0,0,0,0,0,0,2001-02-07
"18",16.162,1.524,8.022,4.716,2.266,1.44,3.483,15.874,2.329,6.439,3.795,7.173,2.747,6.029,2.381,1.372,3.1,2.479,6.877,2.004,0.791,36,45,52,16,39.2,86,30.01,0.300000000000001,6.9,13.8,0,21.9,0,0.15,0.275862068965517,0,0.724137931034483,0.517241379310345,0,0,0,0,0,0,0,0,0,0,2001-02-08
"19",15.32,1.492,7.832,4.567,2.078,1.41,3.263,15.423,2.413,6.219,3.704,7.05,2.708,5.845,2.506,1.321,2.873,2.476,6.763,1.881,0.767,30,51.8,53.6,23.6,50,96,29.72,26.92,15,21.9,0,32.2,0,0.31,0.613636363636364,0.204545454545455,0.159090909090909,0.204545454545455,0,0,0,0,0,0,0,0,0,0,2001-02-09
"20",2.432,0.677,0.914,2.317,0.646,0.404,1.063,2.425,0.764,1.598,1.624,0.687,1.002,1.109,0.005,0.542,1.17,0.732,2.721,0.709,0.407,14,19.45,28.4,14.4,12,74,30.41,0.719999999999999,10.95,24.2,0,38,0,0,0,0.115384615384615,0.576923076923077,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,2001-02-10
"21",1.787,0.458,0.449,1.64,0.304,0.252,0.56,1.467,0.632,0.787,1.124,0.311,0.656,0.553,0,0.304,0.548,0.465,1.811,0.533,0.275,13.1,16,28,14.9,7,65,30.65,0.18,9.2,13.8,0,0,0,0,0,0,0.6,0.32,0,0,0,0,0,0,0,0,0,0,2001-02-11
"22",12.13,1.486,8.368,4.511,2.026,1.418,3.209,15.511,2.449,6.698,3.719,7.46,2.672,5.757,2.476,1.325,2.974,2.509,6.693,1.961,0.731,25,27.5,39,14,17.1,66,30.325,0.239999999999998,9.8,13.8,0,0,0,0,0,0,0.75,0.125,0,0,0,0,0,0,0,0,0,0,2001-02-12
"23",15.902,1.589,8.374,4.72,2.168,1.422,3.423,15.927,2.377,6.728,3.808,7.491,2.813,6.098,2.607,1.339,3.123,2.51,6.957,2.038,0.795,33.1,36,39.2,6.1,28.9,76,30.325,0.220000000000002,6.9,10.4,0,0,0,0,0.0357142857142857,0,0.964285714285714,0.821428571428571,0,0,0,1,0,0,0,0,0,0,2001-02-13
"24",15.584,1.592,8.165,4.69,2.211,1.479,3.425,15.92,2.426,6.407,3.878,7.521,2.79,6.18,2.437,1.379,3.069,2.481,6.897,1.977,0.815,32,37,37.9,5.9,35.1,93,29.96,0.260000000000002,6.9,18.4,0,0,0.01,0.07,0.6,0.0285714285714286,0.342857142857143,0.257142857142857,0,0,0,0,0,0,0,0,0,0,2001-02-14
"25",15.685,1.581,8.055,4.781,2.147,1.413,3.386,15.96,2.371,6.286,3.851,7.329,2.85,6.13,2.396,1.424,3.107,2.523,6.962,1.994,0.805,30,30.9,33.8,3.8,25,76,30.06,0.140000000000001,10.4,16.1,0,0,0,0,0,0,1,0.931034482758621,0,0,0,0,0,0,0,0,0,0,2001-02-15
"26",15.376,1.492,7.529,4.575,1.965,1.317,3.113,14.9,2.289,5.46,3.597,6.75,2.592,5.758,2.306,1.233,2.908,2.397,6.601,1.883,0.77,24.1,32,33.1,9,27,82,30.12,0.239999999999998,4.6,16.1,0,23,0,0,0,0,1,0.84375,0,0,0,0,0,0,0,0,0,0,2001-02-16
"27",2.445,0.632,0.843,2.222,0.698,0.4,1.04,2.477,0.73,0.867,1.563,0.67,1.031,1.093,0.005,0.545,1.081,0.812,2.675,0.699,0.363,8.1,16,23,14.9,-0.9,55,30.595,0.289999999999999,13.8,20.7,0,26.5,0,0,0,0,0.291666666666667,0,0,0,0,1,0,0,0,0,0,0,2001-02-17
"28",1.595,0.39,0.532,1.558,0.347,0.23,0.58,1.556,0.637,0.267,1.091,0.357,0.65,0.552,0,0.323,0.631,0.601,1.878,0.518,0.307,9,14.55,28.9,19.9,3,60,30.585,0.280000000000001,11.5,13.8,0,20.7,0,0,0,0,0.708333333333333,0.125,0,0,0,0,0,0,0,0,0,0,2001-02-18
"29",9.86,1.515,8.135,4.68,2.072,1.442,3.292,15.562,2.433,6.245,3.617,7.47,2.739,5.917,2.452,1.35,3.063,2.444,6.779,1.959,0.806,28,32,44.6,16.6,21.9,61,30.01,0.399999999999999,16.1,18.4,0,31.1,0,0,0,0,0.88,0.4,0,0,1,0,0,0,0,0,0,0,2001-02-19
"30",16.008,1.594,8.073,4.747,2.157,1.442,3.405,15.796,2.317,6.314,3.759,7.45,2.77,6.136,2.508,1.326,3.153,2.591,6.93,2.019,0.848,28,34.55,39,11,25,73.5,30.165,0.259999999999998,6.9,16.1,0,24.2,0,0,0,0,1,0.208333333333333,0,0,0,1,0,0,0,0,0,0,2001-02-20
"31",15.675,1.569,7.926,4.599,2.19,1.473,3.453,15.885,2.29,6.381,3.749,7.499,2.826,6.257,2.419,1.405,3.094,2.595,6.863,2.072,0.823,10.9,18,26.1,15.2,-0.5,47,30.535,0.289999999999999,13.25,17.3,0,26.5,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,2001-02-21
"32",15.788,1.583,7.876,4.691,2.219,1.435,3.517,16.162,2.203,6.254,3.765,7.354,2.771,6.079,2.411,1.386,3.129,2.579,6.82,2.042,0.804,19,22.45,28.9,9.9,18,78,30.21,0.440000000000001,7.5,21.9,0,26.5,0,0,0,0.269230769230769,0.730769230769231,0.730769230769231,0,0,0,1,0,0,0,0,0,0,2001-02-22
"33",15.636,1.558,7.617,4.673,1.988,1.374,3.29,15.32,2.438,5.694,3.662,7.2,2.705,5.942,2.388,1.283,3.005,2.553,6.659,1.89,0.809,19,27,28,9,16,72,30.315,0.329999999999998,10.95,21.9,0,28.8,0,0.01,0,0.0769230769230769,0.846153846153846,0.384615384615385,0,0,0,0,0,0,0,0,0,0,2001-02-23
"34",2.346,0.679,0.942,2.245,0.706,0.401,1.051,2.432,0.742,1.028,1.613,0.731,1.03,1.129,0.003,0.541,1.137,0.829,2.656,0.712,0.389,28,35.1,43,15,30.9,87,30.03,0.75,12.7,23,0,28.8,0.01,0.28,0.575757575757576,0.0909090909090909,0.424242424242424,0.393939393939394,0,0,0,1,0,0,0,0,0,0,2001-02-24
"35",1.771,0.428,0.513,1.662,0.377,0.209,0.596,1.787,0.726,0.303,1.11,0.333,0.674,0.782,0.001,0.329,0.662,0.564,1.869,0.484,0.28,30.9,42.8,57,26.1,37.4,76,29.58,0.720000000000002,25.3,35.7,36.8,52.9,0,0.07,0.222222222222222,0,0.740740740740741,0.481481481481481,0,0,0,0,0,0,0,0,0,0,2001-02-25
"36",16.167,1.418,8.049,4.216,1.861,1.336,2.835,12.13,2.138,6.031,3.47,6.767,2.482,5.68,2.205,1.123,2.591,2.093,6.046,1.764,0.634,24.1,30,41,16.9,21,69,30.37,0.300000000000001,9.8,20.7,0,26.5,0,0,0,0,0.961538461538462,0.307692307692308,0,0,0,1,0,0,0,0,0,0,2001-02-26
"37",16.05,1.711,8.086,4.725,2.28,1.476,3.495,15.902,2.311,6.198,3.725,7.489,2.802,6.254,2.598,1.399,3.176,2.492,6.848,2.031,0.823,25,28.45,35.1,10.1,12.9,60,30.45,0.120000000000001,10.4,12.7,0,0,0,0,0,0,1,0.791666666666667,0,0,0,0,0,0,0,0,0,0,2001-02-27
"38",16.357,1.64,8.101,4.747,2.164,1.437,3.501,15.584,2.281,6.109,3.673,7.427,2.704,6.068,2.445,1.368,3.116,2.625,6.799,2.061,0.836,12.9,20.45,28.9,16,-1.45,41.5,30.41,0.279999999999998,9.8,15,0,16.1,0,0,0,0,0.541666666666667,0,0,0,0,1,0,0,0,0,0,0,2001-02-28
"39",16.165,1.603,8.13,4.772,2.206,1.45,3.447,15.685,2.367,6.032,3.747,7.267,2.809,6.269,2.508,1.367,3.157,2.645,6.918,2.038,0.803,21,25,42.1,21.1,12,55,30.04,0.309999999999999,12.7,19.6,0,25.3,0,0,0,0.04,0.48,0.16,0,0,0,0,0,0,0,0,0,0,2001-03-01
"40",16.131,1.331,7.249,4.66,2.11,1.389,3.279,15.376,2.431,5.409,3.752,6.968,2.626,5.867,2.357,1.289,2.912,2.583,6.643,1.937,0.799,32,33.8,42.1,10.1,28.9,81,29.76,0.120000000000001,13.8,20.7,0,31.1,0,0,0,0.0740740740740741,0.925925925925926,0.62962962962963,0,0,0,1,0,0,0,0,0,0,2001-03-02
"41",2.763,0.653,1.007,2.32,0.704,0.407,0.966,2.445,0.797,0.974,1.668,0.715,1.059,1.076,0.004,0.55,1.077,0.853,2.705,0.732,0.388,26.6,34,48,21.4,28,82,29.84,0.0899999999999999,0,8.1,0,0,0,0,0,0,0.703703703703704,0,0,0,1,0,0,0,0,0,0,0,2001-03-03
"42",1.716,0.393,0.509,1.533,0.368,0.252,0.541,1.595,0.647,0.26,1.209,0.395,0.693,0.59,0,0.302,0.609,0.508,1.875,0.485,0.299,28,33.1,39,11,26.35,74,29.925,0.239999999999998,17.3,24.2,24.2,29.9,0,0,0,0,1,0.653846153846154,0,0,0,0,0,0,0,0,0,0,2001-03-04
"43",13.828,1.143,4.578,3.805,1.476,1.026,2.282,9.86,1.591,4.738,2.905,4.599,2.119,3.994,1.972,0.951,2.241,1.682,5.222,1.562,0.549,19,27,28.9,9.9,14.55,60.5,30.09,0.140000000000001,16.1,26.5,0,33.4,0,0,0,0.166666666666667,0.8,0.166666666666667,0,0,0,0,0,0,0,0,0,0,2001-03-05
"44",16.161,1.565,7.888,4.719,2.173,1.394,3.406,16.008,2.229,6.333,3.739,7.509,2.786,6.092,2.498,1.342,3.096,2.533,6.787,1.977,0.841,21.2,27,34,12.8,15.1,61,30.21,0.0899999999999999,15,18.4,0,27.6,0,0,0,0,0.84,0.48,0,0,0,1,0,0,0,0,0,0,2001-03-06
"45",16.139,1.522,7.845,4.614,2.187,1.419,3.435,15.675,2.356,6.259,3.679,7.491,2.718,6.073,2.361,1.341,2.938,2.5,6.75,2.055,0.838,24.1,30,45,20.9,18,64,30.16,0.170000000000002,6.9,20.7,0,28.8,0,0,0,0,0.347826086956522,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,2001-03-07
"46",16.18,1.493,7.971,4.841,2.221,1.437,3.43,15.788,2.322,6.096,3.734,7.163,2.764,5.994,2.297,1.347,3.093,2.531,6.757,2.02,0.768,30,30.9,35.1,5.1,21.9,69,29.96,0.16,12.7,17.3,0,23,0,0,0,0.321428571428571,0.678571428571429,0.535714285714286,0,0,0,0,0,0,0,0,0,0,2001-03-08
"47",16.007,1.547,7.555,4.628,2.134,1.326,3.385,15.636,2.33,5.719,3.695,7.104,2.727,5.904,2.178,1.314,2.952,2.567,6.751,1.876,0.816,25,30,39,14,18,64,30.115,0.140000000000001,9.2,15,0,21.9,0,0,0,0,0.75,0,0,0,1,0,0,0,0,0,0,0,2001-03-09
"48",3,0.594,0.855,2.138,0.578,0.361,0.972,2.346,0.709,0.955,1.505,0.73,0.926,1.111,0.004,0.491,1.053,0.709,2.547,0.617,0.362,25,30.9,50,25,21,65,30.09,0.300000000000001,6.9,24.2,0,31.1,0,0,0,0,0.541666666666667,0.125,0,0,1,0,0,0,0,0,0,0,2001-03-10
"49",1.926,0.39,0.541,1.593,0.32,0.242,0.529,1.771,0.584,0.326,1.112,0.396,0.584,0.685,0.001,0.29,0.543,0.501,1.866,0.47,0.251,30.2,35.1,46.9,16.7,25,69,30.005,0.380000000000003,12.1,17.3,0,19.6,0,0.04,0.1,0.1,0.7,0.3,0,0,0,0,0,0,0,0,0,0,2001-03-11
"50",16.14,1.578,8.233,4.554,2.172,1.438,3.448,16.167,2.306,6.274,3.751,7.669,2.789,5.966,2.533,1.373,3.042,2.584,6.728,1.98,0.853,30.9,40,50,19.1,33,79.5,29.72,0.700000000000003,11.5,16.1,0,23,0,0.11,0.285714285714286,0,0.714285714285714,0.5,0,0,1,0,0,0,0,0,0,0,2001-03-12
"51",16.207,1.554,8.195,4.554,2.204,1.456,3.467,16.05,2.271,6.334,3.682,7.702,2.797,6.259,0.778,1.353,3.026,2.589,6.678,2.005,0.816,32,36.5,46.4,14.4,30,78,29.5,0.23,17.3,24.2,23,34.5,0,0,0.03125,0.125,0.84375,0.59375,0,0,0,0,0,0,0,0,0,0,2001-03-13
"52",18.618,1.558,8.236,4.54,2.208,1.402,3.424,16.357,2.29,6.333,3.668,7.569,2.752,6.277,2.355,1.352,3.027,2.638,6.686,2.007,0.817,30.9,36.5,51.1,20.2,28.9,73,29.86,0.190000000000001,11.5,20.7,0,25.3,0,0.01,0.0769230769230769,0,0.730769230769231,0.307692307692308,0,0,0,1,0,0,0,0,0,0,2001-03-14
"53",20.249,1.578,8.096,4.628,2.253,1.401,3.441,16.165,2.361,6.33,3.756,7.363,2.824,6.18,2.371,1.372,3.065,2.635,6.755,2.017,0.865,37,42.8,48,11,39,89,29.81,0.0599999999999987,12.7,23,0,29.9,0.01,0.06,0.68,0,0.32,0.32,0,0,0,0,0,0,0,0,0,0,2001-03-15
"54",19.531,1.568,7.832,4.631,2.12,1.446,3.398,16.131,2.397,5.629,3.742,7.183,2.688,6.018,2.348,1.366,3.036,2.568,6.647,1.923,0.901,32,33.8,37.9,5.9,30.2,89,29.86,0.199999999999999,19.6,26.5,26.5,35.7,0,0.03,0.285714285714286,0.685714285714286,0.0285714285714286,0.0285714285714286,0,0,0,1,0,0,0,0,0,0,2001-03-16
"55",4.564,0.714,1.049,2.117,0.726,0.443,1.086,2.763,0.815,1.078,1.547,0.832,1.067,1.077,0.013,0.593,1.254,0.83,2.687,0.728,0.444,30.2,32.55,37.9,7.7,28.65,90,30.175,0.390000000000001,12.1,20.7,0,25.3,0,0.06,0,0.5625,0.4375,0.125,0,0,1,0,0,0,0,0,0,0,2001-03-17
"56",2.351,0.409,0.545,1.382,0.379,0.216,0.581,1.716,0.588,0.325,1.022,0.344,0.651,0.534,0,0.299,0.62,0.503,1.858,0.495,0.284,25,33.1,45,20,23,71.5,30.465,0.130000000000003,4.6,10.4,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,2001-03-18
"57",16.257,1.463,8.351,4.115,1.984,1.355,2.919,13.828,2.279,6.261,3.294,7.053,2.393,5.666,2.289,1.128,2.651,2.043,5.968,1.735,0.676,30,36,46,16,21,50,30.45,0.109999999999999,5.8,11.5,0,0,0,0,0,0,0.916666666666667,0.375,0,0,0,0,0,0,0,0,0,0,2001-03-19
"58",16.428,1.563,8.198,4.567,2.186,1.486,3.483,16.161,2.25,6.473,3.621,7.509,2.724,6.128,2.308,1.357,3.003,2.548,6.662,2.026,0.867,34,39.45,50,16,24.1,53,30.31,0.170000000000002,8.1,12.7,0,0,0,0,0,0,0.833333333333333,0.208333333333333,0,0,0,1,0,0,0,0,0,0,2001-03-20
"59",16.557,1.654,8.224,4.669,2.216,1.481,3.551,16.139,2.215,6.36,3.785,7.561,2.723,6.235,2.412,1.345,3.163,2.663,6.872,2.023,0.871,33.1,41.55,53.1,20,25,52,30.17,0.109999999999999,8.1,17.3,0,18.4,0,0,0,0,0.541666666666667,0,0,0,1,0,0,0,0,0,0,0,2001-03-21
"60",16.509,1.558,8.091,4.699,2.169,1.442,3.418,16.18,2.272,6.173,3.662,7.518,2.778,6.139,2.503,1.382,3.115,2.589,6.881,2.043,0.857,33.1,39.9,57,23.9,32,70,30.12,0.130000000000003,4.6,16.1,0,18.4,0,0,0,0,0.84,0.04,0,0,0,0,0,0,0,0,0,0,2001-03-22
"61",16.02,1.553,7.741,4.713,2.138,1.423,3.393,16.007,2.308,5.618,3.733,7.18,2.68,5.974,2.437,1.326,3.015,2.543,6.711,2,0.861,35.1,44.1,51.1,16,30.9,64.5,30.065,0.129999999999999,9.8,17.3,0,0,0,0,0,0,0.785714285714286,0.0357142857142857,0,0,0,1,0,0,0,0,0,0,2001-03-23
"62",2.695,0.72,1.066,2.219,0.749,0.42,1.113,3,0.813,0.961,1.709,0.856,1.079,1.153,0.006,0.596,1.214,0.824,2.747,0.747,0.487,28,31.45,42.1,14.1,12.9,47,30.18,0.25,16.1,23,20.15,28.8,0,0,0,0,0.958333333333333,0.125,0,0,0,0,0,0,0,0,0,0,2001-03-24
"63",1.712,0.45,0.669,1.644,0.423,0.278,0.664,1.926,0.657,0.275,1.163,0.341,0.66,0.723,0,0.324,0.719,0.589,1.945,0.548,0.315,19.4,21.2,28,8.6,12,68,30.25,0.0700000000000003,13.8,18.4,0,25.3,0,0,0,0.40625,0.5,0.15625,0,0,1,0,0,0,0,0,0,0,2001-03-25
"64",15.644,1.49,8.205,4.323,2.158,1.373,3.39,16.14,2.262,6.13,3.628,7.673,2.622,5.8,2.254,1.302,3.027,2.512,6.632,1.918,0.792,17.1,21,33.1,16,8.1,46.5,30.28,0.0700000000000003,10.95,13.8,0,18.4,0,0,0,0,0.791666666666667,0.291666666666667,0,0,0,1,0,0,0,0,0,0,2001-03-26
"65",15.868,1.533,8.415,4.631,2.208,1.428,3.444,16.207,2.28,6.26,3.655,7.672,2.762,6.081,2.356,1.329,3.059,2.492,6.852,1.959,0.816,26.1,33.1,37.9,11.8,17.1,53,30.32,0.0999999999999979,5.8,11.5,0,0,0,0,0,0,0.791666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,2001-03-27
"66",16.212,1.571,4.999,4.58,2.291,1.418,3.462,18.618,2.284,6.496,3.733,5.122,2.779,6.341,2.291,1.389,3.098,2.577,6.851,2.094,0.888,28,33.55,50,22,19.9,57.5,30.235,0.299999999999997,8.1,17.3,0,20.7,0,0,0,0,0.625,0.333333333333333,0,0,0,0,0,0,0,0,0,0,2001-03-28
"67",16.26,1.566,0.03,4.658,2.107,1.393,3.29,20.249,2.451,6.346,3.718,0.01,2.73,6.17,2.309,1.261,2.911,2.617,6.79,2.058,0.819,37,41,46.9,9.9,32,66,30.04,0.0599999999999987,8.1,13.8,0,0,0,0.01,0.0333333333333333,0,0.966666666666667,0.6,0,0,0,1,0,0,0,0,0,0,2001-03-29
"68",16.428,1.463,0.023,4.446,1.967,1.334,3.118,19.531,2.494,5.819,3.699,0.012,2.601,6.133,2.057,1.166,2.806,2.572,6.51,1.853,0.752,37,41.55,50,13,32,69,29.99,0.120000000000001,8.65,15,0,0,0,0,0,0,1,0.208333333333333,0,0,0,0,0,0,0,0,0,0,2001-03-30
"69",2.812,0.769,0.022,2.396,0.802,0.698,1.041,4.564,0.921,1.636,1.838,0.021,1.922,1.903,0.003,0.602,1.167,1.138,3.516,1.088,0.401,39,42.1,55.9,16.9,34,70,29.89,0.25,6.9,17.3,0,27.6,0,0.02,0.125,0,0.875,0.166666666666667,0,0,0,1,0,0,0,0,0,0,2001-03-31
"70",1.849,0.398,0.038,1.663,0.406,0.251,0.643,2.351,0.751,0.548,1.235,0,0.691,0.727,0,0.323,0.676,0.61,1.999,0.568,0.284,32,39,48.9,16.9,25,72,29.82,0.259999999999998,13.8,21.9,0,32.2,0,0.01,0,0,0.827586206896552,0.172413793103448,0,0,0,0,0,0,0,0,0,0,2001-04-01
"71",15.833,1.585,7.756,4.505,2.077,1.436,3.325,16.257,2.311,6.39,3.678,7.057,2.697,5.724,2.326,1.267,3.034,2.594,6.614,1.994,0.812,36,42.55,61,25,25,49.5,29.995,0.140000000000001,4.6,15,0,19.6,0,0,0,0,1,0.333333333333333,0,0,0,0,0,0,1,1,1,1,2001-04-02
"72",16.252,1.569,8.085,4.475,2.25,1.509,3.494,16.428,2.327,6.423,3.897,7.104,2.743,6.029,2.468,1.318,3.146,2.58,6.854,2.057,0.869,37,41,51.1,14.1,32,68.5,30.135,0.359999999999999,17.85,23,0,26.5,0,0,0,0,0.923076923076923,0.307692307692308,0,0,0,1,0,0,0,0,0,0,2001-04-03
"73",16.792,1.635,7.956,4.546,2.174,1.522,3.439,16.557,2.328,6.288,3.773,7.176,2.758,5.919,2.447,1.373,3.104,2.703,6.852,2.125,0.847,39,43.55,53.1,14.1,32,65,30.345,0.109999999999999,10.95,16.1,0,0,0,0,0,0,0.708333333333333,0.0833333333333333,0,0,0,0,0,0,1,1,1,1,2001-04-04
"74",16.409,1.598,7.852,4.715,2.297,1.51,3.517,16.509,2.259,6.092,3.902,7.097,2.861,5.914,2.41,1.36,3.198,2.601,7.032,2.126,0.84,41,52.95,63,22,32,51,30.185,0.389999999999997,8.65,13.8,0,0,0,0.02,0.115384615384615,0,0.807692307692308,0.576923076923077,0,0,0,1,0,0,1,1,1,1,2001-04-05
