rownames,title,book_id,author,date,year,removed,explicit,antifamily,occult,language,lgbtq,violent,state,political_value_index,median_income,hs_grad_rate,college_grad_rate
21,Harry Potter (series),868,"Rowling, J.K.",2000-11-21,2000,0,0,0,1,0,0,1,AR,-8.8,-6258.5,-4.26195786864932,-7.32372986369269
22,Baby Alicia is Dying,178,"McDaniel, Lurlene",2008-10-02,2008,0,0,0,0,0,0,0,AR,-8.8,-6258.5,-4.26195786864932,-7.32372986369269
23,Summer of My German Soldier,1739,"Greene, Bette",2002-04-08,2002,0,0,0,0,1,0,0,AR,-8.8,-6258.5,-4.26195786864932,-7.32372986369269
24,Summer of My German Soldier,1739,"Greene, Bette",2001-04-25,2001,0,0,0,0,1,0,0,AR,-8.8,-6258.5,-4.26195786864932,-7.32372986369269
25,When She Hollers,1971,"Voight, Cynthia",2007-10-09,2007,1,0,0,0,1,0,1,AZ,-6.1,3490.5,1.43804213135068,-0.52372986369269
26,Speak,1684,"Anderson, Laurie Halse",2001-04-25,2001,1,1,0,0,1,0,1,AZ,-6.1,3490.5,1.43804213135068,-0.52372986369269
27,What My Mother Doesn’t Know,1951,"Sones, Sonya",2004-10-14,2004,0,0,0,0,1,0,0,AZ,-6.1,3490.5,1.43804213135068,-0.52372986369269
28,Finding Our Way--The Teen Girl Survival Guide,695,"Abner, Allison",2002-05-21,2002,0,1,0,0,0,0,0,AZ,-6.1,3490.5,1.43804213135068,-0.52372986369269
29,Deal With It!,516,"Drill, Esther",2004-12-05,2004,1,1,0,0,0,0,0,AZ,-6.1,3490.5,1.43804213135068,-0.52372986369269
30,1984,6,"Orwell, George",2002-04-27,2002,1,1,0,0,0,0,0,AZ,-6.1,3490.5,1.43804213135068,-0.52372986369269
31,Yu Yu Hakusho (series),2057,"Togashi, Yoshihiro",2008-11-14,2008,0,1,0,0,0,0,1,AZ,-6.1,3490.5,1.43804213135068,-0.52372986369269
32,Alice on the Outside,101,"Naylor, Phyllis Reynolds",2003-12-26,2003,0,1,0,0,0,0,0,AZ,-6.1,3490.5,1.43804213135068,-0.52372986369269
33,Bastard Out of Carolina,196,"Allison, Dorothy",2002-09-09,2002,1,1,0,0,0,0,0,AZ,-6.1,3490.5,1.43804213135068,-0.52372986369269
34,Sahara Special,1559,"Codell, Esme Rajo",2010-02-02,2010,0,0,0,0,1,0,0,AZ,-6.1,3490.5,1.43804213135068,-0.52372986369269
35,Snuff,1660,"Palahniuk, Chuck",2008-11-14,2008,0,0,0,0,0,0,0,AZ,-6.1,3490.5,1.43804213135068,-0.52372986369269
36,Arming America,158,"Bellesiles, Michael",2006-08-15,2006,0,0,0,0,0,0,0,AZ,-6.1,3490.5,1.43804213135068,-0.52372986369269
37,Always Running,118,"Rodriguez, Luis",2004-09-01,2004,1,1,1,0,1,0,1,CA,7.4,10119,-2.76195786864932,2.57627013630731
38,"Angus, Thongs, and Full Frontal Snogging",148,"Rennison, Louise",2005-04-01,2005,0,1,1,0,1,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
39,Goddesses: A World of Myth and Magic,727,"Muten, Burleigh",2004-08-24,2004,1,0,0,1,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
40,Grl2grl,759,"Peters, Julie Anne",2009-08-09,2009,0,1,0,0,0,1,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
41,Molly's Family,1275,"Garden, Nancy",2008-10-05,2008,0,0,1,0,0,1,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
42,Sin City,1635,"Miller, Frank",2006-07-27,2006,0,1,0,0,0,0,1,CA,7.4,10119,-2.76195786864932,2.57627013630731
43,They're All Named Wildfire,1789,"Springer, Nancy",2005-08-02,2005,0,0,0,0,1,0,1,CA,7.4,10119,-2.76195786864932,2.57627013630731
44,Cool Women,436,"Chapman, Dawn",2004-08-24,2004,0,0,0,0,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
45,Rabble Rousers,1493,"Harkness, Cheryl",2004-08-24,2004,0,0,0,0,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
46,Kid's Guide to Social Action,1076,"Lewis, Barbara",2004-08-23,2004,0,0,1,0,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
47,Little Black Sambo,1145,"Bannerman, Helen",2004-04-06,2004,0,0,0,0,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
48,Yoko,2049,"Wells, Rosemary",2009-07-15,2009,1,0,0,0,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
49,S.E.X.:  The All-You-Need-To-Know Progressive Sexuality Guide to Get You Through High School,1555,"Corinna, Heather",2009-08-09,2009,0,0,0,0,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
50,And Tango Makes Three,143,"Parnell, Peter and Justin Richardson",2008-10-05,2008,0,0,0,0,0,1,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
51,Doll House Murders,562,"Wright, Betty",2004-08-24,2004,0,0,0,0,0,0,1,CA,7.4,10119,-2.76195786864932,2.57627013630731
52,I Know Why the Caged Bird Sings,958,"Angelou, Maya",2004-08-23,2004,0,1,0,0,0,0,1,CA,7.4,10119,-2.76195786864932,2.57627013630731
53,If the World Were a Village,975,"Smith, David",2004-08-23,2004,0,0,1,0,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
54,"Trouble With Wednesdays, The",1845,"Nathanson, Laura",2003-09-03,2003,0,1,0,0,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
55,Way Past Cool,1928,"Mowry, Jess",2002-10-23,2002,0,1,0,0,1,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
56,Timespan Spies,1814,"Healey, Tim",2001-04-25,2001,0,0,0,0,0,0,1,CA,7.4,10119,-2.76195786864932,2.57627013630731
57,"Little Mermaid, The",1151,"Anderson, Hans Christian",2000-06-24,2000,0,0,0,0,0,0,1,CA,7.4,10119,-2.76195786864932,2.57627013630731
58,Prep,1473,"Sittenfeld, Curtis",2008-10-25,2008,1,1,0,0,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
59,"Bless Me, Ultima",252,"Anaya, Rudolfo",2008-10-19,2008,1,0,0,0,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
60,Huevos y la Mujer Latina,942,"Camacho, Julian Segura",2008-08-09,2008,1,0,0,0,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
61,Higher Education as Ignorance,898,"Camacho, Julian Segura",2008-08-08,2008,1,0,0,0,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
62,Always Running,118,"Rodriguez, Luis",2004-12-05,2004,1,1,0,0,0,0,1,CA,7.4,10119,-2.76195786864932,2.57627013630731
63,Always Running,118,"Rodriguez, Luis",2004-10-15,2004,1,1,0,0,0,0,1,CA,7.4,10119,-2.76195786864932,2.57627013630731
64,Kaffir Boy,1067,"Mathabane, Mark",2010-08-11,2010,0,0,0,0,1,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
65,"Full Spectrum:  A New Generation of Writing About Gay, Lesbian, Bisexual, Transgender, Questioning, and Other Identities, The",739,"Levithan, David (ed.) and Billy Merrell (ed.)",2009-08-09,2009,0,0,0,0,0,1,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
66,"Hear Us Out:  Lesbian and Gay Stories of Struggle, Progress, and Hope",881,"Garden, Nancy",2009-08-09,2009,0,0,0,0,0,1,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
67,"Transparent:  Love, Family, and Living the T with Transgender Teenagers",1834,"Beam, Chris",2009-08-09,2009,0,0,0,0,0,1,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
68,And Tango Makes Three,143,"Parnell, Peter and Justin Richardson",2007-08-02,2007,0,0,1,0,0,1,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
69,Vampires,1892,"Yolen, Jane and Martin H. Greenberg",2007-07-22,2007,0,1,0,0,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
70,"Witches, Pumpkins and Grinning Ghosts",2019,"Barth, Edna",2004-08-24,2004,0,0,0,1,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
71,"Don't You Dare Read This, Mrs. Dunphrey",567,"Haddix, Margaret Peterson",2004-04-09,2004,0,1,0,0,1,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
72,I Know Why the Caged Bird Sings,958,"Angelou, Maya",2001-04-25,2001,0,1,0,0,1,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
73,So Far From the Bamboo Grove,1661,"Watkins, Yoko Kawashima",2000-10-21,2000,0,1,0,0,0,0,1,CA,7.4,10119,-2.76195786864932,2.57627013630731
74,"Grey King, The",757,"Cooper, Susan",2000-02-22,2000,0,0,0,1,0,0,1,CA,7.4,10119,-2.76195786864932,2.57627013630731
75,"Merriam-Webster's Collegiate Dictionary, 10th Collegiate Edition",1250,Merriam-Webster,2009-12-11,2009,1,0,0,0,1,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
76,Technical Date on the Shasta Dam,1761,,2004-12-05,2004,1,0,0,0,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
77,"Don't You Dare Read This, Mrs. Dunphrey",567,"Haddix, Margaret Peterson",2003-11-27,2003,1,0,0,0,1,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
78,Lives of Notable Gay Men and Lesbians,1156,,2001-02-24,2001,1,0,0,0,0,1,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
79,Baby Be-Bop,179,"Block, Francesca Lia",2000-04-30,2000,1,0,0,0,0,1,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
80,Just Friends,1063,"Klein, Norma",2000-04-30,2000,1,1,0,0,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
81,Question Quest,1491,"Anthony, Piers",2000-04-30,2000,1,0,0,1,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
82,Torilla Curtain,1828,"Boyle, T.C.",2010-05-29,2010,0,0,0,0,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
83,If You Loved Me,977,"Reynolds, Marilyn",2009-01-14,2009,0,1,0,0,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
84,Cut,477,"McCormick, Patricia",2004-10-04,2004,0,0,0,0,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
85,"Boy Who Lost His Face, The",303,"Sachar, Louis",2003-12-23,2003,0,0,0,0,1,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
86,"Boy Who Drank Too Much, The",301,"Greene, Shep",2001-04-25,2001,0,0,0,0,0,0,0,CA,7.4,10119,-2.76195786864932,2.57627013630731
87,Tex,1775,"Hinton, S.E.",2003-12-11,2003,0,1,0,0,1,0,1,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
88,Will I Go To Heaven,2002,"Mayle, Peter",2003-11-27,2003,1,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
89,Ask a Mexican,166,"Arellano, Gustavo",2009-07-22,2009,0,1,0,0,1,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
90,"Koehler Method of Dog Training, The",1094,"Koehler, W.R.",2004-12-05,2004,0,1,0,0,1,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
91,Empress of the World,628,"Ryan, Sara",2003-12-11,2003,1,0,0,0,1,1,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
92,"Summer Country, The",1738,"Hentley, James A.",2004-12-05,2004,0,1,0,0,1,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
93,Cujo,470,"King, Steven",2003-12-11,2003,0,1,0,0,0,0,1,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
94,Tenderness,1772,"Cormier, Robert",2003-12-11,2003,0,1,0,0,0,0,1,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
95,In My Sister's Country,985,"Haines, Lise",2003-11-27,2003,0,1,0,0,1,1,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
96,Private Parts,1481,"Stern, Howard",2003-11-27,2003,0,1,0,0,1,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
97,Book of Mr. Natural,280,"Crumb, R.",2003-11-26,2003,0,1,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
98,"Bluest Eye, The",267,"Morrison, Toni",2005-08-13,2005,1,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
99,"Bluest Eye, The",267,"Morrison, Toni",2005-08-02,2005,1,1,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
100,AIDS: You Can't Catch it Holding Hands,86,"de Saint Phalle, Niki",2003-12-14,2003,1,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
101,A Rock and a Hard Place,42,"Johnson, Anthony Godby",2003-11-26,2003,1,1,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
102,Delilah,528,"Morris, Johnny",2003-11-26,2003,1,1,0,0,0,0,1,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
103,Beloved,214,"Morrison, Toni",2010-08-12,2010,0,1,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
104,A Child's Life,13,"Gloeckner, Phoebe",2009-07-22,2009,0,1,0,0,0,0,1,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
105,Undead and Unworthy,1877,"Davidson, Mary Janice",2009-07-22,2009,0,1,0,0,1,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
106,Uncle Bobby's Wedding,1872,"Brannen, Sarah S.",2008-06-07,2008,0,0,0,0,0,1,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
107,Coram Boy,439,"Gavin, Jamila",2004-12-05,2004,0,0,0,0,0,0,1,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
108,Cowboy,445,"Wolf, Bernard",2004-12-05,2004,0,0,0,0,1,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
109,Fun with Mrs. Thumb,742,"Mark, Jan & Bayley, Nicola",2004-12-05,2004,0,0,0,0,0,0,1,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
110,"Angus, Thongs, and Full Frontal Snogging",148,"Rennison, Louise",2003-12-11,2003,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
111,Dance for Three,488,"Plummer, Louise",2003-12-11,2003,0,1,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
112,Forever,712,"Blume, Judy",2003-12-11,2003,0,1,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
113,Speak,1684,"Anderson, Laurie Halse",2003-12-11,2003,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
114,Sweet Valley High Series,1745,"William, Kate",2003-12-11,2003,0,1,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
115,House of Eliott,925,"Marsh, Jean",2003-11-27,2003,0,1,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
116,Mommy Laid an Egg,1276,"Cole, Babette",2003-11-27,2003,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
117,Quest for More Money,1490,"Okuda, Hitoshi",2003-11-27,2003,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
118,Topping From Below,1827,"Reese, Laura",2003-11-27,2003,0,1,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
119,What's With the Dudes at the Door?,1962,"Johnson, Kevin and James R. White",2003-11-27,2003,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
120,Am I Weird or Is This Normal?,122,"James, Jamie",2003-11-26,2003,0,1,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
121,Berenstein Bears and the Bully,215,"Berenstein, Stan and Jan",2003-11-26,2003,0,0,0,0,0,0,1,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
122,Daddy's Roommate,484,"Willhoite, Michael",2003-11-26,2003,0,0,0,0,0,1,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
123,Dangerous Drawings,498,"Juno, Andrea",2003-11-26,2003,0,1,0,0,0,0,1,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
124,How I Was Born,932,"Wabbes, Marie",2003-11-26,2003,0,1,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
125,"Bluest Eye, The",267,"Morrison, Toni",2006-06-10,2006,1,1,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
126,New Good Vibrations Guide to Sex,1033,"Winks, Cathy",2003-11-27,2003,1,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
127,Stolen Gods,1705,"Page, Jake",2003-11-27,2003,1,0,0,0,1,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
128,Boy Meets Boy,297,"Levithan, David",,,0,0,0,0,0,1,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
129,Rescue Bunnies,1524,"Cronin, Doreen",2010-09-09,2010,0,0,0,0,0,0,1,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
130,Captain Underpants,356,"Pilkey, Dav",2010-08-12,2010,0,0,0,0,1,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
131,A Stroke of Midnight,51,"Hamilton, Laurell K.",2009-07-22,2009,0,0,1,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
132,"Amazing Bone, The",127,"Steig, William",2004-12-05,2004,0,0,0,0,0,0,1,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
133,Arming America,158,"Bellesiles, Michael",2004-12-05,2004,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
134,Arming America,158,"Bellesiles, Michael",2004-12-05,2004,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
135,Bunker 13,331,"Bahal, Aniruddha",2004-12-05,2004,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
136,Busy Penguins,346,"Schindel, John",2004-12-05,2004,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
137,"Emperor's New Clothes, The",627,"Anderson, Hans Christian",2004-12-05,2004,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
138,Garfield: His Nine Lives,747,"Davis, Jim",2004-12-05,2004,0,0,0,0,1,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
139,"Girl Who Dreamed Only Geese and Other Stories of the Far North, The",779,"Norman, Howard",2004-12-05,2004,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
140,Junie B. Jones is Captain Field Day,1061,"Park, Barbara",2004-12-05,2004,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
141,King & King,1083,"de Haan, Linda",2004-12-05,2004,0,0,0,0,0,1,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
142,Last Refuge of Scoundrels,1105,"Lussier, Paul",2004-12-05,2004,0,1,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
143,"Same But Different, The",1564,"Dahl, Tessa",2004-12-05,2004,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
144,"Shiva Option, The",1620,"White, Stever & David Weber",2004-12-05,2004,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
145,T.E. Lawrence: Lives of Notable Gay Men and Lesbians,1747,"Wolfe, Daniel",2004-12-05,2004,0,0,0,0,0,1,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
146,What a Truly Cool World,1942,"Lester, Julius and Joe Cepeda",2004-12-05,2004,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
147,What's with the Dudes at the Door?,1962,"Johnson, Kevin and James R. White",2004-12-05,2004,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
148,Where to Park Your Broomstick,1977,"Manoy, Lauren",2004-12-05,2004,0,0,0,1,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
149,Zeke Pippin,2063,"Stieg, William",2004-12-05,2004,0,0,0,0,0,0,1,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
150,"Human Body, The",945,"Longman, Christina",2003-12-11,2003,0,1,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
151,Mambo Kings Play Songs of Love,1218,"Hijuelos, Oscar",2003-12-11,2003,0,1,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
152,"Mary, Bloody Mary",1240,"Meyer, Carolyn",2003-12-11,2003,0,0,0,0,1,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
153,Outrageously Alice,1409,"Naylor, Phyllis Reynolds",2003-12-11,2003,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
154,"Ready, Set, Grow!",1514,"Maderas, Linda",2003-12-11,2003,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
155,Thanksgiving Day,1776,,2003-12-11,2003,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
156,You Hear Me?,2051,"Franco, Betsy",2003-12-11,2003,0,0,0,0,1,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
157,In Her Defense,984,"Horn, Stephen",2003-11-27,2003,0,0,0,0,1,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
158,Naked Pictures of My Ex-Girlfriend,1015,"Helfrich, Mark",2003-11-27,2003,0,1,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
159,"Picasso Days, 1881-1935",1445,"Phillipe, Pierre",2003-11-27,2003,0,1,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
160,Uncle What-is-it Is Coming to Visit,1875,"Willhoite, Michael",2003-11-27,2003,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
161,Velderet,1897,"Tan, Cecilia",2003-11-27,2003,0,1,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
162,Water Tower,1924,"Crew, Gary",2003-11-27,2003,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
163,Young Wives,2054,"Goldsmith, Olivia",2003-11-27,2003,0,0,0,0,1,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
164,Best is Yet to Come,221,"Gould, Judith",2003-11-26,2003,0,1,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
165,Complete Idiot's Guide to Day Trading,426,N/A,2003-11-26,2003,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
166,Golden Years - 1950,731,"Sandison, David",2003-11-26,2003,0,0,0,0,0,0,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
167,T.E. Lawrence: Lives of Notable Gay Men and Lesbians,1747,"Wolfe, Daniel",2003-09-14,2003,0,0,0,0,0,1,0,CO,-0.2,10346.5,7.33804213135069,8.67627013630731
168,Scary Stories to Tell in the Dark,982,"Schwartz, Alvin",2006-02-07,2006,0,0,0,1,0,0,1,CT,7.1,16247.5,4.43804213135068,7.37627013630731
169,"Empty Grave, The",629,"Chilton, Ida",2004-04-09,2004,0,1,0,1,0,0,1,CT,7.1,16247.5,4.43804213135068,7.37627013630731
170,Running With Scissors,1553,"Burroughs, Augusten",2003-06-08,2003,0,1,0,0,1,1,0,CT,7.1,16247.5,4.43804213135068,7.37627013630731
171,Coffee Will Make You Black,416,"Sinclair, April",2001-04-25,2001,0,1,0,0,1,0,0,CT,7.1,16247.5,4.43804213135068,7.37627013630731
172,Crazy: A Novel,456,"Lebert, Benjamin",2001-05-30,2001,1,1,0,0,0,0,0,CT,7.1,16247.5,4.43804213135068,7.37627013630731
173,In the Middle of the Night,990,"McDonald, Brian",2009-08-26,2009,0,0,0,0,0,0,1,CT,7.1,16247.5,4.43804213135068,7.37627013630731
174,Whale Talk,1941,"Crutcher, Chris",2009-05-07,2009,0,1,0,0,1,0,1,DE,7,9167.5,3.03804213135068,0.97627013630731
