rownames,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,average_daily_rate,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
12,City Hotel,1,60,2016,June,23,1,0,1,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,116.1,0,0,Canceled,2016-05-27
13,City Hotel,0,5,2016,December,50,5,1,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,NULL,219,0,Transient,88,1,1,Check-Out,2016-12-07
14,Resort Hotel,0,1,2016,April,18,30,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,107.67,1,2,Check-Out,2016-05-06
15,Resort Hotel,0,1,2017,April,17,24,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,106,0,1,Check-Out,2017-04-25
16,Resort Hotel,0,3,2016,December,50,10,0,1,3,1,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,NULL,0,Transient,110,0,0,Check-Out,2016-12-11
17,City Hotel,0,44,2016,July,28,9,0,1,2,1,1,BB,ROU,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,NULL,0,Transient,131.4,0,1,Check-Out,2016-07-10
18,City Hotel,1,57,2016,March,14,29,0,4,3,0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,116.45,0,0,Canceled,2016-02-09
19,City Hotel,1,34,2015,December,50,8,0,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19,NULL,0,Transient,90,0,0,Canceled,2015-11-06
20,Resort Hotel,0,81,2015,August,33,11,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,241,NULL,0,Transient,118.02,0,1,Check-Out,2015-08-18
21,City Hotel,0,6,2016,November,49,28,1,3,1,0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,49.59,0,0,Check-Out,2016-12-02
22,City Hotel,0,59,2016,February,6,6,2,2,3,0,0,BB,AUT,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1,NULL,0,Transient-Party,90,0,1,Check-Out,2016-02-10
23,City Hotel,1,292,2015,August,32,5,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient-Party,62,0,0,Canceled,2015-07-02
24,City Hotel,0,26,2017,February,8,19,2,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,63.17,0,0,Check-Out,2017-02-24
25,Resort Hotel,1,127,2016,July,28,9,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,159.5,0,1,Canceled,2016-06-18
26,City Hotel,1,37,2015,September,39,21,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,145.8,0,2,Canceled,2015-09-10
27,Resort Hotel,1,83,2016,February,6,4,1,3,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,98,0,0,Canceled,2016-01-09
28,City Hotel,0,14,2015,August,34,18,1,5,2,0,0,BB,NLD,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,75,0,0,Check-Out,2015-08-24
29,Resort Hotel,0,4,2016,March,12,18,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,1,A,D,0,No Deposit,NULL,NULL,0,Transient,45,0,1,Check-Out,2016-03-19
30,Resort Hotel,0,31,2015,November,45,2,3,10,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,4,No Deposit,185,281,0,Transient-Party,43.2,0,0,Check-Out,2015-11-15
31,City Hotel,1,34,2015,August,32,5,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,62,0,0,Canceled,2015-07-29
32,City Hotel,1,87,2017,June,22,3,2,2,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,NULL,0,Transient,180,0,0,Canceled,2017-05-10
33,City Hotel,0,77,2016,October,43,20,1,3,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,132,NULL,0,Transient,90.95,0,0,Check-Out,2016-10-24
34,Resort Hotel,0,9,2017,February,8,24,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,67,1,0,Check-Out,2017-02-25
35,City Hotel,0,46,2016,November,45,3,0,3,3,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,129.6,0,2,Check-Out,2016-11-06
36,City Hotel,0,137,2016,February,7,7,2,1,3,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,28,NULL,0,Transient,93,0,2,Check-Out,2016-02-10
37,Resort Hotel,0,2,2015,September,40,30,0,3,1,0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,256,NULL,0,Transient-Party,58.5,0,0,Check-Out,2015-10-03
38,Resort Hotel,0,76,2017,August,31,1,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,242,NULL,0,Transient,304,0,3,Check-Out,2017-08-03
39,Resort Hotel,0,110,2016,September,37,9,2,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,133,0,2,Check-Out,2016-09-14
40,City Hotel,1,274,2015,July,29,18,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,62,0,0,Canceled,2015-07-06
41,City Hotel,1,178,2016,August,36,31,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9,NULL,0,Transient-Party,103.69,0,0,Canceled,2016-06-29
42,City Hotel,1,10,2017,April,15,10,1,1,2,0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,115,0,1,Canceled,2017-03-31
43,Resort Hotel,0,0,2016,February,7,7,1,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,E,1,No Deposit,NULL,NULL,0,Transient,56.1,0,0,Check-Out,2016-02-08
44,Resort Hotel,1,277,2015,October,41,5,4,10,1,0,0,HB,GBR,Groups,Direct,0,1,0,A,A,0,Non Refund,273,NULL,0,Transient,48.5,0,0,Canceled,2015-10-02
45,Resort Hotel,1,215,2016,June,23,1,0,3,2,0,0,FB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,96,NULL,0,Transient,110,0,0,Canceled,2015-12-01
46,Resort Hotel,0,82,2017,May,19,13,2,2,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,147,0,1,Check-Out,2017-05-17
47,Resort Hotel,1,159,2016,December,52,22,0,2,3,1,0,BB,GBR,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,NULL,0,Transient,97,0,0,Canceled,2016-07-16
48,City Hotel,0,180,2016,May,19,2,1,1,2,0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,NULL,0,Transient-Party,100,0,1,Check-Out,2016-05-04
49,City Hotel,1,17,2016,January,4,23,2,1,1,0,0,BB,TUR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,81,0,0,Canceled,2016-01-18
50,Resort Hotel,0,86,2016,April,18,29,2,2,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,314,NULL,0,Transient,52.56,0,0,Check-Out,2016-05-03
51,Resort Hotel,0,19,2017,February,7,14,0,2,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,177,NULL,0,Transient,60,0,0,Check-Out,2017-02-16
52,City Hotel,0,50,2016,September,37,10,1,1,2,0,0,BB,USA,Direct,Direct,0,0,0,D,D,0,No Deposit,14,NULL,0,Transient,145.8,0,2,Check-Out,2016-09-12
53,City Hotel,1,69,2016,June,25,12,2,4,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,236,NULL,0,Transient,120,0,0,Canceled,2016-04-27
54,City Hotel,0,4,2016,November,48,22,0,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,99.5,0,2,Check-Out,2016-11-24
55,City Hotel,0,0,2016,December,53,27,0,2,2,2,0,BB,GBR,Online TA,TA/TO,1,0,0,F,F,4,No Deposit,9,NULL,0,Transient,178.5,0,1,Check-Out,2016-12-29
56,City Hotel,0,0,2015,August,32,4,0,2,2,0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Contract,80,1,1,Check-Out,2015-08-06
57,City Hotel,1,312,2015,August,35,25,0,4,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,60,0,0,Canceled,2015-07-06
58,Resort Hotel,0,94,2017,February,7,13,1,3,1,0,0,HB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,152,NULL,0,Transient-Party,44,0,0,Check-Out,2017-02-17
59,Resort Hotel,0,148,2015,July,28,11,2,5,2,1,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,261,NULL,0,Transient,119.7,0,1,Check-Out,2015-07-18
60,City Hotel,1,517,2016,December,50,8,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,NULL,0,Transient,62.8,0,0,Canceled,2015-10-21
61,City Hotel,1,223,2017,April,16,17,1,0,2,1,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,133.2,0,1,Canceled,2016-09-25
62,City Hotel,0,211,2016,August,35,23,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11,NULL,0,Transient,77.03,0,0,Check-Out,2016-08-26
63,City Hotel,1,248,2016,October,45,31,1,2,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,E,E,0,Non Refund,NULL,51,0,Transient-Party,106,0,0,Canceled,2016-08-29
64,Resort Hotel,0,76,2015,July,29,14,0,5,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250,NULL,0,Transient,101.8,0,0,Check-Out,2015-07-19
65,Resort Hotel,1,231,2017,May,21,26,2,4,2,0,0,HB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,122.4,0,1,Canceled,2016-10-09
66,Resort Hotel,0,6,2017,June,22,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,94.5,0,1,Check-Out,2017-06-03
67,Resort Hotel,0,38,2016,March,12,17,0,3,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8,NULL,0,Transient,35,1,0,Check-Out,2016-03-20
68,City Hotel,0,273,2015,July,29,17,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient-Party,109,0,0,Check-Out,2015-07-19
69,City Hotel,1,10,2017,January,1,6,2,2,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,71.19,0,0,Canceled,2016-12-30
70,City Hotel,1,320,2017,August,31,3,0,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,89.1,0,1,Canceled,2017-04-22
71,City Hotel,0,8,2016,January,4,19,0,5,2,0,0,SC,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,79.4,0,1,Check-Out,2016-01-24
72,Resort Hotel,0,287,2015,October,42,15,1,3,1,0,0,BB,GBR,Groups,Corporate,0,0,0,A,A,1,No Deposit,NULL,223,0,Transient-Party,37,0,0,Check-Out,2015-10-19
73,City Hotel,0,74,2016,April,16,13,0,4,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,NULL,0,Transient,99.45,0,0,Check-Out,2016-04-17
74,Resort Hotel,0,155,2016,August,35,22,1,5,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,170,0,2,Check-Out,2016-08-28
75,Resort Hotel,0,28,2016,October,45,31,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,57,NULL,0,Transient,32.31,0,0,Check-Out,2016-11-07
76,City Hotel,0,10,2016,February,9,22,1,3,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,1,No Deposit,NULL,NULL,0,Transient,107,1,1,Check-Out,2016-02-26
77,Resort Hotel,0,73,2017,April,15,15,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171,NULL,0,Transient,43.2,0,0,Check-Out,2017-04-22
78,Resort Hotel,1,67,2016,October,44,29,1,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,76.5,0,3,Canceled,2016-09-26
79,Resort Hotel,0,10,2015,July,29,16,2,3,1,0,0,BB,IRL,Direct,Direct,0,0,0,D,D,1,No Deposit,250,NULL,0,Transient-Party,150.2,0,1,Check-Out,2015-07-21
80,Resort Hotel,1,128,2016,December,49,3,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient-Party,64,0,0,Canceled,2016-11-23
81,City Hotel,0,161,2016,August,34,16,0,2,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,6,No Deposit,9,NULL,0,Transient-Party,82.35,0,2,Check-Out,2016-08-18
82,City Hotel,1,9,2017,March,9,1,0,3,3,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,158,0,0,Canceled,2017-02-21
83,City Hotel,0,24,2017,May,20,19,0,2,3,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,230,0,1,Check-Out,2017-05-21
84,Resort Hotel,0,26,2015,August,36,31,1,3,2,2,0,HB,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,250,NULL,0,Transient,155.5,0,0,Check-Out,2015-09-04
85,City Hotel,0,118,2016,June,24,6,1,1,1,0,0,BB,NLD,Offline TA/TO,Corporate,0,0,0,A,A,1,No Deposit,191,NULL,0,Transient-Party,110,0,0,Check-Out,2016-06-08
86,Resort Hotel,0,176,2016,July,29,15,2,5,2,0,0,HB,IRL,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,171,NULL,0,Transient,151.4,0,0,Check-Out,2016-07-22
87,Resort Hotel,1,6,2016,April,18,27,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,NULL,0,Transient-Party,72,0,0,Canceled,2016-04-22
88,City Hotel,0,25,2015,October,41,4,2,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,80.85,0,1,Check-Out,2015-10-07
89,Resort Hotel,1,46,2016,July,31,30,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,179,0,0,Canceled,2016-06-22
90,City Hotel,1,188,2017,July,30,27,2,4,3,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,175.5,0,1,Canceled,2017-05-22
91,City Hotel,1,248,2017,July,30,29,2,2,2,1,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125.1,0,0,Canceled,2017-01-30
92,City Hotel,0,197,2016,August,35,24,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27,NULL,0,Transient-Party,72.25,0,1,Check-Out,2016-08-27
93,Resort Hotel,0,52,2016,June,26,20,1,2,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,NULL,47,0,Transient,57,0,0,Check-Out,2016-06-23
94,City Hotel,0,106,2017,April,17,26,1,4,1,0,0,BB,NOR,Direct,Direct,0,0,0,A,A,1,No Deposit,14,NULL,0,Transient,100.8,0,1,Check-Out,2017-05-01
95,Resort Hotel,0,22,2016,September,39,24,2,2,2,0,0,HB,ESP,Direct,Direct,0,0,0,D,G,0,No Deposit,250,NULL,0,Transient,163.5,1,0,Check-Out,2016-09-28
96,Resort Hotel,0,32,2016,April,17,19,0,1,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,G,0,No Deposit,NULL,397,0,Transient-Party,59,0,1,Check-Out,2016-04-20
97,City Hotel,0,86,2015,September,37,9,0,2,2,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,A,0,No Deposit,NULL,68,0,Transient-Party,100,0,0,Check-Out,2015-09-11
98,City Hotel,1,272,2015,July,29,16,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1,NULL,0,Contract,62,0,0,Canceled,2015-01-01
99,City Hotel,0,423,2017,July,29,22,1,1,1,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,6,NULL,0,Transient-Party,95.5,0,0,Check-Out,2017-07-24
100,Resort Hotel,1,77,2016,August,34,18,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240,NULL,0,Transient,214,0,0,Canceled,2016-06-25
101,City Hotel,0,177,2016,October,44,29,2,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,104.4,0,2,Check-Out,2016-11-01
102,City Hotel,1,330,2015,September,37,12,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,62,0,0,Canceled,2015-07-06
103,Resort Hotel,0,143,2015,July,28,9,1,3,3,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26,NULL,0,Contract,78.6,0,2,Check-Out,2015-07-13
104,Resort Hotel,0,23,2016,February,6,6,2,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient,29,0,0,Check-Out,2016-02-10
105,City Hotel,1,56,2016,June,24,8,0,1,2,0,0,BB,PRT,Offline TA/TO,Corporate,0,0,0,A,A,0,No Deposit,191,NULL,0,Transient-Party,120,0,0,Canceled,2016-06-02
106,City Hotel,0,63,2017,July,31,30,2,4,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,153.67,1,1,Check-Out,2017-08-05
107,City Hotel,1,34,2017,May,19,10,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,169,0,1,Canceled,2017-04-09
108,City Hotel,1,1,2016,September,39,20,0,3,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,160,0,0,No-Show,2016-09-20
109,Resort Hotel,0,240,2017,August,32,6,2,2,2,0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,410,NULL,0,Transient-Party,118,0,1,Check-Out,2017-08-10
110,Resort Hotel,0,66,2017,May,19,13,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240,NULL,0,Transient-Party,165,0,0,Check-Out,2017-05-20
111,Resort Hotel,0,52,2016,May,22,22,2,3,2,0,0,BB,CN,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241,NULL,0,Transient,85.16,0,1,Check-Out,2016-05-27
112,City Hotel,0,2,2017,May,20,17,0,2,1,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,474,NULL,0,Transient-Party,130,0,0,Check-Out,2017-05-19
113,City Hotel,0,156,2016,August,35,23,0,2,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,B,1,No Deposit,9,NULL,0,Transient,94.5,0,1,Check-Out,2016-08-25
114,City Hotel,1,164,2017,May,20,15,1,2,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,160,0,0,Canceled,2017-01-31
115,City Hotel,0,33,2017,July,28,11,0,2,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,120,0,1,Check-Out,2017-07-13
116,City Hotel,1,124,2016,July,29,16,2,1,2,0,0,BB,CN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,118.8,0,1,Canceled,2016-07-10
117,City Hotel,0,102,2015,October,42,16,0,2,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient-Party,109,0,0,Check-Out,2015-10-18
118,City Hotel,1,275,2016,October,41,5,1,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,0,Transient,90,0,0,Canceled,2016-06-20
119,City Hotel,0,5,2016,January,3,15,5,12,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,88.12,0,1,Check-Out,2016-02-01
120,City Hotel,1,444,2016,December,49,1,0,3,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,34,NULL,39,Transient,75,0,0,Canceled,2015-10-23
121,City Hotel,0,10,2016,October,42,13,1,3,3,0,0,SC,PRT,Direct,Direct,0,0,0,A,D,1,No Deposit,NULL,NULL,0,Transient,149,0,1,Check-Out,2016-10-17
122,Resort Hotel,0,10,2016,June,25,18,2,2,3,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,E,0,No Deposit,241,NULL,0,Transient,158.58,0,2,Check-Out,2016-06-22
123,Resort Hotel,0,0,2015,July,31,29,0,1,1,0,0,BB,NULL,Corporate,Direct,0,0,0,A,H,0,No Deposit,NULL,NULL,0,Transient,114,0,0,Check-Out,2015-07-30
124,City Hotel,1,25,2017,May,22,30,0,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,90,0,0,Canceled,2017-05-16
125,Resort Hotel,0,43,2016,November,46,8,0,4,2,0,0,BB,LVA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient-Party,46.8,0,2,Check-Out,2016-11-12
126,City Hotel,0,13,2015,August,35,25,0,2,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,90,0,1,Check-Out,2015-08-27
127,City Hotel,1,56,2016,May,19,3,0,2,3,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,159.3,0,0,Canceled,2016-03-08
128,Resort Hotel,0,13,2017,January,4,24,0,2,1,0,0,BB,PRT,Corporate,Corporate,1,0,9,A,D,0,No Deposit,NULL,338,0,Transient,38,1,0,Check-Out,2017-01-26
129,City Hotel,0,80,2016,April,15,8,0,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient-Party,96.3,0,1,Check-Out,2016-04-10
130,City Hotel,0,136,2016,June,27,28,2,5,2,1,0,BB,DNK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient-Party,106.25,0,0,Check-Out,2016-07-05
131,City Hotel,0,133,2017,April,16,19,0,4,2,0,0,BB,ISL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,390,NULL,0,Transient-Party,124,0,0,Check-Out,2017-04-23
132,City Hotel,0,7,2015,August,35,26,0,2,2,0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Contract,90,0,2,Check-Out,2015-08-28
133,Resort Hotel,0,131,2015,July,29,13,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156,NULL,0,Contract,113.05,0,1,Check-Out,2015-07-20
134,Resort Hotel,0,28,2016,February,8,20,2,3,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115,NULL,0,Transient,40.5,0,0,Check-Out,2016-02-25
