"","gender","ethnicity","birth","stark","star1","star2","star3","readk","read1","read2","read3","mathk","math1","math2","math3","lunchk","lunch1","lunch2","lunch3","schoolk","school1","school2","school3","degreek","degree1","degree2","degree3","ladderk","ladder1","ladder2","ladder3","experiencek","experience1","experience2","experience3","tethnicityk","tethnicity1","tethnicity2","tethnicity3","systemk","system1","system2","system3","schoolidk","schoolid1","schoolid2","schoolid3"
"1632","male","cauc",1980 Q1,"small","small","small","small",424,519,559,606,494,512,590,597,"non-free","free",NA,"non-free","rural","rural","rural","rural","bachelor","master","bachelor","master","level1","level1","level1","level3",6,6,4,13,"cauc","cauc","cauc","cauc","36","36","36","36","71","71","71","71"
"1641","male","cauc",1979 Q3,"regular+aide","regular+aide","regular","regular",490,571,586,631,528,572,561,589,"non-free","non-free","non-free","non-free","suburban","suburban","suburban","suburban","bachelor","master","bachelor","bachelor","level1","level1","level1","notladder",18,13,9,15,"cauc","cauc","cauc","afam","22","22","22","22","52","52","52","52"
"1659","male","cauc",1980 Q3,"regular",NA,NA,NA,439,NA,NA,NA,484,NA,NA,NA,"non-free",NA,NA,NA,"suburban",NA,NA,NA,"master",NA,NA,NA,"level1",NA,NA,NA,13,NA,NA,NA,"cauc",NA,NA,NA,"22",NA,NA,NA,"54",NA,NA,NA
"1670","female","cauc",1979 Q4,"regular+aide",NA,NA,NA,424,NA,NA,NA,459,NA,NA,NA,"free",NA,NA,NA,"rural",NA,NA,NA,"bachelor",NA,NA,NA,"level1",NA,NA,NA,12,NA,NA,NA,"cauc",NA,NA,NA,"9",NA,NA,NA,"12",NA,NA,NA
"1690","female","afam",1980 Q3,"regular","regular","regular",NA,437,503,559,NA,528,497,543,NA,"free","free","free",NA,"suburban","suburban","suburban",NA,"bachelor","master","bachelor",NA,"apprentice","level1","level1",NA,1,23,10,NA,"afam","cauc","afam",NA,"11","11","11",NA,"21","21","21",NA
"1713","female","cauc",1979 Q1,NA,"regular","regular","regular",NA,503,566,565,NA,538,552,580,NA,"free","free","free",NA,"rural","rural","rural",NA,"master","master","bachelor",NA,"level1","level1","level1",NA,42,15,9,NA,"cauc","cauc","cauc",NA,"30","30","30",NA,"63","63","63"
"1725","female","cauc",1980 Q2,"small","small","small","small",422,544,643,647,478,502,568,610,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","master","master","bachelor","bachelor","level1","level1","level1","apprentice",8,14,6,2,"cauc","cauc","cauc","cauc","40","40","40","40","76","77","77","77"
"1735","male","cauc",1979 Q4,"regular","small","small","small",424,501,577,622,559,545,593,691,"free","non-free","free","non-free","rural","rural","rural","rural","bachelor","master","bachelor","master","level1","level1","level1","level1",13,16,18,12,"cauc","cauc","cauc","cauc","41","41","41","41","79","79","79","79"
"1753","male","cauc",1979 Q3,NA,"regular+aide","regular+aide",NA,NA,521,NA,NA,NA,557,NA,NA,NA,"non-free",NA,NA,NA,"urban","urban",NA,NA,"master","bachelor",NA,NA,"level1","notladder",NA,NA,8,17,NA,NA,"cauc","cauc",NA,NA,"6","6",NA,NA,"9","9",NA
"1772","male","cauc",1980 Q2,"regular","regular",NA,NA,NA,477,NA,NA,NA,484,NA,NA,"non-free","non-free",NA,NA,"rural","rural",NA,NA,"bachelor","bachelor",NA,NA,NA,"apprentice",NA,NA,5,2,NA,NA,"cauc","cauc",NA,NA,"1","1",NA,NA,"1","1",NA,NA
"1789","female","cauc",1979 Q2,NA,NA,"regular","regular",NA,NA,481,536,NA,NA,500,546,NA,NA,"free",NA,NA,NA,"rural","rural",NA,NA,"master","bachelor",NA,NA,"level1","probation",NA,NA,19,0,NA,NA,"cauc","cauc",NA,NA,"10","10",NA,NA,"13","13"
"1804","male","cauc",1980 Q2,"regular",NA,NA,NA,431,NA,NA,NA,454,NA,NA,NA,"non-free",NA,NA,NA,"rural",NA,NA,NA,"master",NA,NA,NA,"level1",NA,NA,NA,13,NA,NA,NA,"cauc",NA,NA,NA,"6",NA,NA,NA,"8",NA,NA,NA
"1824","male","afam",1980 Q1,NA,NA,"regular","regular",NA,NA,596,608,NA,NA,620,672,NA,NA,"free","free",NA,NA,"inner-city","inner-city",NA,NA,"bachelor","bachelor",NA,NA,"notladder","level1",NA,NA,40,5,NA,NA,"afam","afam",NA,NA,"11","11",NA,NA,"29","29"
"1842","female","afam",NA,NA,NA,NA,"regular+aide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"free",NA,NA,NA,"inner-city",NA,NA,NA,"bachelor",NA,NA,NA,"probation",NA,NA,NA,2,NA,NA,NA,"cauc",NA,NA,NA,"11",NA,NA,NA,"29"
"1855","male","cauc",1980 Q1,"regular+aide","regular+aide",NA,NA,451,439,NA,NA,473,463,NA,NA,"non-free","free",NA,NA,"rural","rural",NA,NA,"bachelor","bachelor",NA,NA,"level1","level1",NA,NA,3,8,NA,NA,"cauc","cauc",NA,NA,"32","32",NA,NA,"66","66",NA,NA
"1873","male","cauc",1980 Q1,"small","small","small","small",456,492,549,580,602,515,587,614,"free","non-free","non-free","free","urban","urban","urban","urban","master","bachelor","master","bachelor","level1","level1","level1","level1",14,5,9,13,"cauc","cauc","afam","cauc","26","26","26","26","59","59","59","59"
"1885","male","cauc",1979 Q2,NA,"regular+aide","regular+aide","small",NA,521,542,612,NA,502,530,549,NA,"free","free","free",NA,"urban","urban","urban",NA,"master","master","bachelor",NA,"level1","level1","level1",NA,15,20,14,NA,"cauc","cauc","cauc",NA,"27","27","27",NA,"60","60","60"
"1903","female","cauc",1980 Q1,NA,NA,"regular+aide","regular+aide",NA,NA,568,588,NA,NA,548,582,NA,NA,"non-free","non-free",NA,NA,"suburban","suburban",NA,NA,"master","master",NA,NA,"level1","level1",NA,NA,21,32,NA,NA,"cauc","cauc",NA,NA,"22","22",NA,NA,"51","51"
"1916","female","afam",1980 Q2,"regular+aide",NA,NA,NA,421,NA,NA,NA,459,NA,NA,NA,"free",NA,NA,NA,"inner-city",NA,NA,NA,"bachelor",NA,NA,NA,"level1",NA,NA,NA,11,NA,NA,NA,"cauc",NA,NA,NA,"11",NA,NA,NA,"31",NA,NA,NA
"1934","male","afam",1980 Q2,"regular+aide","regular","regular+aide","regular",463,478,582,622,576,567,611,642,"free","free","free","free","inner-city","inner-city","inner-city","inner-city","bachelor","bachelor","bachelor","master","level1","probation","level1","level3",10,5,35,14,"afam","cauc","afam","cauc","11","11","11","11","27","27","27","27"
"1952","female","afam",1980 Q1,"regular+aide","regular","regular",NA,425,457,NA,NA,520,510,NA,NA,"non-free","free","free",NA,"suburban","suburban","suburban",NA,"bachelor","bachelor","bachelor",NA,"level1","level1","notladder",NA,8,16,12,NA,"afam","cauc","cauc",NA,"11","11","11",NA,"17","17","17",NA
"1958","female","cauc",1979 Q4,"regular","regular+aide","regular+aide","regular+aide",522,651,669,675,559,627,659,700,"non-free","non-free","non-free","non-free","urban","urban","urban","urban","bachelor","master","master","master","level1","level1","level1","level1",8,8,19,16,"cauc","cauc","cauc","cauc","6","6","6","6","9","9","9","9"
"1980","female","cauc",1980 Q2,"regular+aide","regular","regular","regular",413,553,611,610,459,553,603,642,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","master","bachelor","master","master","level1","level1","apprentice","level1",5,12,1,18,"cauc","cauc","cauc","cauc","15","15","15","15","39","39","39","39"
"1993","male","cauc",1980 Q3,"regular","small",NA,NA,416,536,NA,NA,513,578,NA,NA,"non-free","non-free",NA,NA,"rural","rural",NA,NA,"master","master",NA,NA,"level1","level1",NA,NA,13,11,NA,NA,"cauc","cauc",NA,NA,"23","23",NA,NA,"55","55",NA,NA
"2013","male","afam",1980 Q2,NA,NA,"regular",NA,NA,NA,555,NA,NA,NA,611,NA,NA,NA,"free",NA,NA,NA,"inner-city",NA,NA,NA,"bachelor",NA,NA,NA,"probation",NA,NA,NA,2,NA,NA,NA,"cauc",NA,NA,NA,"11",NA,NA,NA,"33",NA
"2033","male","afam",1980 Q1,NA,"regular+aide","regular+aide","regular+aide",NA,499,577,612,NA,481,577,614,NA,"free","free","free",NA,"inner-city","inner-city","inner-city",NA,"bachelor","bachelor","bachelor",NA,"notladder","level1","level1",NA,36,31,18,NA,"afam","afam","afam",NA,"11","11","11",NA,"33","33","33"
"2048","female","cauc",1979 Q1,NA,"small",NA,NA,NA,457,NA,NA,NA,449,NA,NA,NA,"non-free",NA,NA,NA,"suburban",NA,NA,NA,"bachelor",NA,NA,NA,"notladder",NA,NA,NA,23,NA,NA,NA,"cauc",NA,NA,NA,"22",NA,NA,NA,"51",NA,NA
"2054","female","afam",1980 Q4,"regular",NA,NA,NA,419,NA,NA,NA,423,NA,NA,NA,"free",NA,NA,NA,"inner-city",NA,NA,NA,"bachelor",NA,NA,NA,"probation",NA,NA,NA,0,NA,NA,NA,"afam",NA,NA,NA,"11",NA,NA,NA,"27",NA,NA,NA
"2074","female","cauc",1980 Q3,"regular+aide",NA,NA,NA,431,NA,NA,NA,494,NA,NA,NA,"non-free",NA,NA,NA,"suburban",NA,NA,NA,"bachelor",NA,NA,NA,"level1",NA,NA,NA,3,NA,NA,NA,"cauc",NA,NA,NA,"25",NA,NA,NA,"58",NA,NA,NA
"2095","female","cauc",1978 Q1,NA,"regular+aide","regular+aide","regular+aide",NA,NA,NA,NA,NA,500,NA,543,NA,"free","free","free",NA,"rural","rural","rural",NA,"bachelor","master","specialist",NA,"level1","level1","level2",NA,13,11,16,NA,"cauc","cauc","cauc",NA,"35","35","35",NA,"70","70","70"
"2105","male","afam",1979 Q3,NA,NA,"regular+aide","regular+aide",NA,NA,539,531,NA,NA,533,562,NA,NA,"free","free",NA,NA,"inner-city","inner-city",NA,NA,"master","master",NA,NA,"level1","level2",NA,NA,13,13,NA,NA,"cauc","afam",NA,NA,"11","11",NA,NA,"26","26"
"2121","female","cauc",1979 Q3,NA,NA,NA,"regular+aide",NA,NA,NA,608,NA,NA,NA,672,NA,NA,NA,"non-free",NA,NA,NA,"rural",NA,NA,NA,"master",NA,NA,NA,"level1",NA,NA,NA,36,NA,NA,NA,"cauc",NA,NA,NA,"38",NA,NA,NA,"74"
"2137","male","cauc",1980 Q3,"small","regular","regular","regular",418,475,526,577,439,497,522,585,"non-free","free","free","free","rural","rural","rural","rural","bachelor","bachelor","bachelor","master","level1","notladder","notladder","level1",8,12,13,8,"cauc","cauc","cauc","cauc","21","21","21","21","49","50","50","50"
"2161","female","afam",1980 Q1,"regular",NA,NA,NA,422,NA,NA,NA,434,NA,NA,NA,"free",NA,NA,NA,"rural",NA,NA,NA,"master",NA,NA,NA,"level1",NA,NA,NA,15,NA,NA,NA,"cauc",NA,NA,NA,"5",NA,NA,NA,"7",NA,NA,NA
"2169","male","afam",1980 Q3,NA,"regular","regular",NA,NA,460,515,NA,NA,493,525,NA,NA,"non-free","non-free",NA,NA,"suburban","suburban",NA,NA,"bachelor","bachelor",NA,NA,"apprentice","level3",NA,NA,2,22,NA,NA,"cauc","cauc",NA,NA,"11","11",NA,NA,"23","23",NA
"2193","female","afam",1980 Q1,"small","small","small","small",414,509,588,590,434,497,517,582,"free","free","non-free","non-free","rural","rural","rural","rural","bachelor","bachelor","bachelor","master","level1","level1","level1","level1",8,7,15,13,"cauc","cauc","cauc","cauc","4","4","4","4","5","5","5","5"
"2205","male","afam",1980 Q2,NA,"regular+aide",NA,NA,NA,466,NA,NA,NA,493,NA,NA,NA,"free",NA,NA,NA,"inner-city",NA,NA,NA,"bachelor",NA,NA,NA,"apprentice",NA,NA,NA,1,NA,NA,NA,"afam",NA,NA,NA,"11",NA,NA,NA,"29",NA,NA
"2219","male","cauc",1980 Q3,NA,NA,"regular+aide","regular+aide",NA,NA,NA,572,NA,NA,NA,599,NA,NA,"non-free","free",NA,NA,"urban","urban",NA,NA,"master","master",NA,NA,"level1","level1",NA,NA,19,16,NA,NA,"cauc","cauc",NA,NA,"6","6",NA,NA,"9","9"
"2231","male","afam",1979 Q4,"regular+aide","regular",NA,NA,433,454,NA,NA,454,458,NA,NA,"free","free",NA,NA,"urban","urban",NA,NA,"bachelor","bachelor",NA,NA,NA,"apprentice",NA,NA,11,1,NA,NA,"cauc","cauc",NA,NA,"13","13",NA,NA,"37","37",NA,NA
"2257","male","cauc",1979 Q1,NA,"small",NA,NA,NA,544,NA,NA,NA,572,NA,NA,NA,"non-free",NA,NA,NA,"rural",NA,NA,NA,"bachelor",NA,NA,NA,"notladder",NA,NA,NA,6,NA,NA,NA,"cauc",NA,NA,NA,"21",NA,NA,NA,"50",NA,NA
"2267","female","afam",1980 Q3,NA,NA,NA,"regular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"free",NA,NA,NA,"suburban",NA,NA,NA,"bachelor",NA,NA,NA,"level1",NA,NA,NA,8,NA,NA,NA,"afam",NA,NA,NA,"11",NA,NA,NA,"25"
"2288","female","afam",1980 Q1,NA,"regular",NA,NA,NA,519,NA,NA,NA,523,NA,NA,NA,"free",NA,NA,NA,"rural",NA,NA,NA,"bachelor",NA,NA,NA,"level1",NA,NA,NA,5,NA,NA,NA,"cauc",NA,NA,NA,"34",NA,NA,NA,"68",NA,NA
"2299","male","afam",1979 Q3,NA,NA,"regular+aide",NA,NA,NA,503,NA,NA,NA,515,NA,NA,NA,"free",NA,NA,NA,"inner-city",NA,NA,NA,"master",NA,NA,NA,"level3",NA,NA,NA,16,NA,NA,NA,"cauc",NA,NA,NA,"11",NA,NA,NA,"16",NA
"2321","female","cauc",1980 Q1,"regular","small","small",NA,450,NA,NA,NA,484,510,NA,NA,"non-free","non-free","non-free",NA,"rural","rural","rural",NA,"bachelor","master","master",NA,"level1","level1","level3",NA,10,12,14,NA,"cauc","cauc","cauc",NA,"35","35","35",NA,"70","70","70",NA
"2336","female","cauc",1980 Q1,"small","small","small","small",458,521,596,606,559,542,572,582,"free","free","free","free","rural","rural","rural","rural","bachelor","bachelor","bachelor","bachelor","level1","notladder","level1","level1",4,27,10,4,"cauc","cauc","cauc","cauc","16","16","16","16","40","40","40","40"
"2350","female","cauc",1980 Q2,"small","small","small","small",445,553,579,624,459,526,557,589,"non-free","free","free","free","urban","urban","urban","urban","master","bachelor","bachelor","bachelor","level1","level1","level1","level1",7,18,22,8,"cauc","cauc","cauc","cauc","6","6","6","6","9","9","9","9"
"2358","female","cauc",1979 Q4,NA,NA,"small","small",NA,NA,577,629,NA,NA,545,599,NA,NA,"free","free",NA,NA,"urban","urban",NA,NA,"master","bachelor",NA,NA,"apprentice","level1",NA,NA,23,9,NA,NA,"cauc","cauc",NA,NA,"6","6",NA,NA,"9","9"
"2384","male","cauc",1980 Q1,"small","small",NA,NA,439,451,NA,NA,506,538,NA,NA,"non-free","free",NA,NA,"urban","urban",NA,NA,"master","master",NA,NA,"level1","level1",NA,NA,17,14,NA,NA,"cauc","cauc",NA,NA,"20","20",NA,NA,"48","48",NA,NA
"2393","male","cauc",1979 Q3,"small","small","small","small",476,564,637,686,576,601,620,700,"non-free","non-free","non-free","non-free","urban","urban","urban","urban","master+","master","master","bachelor","level1","level1","level1","level1",12,15,14,36,"cauc","cauc","cauc","cauc","7","7","7","7","10","10","10","10"
"2406","male","afam",1979 Q4,NA,"regular","regular","regular",NA,530,555,675,NA,567,615,608,NA,"free","free","free",NA,"inner-city","inner-city","inner-city",NA,"bachelor","bachelor","bachelor",NA,"probation","apprentice","apprentice",NA,0,1,3,NA,"afam","cauc","cauc",NA,"18","18","18",NA,"45","45","45"
"2430","female","cauc",1980 Q2,NA,"small",NA,NA,NA,590,NA,NA,NA,592,NA,NA,NA,"non-free",NA,NA,NA,"rural",NA,NA,NA,"master",NA,NA,NA,"apprentice",NA,NA,NA,1,NA,NA,NA,"cauc",NA,NA,NA,"31",NA,NA,NA,"64",NA,NA
"2439","female","cauc",1980 Q4,"regular","regular","regular","regular",467,604,659,686,484,567,626,663,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","master","bachelor","bachelor","master","level1","apprentice","probation","level1",4,2,2,13,"cauc","cauc","cauc","cauc","42","42","42","42","80","80","80","80"
"2454","male","cauc",1979 Q4,NA,NA,NA,"regular",NA,NA,NA,606,NA,NA,NA,591,NA,NA,NA,"non-free",NA,NA,NA,"rural",NA,NA,NA,"bachelor",NA,NA,NA,"level1",NA,NA,NA,9,NA,NA,NA,"cauc",NA,NA,NA,"30",NA,NA,NA,"63"
"2475","male","cauc",1980 Q3,NA,NA,NA,"regular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-free",NA,NA,NA,"urban",NA,NA,NA,"master",NA,NA,NA,"level1",NA,NA,NA,7,NA,NA,NA,"cauc",NA,NA,NA,"26",NA,NA,NA,"59"
"2486","female","afam",1979 Q4,"regular+aide","regular+aide","regular+aide","regular+aide",416,454,NA,624,434,510,NA,601,"free","free","free","free","inner-city","inner-city","inner-city","inner-city","master","bachelor","master","master","level1","apprentice","notladder","notladder",10,5,13,3,"afam","cauc","cauc","afam","11","11","11","11","28","28","28","28"
"2508","male","cauc",1980 Q2,"small",NA,NA,"small",480,NA,NA,657,528,NA,NA,663,"non-free",NA,NA,"non-free","suburban",NA,NA,"suburban","bachelor",NA,NA,"bachelor","probation",NA,NA,"level1",0,NA,NA,5,"cauc",NA,NA,"cauc","18",NA,NA,"18","43",NA,NA,"43"
"2518","female","cauc",1979 Q4,NA,NA,"regular+aide",NA,NA,NA,618,NA,NA,NA,639,NA,NA,NA,"free",NA,NA,NA,"rural",NA,NA,NA,"master",NA,NA,NA,"level1",NA,NA,NA,15,NA,NA,NA,"cauc",NA,NA,NA,"40",NA,NA,NA,"77",NA
