"","deny","pirat","hirat","lvrat","chist","mhist","phist","unemp","selfemp","insurance","condomin","afam","single","hschool"
"32","no",0.37,0.2,0.714285714285714,"5","1","no",4.30000019073486,"no","no","no","no","no","yes"
"33","no",0.35,0.26,0.751219512195122,"3","2","no",3.59999990463257,"no","no","no","no","yes","yes"
"34","no",0.37,0.26,0.902127659574468,"1","2","no",2,"no","no","no","no","yes","yes"
"35","no",0.34,0.28,0.847058823529412,"1","2","no",4.30000019073486,"no","no","no","no","no","yes"
"36","no",0.38,0.28,0.473684210526316,"1","2","no",3.90000009536743,"no","no","yes","no","no","yes"
"37","no",0.44,0.31,0.68796992481203,"1","1","no",3.09999990463257,"no","no","no","no","no","yes"
"38","no",0.35,0.22,0.897810218978102,"2","1","no",4.30000019073486,"no","no","no","yes","no","yes"
"39","no",0.38,0.28,0.880851063829787,"1","2","no",3.09999990463257,"no","no","no","no","no","yes"
"40","no",0.37,0.34,0.919753086419753,"1","2","no",3.09999990463257,"no","no","no","no","yes","yes"
"41","no",0.37,0.28,0.936363636363636,"1","2","no",3.90000009536743,"no","no","no","no","no","yes"
"42","no",0.41,0.1,0.642857142857143,"1","1","no",2,"no","no","yes","no","no","yes"
"43","yes",0.35,0.34,1.47826086956522,"1","2","no",3.20000004768372,"no","yes","no","no","no","yes"
"44","yes",0.41,0.3,0.72,"3","4","no",3.20000004768372,"no","no","no","no","no","yes"
"45","no",0.34,0.28,0.677966101694915,"6","2","yes",3.09999990463257,"no","no","no","no","yes","yes"
"46","no",0.29,0.19,0.9,"2","2","no",3.20000004768372,"no","no","no","no","no","yes"
"47","yes",0.27,0.26,0.8,"6","2","yes",3.20000004768372,"no","no","no","no","no","yes"
"48","no",0.37,0.27,0.853846153846154,"1","2","no",3.20000004768372,"no","no","no","yes","yes","yes"
"49","yes",0.34,0.3,0.741935483870968,"1","2","no",3.90000009536743,"yes","no","no","no","no","yes"
"50","no",0.36,0.15,0.675675675675676,"2","1","no",3.09999990463257,"no","no","no","no","yes","yes"
"51","no",0.34,0.32,0.64367816091954,"5","3","no",3.20000004768372,"no","no","no","no","yes","yes"
"52","no",0.27,0.21,0.941176470588235,"1","2","no",2,"no","no","no","no","no","yes"
"53","no",0.16,0.08,0.732484076433121,"1","1","no",3.20000004768372,"no","no","no","no","yes","yes"
"54","no",0.39,0.28,0.91358024691358,"1","2","no",3.09999990463257,"no","no","no","no","yes","yes"
"55","no",0.36,0.26,0.207142857142857,"5","2","no",3.20000004768372,"no","no","no","no","no","yes"
"56","no",0.313999996185303,0.265,0.934426229508197,"1","2","yes",3.20000004768372,"no","no","no","no","no","yes"
"57","no",0.34,0.28,0.903448275862069,"1","2","yes",3.90000009536743,"no","no","no","no","no","yes"
"58","no",0.332000007629395,0.281000003814697,0.902439024390244,"2","2","no",10.6000003814697,"no","no","no","no","yes","yes"
"59","no",0.33,0.33,0.636942675159236,"1","1","no",4.30000019073486,"yes","no","no","no","yes","yes"
"60","no",0.399000015258789,0.272000007629395,0.769230769230769,"1","2","no",10.6000003814697,"no","no","yes","no","yes","yes"
"61","no",0.342000007629395,0.322000007629395,0.75,"1","2","no",3.20000004768372,"no","no","no","no","no","yes"
"62","no",0.375999984741211,0.277999992370605,0.8,"2","1","no",3.20000004768372,"no","no","yes","no","yes","yes"
"63","no",0.320999984741211,0.251000003814697,0.888888888888889,"1","2","no",4.30000019073486,"no","no","yes","no","no","yes"
"64","no",0.278999996185303,0.207999992370605,0.75187969924812,"1","2","no",5.30000019073486,"no","no","no","no","no","yes"
"65","no",0.317000007629395,0.246000003814697,0.894039735099338,"2","2","no",3.20000004768372,"no","no","no","no","no","yes"
"66","no",0.285,0.26,0.65,"1","2","no",3.90000009536743,"yes","no","no","yes","no","yes"
"67","no",0.365,0.24,0.940397350993378,"2","2","no",3.09999990463257,"no","no","no","no","no","yes"
"68","no",0.337000007629395,0.313999996185303,0.425531914893617,"4","1","no",3.20000004768372,"no","no","no","no","no","yes"
"69","no",0.35,0.27,0.678571428571429,"1","1","no",3.20000004768372,"no","no","yes","no","yes","yes"
"70","no",0.352000007629395,0.288999996185303,0.884615384615385,"2","2","no",3.20000004768372,"no","no","yes","no","yes","yes"
"71","no",0.35,0.28,0.939189189189189,"1","1","no",3.20000004768372,"no","no","no","no","no","yes"
"72","no",0.344000015258789,0.251000003814697,0.902439024390244,"1","2","no",3.09999990463257,"no","no","no","no","no","yes"
"73","no",0.28,0.28,0.738255033557047,"1","2","no",3.20000004768372,"no","no","no","no","yes","yes"
"74","no",0.377999992370605,0.225,0.899470899470899,"2","2","no",4.30000019073486,"no","no","no","no","no","yes"
"75","no",0.257999992370605,0.193999996185303,0.677966101694915,"2","2","no",5.30000019073486,"no","no","no","no","no","yes"
"76","no",0.217999992370605,0.0819999980926514,0.802197802197802,"2","1","no",10.6000003814697,"yes","no","no","no","no","yes"
"77","no",0.23,0.17,0.553072625698324,"1","1","no",3.09999990463257,"no","no","no","no","no","yes"
"78","no",0.285,0.285,0.651567944250871,"1","2","no",3.20000004768372,"no","no","no","no","no","yes"
"79","yes",0.265,0.265,0.835164835164835,"2","2","yes",4.30000019073486,"no","yes","no","no","no","yes"
"80","no",0.36,0.24,0.784313725490196,"1","4","no",5.30000019073486,"no","no","yes","no","yes","yes"
"81","no",0.272000007629395,0.27,0.666666666666667,"1","1","no",2,"no","no","no","no","no","yes"
"82","no",0.36,0.22,0.801136363636364,"2","1","no",3.20000004768372,"yes","no","yes","no","yes","yes"
"83","yes",0.31,0.31,0.882352941176471,"4","2","no",3.20000004768372,"no","no","no","yes","no","yes"
"84","yes",0.359000015258789,0.288999996185303,0.902985074626866,"2","2","no",4.30000019073486,"no","no","no","no","yes","yes"
"85","no",0.397000007629395,0.243999996185303,0.660377358490566,"2","1","no",3.20000004768372,"no","no","no","no","no","yes"
"86","no",0.34,0.26,0.746753246753247,"2","1","no",10.6000003814697,"yes","no","no","no","no","yes"
"87","yes",0.218999996185303,0.212999992370605,0.767676767676768,"2","2","no",4.30000019073486,"no","no","no","yes","no","yes"
"88","no",0.32,0.32,0.85,"1","2","no",4.30000019073486,"no","no","no","no","yes","yes"
"89","no",0.32,0.24,0.948148148148148,"1","2","no",4.30000019073486,"no","no","no","no","no","yes"
"90","no",0.28,0.28,0.434782608695652,"1","2","no",2,"no","no","no","no","yes","yes"
"91","yes",0.387999992370605,0.32,0.888111888111888,"3","2","no",2,"no","no","no","yes","no","yes"
"92","no",0.25,0.18,0.782608695652174,"1","2","no",3.20000004768372,"no","no","yes","no","yes","yes"
"93","no",0.34,0.25,0.8,"1","1","no",10.6000003814697,"no","no","no","no","no","yes"
"94","no",0.32,0.22,0.730593607305936,"2","2","no",3.20000004768372,"no","no","no","no","yes","yes"
"95","no",0.312000007629395,0.256000003814697,0.792207792207792,"1","2","no",1.79999995231628,"yes","no","no","no","no","yes"
"96","no",0.33,0.31,0.580246913580247,"1","2","no",4.30000019073486,"no","no","yes","no","yes","yes"
"97","no",0.32,0.31,0.636363636363636,"2","2","no",3.20000004768372,"no","no","no","no","no","yes"
"98","no",0.38,0.3,0.876470588235294,"2","1","no",10.6000003814697,"no","no","no","no","no","yes"
"99","no",0.32,0.2,0.796992481203007,"1","2","no",2,"no","no","no","no","no","yes"
"100","no",0.23,0.22,0.922222222222222,"1","2","no",4.30000019073486,"no","no","no","no","no","yes"
"101","no",0.27,0.27,0.751269035532995,"2","2","no",4.30000019073486,"no","no","no","no","no","yes"
"102","no",0.313999996185303,0.313999996185303,0.666666666666667,"5","1","no",1.79999995231628,"no","no","no","no","yes","yes"
"103","no",0.35,0.23,0.851851851851852,"3","2","no",3.90000009536743,"no","no","no","no","yes","yes"
"104","no",0.32,0.27,0.743362831858407,"2","2","no",3.20000004768372,"yes","no","no","no","yes","yes"
"105","no",0.357999992370605,0.101999998092651,0.8,"1","1","no",3.90000009536743,"no","no","no","no","no","yes"
"106","yes",0.35,0.33,0.9296875,"1","2","no",3.90000009536743,"no","yes","no","no","yes","yes"
"107","no",0.34,0.24,0.922535211267606,"3","2","no",3.09999990463257,"no","no","no","no","no","yes"
"108","no",0.31,0.22,0.8,"2","2","no",10.6000003814697,"yes","no","no","no","yes","yes"
"109","no",0.29,0.21,0.703225806451613,"3","3","no",3.09999990463257,"no","no","no","no","no","yes"
"110","yes",0.61,0.39,0.555555555555556,"1","2","no",10.6000003814697,"no","no","no","no","no","yes"
"111","no",0.262999992370605,0.226000003814697,0.625407166123778,"1","1","no",3.20000004768372,"no","no","no","no","no","yes"
"112","no",0.262000007629395,0.257999992370605,0.687022900763359,"2","2","no",4.30000019073486,"no","no","no","no","yes","yes"
"113","no",0.36,0.288999996185303,0.7875,"1","2","no",3.20000004768372,"no","no","no","no","no","yes"
"114","yes",0.46,0.31,1.10555555555556,"2","1","no",4.30000019073486,"yes","no","no","no","yes","yes"
"115","no",0.305,0.217999992370605,0.666666666666667,"1","2","no",3.20000004768372,"no","no","no","no","no","yes"
"116","no",0.384000015258789,0.28,0.506666666666667,"2","2","no",3.90000009536743,"no","no","no","no","yes","yes"
"117","no",0.263999996185303,0.215,0.788177339901478,"1","2","no",10.6000003814697,"yes","no","no","no","no","yes"
"118","no",0.33,0.308999996185303,0.302325581395349,"1","1","no",3.20000004768372,"no","no","no","no","no","yes"
"119","yes",0.47,0.31,0.89261744966443,"3","2","no",3.20000004768372,"yes","no","no","yes","yes","yes"
"120","no",0.19,0.18,0.738888888888889,"1","2","no",1.79999995231628,"no","no","no","no","no","yes"
"121","no",0.3,0.3,0.894736842105263,"4","2","no",4.30000019073486,"no","no","no","no","yes","yes"
"122","no",0.36,0.26,0.738636363636364,"1","1","no",3.90000009536743,"no","no","no","no","no","yes"
"123","no",0.33,0.26,0.7,"1","2","no",3.90000009536743,"no","no","no","no","yes","yes"
"124","no",0.23,0.23,0.736842105263158,"1","2","no",3.09999990463257,"no","no","yes","no","yes","yes"
"125","no",0.41,0.34,0.8,"3","1","no",3.20000004768372,"no","no","no","no","no","yes"
"126","no",0.36,0.3,0.950617283950617,"2","2","no",1.79999995231628,"no","no","no","no","no","yes"
"127","yes",0.41,0.33,0.694594594594595,"1","2","no",1.79999995231628,"no","no","no","no","no","yes"
"128","no",0.33,0.33,0.681818181818182,"1","2","no",5.30000019073486,"no","no","no","no","no","yes"
"129","yes",0.29,0.29,0.571428571428571,"6","2","yes",1.79999995231628,"no","no","yes","no","yes","yes"
"130","no",0.41,0.28,0.786786786786787,"1","1","no",3.09999990463257,"no","no","no","no","no","yes"
"131","no",0.33,0.28,0.897872340425532,"1","2","no",3.59999990463257,"no","no","no","no","no","yes"
"132","no",0.23,0.19,0.889175257731959,"1","1","no",3.20000004768372,"no","no","no","no","no","yes"
"133","no",0.39,0.34,0.717037037037037,"1","1","no",3.20000004768372,"yes","no","no","no","no","yes"
"134","no",0.39,0.15,0.798469387755102,"5","1","no",3.20000004768372,"yes","no","no","no","no","yes"
"135","no",0.27,0.24,0.8,"1","1","no",3.20000004768372,"no","no","no","no","no","yes"
"136","no",0.384000015258789,0.141999998092651,0.8,"1","1","no",4.30000019073486,"yes","no","yes","no","yes","yes"
"137","no",0.382000007629395,0.277000007629395,0.804123711340206,"6","2","no",3.90000009536743,"no","no","yes","yes","yes","yes"
"138","no",0.37,0.261000003814697,0.58130081300813,"1","2","no",3.20000004768372,"no","no","no","no","no","yes"
"139","no",0.325,0.322999992370605,0.781914893617021,"4","2","no",3.20000004768372,"no","no","yes","no","yes","yes"
"140","no",0.397999992370605,0.357999992370605,0.642857142857143,"1","1","no",3.20000004768372,"no","no","no","no","yes","yes"
"141","no",0.395,0.306000003814697,0.8,"2","2","no",3.20000004768372,"no","no","yes","no","yes","yes"
"142","no",0.407000007629395,0.337000007629395,0.748936170212766,"1","2","no",3.20000004768372,"no","no","yes","no","yes","yes"
"143","no",0.301000003814697,0.198999996185303,0.779069767441861,"1","2","no",1.79999995231628,"no","no","yes","no","yes","yes"
"144","no",0.365,0.317999992370605,0.9,"1","2","no",3.20000004768372,"no","no","no","no","yes","yes"
"145","no",0.266000003814697,0.257000007629395,0.797752808988764,"1","2","no",3.20000004768372,"no","no","yes","no","yes","yes"
"146","no",0.267999992370605,0.242000007629395,0.894736842105263,"1","2","no",3.20000004768372,"no","no","yes","no","no","yes"
"147","no",0.268999996185303,0.226000003814697,0.798780487804878,"1","2","no",3.90000009536743,"no","no","yes","no","no","yes"
"148","no",0.409000015258789,0.315,0.88785046728972,"6","2","no",3.20000004768372,"no","no","no","yes","yes","yes"
"149","no",0.307999992370605,0.28,0.581395348837209,"6","2","no",3.20000004768372,"no","no","no","no","no","yes"
"150","no",0.311000003814697,0.311000003814697,0.666666666666667,"5","2","no",3.20000004768372,"no","no","yes","no","yes","yes"
"151","no",0.36,0.3,0.862745098039216,"1","2","no",1.79999995231628,"no","no","yes","yes","no","yes"
"152","no",0.39,0.31,0.813333333333333,"2","2","no",3.20000004768372,"no","no","no","no","no","yes"
"153","no",0.32,0.32,0.732307692307692,"1","2","no",3.20000004768372,"no","no","no","no","no","yes"
"154","no",0.18,0.16,0.314814814814815,"1","2","no",5.30000019073486,"no","no","no","no","no","yes"
"155","no",0.34,0.27,0.379807692307692,"6","2","no",1.79999995231628,"no","no","no","no","no","yes"
"156","no",0.327999992370605,0.327999992370605,0.868965517241379,"1","2","no",3.09999990463257,"no","no","yes","yes","yes","yes"
"157","yes",0.383800010681152,0.289400005340576,0.987951807228916,"6","2","no",3.20000004768372,"no","no","yes","yes","yes","yes"
"158","no",0.337999992370605,0.252999992370605,0.9,"6","2","no",3.20000004768372,"no","no","yes","yes","no","yes"
"159","no",0.281000003814697,0.271000003814697,0.4675,"1","2","no",3.20000004768372,"no","no","no","no","no","yes"
"160","yes",0.392299995422363,0.333800010681152,0.902255639097744,"6","2","yes",4.30000019073486,"no","no","yes","yes","yes","yes"
"161","no",0.362999992370605,0.208999996185303,0.471380471380471,"1","1","no",3.20000004768372,"no","no","no","no","no","yes"
"162","no",0.245799999237061,0.230799999237061,0.311111111111111,"1","1","no",2,"no","no","no","no","no","yes"
"163","no",0.382099990844727,0.330900001525879,0.797297297297297,"1","2","no",3.20000004768372,"no","no","no","no","no","yes"
"164","no",0.32,0.28,0.65,"1","1","no",2,"no","no","no","no","no","yes"
"165","no",0.286000003814697,0.255,0.65,"5","2","no",2,"no","no","yes","yes","no","yes"
"166","no",0.266000003814697,0.21,0.555555555555556,"2","1","no",1.79999995231628,"no","no","no","no","yes","yes"
"167","no",0.315,0.287000007629395,0.901315789473684,"1","1","no",3.20000004768372,"no","no","no","yes","no","yes"
"168","no",0.304699993133545,0.238999996185303,0.478260869565217,"1","2","no",3.59999990463257,"no","no","no","yes","yes","yes"
"169","no",0.337999992370605,0.292000007629395,0.902857142857143,"1","2","no",3.20000004768372,"no","no","no","no","yes","yes"
"170","no",0.365999984741211,0.272999992370605,0.651785714285714,"1","2","no",3.20000004768372,"no","no","yes","no","yes","yes"
"171","no",0.370999984741211,0.245,0.593220338983051,"1","2","no",3.20000004768372,"yes","no","yes","yes","no","yes"
"172","no",0.380999984741211,0.318999996185303,0.315581854043393,"1","2","no",3.59999990463257,"no","no","no","no","no","yes"
"173","no",0.35,0.31,0.898550724637681,"1","2","no",3.90000009536743,"no","no","yes","yes","yes","yes"
"174","no",0.34,0.29,0.952380952380952,"2","2","no",5.30000019073486,"no","no","no","yes","no","yes"
"175","no",0.265200004577637,0.2125,0.891089108910891,"6","2","no",3.59999990463257,"no","no","no","no","no","yes"
"176","no",0.35,0.26,0.9,"2","2","no",3.20000004768372,"no","no","no","no","yes","yes"
"177","yes",0.39,0.26,0.902255639097744,"6","2","no",3.20000004768372,"no","no","yes","yes","yes","yes"
"178","yes",0.39,0.24,0.779661016949153,"2","2","no",4.30000019073486,"yes","no","no","no","yes","yes"
"179","no",0.3,0.17,0.402173913043478,"1","1","no",3.09999990463257,"no","no","no","no","no","yes"
"180","no",0.29,0.29,0.709090909090909,"1","1","no",1.79999995231628,"no","no","no","no","no","yes"
"181","no",0.35,0.34,0.801484230055659,"1","2","no",3.59999990463257,"no","no","yes","no","no","yes"
"182","no",0.39,0.27,0.833333333333333,"1","1","no",2,"no","no","no","no","yes","yes"
"183","no",0.36,0.28,0.903703703703704,"6","2","no",3.90000009536743,"no","no","no","yes","yes","yes"
"184","no",0.26,0.26,0.736111111111111,"1","1","no",1.79999995231628,"no","no","yes","no","yes","yes"
"185","no",0.36,0.23,0.7421875,"1","1","no",3.20000004768372,"no","no","yes","no","yes","yes"
"186","no",0.27,0.22,0.774011299435028,"1","2","no",3.90000009536743,"no","no","no","no","no","yes"
"187","no",0.357000007629395,0.2,0.8,"5","2","no",3.09999990463257,"no","no","yes","no","yes","yes"
"188","no",0.3,0.197000007629395,0.883495145631068,"1","2","no",3.09999990463257,"no","no","yes","yes","no","yes"
"189","no",0.39,0.29,0.905660377358491,"1","2","no",2,"no","no","yes","yes","no","yes"
"190","no",0.31,0.3,0.897959183673469,"1","2","no",1.79999995231628,"no","no","no","no","no","yes"
"191","yes",0.43,0.21,0.5625,"2","1","no",3.20000004768372,"yes","no","yes","no","no","yes"
"192","yes",0.4,0.26,0.531468531468531,"6","2","yes",3.20000004768372,"no","yes","no","yes","no","yes"
"193","no",0.34,0.23,0.883928571428571,"6","2","no",3.09999990463257,"no","no","no","yes","yes","yes"
"194","yes",0.405999984741211,0.405999984741211,0.898305084745763,"4","2","no",3.59999990463257,"yes","no","no","no","no","yes"
"195","yes",0.23,0.13,0.338164251207729,"1","2","no",3.59999990463257,"no","no","no","no","no","yes"
"196","yes",0.73,0.37,0.456273764258555,"1","1","no",3.20000004768372,"yes","no","no","no","yes","yes"
"197","no",0.38,0.35,0.577235772357724,"1","2","no",2,"no","no","yes","yes","yes","yes"
"198","no",0.382999992370605,0.360900001525879,0.608,"1","2","no",3.09999990463257,"no","no","yes","yes","yes","yes"
"199","no",0.32,0.221000003814697,0.897196261682243,"1","2","no",10.6000003814697,"no","no","yes","no","no","no"
"200","no",0.292999992370605,0.25,0.852173913043478,"1","2","no",3.90000009536743,"no","no","no","no","no","yes"
"201","no",0.240300006866455,0.235,0.256410256410256,"1","2","no",1.79999995231628,"no","no","yes","no","yes","yes"
"202","no",0.193999996185303,0.115,0.727777777777778,"2","2","no",3.20000004768372,"no","no","yes","no","yes","yes"
"203","no",0.293999996185303,0.258999996185303,0.573770491803279,"6","2","no",1.79999995231628,"no","no","yes","yes","yes","yes"
"204","no",0.382000007629395,0.268999996185303,0.608,"2","2","no",3.20000004768372,"no","no","yes","yes","yes","yes"
"205","no",0.379799995422363,0.279599990844727,0.608,"6","2","no",3.20000004768372,"yes","no","yes","yes","yes","yes"
"206","no",0.335900001525879,0.219400005340576,0.809859154929577,"1","2","no",3.20000004768372,"no","no","no","yes","no","yes"
"207","no",0.390299987792969,0.277199993133545,0.608,"6","2","no",3.90000009536743,"no","no","yes","yes","yes","yes"
"208","no",0.392799987792969,0.303799991607666,0.8,"6","2","no",3.90000009536743,"no","no","yes","yes","yes","yes"
"209","no",0.28,0.28,0.826086956521739,"5","2","no",3.59999990463257,"no","no","no","no","no","yes"
"210","no",0.31,0.26,0.896825396825397,"1","2","no",3.59999990463257,"no","no","no","no","no","yes"
"211","no",0.384099998474121,0.209099998474121,0.8,"1","2","no",3.59999990463257,"yes","no","yes","no","yes","yes"
"212","no",0.334000015258789,0.286000003814697,0.889655172413793,"1","2","no",3.90000009536743,"no","no","no","yes","yes","yes"
"213","no",0.29,0.26,0.89247311827957,"1","2","no",3.90000009536743,"no","no","yes","yes","yes","yes"
"214","no",0.330900001525879,0.300499992370605,0.745762711864407,"1","2","no",1.79999995231628,"no","no","yes","no","yes","yes"
"215","no",0.33689998626709,0.321399993896484,0.933333333333333,"1","2","no",2,"no","no","no","yes","yes","yes"
"216","no",0.342299995422363,0.313999996185303,0.861244019138756,"1","2","no",10.6000003814697,"no","no","no","no","no","no"
"217","yes",0.302700004577637,0.257700004577637,0.954545454545455,"5","2","no",3.90000009536743,"no","no","no","yes","yes","yes"
"218","no",0.319099998474121,0.265200004577637,0.792452830188679,"1","2","no",3.09999990463257,"no","no","yes","no","no","yes"
"219","no",0.246299991607666,0.211000003814697,0.688073394495413,"1","2","no",4.30000019073486,"no","no","yes","no","no","yes"
"220","no",0.286000003814697,0.252700004577637,0.753488372093023,"2","2","no",10.6000003814697,"yes","no","no","no","no","yes"
"221","no",0.27,0.27,0.797872340425532,"6","2","no",3.20000004768372,"no","no","no","no","yes","yes"
"222","no",0.282000007629395,0.251200008392334,0.9,"2","2","no",4.30000019073486,"yes","no","no","no","yes","yes"
"223","no",0.32439998626709,0.291800003051758,0.564796905222437,"1","1","no",1.79999995231628,"yes","no","yes","no","yes","yes"
"224","no",0.347999992370605,0.188899993896484,0.737967914438503,"2","2","no",3.90000009536743,"yes","no","no","no","no","yes"
"225","no",0.296000003814697,0.296000003814697,0.479233226837061,"4","2","no",1.79999995231628,"no","no","yes","no","yes","yes"
"226","no",0.319799995422363,0.262700004577637,0.532258064516129,"5","1","no",3.20000004768372,"no","no","no","no","no","no"
"227","no",0.400099983215332,0.278799991607666,0.407843137254902,"1","2","no",3.20000004768372,"yes","no","no","no","yes","yes"
"228","no",0.276299991607666,0.254400005340576,0.748502994011976,"2","2","no",2,"no","no","no","no","no","yes"
"229","no",0.352400016784668,0.289899997711182,0.748091603053435,"2","2","no",3.90000009536743,"no","no","no","no","yes","yes"
"230","no",0.123800001144409,0.121800003051758,0.693069306930693,"1","2","no",1.79999995231628,"no","no","no","no","no","yes"
"231","no",0.34,0.27,1.90833333333333,"1","2","no",3.09999990463257,"no","no","yes","no","yes","yes"
"232","no",0.211599998474121,0.181800003051758,0.516129032258065,"1","2","no",10.6000003814697,"yes","no","no","no","no","yes"
"233","no",0.282600002288818,0.275200004577637,0.471177944862155,"1","1","no",1.79999995231628,"no","no","no","no","no","yes"
"234","no",0.288999996185303,0.284599990844727,0.740740740740741,"1","1","no",3.20000004768372,"no","no","no","no","no","yes"
"235","no",0.3,0.25,0.771276595744681,"5","1","no",10.6000003814697,"no","no","no","no","no","yes"
"236","no",0.36,0.28,0.735930735930736,"3","2","no",3.09999990463257,"no","no","no","no","no","yes"
"237","no",0.32,0.27,0.564102564102564,"1","1","no",3.90000009536743,"no","no","no","no","no","yes"
"238","yes",0.32,0.32,0.6875,"1","1","no",3.20000004768372,"no","no","no","no","no","yes"
"239","no",0.26,0.2,0.735714285714286,"5","1","no",3.20000004768372,"no","no","no","no","no","yes"
"240","no",0.26,0.21,0.707547169811321,"2","1","no",3.59999990463257,"no","no","no","no","no","yes"
"241","yes",0.32,0.26,0.794444444444444,"2","1","no",1.79999995231628,"yes","no","yes","no","yes","yes"
"242","no",0.42,0.33,0.8,"3","3","yes",3.20000004768372,"no","no","no","yes","yes","yes"
"243","no",0.34,0.33,0.643410852713178,"5","2","no",1.79999995231628,"no","no","yes","no","yes","yes"
"244","no",0.37,0.34,0.877551020408163,"1","2","no",3.09999990463257,"no","no","no","no","no","yes"
"245","no",0.29,0.28,0.592592592592593,"1","2","no",2,"no","no","no","no","yes","yes"
"246","no",0.35,0.31,0.72,"1","2","no",1.79999995231628,"no","no","no","no","yes","yes"
"247","no",0.4,0.27,0.8,"1","2","no",4.30000019073486,"no","no","yes","no","yes","yes"
"248","no",0.36,0.3,0.926315789473684,"1","2","no",3.20000004768372,"no","no","yes","no","yes","yes"
"249","no",0.38,0.27,0.704545454545455,"1","1","no",3.90000009536743,"no","no","no","no","no","yes"
"250","no",0.37,0.26,0.577777777777778,"1","1","no",2,"no","no","no","no","no","yes"
"251","no",0.41,0.23,0.705660377358491,"1","1","no",1.79999995231628,"no","no","no","no","yes","yes"
"252","no",0.32,0.31,0.277777777777778,"1","2","no",3.20000004768372,"no","no","yes","no","yes","yes"
"253","no",0.33,0.26,0.946236559139785,"1","2","no",4.30000019073486,"no","no","no","no","no","yes"
"254","no",0.33,0.26,0.817647058823529,"1","2","no",10.6000003814697,"no","no","no","no","no","yes"
"255","no",0.29,0.21,0.3125,"1","2","no",3.20000004768372,"no","no","no","no","yes","yes"
"256","no",0.37,0.11,0.340909090909091,"6","1","no",3.20000004768372,"yes","no","no","no","yes","yes"
"257","no",0.36,0.2,0.898809523809524,"6","2","yes",5.30000019073486,"no","no","no","no","yes","yes"
"258","no",0.37,0.3,0.764705882352941,"1","2","no",3.59999990463257,"no","no","no","no","no","yes"
