"","countries_and_areas","total_pop_2018","under18_pop_2018","under5_pop_2018","pop_growth_rate_2018","pop_growth_rate_2030","births_2018","fertility_2018","life_expectancy_1970","life_expectancy_2000","life_expectancy_2018","dependency_ratio_total","dependency_ratio_child","dependency_ratio_oldage","percent_urban_2018","pop_urban_growth_rate_2018","pop_urban_growth_rate_2030","migration_rate"
"43","Costa Rica",4999,1287,354,1.3,0.7,70,1.8,66,77,80,45,31,14,79,2.9,1.4,0.8
"44","Cote d'Ivoire",25069,12228,3973,2.3,2.5,898,4.6,44,50,57,81,76,5,51,3.2,3.4,-0.3
"45","Croatia",4156,723,189,-0.4,-0.6,37,1.4,68,75,78,54,22,31,57,0,0.1,-1.9
"46","Cuba",11338,2233,608,0.1,-0.1,115,1.6,70,77,79,46,24,22,77,0.2,0,-1.3
"47","Cyprus",1189,243,65,1.3,0.6,12,1.3,73,78,81,44,24,20,67,1.1,0.7,4.2
"48","Czechia",10666,1943,545,0.2,0.1,110,1.6,70,75,79,54,24,30,74,0.2,0.3,2.1
"49","Democratic People's Republic of Korea",25550,6309,1744,0.6,0.4,355,1.9,60,65,72,42,29,13,62,0.8,0.8,-0.2
"50","Democratic Republic of the Congo",84068,44282,15185,3.2,3,3468,5.9,44,50,60,97,91,6,44,4.5,4.2,0.3
"51","Denmark",5752,1149,293,0.4,0.4,61,1.8,73,77,81,57,26,31,88,0.6,0.5,2.6
"52","Djibouti",959,338,101,1.6,1.3,21,2.7,49,57,67,52,45,7,78,1.7,1.5,0.9
"53","Dominica",72,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,70,0.6,0.6,NA
"54","Dominican Republic",10627,3552,1009,1.3,0.9,207,2.3,58,69,74,54,43,11,81,2.8,1.5,-2.8
"55","Ecuador",17084,5724,1653,1.7,1.2,336,2.4,58,73,77,54,43,11,64,2,1.6,2.2
"56","Egypt",98424,38430,12972,2,1.7,2591,3.3,52,69,72,64,55,9,43,2,2.1,-0.4
"57","El Salvador",6421,2107,578,0.5,0.5,117,2,55,69,73,55,42,13,72,1.6,1.2,-6.3
"58","Equatorial Guinea",1309,556,191,4.3,3,44,4.5,40,53,58,65,61,4,72,6.4,3.6,12.4
"59","Eritrea",3453,1659,483,2.3,1.7,105,4.1,43,55,66,86,78,8,40,4.6,3.2,-11.6
"60","Estonia",1323,253,68,-0.3,-0.3,14,1.6,70,70,79,56,26,31,69,-0.4,0,3
"61","Eswatini",1136,510,143,0.7,1.1,30,3,48,47,59,73,66,7,24,0.9,2,-7.4
"62","Ethiopia",109224,52244,16339,2.8,2.4,3537,4.2,43,52,66,79,73,6,21,4.7,4.5,0.3
"63","Fiji",883,305,91,0.5,0.7,19,2.8,62,66,67,54,45,8,56,1.4,1.6,-7
"64","Finland",5523,1068,279,0.3,0.1,51,1.5,70,78,82,61,26,35,85,0.6,0.2,2.5
"65","France",64991,14005,3734,0.5,0.2,729,1.9,72,79,83,61,29,32,80,0.9,0.5,0.6
"66","Gabon",2119,898,311,3,2.2,67,4,47,58,66,68,62,6,89,3.7,2.5,1.6
"67","Gambia",2280,1159,393,3,2.7,88,5.2,38,56,62,88,83,5,61,4.4,3.7,-1.4
"68","Georgia",4003,922,279,-0.5,-0.3,54,2.1,67,70,74,53,30,23,59,0.1,0.4,-2.5
"69","Germany",83124,13774,3869,0.1,0,779,1.6,71,78,81,54,21,33,77,0.3,0.2,6.6
"70","Ghana",29767,13045,4104,2.4,2,876,3.9,49,57,64,69,63,5,56,3.8,3,-0.3
"71","Greece",10522,1796,427,-0.3,-0.5,81,1.3,71,79,82,56,22,34,79,0.2,-0.1,-1.5
"72","Grenada",111,31,9,0.4,0.3,2,2.1,66,73,72,50,35,14,36,0.5,0.9,-1.8
"73","Guatemala",17248,7106,2049,2.2,1.7,424,2.9,53,68,74,65,57,8,51,2.8,2.6,-0.5
"74","Guinea",12414,6331,2020,2.3,2.6,453,4.7,37,51,61,88,82,5,36,3.2,3.8,-0.3
"75","Guinea-Bissau",1874,915,298,2.5,2.3,66,4.5,41,50,58,82,77,5,43,3.5,3.2,-0.8
"76","Guyana",779,266,76,0.2,0.4,16,2.5,62,65,70,53,43,10,27,-0.2,1,-7.7
"77","Haiti",11123,4385,1269,1.5,1.1,271,2.9,46,57,64,62,54,8,55,4,2.5,-3.2
"78","Holy See",1,NA,NA,0.1,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,100,0.1,-0.1,NA
"79","Honduras",9588,3670,1003,2.1,1.5,207,2.5,53,71,75,57,50,7,57,3.4,2.5,-0.7
"80","Hungary",9708,1690,448,-0.3,-0.3,92,1.5,69,72,77,51,22,29,71,0.3,0.1,0.6
"81","Iceland",337,79,21,1,0.6,4,1.8,74,80,83,53,30,23,94,1.1,0.6,1.1
"82","India",1352642,441501,116379,1.4,0.9,24164,2.2,48,63,69,50,41,9,34,2.5,2.3,-0.4
"83","Indonesia",267671,85121,24350,1.3,0.9,4834,2.3,53,66,72,48,39,9,55,2.8,2,-0.4
"84","Iran (Islamic Republic of)",81800,23295,7442,1.2,1,1536,2.1,51,70,76,44,35,9,75,2.1,1.6,-0.7
"85","Iraq",38434,17211,5404,2.7,2.2,1115,3.7,58,69,70,72,66,6,70,2.9,2.6,0.2
"86","Ireland",4819,1212,329,1.3,0.7,62,1.8,71,77,82,54,33,21,63,1.7,1.2,4.9
"87","Israel",8382,2733,846,1.9,1.5,170,3,72,79,83,66,46,20,92,2,1.6,1.2
"88","Italy",60627,9797,2442,0.4,-0.2,457,1.3,72,80,83,56,21,36,70,0.6,0.2,2.5
"89","Jamaica",2935,845,236,0.6,0.3,47,2,68,74,74,48,35,13,56,1,1,-3.9
"90","Japan",127202,19591,5051,0,-0.4,947,1.4,72,81,84,67,21,46,92,0.8,-0.3,0.6
"91","Jordan",9965,4031,1116,3.7,0.6,216,2.8,60,72,74,62,55,6,91,4.5,0.8,1.1
"92","Kazakhstan",18320,5847,1964,1.1,1,384,2.7,63,63,73,56,44,12,57,1.3,1.4,-1
"93","Kenya",51393,23965,6993,2.6,2.1,1479,3.5,53,51,66,73,69,4,27,4.3,3.9,-0.2
"94","Kiribati",116,47,15,1.8,1.5,3,3.6,52,63,68,65,59,7,54,3,2.7,-6.9
"95","Kuwait",4137,1022,302,3.9,1.1,57,2.1,66,73,75,32,28,3,100,4,1.1,9.8
"96","Kyrgyzstan",6304,2335,788,1.4,1.4,155,3,60,66,71,58,51,7,36,1.5,2.4,-0.6
"97","Lao People's Democratic Republic",7061,2726,788,1.6,1.3,166,2.7,46,59,68,58,51,6,35,4.2,3,-2.1
"98","Latvia",1928,360,107,-1.2,-1,21,1.7,70,70,75,56,25,31,68,-1.2,-0.7,-7.6
"99","Lebanon",6859,2149,617,3.2,-0.8,117,2.1,66,75,79,49,39,10,89,3.4,-0.7,-4.5
"100","Lesotho",2108,822,252,0.2,0.8,56,3.1,51,48,54,60,52,8,28,2.2,2.4,-4.8
"101","Liberia",4819,2305,721,2.9,2.3,160,4.3,39,52,64,80,74,6,51,3.7,3.3,-1
"102","Libya",6679,2223,642,1.2,1.1,126,2.2,56,71,73,49,42,7,80,1.5,1.4,-0.3
"103","Liechtenstein",38,NA,NA,0.7,0.3,NA,NA,NA,NA,NA,NA,NA,NA,14,0.4,1,NA
"104","Lithuania",2801,495,149,-1.2,-1,29,1.7,71,71,76,53,23,30,68,-1.2,-0.6,-11.6
"105","Luxembourg",604,116,33,1.8,1.1,6,1.4,70,78,82,43,23,20,91,2.2,1.3,16.3
"106","Madagascar",26262,12455,3934,2.8,2.5,860,4.1,45,58,67,77,72,5,37,4.6,4.2,-0.1
"107","Malawi",18143,9228,2835,2.7,2.6,621,4.2,40,45,64,87,82,5,17,3.5,4.4,-0.9
"108","Malaysia",31528,9191,2606,1.7,1.1,528,2,65,73,76,44,35,10,76,2.8,1.7,1.6
"109","Maldives",516,120,37,3.4,0.1,7,1.9,44,70,79,31,26,5,40,5.4,1.1,22.8
"110","Mali",19078,10368,3460,3.1,2.9,795,5.9,32,48,59,100,95,5,42,5.3,4.5,-2.1
"111","Malta",439,75,22,0.6,0.2,4,1.5,71,79,82,53,22,31,95,0.7,0.2,2.1
"112","Marshall Islands",58,NA,NA,0.8,0.9,NA,NA,NA,NA,NA,NA,NA,NA,77,1.4,1.3,NA
"113","Mauritania",4403,2040,669,2.9,2.5,148,4.6,50,61,65,76,71,6,54,4.8,3.8,1.2
"114","Mauritius",1267,283,66,0.4,0,13,1.4,63,71,75,41,25,16,41,0.1,0.3,0
"115","Mexico",126191,40251,11139,1.4,0.9,2220,2.1,61,74,75,51,40,11,80,1.7,1.3,-0.5
"116","Micronesia (Federated States of)",113,43,12,0.3,1,3,3.1,59,65,68,56,49,6,23,0.4,1.8,-5.4
"117","Monaco",39,NA,NA,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,100,1,0.6,NA
"118","Mongolia",3170,1092,380,1.6,1.3,76,2.9,55,63,70,53,46,6,68,2.6,1.6,-0.3
"119","Montenegro",628,138,37,0.1,0,7,1.7,70,73,77,50,27,22,67,0.9,0.4,-0.8
"120","Montserrat",5,NA,NA,0.1,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,9,8.2,0.3,NA
"121","Morocco",36029,11581,3433,1.2,1.1,682,2.4,53,69,76,52,41,11,62,2.1,1.8,-1.4
"122","Mozambique",29496,15238,4944,2.8,2.8,1110,4.9,41,49,60,91,85,6,36,4,4.2,-0.2
"123","Myanmar",53708,17238,4518,0.8,0.7,943,2.2,49,60,67,47,39,9,31,1.5,1.8,-3.1
"124","Namibia",2448,1049,332,1.7,1.7,70,3.4,53,52,63,68,62,6,50,4.1,3.3,-2
"125","Nauru",11,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,100,0.2,0.2,NA
"126","Nepal",28096,10483,2719,0.9,1.4,563,1.9,41,62,70,57,48,9,20,3,3.5,1.5
"127","Netherlands",17060,3362,873,0.4,0.2,172,1.7,74,78,82,55,25,30,91,1.4,0.5,0.9
"128","New Zealand",4743,1112,301,1.1,0.7,60,1.9,71,78,82,55,30,24,87,1.2,0.8,3.2
"129","Nicaragua",6466,2316,664,1.4,1.1,133,2.4,54,70,74,55,47,8,59,1.7,1.6,-3.3
"130","Niger",22443,12732,4503,3.8,3.7,1037,6.9,36,50,62,111,105,5,16,3.9,4.7,0.2
"131","Nigeria",195875,98709,32917,2.6,2.5,7433,5.4,41,46,54,87,82,5,50,4.7,3.8,-0.3
"132","Niue",2,NA,NA,-0.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA,45,0.8,1.6,NA
"133","North Macedonia",2083,418,116,0.1,-0.1,23,1.5,66,73,76,43,24,20,58,0.1,0.5,-0.5
"134","Norway",5338,1127,301,0.9,0.8,59,1.7,74,79,82,53,27,26,82,1.4,1.2,5.3
"135","Oman",4829,1205,440,4.2,1.7,91,2.9,50,72,78,33,29,3,85,5.1,2.4,18.6
"136","Pakistan",212228,87938,27291,2.2,1.8,5999,3.5,53,63,67,66,58,7,37,2.8,2.7,-1.1
"137","Palau",18,NA,NA,-0.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,80,0.4,0.8,NA
"138","Panama",4177,1342,389,1.8,1.4,79,2.5,66,75,78,54,42,13,68,2.3,1.9,2.7
"139","Papua New Guinea",8606,3629,1084,2.1,1.8,233,3.6,46,59,64,65,59,6,13,2.1,3,-0.1
"140","Paraguay",6956,2446,693,1.5,1.1,143,2.4,65,71,74,56,46,10,62,2.1,1.7,-2.4
"141","Peru",31989,9782,2757,1.1,1,573,2.3,54,71,77,51,39,12,78,1.4,1.3,3.1
"142","Philippines",106651,39276,11035,1.7,1.2,2191,2.6,63,69,71,56,48,8,47,1.8,1.9,-0.6
"143","Poland",37922,6745,1843,-0.1,-0.2,371,1.4,70,74,79,48,22,26,60,-0.2,0,-0.8
"144","Portugal",10256,1699,413,0,-0.3,80,1.3,67,77,82,55,21,34,65,1,0.5,-0.6
"145","Qatar",2782,440,134,8.6,1.5,26,1.9,68,77,80,18,16,2,99,8.8,1.5,14.7
"146","Republic of Korea",51172,8182,2060,0.4,0,377,1.1,61,76,83,38,18,20,81,0.6,0.1,0.2
"147","Republic of Moldova",4052,765,210,-0.2,-0.3,41,1.3,65,67,72,38,22,16,43,-0.5,0.2,-0.3
"148","Romania",19506,3626,930,-0.7,-0.5,189,1.6,68,70,76,51,23,28,54,-0.6,-0.1,-3.8
"149","Russian Federation",145734,30223,9497,0,-0.1,1842,1.8,69,65,72,48,27,22,74,0.1,0.2,1.3
"150","Rwanda",12302,5710,1801,2.4,2.3,391,4,45,49,69,75,70,5,17,3.2,3.4,-0.7
"151","Saint Kitts and Nevis",52,NA,NA,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,31,0.6,1,NA
"152","Saint Lucia",182,42,11,0.8,0.3,2,1.4,64,73,76,40,26,14,19,-1.4,1,0
"153","Saint Vincent and the Grenadines",110,30,8,0.1,0.2,2,1.9,64,71,72,47,33,14,52,0.9,1,-1.8
"154","Samoa",196,87,28,0.7,1,5,3.9,60,69,73,76,67,8,18,-0.4,0.5,-14.3
"155","San Marino",34,NA,NA,1.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,97,1.4,0.3,NA
"156","Sao Tome and Principe",211,104,31,2.2,2,7,4.3,55,61,70,83,78,5,73,3.9,2.8,-8
"157","Saudi Arabia",33703,9799,3007,2.7,1.3,598,2.3,53,73,75,40,35,5,84,3,1.5,4.1
"158","Senegal",15854,7853,2557,2.7,2.6,548,4.6,39,58,68,86,80,6,47,3.5,3.6,-1.3
"159","Serbia",8803,1691,422,-0.4,-0.5,83,1.5,68,72,76,52,24,28,56,-0.1,-0.1,0.5
"160","Seychelles",97,27,8,1,0.5,2,2.4,66,71,73,45,34,11,57,1.7,1.2,-2.1
"161","Sierra Leone",7650,3655,1134,2.8,1.9,256,4.3,36,39,54,79,73,5,42,3.8,3,-0.6
"162","Singapore",5758,872,236,2,0.7,50,1.2,68,78,83,31,16,15,100,2,0.7,4.7
"163","Slovakia",5453,1000,282,0.1,-0.1,57,1.5,70,73,77,45,22,23,54,-0.2,0.2,0.3
"164","Slovenia",2078,366,104,0.2,-0.1,20,1.6,69,76,81,53,23,30,55,0.6,0.5,1
"165","Solomon Islands",653,304,101,2.5,2.3,21,4.4,56,67,73,78,72,6,24,4.8,4,-2.5
"166","Somalia",15008,8056,2673,2.9,2.9,629,6.1,41,51,57,98,92,6,45,4.6,4.1,-2.7
"167","South Africa",57793,19702,5796,1.4,1.1,1184,2.4,53,56,64,52,44,8,66,2.2,1.8,2.5
"168","South Sudan",10976,5316,1702,3.2,1.9,387,4.7,36,49,58,83,76,6,20,4.1,3.7,-15.9
"169","Spain",46693,8162,2025,0.7,-0.1,394,1.3,72,79,83,52,22,29,80,1,0.2,0.9
"170","Sri Lanka",21229,6132,1690,0.7,0.3,336,2.2,64,71,77,53,37,16,18,0.7,1.4,-4.6
"171","State of Palestine",4863,2202,690,2.3,2.2,143,3.6,56,71,74,73,67,5,76,2.6,2.6,-2.2
"172","Sudan",41802,19758,6158,2.4,2.3,1347,4.4,52,58,65,79,72,6,35,2.7,3.5,-1.2
"173","Suriname",576,187,53,1.1,0.8,11,2.4,63,68,72,52,41,10,66,1.1,1,-1.7
"174","Sweden",9972,2067,591,0.6,0.5,119,1.9,74,80,83,60,28,32,87,0.9,0.8,4
"175","Switzerland",8526,1523,444,1,0.6,88,1.5,73,80,84,50,22,28,74,1,0.8,6.1
"176","Syrian Arab Republic",16945,6273,1797,0.2,3.8,426,2.8,59,73,72,56,49,7,54,0.4,4.9,-24.1
"177","Tajikistan",9101,3829,1329,2.1,2,280,3.6,54,62,71,66,61,5,27,2.2,3,-2.2
"178","Thailand",69428,14537,3692,0.5,0.1,718,1.5,59,71,77,41,24,17,50,3.1,1.4,0.3
"179","Timor-Leste",1268,571,169,2,1.8,37,4,40,59,69,73,65,7,31,3.3,3,-4.3
"180","Togo",7889,3781,1189,2.6,2.3,262,4.3,47,53,61,79,74,5,42,3.9,3.6,-0.3
"181","Tokelau",1,NA,NA,-0.9,0.8,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"182","Tonga",103,43,12,0.3,0.9,3,3.6,64,70,71,71,60,10,23,0.3,1.2,-7.7
"183","Trinidad and Tobago",1390,337,92,0.5,0.1,18,1.7,65,69,73,45,30,16,53,0.2,0.4,-0.6
"184","Tunisia",11565,3266,1036,1,0.8,203,2.2,51,73,77,48,36,12,69,1.4,1.3,-0.3
"185","Turkey",82340,24377,6749,1.5,0.7,1313,2.1,52,70,77,50,37,13,75,2.3,1.2,3.5
"186","Turkmenistan",5851,2092,696,1.4,1.2,139,2.8,58,64,68,54,48,7,52,2.1,2.2,-0.9
"187","Turks and Caicos Islands",38,NA,NA,3.5,1.2,NA,NA,NA,NA,NA,NA,NA,NA,93,4,1.4,NA
"188","Tuvalu",12,NA,NA,1.1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,62,2.8,2.1,NA
"189","Uganda",42729,23085,7538,3.3,2.8,1627,5,49,46,63,96,92,4,24,5.9,5,4
"190","Ukraine",44246,8152,2250,-0.5,-0.7,421,1.4,71,67,72,48,23,24,69,-0.4,-0.4,0.2
"191","United Arab Emirates",9631,1637,503,6.2,0.8,100,1.4,61,74,78,19,17,1,87,6.7,1.1,4.2
"192","United Kingdom",67142,14042,3977,0.7,0.4,775,1.8,72,78,81,56,28,29,83,1.1,0.7,3.9
"193","United Republic of Tanzania",56313,28558,9316,2.9,2.8,2071,4.9,47,51,65,88,83,5,34,5.2,4.7,-0.7
"194","United States",327096,73857,19512,0.8,0.6,3912,1.8,71,77,79,53,29,24,82,1.1,0.8,2.9
"195","Uruguay",3449,860,239,0.2,0.3,48,2,69,75,78,55,32,23,95,0.4,0.4,-0.9
"196","Uzbekistan",32476,10824,3407,1.5,1.2,696,2.4,62,67,72,49,43,7,50,2,1.4,-0.3
"197","Vanuatu",293,131,40,2.5,2.2,9,3.8,54,67,70,74,68,6,25,3.4,2.9,0.4
"198","Venezuela (Bolivarian Republic of)",28887,9527,2545,1,1.3,524,2.3,65,72,72,54,43,11,88,1,1.3,-22.3
"199","Viet Nam",95546,26017,7831,1,0.7,1598,2,60,73,75,44,33,10,36,3.1,2.5,-0.8
"200","Yemen",28499,13183,4084,2.7,2,868,3.8,37,61,66,74,69,5,37,4.6,3.6,-1.1
"201","Zambia",17352,9033,2869,2.8,2.8,629,4.6,50,44,64,89,85,4,44,4.1,4.1,-0.5
"202","Zimbabwe",14439,7082,2196,1.1,1.6,443,3.6,57,45,61,83,78,5,32,0.8,2.2,-8.2
