rownames,province,city,ahmadinejad,rezai,karrubi,mousavi,total_votes_cast,voided_votes,legitimate_votes
94,Tehran,Firozkoh,14012,206,91,7540,22198,349,21849
95,Tehran,Karj,510509,18312,8057,397906,950243,15459,934784
96,Tehran,Nazarabad,56054,678,160,17126,75139,1121,74018
97,Tehran,Waramin,190690,2935,1086,66847,265520,3962,261558
98,Chahar Mahaal and Bakhtiar,Ardal,26190,1446,122,5176,33053,119,32934
99,Chahar Mahaal and Bakhtiar,Berojan,48224,1606,278,17356,68000,536,67464
100,Chahar Mahaal and Bakhtiar,Shahr Kurd,135968,5332,2634,44456,189933,1543,188390
101,Chahar Mahaal and Bakhtiar,Farsan,30787,2143,240,12383,45843,290,45553
102,Chahar Mahaal and Bakhtiar,Kohrang,14188,7421,98,3044,24894,143,24751
103,Chahar Mahaal and Bakhtiar,Kayar,29874,788,134,4421,35424,207,35217
104,Chahar Mahaal and Bakhtiar,Lardagan,74347,3953,621,19263,98299,115,98184
105,South Khorasan,Bashroya,12768,104,17,1999,14986,98,14888
106,South Khorasan,Birjand,106271,2390,476,42822,152952,993,151959
107,South Khorasan,Darmian,15042,97,75,13717,29040,109,28931
108,South Khorasan,Sarayan,15316,159,56,4483,20083,69,20014
109,South Khorasan,Sarbesha,20109,133,46,3800,24158,70,24088
110,South Khorasan,Ferdos,21753,261,55,4775,26995,151,26844
111,South Khorasan,Qainaat,69533,666,147,14335,85033,352,84681
112,South Khorasan,Nahbandan,25192,152,56,4432,29910,78,29832
113,Khorasan Razavi,Bajestan,14318,91,44,3665,18192,74,18118
114,Khorasan Razavi,Burdeskan,33821,357,70,10403,44851,200,44651
115,Khorasan Razavi,Binalod,37165,1163,224,21991,61076,533,60543
116,Khorasan Razavi,Taibat,44460,315,267,30702,76158,414,75744
117,Khorasan Razavi,Takht-e Jelga,22856,151,111,3070,26305,117,26188
118,Khorasan Razavi,Tarbat-e Jam,64852,630,381,54323,120769,583,120186
119,Khorasan Razavi,Torbat-e Haidaria,87302,1411,434,29224,119338,958,118371
120,Khorasan Razavi,Joghtai,23376,253,71,4023,27826,103,27723
121,Khorasan Razavi,Jawin,24618,263,73,5065,30121,102,30019
122,Khorasan Razavi,Chanaran,55128,784,154,14518,70931,347,70584
123,Khorasan Razavi,Khalilabad,24635,157,52,5156,30105,105,30000
124,Khorasan Razavi,Khawaf,28493,151,224,30835,59990,287,59703
125,Khorasan Razavi,Dargez,32110,229,200,9284,42017,194,41823
126,Khorasan Razavi,Rashtkhor,28260,131,94,4307,32865,73,32792
127,Khorasan Razavi,Zawa,33823,117,42,2932,36997,83,36914
128,Khorasan Razavi,Sabzwar,140703,2710,826,56244,202120,1637,200483
129,Khorasan Razavi,Sarkhas,36704,218,68,8856,46032,186,45846
130,Khorasan Razavi,Fariman,42815,465,78,9931,53481,192,53289
131,Khorasan Razavi,Qochaq,74878,1053,605,22725,100996,1735,99261
132,Khorasan Razavi,Kashmar,69122,961,316,21300,92337,638,91699
133,Khorasan Razavi,Kalat,19644,94,31,2677,22513,67,22446
134,Khorasan Razavi,Gunabad,37811,544,972,12247,51842,268,51574
135,Khorasan Razavi,Mashad,1027273,29189,7098,459011,1536106,13535,1522571
136,Khorasan Razavi,Mahwalat,24948,167,39,4658,29932,120,29812
137,Khorasan Razavi,Naishapur,185686,3205,1087,57423,249090,1689,247401
138,North Khorasan,Asfarayen,55942,610,790,14705,72440,393,72047
139,North Khorasan,Bajanord,123822,2029,1051,60319,188462,1241,187221
140,North Khorasan,Jajarm,16638,138,102,4743,21720,99,21621
141,North Khorasan,Shirwan o Chirdawal,67011,740,215,16213,84718,539,84179
142,North Khorasan,Faroj,25333,156,66,3588,29666,523,29143
143,North Khorasan,Garma,12245,105,15,2023,14442,54,14388
144,North Khorasan,Maneh o Samalqan,40113,351,239,11627,52553,223,52330
145,Khuzestan,Abadan,84050,2636,1052,29097,118482,1647,116835
146,Khuzestan,Omidia,31228,1347,379,13569,47206,683,46523
147,Khuzestan,Andika,11213,3630,73,1025,16114,173,15941
148,Khuzestan,Andemshak,49157,3984,1387,25335,81385,1522,79863
149,Khuzestan,Ahwaz,399240,28373,4601,223107,663609,8288,655321
150,Khuzestan,Iza,40222,25422,1012,15524,82825,645,82180
151,Khuzestan,Bagh-e Malek,45912,3139,157,8916,58388,264,58124
152,Khuzestan,Bandar Mahashehr,76987,3543,1042,36409,119589,1608,117981
153,Khuzestan,Bahbahan,46585,2006,830,44231,95294,1642,93652
154,Khuzestan,Khoramshahr,53010,1159,452,12516,68202,1065,67137
155,Khuzestan,Dazfol,131862,14351,1236,45173,195951,3329,192622
156,Khuzestan,Dasht-e Azadagan,34139,487,137,5600,41138,775,40363
157,Khuzestan,Ramshir,19050,345,118,4323,24137,301,23836
158,Khuzestan,Rahmehrmoz,38465,1678,343,14551,55605,568,55037
159,Khuzestan,Shadgan,48337,553,215,4785,54837,947,53890
160,Khuzestan,Shosh,63664,2185,939,20646,88746,1312,87434
161,Khuzestan,Shoshtar,51127,11897,712,21354,86383,1293,85090
162,Khuzestan,Gyowand,16118,5112,235,8336,30248,447,29801
163,Khuzestan,Lali,3462,8118,99,1278,13074,117,12957
164,Khuzestan,Masjid-e Suleman,26291,18141,563,8898,54671,778,53893
165,Khuzestan,Haftgul,8319,653,152,2579,11845,142,11703
166,Khuzestan,Handijan,13710,249,141,3742,18075,233,17842
167,Khuzestan,Howiza,10981,116,59,1642,13041,243,12798
168,Zanjan,Abhar,75995,990,367,22646,101034,1036,99998
169,Zanjan,Ijrod,20017,105,19,1883,22126,102,22024
170,Zanjan,Khodabanda,80914,696,269,12952,95281,450,94831
171,Zanjan,Khoramdara,26028,351,144,10851,37763,389,37374
172,Zanjan,Zanjan,200307,4856,1218,69944,279301,2976,276325
173,Zanjan,Taaram,21311,130,168,5188,26926,129,26797
174,Zanjan,Mahneshan,19908,148,38,3097,23290,99,23191
175,Samnan,Damghan,46032,679,127,10319,57680,523,57157
176,Samnan,Samnan,70117,1529,745,24432,98015,1192,96823
177,Samnan,Shahrud,122085,1601,729,29163,155051,1473,153578
178,Samnan,Garmsar,38488,333,451,9126,48781,383,48398
179,Samnan,Mehdi Shahr,18455,298,95,4714,23781,219,23562
180,Sistan and Baluchestan,Iranshahr,33802,634,1520,50971,87491,564,86927
181,Sistan and Baluchestan,Chahbahar,21185,594,2226,62564,87143,574,86569
182,Sistan and Baluchestan,Khaash,9945,237,747,47762,58922,231,58691
183,Sistan and Baluchestan,Dalgan,20808,71,193,3744,24835,19,24816
184,Sistan and Baluchestan,Zabol,101011,861,490,21799,124950,789,124161
185,Sistan and Baluchestan,Zaboli,5897,85,336,14869,21227,40,21187
186,Sistan and Baluchestan,Zahedan,120978,2541,2683,140118,268191,1871,266320
187,Sistan and Baluchestan,Zahak,26772,116,177,7091,34301,145,34156
188,Sistan and Baluchestan,Sarawan,13258,378,1882,47620,63603,465,63138
189,Sistan and Baluchestan,Sarbaaz,36972,145,655,19136,57087,179,56908
190,Sistan and Baluchestan,Saibsooran,7456,95,438,18314,26401,98,26303
191,Sistan and Baluchestan,Kanarak,9089,193,249,18467,28183,185,27998
192,Sistan and Baluchestan,Miankangi,17187,76,123,7830,25355,139,25216
193,Sistan and Baluchestan,Nekshahr,25909,590,785,47661,75231,286,74945
194,Fars,Abadah,43723,516,343,13820,58844,442,58402
195,Fars,Arsanjan,21412,180,40,4378,26144,134,26010
196,Fars,Astehan,30303,350,373,10810,42233,397,41836
197,Fars,Aqlid,41053,479,158,13194,55390,506,54884
198,Fars,Bawanat,26763,114,48,3026,30093,142,29951
199,Fars,Pasargad,16127,108,36,3626,20004,107,19897
200,Fars,Jahram,98905,872,544,19747,121280,1212,120068
201,Fars,Khorambed,24958,200,54,4228,29592,152,29440
202,Fars,Khanj,10834,84,236,6490,17738,94,17644
203,Fars,Daraab,79211,770,687,20848,102299,783,101516
204,Fars,Rustam,32288,372,311,10054,43065,40,43025
205,Fars,Zarin Dasht,29944,181,127,4013,34383,118,34265
206,Fars,Sapidan,48066,351,140,12474,61283,252,61031
207,Fars,Sarwestan,17215,155,480,4124,22190,213,21974
208,Fars,Shiraz,568009,12233,7078,352082,947168,7766,939402
209,Fars,Farashband,17808,156,83,6117,24323,159,24164
210,Fars,Fasa,91801,915,1987,24981,120734,1050,119684
211,Fars,Firozkoh,58548,418,100,14586,74152,500,73652
212,Fars,Qir o Karzin,31013,127,79,7264,38680,197,38483
213,Fars,Kazarwan,102498,863,389,34839,139642,1053,138589
214,Fars,Larestan,76840,1022,850,37134,116738,892,115846
215,Fars,Lamard,36596,500,172,11105,48593,220,48373
216,Fars,Marodasht,135140,1323,510,36177,174291,1141,173150
217,Fars,Mamsani,43782,950,1011,27862,74108,503,73605
218,Fars,Mehr,20528,306,142,13007,34184,201,33983
219,Fars,Nairez,54661,326,299,10778,66149,85,66064
220,Qazvin,Abek,39928,526,167,13814,54845,410,54435
221,Qazvin,Alborz,80991,1162,280,26504,109959,1022,108937
222,Qazvin,Boyen Zahra,77723,517,204,17528,96527,555,95972
223,Qazvin,Takestan,78563,707,275,22723,102947,679,102268
224,Qazvin,Qazvin,220856,5066,1764,96973,328077,3418,324659
225,Qom,Qom,422457,16297,2314,148467,599040,9505,589535
226,Kurdestan,Bana,16552,426,1520,23745,43209,966,42243
227,Kurdestan,Bejaar,43694,670,217,12385,57576,610,56966
228,Kurdestan,Dahgalan,18004,233,728,9909,29393,519,28874
229,Kurdestan,Dewandarah,20101,319,749,11995,33944,780,33164
230,Kurdestan,Sarvabad,10313,268,539,9007,20727,600,20127
231,Kurdestan,Saqz,24523,983,2740,49519,79315,1550,77765
232,Kurdestan,Sanandej,80936,2356,3433,74987,165726,4014,161712
233,Kurdestan,Qarwa,56074,747,450,21195,79251,785,78466
234,Kurdestan,Kamyaran,25088,422,947,19128,46389,803,45585
235,Kurdestan,Marivan,20404,716,2539,29902,55227,1666,53561
236,Kerman,Baft,72172,376,150,16665,89743,380,89363
237,Kerman,Bordser,34709,266,57,5362,40644,250,40394
238,Kerman,Bam,104386,611,216,19721,125512,578,124934
239,Kerman,Jiraft,97796,448,217,15032,113857,364,113493
240,Kerman,Rawar,19061,132,30,3650,23042,169,22873
241,Kerman,Rafsanjan,109611,2092,410,54334,168362,1915,166447
242,Kerman,South Rodbar,50720,34,19,979,51850,98,51752
243,Kerman,Regan,30690,29,12,1031,31845,83,31762
244,Kerman,Zarand,55348,608,65,19012,75644,611,75033
245,Kerman,Sirjan,95901,1121,946,39755,138980,1257,137723
246,Kerman,Sahr e Baubak,35107,230,77,7962,43710,334,43376
247,Kerman,Anbarabad,66815,106,30,3783,70836,102,70734
248,Kerman,Qala Ganj,39128,58,27,1721,41050,116,40934
249,Kerman,Kerman,266668,5518,2606,118173,396530,3565,392965
250,Kerman,Kahnoj,48582,224,58,6600,55635,171,55464
251,Kerman,Kohbanan,11808,89,22,3044,15045,82,14963
252,Kerman,Manojan,21944,74,35,1426,23529,50,23479
253,Kermanshah,West Islamabad,50878,897,669,32525,85833,864,84969
254,Kermanshah,Yava,8841,382,956,12114,23201,908,22293
255,Kermanshah,Salas Babajani,8301,168,374,5850,15153,460,14693
256,Kermanshah,Javanrud,10775,314,852,11888,25014,1185,23829
257,Kermanshah,Dalaho,8384,170,189,15104,24050,203,23847
258,Kermanshah,Ravansar,8544,371,1111,10662,21490,802,20688
259,Kermanshah,Sarpul Zahab,22507,480,631,17202,41705,885,40820
260,Kermanshah,Sanqar,44005,534,152,14032,59562,839,58723
261,Kermanshah,Sahna,28004,297,372,12729,41670,268,41402
262,Kermanshah,Qasr Shirin,6515,135,105,5749,12690,186,12504
263,Kermanshah,Kermanshah,290959,6173,3324,197303,503575,5816,497759
264,Kermanshah,Kangawar,32601,545,1172,12291,47042,433,46609
265,Kermanshah,West Gilan,20667,339,394,14278,36051,373,35678
266,Kermanshah,Harsin,32587,453,497,12461,46386,388,45998
267,Kohgiluyeh and Boyer-Ahmad,Bahmayi,14840,409,472,5112,20938,105,20833
268,Kohgiluyeh and Boyer-Ahmad,Boyer Ahmad,92944,2999,1860,33314,132483,685,131117
269,Kohgiluyeh and Boyer-Ahmad,Dana,33526,462,177,5574,39868,129,39739
270,Kohgiluyeh and Boyer-Ahmad,Kohgiluyeh,67203,3356,1377,28064,100723,723,100000
271,Kohgiluyeh and Boyer-Ahmad,Gachsaran,45449,1316,388,26873,74695,669,74026
272,Golestan,Azadshahr,37801,294,244,12722,51724,663,51061
273,Golestan,Aaq Qala,23303,161,558,25144,50112,946,49166
274,Golestan,Bandar Gaz,24324,132,138,6551,31694,549,31145
275,Golestan,Turkmen,18577,476,2611,36794,59869,5759,58458
276,Golestan,Ramyan,35695,260,141,11519,48224,609,47615
277,Golestan,Aliabad,52332,458,400,19752,73690,748,72942
278,Golestan,Kord Koi,29845,238,106,11605,42652,858,41794
279,Golestan,Kalala,23894,206,770,28740,54292,682,53610
280,Golestan,Gorgan,141203,2322,1780,79760,227977,478,225065
281,Golestan,Gonbad Kawoos,62858,792,1868,62782,130002,1702,128300
282,Golestan,Marawa Tapa,5943,154,1134,14865,22440,344,22096
283,Golestan,Minodasht,59436,494,347,15572,76777,928,75849
284,Gilan,Astara,27156,331,232,19034,47169,416,46753
285,Gilan,Astana Ashrafia,48563,583,337,20583,70748,682,70066
286,Gilan,Amlesh,24580,193,129,6797,31938,239,31699
287,Gilan,Bandar Anzali,47851,878,488,29616,79834,1001,78833
288,Gilan,Resht,298146,4759,3285,175041,484075,2844,481231
289,Gilan,Rezvanshahr,25462,239,192,12988,39208,327,38881
290,Gilan,Rodbar,51777,452,236,15037,68019,517,67502
291,Gilan,Rodsar,64746,858,450,34178,101141,909,100232
292,Gilan,Siahkal,27577,183,97,5481,33568,230,33338
293,Gilan,Shaft,36592,206,79,8881,46121,363,45758
294,Gilan,Soma Sara,64480,460,270,20245,86223,768,85455
295,Gilan,Tawalesh,77051,527,337,27870,106556,771,105785
296,Gilan,Foman,48235,318,140,14000,63223,530,62693
297,Gilan,Lahijaan,69579,971,584,32851,104994,1009,103985
298,Gilan,Lankrod,60858,877,245,24909,87767,878,86889
299,Gilan,Masaal,25920,187,82,6295,32674,190,32484
300,Lorestan,Aznaa,31999,1012,1923,7706,42901,261,42640
301,Lorestan,Algodraz,39690,2366,14512,9330,66430,532,65898
302,Lorestan,Berojard,127300,1851,2690,49651,183277,1785,181492
303,Lorestan,Puldokhtar,30262,671,1200,9599,42132,400,41732
304,Lorestan,Khoramabad,203026,4224,7327,72113,289393,2703,286690
305,Lorestan,Dalfan,62821,669,6518,13455,83793,330,83463
306,Lorestan,Dorod,66506,1683,2213,19876,91010,732,90278
307,Lorestan,Silsila,41496,401,327,8016,50479,239,50240
308,Lorestan,Kohdasht,74729,2043,7326,29410,114855,1347,113508
309,Mazandaran,Amel,147636,2248,756,67257,219757,1860,217897
310,Mazandaran,Babol,206649,3293,1292,85385,299161,2542,296619
311,Mazandaran,Babolsara,53391,1106,387,26298,81874,692,81182
312,Mazandaran,Behshahr,68257,817,364,29930,100190,822,99368
313,Mazandaran,Tankaban,82634,1205,832,54047,139663,945,138718
314,Mazandaran,Joibar,33117,370,514,11005,45377,371,45006
315,Mazandaran,Chaloos,50253,847,1201,32363,85339,675,84664
316,Mazandaran,Ramsar,27526,485,186,20750,49422,475,48947
317,Mazandaran,Sari,211712,3554,1680,98376,317768,2446,315322
318,Mazandaran,Sawadkoh,35103,410,163,8741,44689,272,44417
319,Mazandaran,Faidonkenar,25040,423,213,9062,35040,302,34738
320,Mazandaran,Qayem Shahr,124211,1954,1048,51519,180685,1953,178732
321,Mazandaran,Golohgah,19148,127,97,7659,27200,169,27031
322,Mazandaran,Mahmoudabad,45979,641,148,16986,64209,455,63754
323,Mazandaran,Naka,55704,559,407,13518,70651,463,70188
324,Mazandaran,Noor,51639,779,261,24330,77571,562,77009
325,Mazandaran,Nawshahr,51258,769,501,28147,81242,567,80675
326,Markazi,Ashtyan,9410,183,30,2431,12206,152,12054
327,Markazi,Arak,210321,5489,2434,96853,319014,3917,315097
328,Markazi,Tafresh,25835,269,60,6311,32739,264,32475
329,Markazi,Khamin,55298,782,693,13588,71004,643,70361
330,Markazi,Khandab,29764,219,133,3822,34181,243,33938
331,Markazi,Delijan,19489,246,172,7564,27746,272,27471
332,Markazi,Zarandia,29381,260,43,5747,35638,207,35431
333,Markazi,Sawadkoh,87866,1107,360,27969,118395,1093,117302
334,Markazi,Shazand,62190,847,528,13404,77626,657,76969
335,Markazi,Kamijan,24246,178,75,3009,27640,132,27508
336,Markazi,Mahalat,19188,477,147,9651,29772,309,29463
337,Hormozgan,Abu Musa,2731,645,96,16,3513,25,3488
338,Hormozgan,Bastak,8409,190,641,21607,31152,305,30847
339,Hormozgan,Bandar Langa,35468,759,748,31689,69300,636,68664
340,Hormozgan,Bandar Abas,193073,2879,1915,89819,390141,2455,287686
341,Hormozgan,Parsian,6752,93,231,11882,19121,163,18958
342,Hormozgan,Jasak,23846,124,127,11367,35663,199,35464
343,Hormozgan,Hajiabad,17549,106,73,4271,22098,99,21999
344,Hormozgan,Khamir,8263,150,191,14943,23754,207,23547
345,Hormozgan,Rodan,52826,372,211,7948,61618,261,61357
346,Hormozgan,Sirik,10376,101,110,6702,17453,164,17289
347,Hormozgan,Qashm,23020,1117,438,27884,52927,468,52459
348,Hormozgan,Minab,100677,701,345,13860,116284,701,115583
349,Hamadan,Asadabad,47273,481,1404,11293,60947,496,60451
350,Hamadan,Bahar,65379,744,150,10062,76806,471,76335
351,Hamadan,Toisarkan,52347,559,2666,12023,68233,638,67595
352,Hamadan,Razen,55274,555,102,13410,69779,438,69341
353,Hamadan,Kabodarahang,70755,936,184,9985,82530,670,81860
354,Hamadan,Malayar,131387,1811,1387,31870,168274,1819,166455
355,Hamadan,Nahavand,85794,948,2427,20713,110857,975,109882
356,Hamadan,Hamadan,257514,7083,3712,109125,381743,4309,377434
357,Yazd,Abir Koh,21659,187,51,6376,28473,200,28273
358,Yazd,Ardkan,19389,685,164,23675,44526,613,43913
359,Yazd,Bafaq,27936,261,77,5048,33478,156,33322
360,Yazd,Taft,26664,468,82,18736,46283,333,45950
361,Yazd,Khanum,15380,99,49,3857,19448,63,19385
362,Yazd,Sandoq,10755,219,76,11399,22644,195,22449
363,Yazd,Tabas,31164,426,75,10961,42841,215,42626
364,Yazd,Mehriz,19859,371,104,14827,35468,307,35161
365,Yazd,Mebad,30580,606,131,12830,44809,662,44147
366,Yazd,Yazd,133792,5084,1756,148090,291886,3164,288722
