"","oscar_no","oscar_yr","award","name","movie","age","birth_pl","birth_date","birth_mo","birth_d","birth_y"
"100",14,1942,"Best actor","Gary Cooper","Sergeant York",40,"Montana",1901-05-07,5,7,1901
"101",15,1943,"Best actor","James Cagney","Yankee Doodle Dandy",43,"New York",1899-07-17,7,17,1899
"102",16,1944,"Best actor","Paul Lukas","Watch on the Rhine",48,"Hungary",1895-05-26,5,26,1895
"103",17,1945,"Best actor","Bing Crosby","Going My Way",41,"Washington",1903-05-03,5,3,1903
"104",18,1946,"Best actor","Ray Milland","The Lost Weekend",40,"Wales",1905-01-03,1,3,1905
"105",19,1947,"Best actor","Fredric March","The Best Years of Our Lives",49,"Wisconsin",1897-08-31,8,31,1897
"106",20,1948,"Best actor","Ronald Colman","A Double Life",56,"England",1891-02-09,2,9,1891
"107",21,1949,"Best actor","Laurence Olivier","Hamlet",41,"England",1907-05-22,5,22,1907
"108",22,1950,"Best actor","Broderick Crawford","All the King's Men",38,"Pennsylvania",1911-12-09,12,9,1911
"109",23,1951,"Best actor","Jose Ferrer","Cyrano de Bergerac",41,"Puerto Rico",1909-01-08,1,8,1909
"110",24,1952,"Best actor","Humphrey Bogart","The African Queen",52,"New York",1899-12-25,12,25,1899
"111",25,1953,"Best actor","Gary Cooper","High Noon",51,"Montana",1901-05-07,5,7,1901
"112",26,1954,"Best actor","William Holden","Stalag 17",35,"Illinois",1918-04-17,4,17,1918
"113",27,1955,"Best actor","Marlon Brando","On The Waterfront",30,"Nebraska",1924-04-03,4,3,1924
"114",28,1956,"Best actor","Ernest Borgnine","Marty",38,"Connecticut",1917-01-24,1,24,1917
"115",29,1957,"Best actor","Yul Brynner","The King and I",41,"Russia",1915-07-07,7,7,1915
"116",30,1958,"Best actor","Alec Guinness","The Bridge On The River Kwai",43,"England",1914-04-02,4,2,1914
"117",31,1959,"Best actor","David Niven","Separate Tables",48,"Wales",1910-03-01,3,1,1910
"118",32,1960,"Best actor","Charlton Heston","Ben-Hur",36,"Illinois",1923-10-04,10,4,1923
"119",33,1961,"Best actor","Burt Lancaster","Elmer Gantry",47,"New York",1913-11-02,11,2,1913
"120",34,1962,"Best actor","Maximilian Schell","Judgment at Nuremburg",31,"Austria",1930-12-08,12,8,1930
"121",35,1963,"Best actor","Gregory Peck","To Kill a Mockingbird",46,"California",1916-04-05,4,5,1916
"122",36,1964,"Best actor","Sidney Poitier","Lilies of the Field",36,"Florida",1927-02-20,2,20,1927
"123",37,1965,"Best actor","Rex Harrison","My Fair Lady",56,"England",1908-03-05,3,5,1908
"124",38,1966,"Best actor","Lee Marvin","Cat Ballou",41,"New York",1924-02-19,2,19,1924
"125",39,1967,"Best actor","Paul Scofield","A Man for All Seasons",44,"England",1922-01-21,1,21,1922
"126",40,1968,"Best actor","Rod Steiger","In the Heat of the Night",42,"New York",1925-04-14,4,14,1925
"127",41,1969,"Best actor","Cliff Robertson","Charly",43,"California",1925-09-09,9,9,1925
"128",42,1970,"Best actor","John Wayne","True Grit",62,"Iowa",1907-05-26,5,26,1907
"129",43,1971,"Best actor","George C. Scott","Patton",43,"Virginia",1927-10-18,10,18,1927
"130",44,1972,"Best actor","Gene Hackman","The French Connection",41,"California",1930-01-30,1,30,1930
"131",45,1973,"Best actor","Marlon Brando","The Godfather",48,"Nebraska",1924-04-03,4,3,1924
"132",46,1974,"Best actor","Jack Lemmon","Save the Tiger",48,"Massachusetts",1925-02-08,2,8,1925
"133",47,1975,"Best actor","Art Carney","Harry and Tonto",56,"New York",1918-11-04,11,4,1918
"134",48,1976,"Best actor","Jack Nicholson","One Flew Over The Cuckoo's Nes",38,"New York",1937-04-22,4,22,1937
"135",49,1977,"Best actor","Peter Finch","Network",60,"England",1916-09-28,9,28,1916
"136",50,1978,"Best actor","Richard Dreyfuss","The Goodbye Girl",30,"New York",1947-10-29,10,29,1947
"137",51,1979,"Best actor","Jon Voight","Coming Home",40,"New York",1938-12-29,12,29,1938
"138",52,1980,"Best actor","Dustin Hoffman","Kramer vs. Kramer",42,"California",1937-08-08,8,8,1937
"139",53,1981,"Best actor","Robert De Niro","Raging Bull",37,"New York",1943-08-17,8,17,1943
"140",54,1982,"Best actor","Henry Fonda","On Golden Pond",76,"Nebraska",1905-05-16,5,16,1905
"141",55,1983,"Best actor","Ben Kingsley","Ghandi",39,"England",1943-12-31,12,31,1943
"142",56,1984,"Best actor","Robert Duvall","Tender Mercies",52,"California",1931-01-05,1,5,1931
"143",57,1985,"Best actor","F. Murray Abraham","Amadeus",45,"Pennsylvania",1939-10-24,10,24,1939
"144",58,1986,"Best actor","William Hurt","Kiss of the Spider Woman",35,"Washington DC",1950-03-20,3,20,1950
"145",59,1987,"Best actor","Paul Newman","The Color of Money",61,"Ohio",1925-01-26,1,26,1925
"146",60,1988,"Best actor","Michael Douglas","Wall Street",43,"New Jersey",1944-09-25,9,25,1944
"147",61,1989,"Best actor","Dustin Hoffman","Rain Man",51,"California",1937-08-08,8,8,1937
"148",62,1990,"Best actor","Daniel Day-Lewis","My Left Foot",32,"England",1957-04-29,4,29,1957
"149",63,1991,"Best actor","Jeremy Irons","Reversal of Fortune",42,"Isle of Wight",1948-09-19,9,19,1948
"150",64,1992,"Best actor","Anthony Hopkins","The Silence of the Lambs",54,"Wales",1937-12-31,12,31,1937
"151",65,1993,"Best actor","Al Pacino","Scent of a Woman",52,"New York",1940-04-25,4,25,1940
"152",66,1994,"Best actor","Tom Hanks","Philadelphia",37,"California",1956-07-09,7,9,1956
"153",67,1995,"Best actor","Tom Hanks","Forest Gump",38,"California",1956-07-09,7,9,1956
"154",68,1996,"Best actor","Nicolas Cage","Leaving Las Vegas",31,"California",1964-01-07,1,7,1964
"155",69,1997,"Best actor","Geoffrey Rush","Shine",45,"Australia",1951-07-06,7,6,1951
"156",70,1998,"Best actor","Jack Nicholson","As Good as It Gets",60,"New York",1937-04-22,4,22,1937
"157",71,1999,"Best actor","Roberto Benigni","Life is Beautiful",46,"Italy",1952-10-27,10,27,1952
"158",72,2000,"Best actor","Kevin Spacey","American Beauty",40,"New Jersey",1959-07-26,7,26,1959
"159",73,2001,"Best actor","Russell Crowe","Gladiator",36,"New Zealand",1964-04-07,4,7,1964
"160",74,2002,"Best actor","Denzel Washington","Training Day",47,"New York",1954-12-28,12,28,1954
"161",75,2003,"Best actor","Adrien Brody","The Pianist",29,"New York",1973-04-14,4,14,1973
"162",76,2004,"Best actor","Sean Penn","Mystic River",43,"California",1960-08-17,8,17,1960
"163",77,2005,"Best actor","Jamie Foxx","Ray",37,"Texas",1967-12-13,12,13,1967
"164",78,2006,"Best actor","Philip Hoffman","Capote",38,"New York",1967-07-23,7,23,1967
"165",79,2007,"Best actor","Forest Whitaker","The Last King of Scotland",45,"California",1961-07-15,7,15,1961
"166",80,2008,"Best actor","Daniel Day-Lewis","There Will Be Blood",50,"England",1957-04-29,4,29,1957
"167",81,2009,"Best actor","Sean Penn","Milk",48,"California",1960-08-17,8,17,1960
"168",82,2010,"Best actor","Jeff Bridges","Crazy Heart",60,"California",1949-12-04,12,4,1949
"169",83,2011,"Best actor","Colin Firth","The King's Speech",50,"England",1960-10-09,10,9,1960
"170",84,2012,"Best actor","Jean Dujardin","The Artist",39,"France",1972-07-19,7,19,1972
"171",85,2013,"Best actress","Jennifer Lawrence","Silver Linings Playbook",22,"Kentucky",1990-08-15,8,15,1990
"172",86,2014,"Best actress","Cate Blanchett","Blue Jasmine",44,"Australia",1969-05-14,5,14,1969
"173",87,2015,"Best actress","Julianne Moore","Still Alice",54,"North Carolina",1960-12-03,12,3,1960
"174",88,2016,"Best actress","Brie Larson","Room",26,"California",1989-10-01,10,1,1989
"175",89,2017,"Best actress","Emma Stone","La La Land",28,"Arizona",1988-11-06,11,6,1988
"176",90,2018,"Best actress","Frances McDormand","Three Billboards Outside of Ebbing Missouri",60,"Illinois",1957-06-23,6,23,1957
"177",91,2019,"Best actress","Olivia Colman","The Favourite",44,"England",1974-01-30,1,30,1974
"178",85,2013,"Best actor","Daniel Day-Lewis","Lincoln",55,"England",1957-04-29,4,29,1957
"179",86,2014,"Best actor","Matthew McConaughey","Dallas Buyers Club",44,"Texas",1969-11-04,11,4,1969
"180",87,2015,"Best actor","Eddie Redmayne","The Theory of Everything",32,"England",1982-01-06,1,6,1982
"181",88,2016,"Best actor","Leonardo Di Caprio","The Revenant",41,"California",1974-11-11,11,11,1974
"182",89,2017,"Best actor","Casey Affleck","Manchester by the Sa",41,"Massachusetts",1975-08-12,8,12,1975
"183",90,2018,"Best actor","Gary Oldman","Darkest Hour",59,"England",1958-03-21,3,21,1958
"184",91,2019,"Best actor","Rami Malek","Bohemian Rhapsody",37,"California",1981-05-12,5,12,1981
