"","course_id","prof_id","score","rank","ethnicity","gender","language","age","cls_perc_eval","cls_did_eval","cls_students","cls_level","cls_profs","cls_credits","bty_f1lower","bty_f1upper","bty_f2upper","bty_m1lower","bty_m1upper","bty_m2upper","bty_avg","pic_outfit","pic_color"
"72",72,13,3.9,"tenured","not minority","male","english",42,70.17544,40,57,"upper","single","multi credit",4,7,5,4,4,5,4.833,"not formal","color"
"73",73,13,4.4,"tenured","not minority","male","english",42,78.43137,40,51,"upper","single","multi credit",4,7,5,4,4,5,4.833,"not formal","color"
"74",74,13,3.8,"tenured","not minority","male","english",42,60,18,30,"upper","multiple","multi credit",4,7,5,4,4,5,4.833,"not formal","color"
"75",75,14,3.5,"tenured","not minority","male","non-english",49,83.33334,30,36,"upper","multiple","multi credit",3,3,5,1,7,5,4,"not formal","color"
"76",76,14,4.2,"tenured","not minority","male","non-english",49,83.78378,31,37,"upper","single","multi credit",3,3,5,1,7,5,4,"not formal","color"
"77",77,14,3.5,"tenured","not minority","male","non-english",49,51.72414,15,29,"upper","multiple","multi credit",3,3,5,1,7,5,4,"not formal","color"
"78",78,14,3.6,"tenured","not minority","male","non-english",49,85.18519,23,27,"upper","single","multi credit",3,3,5,1,7,5,4,"not formal","color"
"79",79,15,2.9,"tenure track","not minority","female","english",37,82.14286,23,28,"upper","single","multi credit",6,7,7,5,4,4,5.5,"not formal","color"
"80",80,15,3.3,"tenure track","not minority","female","english",37,65.38461,34,52,"upper","multiple","multi credit",6,7,7,5,4,4,5.5,"not formal","color"
"81",81,15,3.3,"tenure track","not minority","female","english",37,80.76923,21,26,"upper","single","multi credit",6,7,7,5,4,4,5.5,"not formal","color"
"82",82,15,3.2,"tenure track","not minority","female","english",37,96.66666,29,30,"upper","single","multi credit",6,7,7,5,4,4,5.5,"not formal","color"
"83",83,16,4.6,"tenured","not minority","male","english",45,69.69697,23,33,"upper","single","multi credit",2,4,3,5,4,7,4.167,"not formal","color"
"84",84,16,4.2,"tenured","not minority","male","english",45,25.42373,45,177,"lower","single","multi credit",2,4,3,5,4,7,4.167,"not formal","color"
"85",85,16,4.3,"tenured","not minority","male","english",45,45.22613,90,199,"lower","single","multi credit",2,4,3,5,4,7,4.167,"not formal","color"
"86",86,16,4.4,"tenured","not minority","male","english",45,84.375,27,32,"upper","single","multi credit",2,4,3,5,4,7,4.167,"not formal","color"
"87",87,16,4.1,"tenured","not minority","male","english",45,94.5946,35,37,"upper","single","multi credit",2,4,3,5,4,7,4.167,"not formal","color"
"88",88,16,4.6,"tenured","not minority","male","english",45,74.53416,120,161,"lower","single","multi credit",2,4,3,5,4,7,4.167,"not formal","color"
"89",89,17,4.4,"teaching","not minority","female","english",56,65.85366,27,41,"upper","single","multi credit",3,4,1,2,2,3,2.5,"not formal","color"
"90",90,17,4.8,"teaching","not minority","female","english",56,88.63636,39,44,"upper","single","multi credit",3,4,1,2,2,3,2.5,"not formal","color"
"91",91,17,4.3,"teaching","not minority","female","english",56,66.03773,35,53,"upper","multiple","multi credit",3,4,1,2,2,3,2.5,"not formal","color"
"92",92,17,3.6,"teaching","not minority","female","english",56,69.38776,34,49,"upper","multiple","multi credit",3,4,1,2,2,3,2.5,"not formal","color"
"93",93,17,4.3,"teaching","not minority","female","english",56,84.375,27,32,"upper","single","multi credit",3,4,1,2,2,3,2.5,"not formal","color"
"94",94,18,4,"teaching","not minority","male","english",48,74.07407,100,135,"lower","multiple","multi credit",3,5,6,4,4,4,4.333,"not formal","color"
"95",95,18,4.2,"teaching","not minority","male","english",48,60.60606,20,33,"upper","multiple","multi credit",3,5,6,4,4,4,4.333,"not formal","color"
"96",96,18,4.1,"teaching","not minority","male","english",48,73.68421,14,19,"upper","multiple","multi credit",3,5,6,4,4,4,4.333,"not formal","color"
"97",97,18,4.1,"teaching","not minority","male","english",48,58.55856,65,111,"lower","multiple","multi credit",3,5,6,4,4,4,4.333,"not formal","color"
"98",98,18,4.4,"teaching","not minority","male","english",48,63.75839,95,149,"lower","multiple","multi credit",3,5,6,4,4,4,4.333,"not formal","color"
"99",99,18,4.3,"teaching","not minority","male","english",48,66.66666,18,27,"upper","multiple","multi credit",3,5,6,4,4,4,4.333,"not formal","color"
"100",100,18,4.4,"teaching","not minority","male","english",48,62.5,85,136,"lower","multiple","multi credit",3,5,6,4,4,4,4.333,"not formal","color"
"101",101,18,4.4,"teaching","not minority","male","english",48,80.71429,113,140,"lower","multiple","multi credit",3,5,6,4,4,4,4.333,"not formal","color"
"102",102,19,4.9,"tenured","not minority","female","english",46,80.64516,25,31,"upper","multiple","multi credit",4,4,5,2,6,5,4.333,"not formal","black&white"
"103",103,19,5,"tenured","not minority","female","english",46,93.33334,14,15,"lower","multiple","multi credit",4,4,5,2,6,5,4.333,"not formal","black&white"
"104",104,19,4.4,"tenured","not minority","female","english",46,79.31035,23,29,"upper","multiple","multi credit",4,4,5,2,6,5,4.333,"not formal","black&white"
"105",105,19,4.8,"tenured","not minority","female","english",46,92,23,25,"upper","multiple","multi credit",4,4,5,2,6,5,4.333,"not formal","black&white"
"106",106,19,4.9,"tenured","not minority","female","english",46,50,9,18,"upper","multiple","multi credit",4,4,5,2,6,5,4.333,"not formal","black&white"
"107",107,19,4.3,"tenured","not minority","female","english",46,66.66666,30,45,"upper","multiple","multi credit",4,4,5,2,6,5,4.333,"not formal","black&white"
"108",108,19,5,"tenured","not minority","female","english",46,100,15,15,"lower","multiple","multi credit",4,4,5,2,6,5,4.333,"not formal","black&white"
"109",109,19,4.7,"tenured","not minority","female","english",46,81.57895,31,38,"upper","multiple","multi credit",4,4,5,2,6,5,4.333,"not formal","black&white"
"110",110,19,4.5,"tenured","not minority","female","english",46,80,12,15,"lower","multiple","multi credit",4,4,5,2,6,5,4.333,"not formal","black&white"
"111",111,20,3.5,"teaching","not minority","female","english",57,60.71429,17,28,"upper","multiple","multi credit",5,4,4,5,2,6,4.333,"not formal","color"
"112",112,20,3.9,"teaching","not minority","female","english",57,43.47826,10,23,"upper","multiple","multi credit",5,4,4,5,2,6,4.333,"not formal","color"
"113",113,20,4,"teaching","not minority","female","english",57,78.94736,15,19,"upper","multiple","multi credit",5,4,4,5,2,6,4.333,"not formal","color"
"114",114,20,4,"teaching","not minority","female","english",57,30.43478,7,23,"upper","multiple","multi credit",5,4,4,5,2,6,4.333,"not formal","color"
"115",115,20,3.7,"teaching","not minority","female","english",57,31.81818,7,22,"upper","multiple","multi credit",5,4,4,5,2,6,4.333,"not formal","color"
"116",116,20,3.4,"teaching","not minority","female","english",57,70,14,20,"upper","multiple","multi credit",5,4,4,5,2,6,4.333,"not formal","color"
"117",117,20,3.3,"teaching","not minority","female","english",57,42.10526,8,19,"upper","multiple","multi credit",5,4,4,5,2,6,4.333,"not formal","color"
"118",118,20,3.8,"teaching","not minority","female","english",57,73.91304,17,23,"upper","multiple","multi credit",5,4,4,5,2,6,4.333,"not formal","color"
"119",119,20,3.9,"teaching","not minority","female","english",57,45.45454,10,22,"upper","multiple","multi credit",5,4,4,5,2,6,4.333,"not formal","color"
"120",120,20,3.4,"teaching","not minority","female","english",57,80,12,15,"upper","multiple","multi credit",5,4,4,5,2,6,4.333,"not formal","color"
"121",121,21,3.7,"teaching","not minority","female","english",52,86.36364,19,22,"upper","single","multi credit",6,6,4,2,4,7,4.833,"not formal","color"
"122",122,21,4.1,"teaching","not minority","female","english",52,87.09677,27,31,"upper","multiple","multi credit",6,6,4,2,4,7,4.833,"not formal","color"
"123",123,21,3.7,"teaching","not minority","female","english",52,95.2381,20,21,"upper","multiple","multi credit",6,6,4,2,4,7,4.833,"not formal","color"
"124",124,21,3.5,"teaching","not minority","female","english",52,86.11111,31,36,"upper","multiple","multi credit",6,6,4,2,4,7,4.833,"not formal","color"
"125",125,21,3.5,"teaching","not minority","female","english",52,89.47369,17,19,"upper","multiple","one credit",6,6,4,2,4,7,4.833,"not formal","color"
"126",126,21,4.4,"teaching","not minority","female","english",52,62.16216,23,37,"upper","single","multi credit",6,6,4,2,4,7,4.833,"not formal","color"
"127",127,22,3.4,"tenure track","minority","female","non-english",29,73.07692,19,26,"upper","single","multi credit",3,3,4,2,3,2,2.833,"not formal","color"
"128",128,23,4.3,"tenured","not minority","male","english",62,76.92308,30,39,"upper","single","multi credit",4,3,4,1,2,4,3,"not formal","color"
"129",129,23,3.7,"tenured","not minority","male","english",62,51.08696,94,184,"lower","single","multi credit",4,3,4,1,2,4,3,"not formal","color"
"130",130,23,4.7,"tenured","not minority","male","english",62,92,46,50,"upper","single","multi credit",4,3,4,1,2,4,3,"not formal","color"
"131",131,23,3.9,"tenured","not minority","male","english",62,50.95541,80,157,"lower","single","multi credit",4,3,4,1,2,4,3,"not formal","color"
"132",132,23,3.6,"tenured","not minority","male","english",62,37.19512,61,164,"lower","single","multi credit",4,3,4,1,2,4,3,"not formal","color"
"133",133,24,4.5,"tenured","not minority","male","english",64,62.5,15,24,"upper","multiple","multi credit",5,4,5,3,3,5,4.167,"not formal","color"
"134",134,24,4.5,"tenured","not minority","male","english",64,75,51,68,"upper","multiple","multi credit",5,4,5,3,3,5,4.167,"not formal","color"
"135",135,24,4.8,"tenured","not minority","male","english",64,46.80851,22,47,"upper","multiple","multi credit",5,4,5,3,3,5,4.167,"not formal","color"
"136",136,24,4.8,"tenured","not minority","male","english",64,71.42857,10,14,"upper","multiple","multi credit",5,4,5,3,3,5,4.167,"not formal","color"
"137",137,24,4.7,"tenured","not minority","male","english",64,73.33334,11,15,"upper","multiple","multi credit",5,4,5,3,3,5,4.167,"not formal","color"
"138",138,24,4.5,"tenured","not minority","male","english",64,62.5,15,24,"upper","multiple","multi credit",5,4,5,3,3,5,4.167,"not formal","color"
"139",139,24,4.3,"tenured","not minority","male","english",64,53.84615,21,39,"upper","multiple","multi credit",5,4,5,3,3,5,4.167,"not formal","color"
"140",140,25,4.8,"tenure track","not minority","female","english",34,76.92308,20,26,"upper","multiple","multi credit",8,9,8,6,8,8,7.833,"not formal","color"
"141",141,25,4.1,"tenure track","not minority","female","english",34,82.5,33,40,"upper","multiple","multi credit",8,9,8,6,8,8,7.833,"not formal","color"
"142",142,26,4.4,"tenured","not minority","male","english",58,52.83019,84,159,"upper","single","multi credit",4,4,5,2,4,4,3.833,"not formal","color"
"143",143,26,4.3,"tenured","not minority","male","english",58,47.01987,71,151,"upper","single","multi credit",4,4,5,2,4,4,3.833,"not formal","color"
"144",144,26,3.6,"tenured","not minority","male","english",58,76.59574,36,47,"lower","single","multi credit",4,4,5,2,4,4,3.833,"not formal","color"
"145",145,26,4.5,"tenured","not minority","male","english",58,59.83607,73,122,"upper","single","multi credit",4,4,5,2,4,4,3.833,"not formal","color"
"146",146,26,4.3,"tenured","not minority","male","english",58,68.88889,31,45,"lower","single","multi credit",4,4,5,2,4,4,3.833,"not formal","color"
"147",147,27,4.4,"tenured","minority","male","non-english",52,81.25,13,16,"upper","single","multi credit",4,5,7,5,4,4,4.833,"formal","color"
"148",148,27,4.7,"tenured","minority","male","non-english",52,100,23,23,"upper","single","multi credit",4,5,7,5,4,4,4.833,"formal","color"
"149",149,27,4.8,"tenured","minority","male","non-english",52,75,12,16,"upper","single","multi credit",4,5,7,5,4,4,4.833,"formal","color"
"150",150,27,3.5,"tenured","minority","male","non-english",52,83.33334,15,18,"upper","single","multi credit",4,5,7,5,4,4,4.833,"formal","color"
"151",151,27,3.8,"tenured","minority","male","non-english",52,68.75,11,16,"upper","single","multi credit",4,5,7,5,4,4,4.833,"formal","color"
"152",152,27,3.6,"tenured","minority","male","non-english",52,80,12,15,"upper","single","multi credit",4,5,7,5,4,4,4.833,"formal","color"
"153",153,27,4.2,"tenured","minority","male","non-english",52,64.28571,18,28,"upper","multiple","multi credit",4,5,7,5,4,4,4.833,"formal","color"
"154",154,28,3.6,"tenured","not minority","male","english",73,70.58823,12,17,"upper","single","multi credit",1,3,6,2,1,5,3,"formal","color"
"155",155,28,4.4,"tenured","not minority","male","english",73,76.92308,10,13,"upper","single","multi credit",1,3,6,2,1,5,3,"formal","color"
"156",156,28,3.7,"tenured","not minority","male","english",73,76.19048,16,21,"upper","multiple","multi credit",1,3,6,2,1,5,3,"formal","color"
"157",157,28,4.3,"tenured","not minority","male","english",73,76.47059,13,17,"upper","single","multi credit",1,3,6,2,1,5,3,"formal","color"
"158",158,29,4.6,"tenured","not minority","male","english",70,35.07463,47,134,"upper","single","multi credit",5,3,2,3,3,2,3,"formal","color"
"159",159,29,4.6,"tenured","not minority","male","english",70,10.41667,5,48,"upper","single","multi credit",5,3,2,3,3,2,3,"formal","color"
"160",160,29,4.1,"tenured","not minority","male","english",70,53.125,34,64,"upper","single","multi credit",5,3,2,3,3,2,3,"formal","color"
"161",161,29,3.6,"tenured","not minority","male","english",70,34.78261,24,69,"upper","single","multi credit",5,3,2,3,3,2,3,"formal","color"
"162",162,30,2.3,"tenure track","not minority","female","english",41,83.33334,10,12,"upper","single","multi credit",3,6,7,4,4,7,5.167,"not formal","color"
"163",163,31,4.3,"teaching","not minority","male","english",63,65.11628,28,43,"upper","single","multi credit",5,4,6,4,2,5,4.333,"not formal","color"
"164",164,31,4.4,"teaching","not minority","male","english",63,78.57143,11,14,"upper","multiple","multi credit",5,4,6,4,2,5,4.333,"not formal","color"
"165",165,31,3.6,"teaching","not minority","male","english",63,66.66666,10,15,"upper","single","multi credit",5,4,6,4,2,5,4.333,"not formal","color"
"166",166,31,4.4,"teaching","not minority","male","english",63,77.77778,14,18,"upper","multiple","multi credit",5,4,6,4,2,5,4.333,"not formal","color"
"167",167,31,3.9,"teaching","not minority","male","english",63,75,12,16,"upper","multiple","multi credit",5,4,6,4,2,5,4.333,"not formal","color"
"168",168,31,3.8,"teaching","not minority","male","english",63,80,8,10,"upper","multiple","multi credit",5,4,6,4,2,5,4.333,"not formal","color"
"169",169,31,3.4,"teaching","not minority","male","english",63,48.93617,23,47,"upper","multiple","multi credit",5,4,6,4,2,5,4.333,"not formal","color"
"170",170,32,4.9,"tenured","not minority","male","english",47,66.66666,10,15,"upper","multiple","multi credit",1,4,3,2,3,3,2.667,"not formal","color"
"171",171,32,4.1,"tenured","not minority","male","english",47,71.42857,10,14,"upper","multiple","multi credit",1,4,3,2,3,3,2.667,"not formal","color"
"172",172,32,3.2,"tenured","not minority","male","english",47,83.33334,10,12,"upper","single","multi credit",1,4,3,2,3,3,2.667,"not formal","color"
"173",173,33,4.2,"tenured","not minority","male","english",39,34.95935,86,246,"lower","multiple","multi credit",5,6,6,6,5,5,5.5,"not formal","color"
"174",174,33,3.9,"tenured","not minority","male","english",39,48.73418,154,316,"lower","multiple","multi credit",5,6,6,6,5,5,5.5,"not formal","color"
"175",175,33,4.9,"tenured","not minority","male","english",39,80,12,15,"upper","multiple","multi credit",5,6,6,6,5,5,5.5,"not formal","color"
"176",176,33,4.7,"tenured","not minority","male","english",39,93.33334,14,15,"upper","multiple","multi credit",5,6,6,6,5,5,5.5,"not formal","color"
"177",177,33,4.4,"tenured","not minority","male","english",39,93.10345,27,29,"upper","single","multi credit",5,6,6,6,5,5,5.5,"not formal","color"
"178",178,34,4.2,"tenure track","minority","female","english",47,100,21,21,"lower","single","multi credit",2,6,6,3,5,4,4.333,"not formal","color"
"179",179,34,4,"tenure track","minority","female","english",47,100,8,8,"upper","multiple","multi credit",2,6,6,3,5,4,4.333,"not formal","color"
"180",180,34,4.4,"tenure track","minority","female","english",47,100,16,16,"lower","single","one credit",2,6,6,3,5,4,4.333,"not formal","color"
"181",181,34,3.9,"tenure track","minority","female","english",47,92.30769,24,26,"lower","single","multi credit",2,6,6,3,5,4,4.333,"not formal","color"
"182",182,34,4.4,"tenure track","minority","female","english",47,70,7,10,"upper","multiple","multi credit",2,6,6,3,5,4,4.333,"not formal","color"
"183",183,34,3,"tenure track","minority","female","english",47,96.15385,25,26,"lower","single","multi credit",2,6,6,3,5,4,4.333,"not formal","color"
"184",184,34,3.5,"tenure track","minority","female","english",47,92.30769,24,26,"lower","single","multi credit",2,6,6,3,5,4,4.333,"not formal","color"
"185",185,34,2.8,"tenure track","minority","female","english",47,92.30769,24,26,"lower","single","multi credit",2,6,6,3,5,4,4.333,"not formal","color"
"186",186,34,4.6,"tenure track","minority","female","english",47,95.2381,20,21,"lower","single","one credit",2,6,6,3,5,4,4.333,"not formal","color"
"187",187,34,4.3,"tenure track","minority","female","english",47,100,12,12,"lower","single","multi credit",2,6,6,3,5,4,4.333,"not formal","color"
"188",188,34,3.4,"tenure track","minority","female","english",47,92.59259,25,27,"lower","single","multi credit",2,6,6,3,5,4,4.333,"not formal","color"
"189",189,34,3,"tenure track","minority","female","english",47,96.2963,26,27,"lower","single","multi credit",2,6,6,3,5,4,4.333,"not formal","color"
"190",190,34,4.2,"tenure track","minority","female","english",47,96,24,25,"lower","single","multi credit",2,6,6,3,5,4,4.333,"not formal","color"
"191",191,35,4.3,"tenured","not minority","male","english",54,100,15,15,"upper","single","multi credit",1,2,4,1,2,4,2.333,"formal","color"
"192",192,35,4.1,"tenured","not minority","male","english",54,66.66666,10,15,"upper","single","multi credit",1,2,4,1,2,4,2.333,"formal","color"
"193",193,35,4.6,"tenured","not minority","male","english",54,94.11765,16,17,"upper","single","multi credit",1,2,4,1,2,4,2.333,"formal","color"
"194",194,36,3.9,"tenured","minority","female","english",44,54.54546,30,55,"upper","multiple","multi credit",6,8,8,5,7,5,6.5,"not formal","color"
"195",195,36,3.5,"tenured","minority","female","english",44,72.91666,35,48,"upper","single","multi credit",6,8,8,5,7,5,6.5,"not formal","color"
"196",196,36,4,"tenured","minority","female","english",44,100,21,21,"upper","multiple","multi credit",6,8,8,5,7,5,6.5,"not formal","color"
