"","opid","operator","atype","remarks","phase_of_flt","ac_mass","num_engs","date","time_of_day","state","height","speed","effect","sky","species","birds_seen","birds_struck"
"46","HNA","HENSON","DHC8 DASH 8","NO DAMAGE. FLT 4420","Take-off run",3,2,"11/25/1990 0:00:00","Day","SC",0,100,NA,"No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"47","MEP","MIDWEST AIRLINES","DC-9-10","ATIS WARNING. NO DAMAGE.","Approach",4,2,"10/4/1990 0:00:00","Day","WI",100,125,"None","No Cloud","GULLS","2-10","1"
"48","BUS","BUSINESS","LOCKHEED C-130",NA,"Take-off run",4,4,"8/12/1994 0:00:00","Dusk","NY",0,NA,"None","Some Cloud","RED-TAILED HAWK",NA,"1"
"49","NWA","NORTHWEST AIRLINES","DC-9","RAIN. REMAINS NOT FOUND.","Take-off run",4,2,"8/12/1994 0:00:00","Day","MI",0,160,"None","Overcast","UNKNOWN BIRD - SMALL",NA,"1"
"50","USA","US AIRWAYS","B-737-200","SMALL DENT IN HORIZ STABL. #2 ENG BEING CHECKED.","Climb",4,2,"10/22/1991 0:00:00","Dusk","OH",30,140,"Precautionary Landing","No Cloud","UNKNOWN BIRD - SMALL","11-100","1"
"51","USA","US AIRWAYS","FK-28-1000",NA,"Approach",4,2,"7/31/1991 0:00:00","Day","VA",50,125,"None","Some Cloud","SPARROWS",NA,"1"
"52","UNK","UNKNOWN","CESSNA UNKN","NO DAMAGE. # BIRDS SEEN OR STRUCK NOT REPTD, ASSUME 1.","Approach",NA,NA,"9/20/1990 0:00:00","Day","LA",NA,NA,NA,NA,"UNKNOWN BIRD",NA,"1"
"53","DAL","DELTA AIR LINES","B-727","NO DAMAGE/INJURY","Approach",4,3,"5/4/1991 0:00:00","Day","KY",3000,180,"None","Overcast","UNKNOWN BIRD - MEDIUM",NA,"1"
"54","USA","US AIRWAYS","B-737-200","DAMAGED 1ST & 2ND STAGE FANS. FLT 260","Take-off run",4,2,"6/1/1990 0:00:00","Dawn","ON",0,136,"None","No Cloud","GULLS","2-10","1"
"55","UAL","UNITED AIRLINES","B-737-500","R SIDE OF FUSELAGE. FORWARD OF THE PITOT TUBES. TOWER AND MX NOTIFIED. NO DAMAGE.","Approach",4,2,"8/11/1996 0:00:00",NA,"CO",NA,NA,NA,NA,"UNKNOWN BIRD",NA,"1"
"56","AAL","AMERICAN AIRLINES","B-757-200","NO DAMAGE","Approach",4,2,"10/10/1990 0:00:00",NA,"TX",600,130,NA,"Overcast","UNKNOWN BIRD - SMALL",NA,"1"
"57","SKW","SKYWEST AIRLINES","MERLIN III",NA,"Landing Roll",2,2,"3/8/1992 0:00:00","Day","CA",0,NA,"None","Some Cloud","GULLS",NA,"1"
"58","AAL","AMERICAN AIRLINES","B-727","NO DAMAGE. TIME = 1858Z","Take-off run",4,3,"6/13/1990 0:00:00",NA,NA,0,140,"None","Some Cloud","DOVES",NA,"1"
"59","COM","COMAIR AIRLINES","SAAB-340",NA,"Take-off run",3,2,"8/9/1993 0:00:00","Day","MI",0,98,"Aborted Take-off","Overcast","RED-TAILED HAWK",NA,"1"
"60","AAL","AMERICAN AIRLINES","MD-80",NA,"Approach",4,2,"8/30/1993 0:00:00","Day","NC",400,130,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"61","UAL","UNITED AIRLINES","B-737","FLT 1438. TIME = 1347Z. HIT A BIRD ON DEPTR. NO DAMAGE REPTD.  CONTD TO DENVER W/O INCIDENT.","Climb",4,2,"10/14/1993 0:00:00","Night","WA",NA,NA,"None",NA,"UNKNOWN BIRD",NA,"1"
"62","AAL","AMERICAN AIRLINES","DC-10-30","LARGE, POSSIBLY EAGLE","Climb",4,3,"11/30/1990 0:00:00","Day","IL",2500,330,NA,"No Cloud","HAWKS",NA,"1"
"63","SDU","WESTAIR COMMUTER","BA-31 JETSTR","NO DAMAGE. FLT 296.","Take-off run",2,2,"10/1/1990 0:00:00","Day","CA",0,91,NA,"No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"64","BUS","BUSINESS","PA-44 SEMINOLE",NA,"Climb",2,2,"3/3/1991 0:00:00","Day","NC",30,100,"None","Overcast","GULLS","2-10","1"
"65","UAL","UNITED AIRLINES","B-737-200","MX INSPN. NO DAMAGE.","Landing Roll",4,2,"8/11/1996 0:00:00",NA,"TN",0,NA,NA,NA,"UNKNOWN BIRD",NA,"1"
"66","UAL","UNITED AIRLINES","B-737-200","LEFT SIDE OF A/C #1 ENGINE AT ROTATION. ENGINE INDICATION WERE NORMAL, CONT. FLIGHT.","Climb",4,2,"5/29/1996 0:00:00",NA,"MO",NA,NA,NA,NA,"UNKNOWN BIRD",NA,"1"
"67","UAL","UNITED AIRLINES","DC-10-10","AT ROTATION, ENCOUNTERED 5 OR 6 PIGEON SIZED BIRDS. 1 CONFIRMED STRIKE ABOVE CAPT CLEARVIEW WINDSHIELD. ALL ENGINE INDICATIONS NORMAL. CREW CALLED SAM AFTER DEPARTURE.","Climb",4,3,"5/30/1995 0:00:00",NA,"CA",NA,NA,NA,NA,"UNKNOWN BIRD - SMALL","2-10","1"
"68","UAL","UNITED AIRLINES","B-737-500","ABOVE WINDOW L1. A/C EXTERIOR  INSPECT AFTER LANDING. NO APPARENT DAMAGE. SAM WAS CALLED AND CREW DETERMINED A/C AIRWORTHY. LOG WRITE UP.",NA,4,2,"6/13/1995 0:00:00",NA,NA,NA,NA,NA,NA,"UNKNOWN BIRD",NA,"1"
"69","UAL","UNITED AIRLINES","B-737-200","MECH. WALKAROUND AT ORD FOUND SIGNIFICANT DAMAGE TO #2 ENGINE. BIRD EVID. PRESENT ON STATOR AND ROTOR BLADES OF FAN SECTION. DAMAGE TO AT LEAST ONE FAN BLADE SEEMED TO BE EXTREME .",NA,4,2,"6/16/1995 0:00:00",NA,NA,NA,NA,NA,NA,"UNKNOWN BIRD",NA,"1"
"70","UAL","UNITED AIRLINES","B-737-200","AT LIFTOFF, BIRD INGESTED INTO #2 ENGINE RESULTING IN A POP. ENGINE OPERATION NORMAL. MX ADVISED AND A/C INSPECTED AT ORD. NO DAMAGE FOUND.","Climb",4,2,"6/21/1995 0:00:00",NA,"WI",NA,NA,NA,NA,"UNKNOWN BIRD",NA,"1"
"71","UNK","UNKNOWN","PA-28","MINOR DAMAGE TO COWLING BEHIND NOSE WHEEL. TEAL?","Take-off run",1,1,"11/30/1990 0:00:00","Day","FL",0,60,NA,"No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"72","NWA","NORTHWEST AIRLINES","DC-10","SEA ATCT REPORTS FLT 150 WAS 8 NM NORTH OF SEA TAC WHEN  THEY REPTD THEY THOUGHT THEY HIT A BIRD, THERE WAS NO APPARENT DAMAGE.","Climb",4,3,"7/9/1990 0:00:00","Day","WA",2000,200,"None","No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"73","MTR","METROFLIGHT","SAAB-340","FLT 899, DFW-FYV, REPTD A BIRD STRIKE ON DEPT.  NO APPARENT AC  DAMAGE.","Take-off run",3,2,"6/18/1992 0:00:00","Day","TX",0,NA,NA,NA,"UNKNOWN BIRD",NA,"1"
"74","BUS","BUSINESS","PA-60 600","1 BIRD IN COWLING. A FLOCK OF SPARROWS OR STARLINGS SUDDENLY  SWARMED UP AS WE WERE LANDING. NO DAMAGE.","Approach",2,2,"12/2/1992 0:00:00","Day","VA",100,106,NA,"Some Cloud","UNKNOWN BIRD - SMALL","2-10","2-10"
"75","USA","US AIRWAYS","B-737-200","RETD FOR ENG INSPN. TIME OUT OF SVC WAS 2 HR 35 MIN.","Climb",4,2,"11/8/1990 0:00:00","Night","NY",60,230,"Precautionary Landing","No Cloud","UNKNOWN BIRD",NA,"1"
"76","NAE","NASHVILLE EAGLE","SHORTS 360","BODY NOT RECOVERED.","Descent",3,2,"9/29/1992 0:00:00","Day","NY",2500,190,"None","Some Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"77","SWA","SOUTHWEST AIRLINES","B-737-500","MAINT INSPN FOUND BLOOD & FEATHERS IN NOSE GEAR AREA & UPPER  FORWARD WINDSHLD. NO STRUCTURAL DAMAGE FOUND.  HIT A FLOCK OF  WATERFOWL.  WARNING ON ATIS","Approach",4,2,"11/6/1992 0:00:00","Day","CA",1200,140,NA,"No Cloud","DUCKS, GEESE, SWANS","2-10","2-10"
"78","AAL","AMERICAN AIRLINES","MD-80","NO DAMAGE","Approach",4,2,"10/22/1990 0:00:00","Night","TX",3500,180,NA,"Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"79","USA","US AIRWAYS","B-737-300","BIRD HIT CAPTAINS UPPER LEFT WINDSCREEN.","Landing Roll",4,2,"8/29/1991 0:00:00","Day","FL",0,100,NA,"Some Cloud","EGRETS","2-10","2-10"
"80","SWA","SOUTHWEST AIRLINES","B-737-300","NO DAMAGE/INJURY","Approach",4,2,"8/23/1991 0:00:00","Night","TX",4000,250,NA,"Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"81","ACK","NANTUCKET AIRLINES","C-402","STRUCK A BIRD ON DEPTR. NO DAMAGE WAS REPORTED. FLT 28. TIME =  1020EDT.","Take-off run",2,2,"8/18/1991 0:00:00","Day","MA",0,NA,NA,NA,"UNKNOWN BIRD",NA,"1"
"82","UNK","UNKNOWN","UNKNOWN","DAY.",NA,NA,NA,"4/15/1991 0:00:00",NA,"WA",NA,NA,NA,"Overcast","SHORT-EARED OWL",NA,"1"
"83","PVT","PRIVATELY OWNED","PA-28","NO DAMAGE/INJURY","Approach",1,1,"9/2/1991 0:00:00","Day","SC",950,85,NA,"Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"84","BUS","BUSINESS","BE-200 KING","BIRD APPEARED TO BE ROOSTING ON RWY FOR THE NIGHT.","Landing Roll",2,2,"4/21/1990 0:00:00","Night","MD",0,80,"None","Overcast","GULLS",NA,"1"
"85","USA","US AIRWAYS","B-737-300","DAMAGED  CAPT'S WINDSHLD WIPERS.","Descent",4,2,"2/26/1990 0:00:00","Night","TX",10000,250,NA,"No Cloud","HAWKS",NA,"1"
"86","AMW","AIR MIDWEST","BA-31 JETSTR","RADOME DENTED IN 6"" DEEP 8"" DIAMETER. NOT REPARABLE, RADAR DISH  UNDAMAGED.","Descent",2,2,"9/9/1990 0:00:00","Night","IN",4500,245,"None","No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"87","GOV","GOVERNMENT","CV-580","NO DAMAGE.","Approach",3,2,"2/22/1990 0:00:00","Day","NJ",12000,NA,NA,"No Cloud","GULLS","2-10","2-10"
"88","EGF","AMERICAN EAGLE AIRLINES","SAAB-340","HIT BELOW WINDSHLD ON RT SIDE.","Climb",3,2,"10/18/1993 0:00:00","Day","NY",100,160,"None","No Cloud","SPARROWS","2-10","1"
"89","ABX","ABX AIR (was AIRBORNE EXPRESS)","DC-9","7 MI N OF ARPT. # BIRDS STRUCK NOT REPTD, ASSUME 1.","Approach",4,2,"9/28/1993 0:00:00","Dawn","FL",4000,210,"None","No Cloud","UNKNOWN BIRD",NA,"1"
"90","AAL","AMERICAN AIRLINES","FK-100",NA,"Approach",4,2,"9/3/1993 0:00:00","Night","TX",5000,250,"None","No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"91","AAL","AMERICAN AIRLINES","B-727",NA,"Landing Roll",4,3,"4/29/1992 0:00:00","Day",NA,0,80,"None","Some Cloud","PARROTS",NA,"1"
"92","NAE","NASHVILLE EAGLE","BA-31 JETSTR","NEED NEW ENG & PROP. NO INJURY. DATE = POSTMARK. ALT REPD AS 5000' BUT SINCE FORM DID NOT INDICATE AGL VS MSL, ASSUME MSL AND CHANGED ALT TO 3000' AGL DUE TO FIELD ELEVATION OF 2168'","Approach",2,2,"10/29/1990 0:00:00","Night","NC",5000,160,NA,"No Cloud","BARN OWL",NA,"1"
"93","COA","CONTINENTAL AIRLINES","MD-80","LEFT ENGINE DAMAGE. FLT 615.","Take-off run",4,2,"10/29/1990 0:00:00","Day","FL",0,NA,NA,"No Cloud","EGRETS","2-10","2-10"
"94","MDW","MIDWAY AIRLINES","DC-9","LANDING LIGHT BROKEN.","Approach",4,2,"9/26/1991 0:00:00","Day","KY",100,120,NA,"No Cloud","MOURNING DOVE","2-10","2-10"
"95","BLR","ATLANTIC COAST AIRLINES","EMB-120","NOT A GULL, SMALL, WHITE WATER TYPE BIRD, SOME TYPE OF TERN","Approach",3,2,"3/24/1992 0:00:00","Day","DC",50,125,"None","No Cloud","TERNS","2-10","1"
"96","NAE","NASHVILLE EAGLE","SHORTS 360",NA,"Approach",3,2,"10/1/1993 0:00:00","Day","NC",200,110,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"97","TWA","TRANS WORLD AIRLINES","B-747-1/200","DAMAGE TO  #3 ENGINE 8TH STAGE COMP. ID BY SMITHSONIAN, IMMATURE (1ST YR BIRD)","Approach",5,4,"8/2/1990 0:00:00","Day","NY",300,NA,NA,"No Cloud","HERRING GULL",NA,"1"
"98","BUS","BUSINESS","C-185 SKYWAG","NO DAMAGE.","Approach",1,1,"8/24/1990 0:00:00","Day","LA",25,NA,NA,"No Cloud","SPARROWS",NA,"1"
"99","AAL","AMERICAN AIRLINES","MD-80","FLT 1423 REPTD STRIKES ON F/O'S WINDSHLD, SLIDING  & REAR  WINDOWS. POSSIBLE STRIKES ELSEWHERE. FEATHERS FOUND IN #2 ENG.  A/C TAKEN OUT OF SERVICE. NO INJURIES. DAMAGE UNKN. TIME =  1144CST","Take-off run",4,2,"6/1/1992 0:00:00","Day","TX",0,150,"Aborted Take-off","Some Cloud","ROCK PIGEON","2-10","2-10"
"100","USA","US AIRWAYS","DC-9","LOWER LEFT CORNER OF RADOME STRUCK WITH NO DAMAGE. ATIS WARNING.","Landing Roll",4,2,"7/26/1991 0:00:00","Day","NJ",0,100,"None","Some Cloud","LAUGHING GULL",NA,"1"
"101","USA","US AIRWAYS","MD-80","PILOT FILED OWN REPT THRU COMPANY. ATIS WARNING. FLT 2082.","Approach",4,2,"9/20/1993 0:00:00","Night","NJ",3000,210,"None","Some Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"102","BUS","BUSINESS","PA-32","NO DAMAGE/INJURY. FLT 2215Z.","Approach",1,1,"3/9/1991 0:00:00","Day","FL",10,90,NA,"Overcast","GULLS","2-10","2-10"
"103","BUS","BUSINESS","PA-28","NO DAMAGE","Landing Roll",1,1,"6/12/1990 0:00:00","Day","MI",0,65,NA,"Some Cloud","SPARROWS",NA,"1"
"104","BUS","BUSINESS","C-650",NA,"Approach",3,2,"7/15/1993 0:00:00","Day","PA",50,100,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"105","UNK","UNKNOWN","BE-58  BARON","UNKN IF ANY DAMAGE.","Climb",2,2,"9/25/1992 0:00:00","Day","IL",100,110,NA,"Some Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"106","UPS","UPS AIRLINES","B-727","PERFORMED MAINT. INSPN. NO DAMAGE FOUND.","Approach",4,3,"9/20/1991 0:00:00","Night","VA",2000,125,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"107","AAL","AMERICAN AIRLINES","MD-80","POSSIBLE BIRD STRIKE DURING T/O.  NO SUSPECTED DAMAGE.","Take-off run",4,2,"7/3/1993 0:00:00","Day","PA",0,100,"None","Some Cloud","UNKNOWN BIRD - SMALL","2-10","1"
"108","COA","CONTINENTAL AIRLINES","DC-9","NO DAMAGE.","Take-off run",4,2,"12/20/1990 0:00:00","Day","KY",0,NA,NA,"Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
