rownames,model_yr,mfr_name,division,carline,mfr_code,model_type_index,engine_displacement,no_cylinders,transmission_speed,city_mpg,hwy_mpg,comb_mpg,guzzler,air_aspir_method,air_aspir_method_desc,transmission,transmission_desc,no_gears,trans_lockup,trans_creeper_gear,drive_sys,drive_desc,fuel_usage,fuel_usage_desc,class,car_truck,release_date,fuel_cell
23,2012,General Motors,Chevrolet,CORVETTE,GMX,43,6.2,8,Manual(M6),16,26,19,N,,Naturally Aspirated,M,Manual,6,Y,N,R,"2-Wheel Drive, Rear",G,Gasoline (Regular Unleaded Recommended),Two Seaters,car,2011-06-02,
24,2012,General Motors,Chevrolet,CORVETTE,GMX,44,6.2,8,Manual(M6),14,21,17,Y,SC,Supercharged,M,Manual,6,Y,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2011-06-23,
25,2012,General Motors,Chevrolet,CORVETTE,GMX,45,7,8,Manual(M6),15,24,18,N,,Naturally Aspirated,M,Manual,6,Y,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2011-06-23,
26,2012,Honda,Honda,CR-Z,HNX,9,1.5,4,Auto(AV-S7),35,39,37,N,,Naturally Aspirated,SCV,Selectable Continuously Variable (e.g. CVT with paddles),7,Y,N,F,"2-Wheel Drive, Front",G,Gasoline (Regular Unleaded Recommended),Two Seaters,car,2011-09-30,N
27,2012,Honda,Honda,CR-Z,HNX,8,1.5,4,Manual(M6),31,37,34,N,,Naturally Aspirated,M,Manual,6,N,N,F,"2-Wheel Drive, Front",G,Gasoline (Regular Unleaded Recommended),Two Seaters,car,2011-09-30,N
28,2012,Lamborghini,Lamborghini,Aventador Coupe,NLX,7,6.5,12,Auto(S7),11,17,13,Y,,Naturally Aspirated,SA,Semi-Automatic,7,Y,N,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-02-28,
29,2012,Audi,Lamborghini,Gallardo Coupe,ADX,62,5.2,10,Auto(AM6),13,20,16,Y,,Naturally Aspirated,AM,Automated Manual,6,N,N,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-05-25,
30,2012,Audi,Lamborghini,Gallardo Coupe,ADX,64,5.2,10,Manual(M6),12,20,15,Y,,Naturally Aspirated,M,Manual,6,N,N,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-05-25,
31,2012,Audi,Lamborghini,Gallardo Spyder,ADX,63,5.2,10,Auto(AM6),13,20,16,Y,,Naturally Aspirated,AM,Automated Manual,6,N,N,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-05-25,
32,2012,Lamborghini,Lamborghini,Gallardo Spyder,NLX,65,5.2,10,Manual(M6),12,20,14,Y,,Naturally Aspirated,M,Manual,6,N,N,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-05-25,
33,2012,Toyota,LEXUS,LFA,TYX,3,4.8,10,Auto(S6),11,16,12,Y,,Naturally Aspirated,SA,Semi-Automatic,6,Y,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2011-01-03,
34,2012,MAZDA,MAZDA,MX-5,TKX,8,2,4,Auto(S6),21,28,23,N,,Naturally Aspirated,SA,Semi-Automatic,6,Y,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-07-12,
35,2012,MAZDA,MAZDA,MX-5,TKX,6,2,4,Manual(M5),22,28,25,N,,Naturally Aspirated,M,Manual,5,N,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-07-12,
36,2012,MAZDA,MAZDA,MX-5,TKX,7,2,4,Manual(M6),21,28,24,N,,Naturally Aspirated,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-07-12,
37,2012,Mercedes-Benz,Mercedes-Benz,SL 550,MBX,222,5.5,8,Auto(A7),14,22,17,Y,,Naturally Aspirated,A,Automatic,7,Y,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2011-06-24,
38,2012,Mercedes-Benz,Mercedes-Benz,SL 63 AMG,MBX,226,6.2,8,Auto(A7),12,19,14,Y,,Naturally Aspirated,A,Automatic,7,Y,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2011-07-01,
39,2012,Mercedes-Benz,Mercedes-Benz,SLK 250,MBX,232,1.8,4,Auto(A7),23,33,26,N,TC,Turbocharged,A,Automatic,7,Y,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2012-02-23,
40,2012,Mercedes-Benz,Mercedes-Benz,SLK 250,MBX,233,1.8,4,Manual(M6),22,32,26,N,TC,Turbocharged,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2012-02-23,
41,2012,Mercedes-Benz,Mercedes-Benz,SLK 350,MBX,236,3.5,6,Auto(A7),20,29,23,N,,Naturally Aspirated,A,Automatic,7,Y,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2011-05-30,
42,2012,Mercedes-Benz,Mercedes-Benz,SLK 55 AMG,MBX,238,5.5,8,Auto(A7),19,28,22,N,,Naturally Aspirated,A,Automatic,7,Y,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2012-02-01,
43,2012,Mercedes-Benz,Mercedes-Benz,SLS AMG,MBX,270,6.2,8,Auto(AM7),14,20,16,Y,,Naturally Aspirated,AM,Automated Manual,7,Y,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2011-07-01,
44,2012,Mercedes-Benz,Mercedes-Benz,SLS AMG Roadster,MBX,271,6.2,8,Auto(AM7),14,20,16,Y,,Naturally Aspirated,AM,Automated Manual,7,Y,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2011-08-31,
45,2012,Mercedes-Benz,Mercedes-Benz,Smart fortwo (CABRIOLET),MBX,703,1,3,Auto(AM5),34,38,36,N,,Naturally Aspirated,AM,Automated Manual,5,N,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2011-10-10,
46,2012,Mercedes-Benz,Mercedes-Benz,Smart fortwo (COUPE),MBX,702,1,3,Auto(AM5),34,38,36,N,,Naturally Aspirated,AM,Automated Manual,5,N,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2011-10-10,
47,2012,BMW,Mini,Mini Cooper Coupe,BMX,40,1.6,4,Auto(S6),28,36,31,N,,Naturally Aspirated,SA,Semi-Automatic,6,Y,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-08-29,
48,2012,BMW,Mini,Mini Cooper Coupe,BMX,41,1.6,4,Manual(M6),29,37,32,N,,Naturally Aspirated,M,Manual,6,N,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-08-29,
49,2012,BMW,Mini,Mini Cooper Roadster,BMX,42,1.6,4,Auto(S6),27,35,30,N,,Naturally Aspirated,SA,Semi-Automatic,6,Y,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-08-29,
50,2012,BMW,Mini,Mini Cooper Roadster,BMX,43,1.6,4,Manual(M6),27,35,30,N,,Naturally Aspirated,M,Manual,6,N,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-08-29,
51,2012,BMW,Mini,Mini Cooper S Coupe,BMX,44,1.6,4,Auto(S6),26,34,29,N,TC,Turbocharged,SA,Semi-Automatic,6,Y,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-08-29,
52,2012,BMW,Mini,Mini Cooper S Coupe,BMX,45,1.6,4,Manual(M6),27,35,30,N,TC,Turbocharged,M,Manual,6,N,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-08-29,
53,2012,BMW,Mini,Mini Cooper S Roadster,BMX,46,1.6,4,Auto(S6),26,34,29,N,TC,Turbocharged,SA,Semi-Automatic,6,Y,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-08-29,
54,2012,BMW,Mini,Mini Cooper S Roadster,BMX,47,1.6,4,Manual(M6),27,35,30,N,TC,Turbocharged,M,Manual,6,N,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-08-29,
55,2012,BMW,Mini,Mini John Cooper Works Coupe,BMX,48,1.6,4,Manual(M6),25,33,28,N,TC,Turbocharged,M,Manual,6,N,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-08-29,
56,2012,BMW,Mini,Mini John Cooper Works Roadster,BMX,49,1.6,4,Manual(M6),25,33,28,N,TC,Turbocharged,M,Manual,6,N,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-08-29,
57,2012,Nissan,NISSAN,370Z,NSX,56,3.7,6,Auto(S7),19,26,22,N,,Naturally Aspirated,SA,Semi-Automatic,7,Y,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2011-09-24,
58,2012,Nissan,NISSAN,370Z,NSX,57,3.7,6,Manual(M6),18,26,21,N,,Naturally Aspirated,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2011-09-24,
59,2012,Nissan,NISSAN,370Z ROADSTER,NSX,58,3.7,6,Auto(S7),18,25,21,N,,Naturally Aspirated,SA,Semi-Automatic,7,Y,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2011-10-04,
60,2012,Nissan,NISSAN,370Z ROADSTER,NSX,59,3.7,6,Manual(M6),18,25,20,N,,Naturally Aspirated,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2011-10-04,
61,2012,Porsche,Porsche,911 Speedster,PRX,65,3.8,6,Auto(A7),19,27,21,N,,Naturally Aspirated,A,Automatic,7,Y,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-02-11,
62,2012,Porsche,Porsche,Boxster,PRX,31,2.9,6,Auto(A7),20,29,24,N,,Naturally Aspirated,A,Automatic,7,Y,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-04-01,
63,2012,Porsche,Porsche,Boxster,PRX,30,2.9,6,Manual(M6),19,27,22,N,,Naturally Aspirated,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-04-01,
64,2012,Porsche,Porsche,Boxster S,PRX,36,3.4,6,Auto(A7),20,29,23,N,,Naturally Aspirated,A,Automatic,7,Y,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-01-31,
65,2012,Porsche,Porsche,Boxster S,PRX,35,3.4,6,Manual(M6),19,26,22,N,,Naturally Aspirated,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-01-31,
66,2012,Porsche,Porsche,Boxster Spyder,PRX,40,3.4,6,Auto(A7),20,29,23,N,,Naturally Aspirated,A,Automatic,7,Y,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-01-31,
67,2012,Porsche,Porsche,Boxster Spyder,PRX,39,3.4,6,Manual(M6),19,27,22,N,,Naturally Aspirated,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-01-31,
68,2012,Porsche,Porsche,Cayman,PRX,33,2.9,6,Auto(A7),20,29,24,N,,Naturally Aspirated,A,Automatic,7,Y,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-04-01,
69,2012,Porsche,Porsche,Cayman,PRX,32,2.9,6,Manual(M6),19,27,22,N,,Naturally Aspirated,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-04-01,
70,2012,Porsche,Porsche,Cayman R,PRX,42,3.4,6,Auto(A7),20,29,23,N,,Naturally Aspirated,A,Automatic,7,Y,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-01-31,
71,2012,Porsche,Porsche,Cayman R,PRX,41,3.4,6,Manual(M6),19,27,22,N,,Naturally Aspirated,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-01-31,
72,2012,Porsche,Porsche,Cayman S,PRX,38,3.4,6,Auto(A7),20,29,23,N,,Naturally Aspirated,A,Automatic,7,Y,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-01-31,
73,2012,Porsche,Porsche,Cayman S,PRX,37,3.4,6,Manual(M6),19,26,22,N,,Naturally Aspirated,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2011-01-31,
74,2012,aston martin,Aston Martin Lagonda Ltd,DB9,ASX,6,5.9,12,Auto(S6),13,20,15,Y,,Naturally Aspirated,SA,Semi-Automatic,6,Y,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-05-06,N
75,2012,aston martin,Aston Martin Lagonda Ltd,DB9,ASX,10,5.9,12,Manual(M6),11,17,13,Y,,Naturally Aspirated,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-05-06,N
76,2012,aston martin,Aston Martin Lagonda Ltd,DBS,ASX,5,5.9,12,Auto(S6),12,18,14,Y,,Naturally Aspirated,SA,Semi-Automatic,6,Y,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-05-06,N
77,2012,aston martin,Aston Martin Lagonda Ltd,DBS,ASX,4,5.9,12,Manual(M6),11,17,13,Y,,Naturally Aspirated,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-05-06,N
78,2012,aston martin,Aston Martin Lagonda Ltd,Virage,ASX,9,5.9,12,Auto(S6),13,18,15,Y,,Naturally Aspirated,SA,Semi-Automatic,6,Y,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-05-06,N
79,2012,Chrysler Group LLC,FIAT,500,CRX,601,1.4,4,Auto(A6),27,34,30,N,,Naturally Aspirated,A,Automatic,6,Y,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-01-21,
80,2012,Chrysler Group LLC,FIAT,500,CRX,600,1.4,4,Manual(M5),30,38,33,N,,Naturally Aspirated,M,Manual,5,N,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-01-03,
81,2012,Chrysler Group LLC,FIAT,500 Abarth,CRX,603,1.4,4,Manual(M5),28,34,31,N,TC,Turbocharged,M,Manual,5,N,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2012-02-10,
82,2012,Chrysler Group LLC,FIAT,500 Cabrio,CRX,602,1.4,4,Auto(A6),27,32,29,N,,Naturally Aspirated,A,Automatic,6,Y,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-03-01,
83,2012,Jaguar Cars,Jaguar Cars Ltd,Jaguar XK,JCX,4,5,8,Auto(S6),16,24,19,N,,Naturally Aspirated,SA,Semi-Automatic,6,Y,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-07-14,N
84,2012,Jaguar Cars,Jaguar Cars Ltd,Jaguar XK,JCX,10,5,8,Auto(S6),15,22,17,N,SC,Supercharged,SA,Semi-Automatic,6,Y,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-07-14,N
85,2012,Jaguar Cars,Jaguar Cars Ltd,Jaguar XK Convertible,JCX,2,5,8,Auto(S6),15,22,17,N,SC,Supercharged,SA,Semi-Automatic,6,Y,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-07-14,N
86,2012,Jaguar Cars,Jaguar Cars Ltd,Jaguar XK Convertible,JCX,3,5,8,Auto(S6),16,22,18,N,,Naturally Aspirated,SA,Semi-Automatic,6,Y,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-07-14,N
87,2012,Lotus,Lotus Cars Ltd,Evora,LTX,5,3.5,6,Auto(S6),20,28,23,N,,Naturally Aspirated,SA,Semi-Automatic,6,Y,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2012-01-02,
88,2012,Lotus,Lotus Cars Ltd,Evora,LTX,6,3.5,6,Auto(S6),19,28,22,N,SC,Supercharged,SA,Semi-Automatic,6,Y,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-11-18,
89,2012,Lotus,Lotus Cars Ltd,Evora,LTX,3,3.5,6,Manual(M6),18,26,21,N,,Naturally Aspirated,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2012-01-02,
90,2012,Lotus,Lotus Cars Ltd,Evora,LTX,4,3.5,6,Manual(M6),17,26,20,N,SC,Supercharged,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2012-01-02,
91,2012,BMW,Mini,Mini Cooper,BMX,10,1.6,4,Auto(S6),28,36,31,N,,Naturally Aspirated,SA,Semi-Automatic,6,Y,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-08-29,
92,2012,BMW,Mini,Mini Cooper,BMX,11,1.6,4,Manual(M6),29,37,32,N,,Naturally Aspirated,M,Manual,6,N,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-08-29,
93,2012,BMW,Mini,Mini Cooper Convertible,BMX,14,1.6,4,Auto(S6),27,35,30,N,,Naturally Aspirated,SA,Semi-Automatic,6,Y,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-08-29,
94,2012,BMW,Mini,Mini Cooper Convertible,BMX,15,1.6,4,Manual(M6),27,35,30,N,,Naturally Aspirated,M,Manual,6,N,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-08-29,
95,2012,BMW,Mini,Mini Cooper S,BMX,16,1.6,4,Auto(S6),26,34,29,N,TC,Turbocharged,SA,Semi-Automatic,6,Y,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-08-29,
96,2012,BMW,Mini,Mini Cooper S,BMX,17,1.6,4,Manual(M6),27,35,30,N,TC,Turbocharged,M,Manual,6,N,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-08-29,
97,2012,BMW,Mini,Mini Cooper S Convertible,BMX,20,1.6,4,Auto(S6),26,34,29,N,TC,Turbocharged,SA,Semi-Automatic,6,Y,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-08-29,
98,2012,BMW,Mini,Mini Cooper S Convertible,BMX,21,1.6,4,Manual(M6),27,35,30,N,TC,Turbocharged,M,Manual,6,N,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-08-29,
99,2012,BMW,Mini,Mini John Cooper Works,BMX,23,1.6,4,Manual(M6),25,33,28,N,TC,Turbocharged,M,Manual,6,N,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-08-29,
100,2012,BMW,Mini,Mini John Cooper Works Conv,BMX,24,1.6,4,Manual(M6),25,33,28,N,TC,Turbocharged,M,Manual,6,N,N,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),Minicompact Cars,car,2011-08-29,
101,2012,Mitsubishi Motors NA,Mitsubishi Motors North America,ECLIPSE SPYDER,DSX,322,2.4,4,Auto(S4),20,27,23,N,,Naturally Aspirated,SA,Semi-Automatic,4,Y,N,F,"2-Wheel Drive, Front",G,Gasoline (Regular Unleaded Recommended),Minicompact Cars,car,2011-01-24,N
