"","country","continent","year","lifeExp","pop","gdpPercap"
"85","Bahrain","Asia",1952,50.939,120447,9867.084765
"86","Bahrain","Asia",1957,53.832,138655,11635.79945
"87","Bahrain","Asia",1962,56.923,171863,12753.27514
"88","Bahrain","Asia",1967,59.923,202182,14804.6727
"89","Bahrain","Asia",1972,63.3,230800,18268.65839
"90","Bahrain","Asia",1977,65.593,297410,19340.10196
"91","Bahrain","Asia",1982,69.052,377967,19211.14731
"92","Bahrain","Asia",1987,70.75,454612,18524.02406
"93","Bahrain","Asia",1992,72.601,529491,19035.57917
"94","Bahrain","Asia",1997,73.925,598561,20292.01679
"95","Bahrain","Asia",2002,74.795,656397,23403.55927
"96","Bahrain","Asia",2007,75.635,708573,29796.04834
"97","Bangladesh","Asia",1952,37.484,46886859,684.2441716
"98","Bangladesh","Asia",1957,39.348,51365468,661.6374577
"99","Bangladesh","Asia",1962,41.216,56839289,686.3415538
"100","Bangladesh","Asia",1967,43.453,62821884,721.1860862
"101","Bangladesh","Asia",1972,45.252,70759295,630.2336265
"102","Bangladesh","Asia",1977,46.923,80428306,659.8772322
"103","Bangladesh","Asia",1982,50.009,93074406,676.9818656
"104","Bangladesh","Asia",1987,52.819,103764241,751.9794035
"105","Bangladesh","Asia",1992,56.018,113704579,837.8101643
"106","Bangladesh","Asia",1997,59.412,123315288,972.7700352
"107","Bangladesh","Asia",2002,62.013,135656790,1136.39043
"108","Bangladesh","Asia",2007,64.062,150448339,1391.253792
"109","Belgium","Europe",1952,68,8730405,8343.105127
"110","Belgium","Europe",1957,69.24,8989111,9714.960623
"111","Belgium","Europe",1962,70.25,9218400,10991.20676
"112","Belgium","Europe",1967,70.94,9556500,13149.04119
"113","Belgium","Europe",1972,71.44,9709100,16672.14356
"114","Belgium","Europe",1977,72.8,9821800,19117.97448
"115","Belgium","Europe",1982,73.93,9856303,20979.84589
"116","Belgium","Europe",1987,75.35,9870200,22525.56308
"117","Belgium","Europe",1992,76.46,10045622,25575.57069
"118","Belgium","Europe",1997,77.53,10199787,27561.19663
"119","Belgium","Europe",2002,78.32,10311970,30485.88375
"120","Belgium","Europe",2007,79.441,10392226,33692.60508
"121","Benin","Africa",1952,38.223,1738315,1062.7522
"122","Benin","Africa",1957,40.358,1925173,959.6010805
"123","Benin","Africa",1962,42.618,2151895,949.4990641
"124","Benin","Africa",1967,44.885,2427334,1035.831411
"125","Benin","Africa",1972,47.014,2761407,1085.796879
"126","Benin","Africa",1977,49.19,3168267,1029.161251
"127","Benin","Africa",1982,50.904,3641603,1277.897616
"128","Benin","Africa",1987,52.337,4243788,1225.85601
"129","Benin","Africa",1992,53.919,4981671,1191.207681
"130","Benin","Africa",1997,54.777,6066080,1232.975292
"131","Benin","Africa",2002,54.406,7026113,1372.877931
"132","Benin","Africa",2007,56.728,8078314,1441.284873
"133","Bolivia","Americas",1952,40.414,2883315,2677.326347
"134","Bolivia","Americas",1957,41.89,3211738,2127.686326
"135","Bolivia","Americas",1962,43.428,3593918,2180.972546
"136","Bolivia","Americas",1967,45.032,4040665,2586.886053
"137","Bolivia","Americas",1972,46.714,4565872,2980.331339
"138","Bolivia","Americas",1977,50.023,5079716,3548.097832
"139","Bolivia","Americas",1982,53.859,5642224,3156.510452
"140","Bolivia","Americas",1987,57.251,6156369,2753.69149
"141","Bolivia","Americas",1992,59.957,6893451,2961.699694
"142","Bolivia","Americas",1997,62.05,7693188,3326.143191
"143","Bolivia","Americas",2002,63.883,8445134,3413.26269
"144","Bolivia","Americas",2007,65.554,9119152,3822.137084
"145","Bosnia and Herzegovina","Europe",1952,53.82,2791000,973.5331948
"146","Bosnia and Herzegovina","Europe",1957,58.45,3076000,1353.989176
"147","Bosnia and Herzegovina","Europe",1962,61.93,3349000,1709.683679
"148","Bosnia and Herzegovina","Europe",1967,64.79,3585000,2172.352423
"149","Bosnia and Herzegovina","Europe",1972,67.45,3819000,2860.16975
"150","Bosnia and Herzegovina","Europe",1977,69.86,4086000,3528.481305
"151","Bosnia and Herzegovina","Europe",1982,70.69,4172693,4126.613157
"152","Bosnia and Herzegovina","Europe",1987,71.14,4338977,4314.114757
"153","Bosnia and Herzegovina","Europe",1992,72.178,4256013,2546.781445
"154","Bosnia and Herzegovina","Europe",1997,73.244,3607000,4766.355904
"155","Bosnia and Herzegovina","Europe",2002,74.09,4165416,6018.975239
"156","Bosnia and Herzegovina","Europe",2007,74.852,4552198,7446.298803
"157","Botswana","Africa",1952,47.622,442308,851.2411407
"158","Botswana","Africa",1957,49.618,474639,918.2325349
"159","Botswana","Africa",1962,51.52,512764,983.6539764
"160","Botswana","Africa",1967,53.298,553541,1214.709294
"161","Botswana","Africa",1972,56.024,619351,2263.611114
"162","Botswana","Africa",1977,59.319,781472,3214.857818
"163","Botswana","Africa",1982,61.484,970347,4551.14215
"164","Botswana","Africa",1987,63.622,1151184,6205.88385
"165","Botswana","Africa",1992,62.745,1342614,7954.111645
"166","Botswana","Africa",1997,52.556,1536536,8647.142313
"167","Botswana","Africa",2002,46.634,1630347,11003.60508
"168","Botswana","Africa",2007,50.728,1639131,12569.85177
"169","Brazil","Americas",1952,50.917,56602560,2108.944355
"170","Brazil","Americas",1957,53.285,65551171,2487.365989
"171","Brazil","Americas",1962,55.665,76039390,3336.585802
"172","Brazil","Americas",1967,57.632,88049823,3429.864357
"173","Brazil","Americas",1972,59.504,100840058,4985.711467
"174","Brazil","Americas",1977,61.489,114313951,6660.118654
"175","Brazil","Americas",1982,63.336,128962939,7030.835878
"176","Brazil","Americas",1987,65.205,142938076,7807.095818
"177","Brazil","Americas",1992,67.057,155975974,6950.283021
"178","Brazil","Americas",1997,69.388,168546719,7957.980824
"179","Brazil","Americas",2002,71.006,179914212,8131.212843
"180","Brazil","Americas",2007,72.39,190010647,9065.800825
"181","Bulgaria","Europe",1952,59.6,7274900,2444.286648
"182","Bulgaria","Europe",1957,66.61,7651254,3008.670727
"183","Bulgaria","Europe",1962,69.51,8012946,4254.337839
"184","Bulgaria","Europe",1967,70.42,8310226,5577.0028
"185","Bulgaria","Europe",1972,70.9,8576200,6597.494398
"186","Bulgaria","Europe",1977,70.81,8797022,7612.240438
"187","Bulgaria","Europe",1982,71.08,8892098,8224.191647
"188","Bulgaria","Europe",1987,71.34,8971958,8239.854824
"189","Bulgaria","Europe",1992,71.19,8658506,6302.623438
"190","Bulgaria","Europe",1997,70.32,8066057,5970.38876
"191","Bulgaria","Europe",2002,72.14,7661799,7696.777725
"192","Bulgaria","Europe",2007,73.005,7322858,10680.79282
"193","Burkina Faso","Africa",1952,31.975,4469979,543.2552413
"194","Burkina Faso","Africa",1957,34.906,4713416,617.1834648
"195","Burkina Faso","Africa",1962,37.814,4919632,722.5120206
"196","Burkina Faso","Africa",1967,40.697,5127935,794.8265597
"197","Burkina Faso","Africa",1972,43.591,5433886,854.7359763
"198","Burkina Faso","Africa",1977,46.137,5889574,743.3870368
"199","Burkina Faso","Africa",1982,48.122,6634596,807.1985855
"200","Burkina Faso","Africa",1987,49.557,7586551,912.0631417
"201","Burkina Faso","Africa",1992,50.26,8878303,931.7527731
"202","Burkina Faso","Africa",1997,50.324,10352843,946.2949618
"203","Burkina Faso","Africa",2002,50.65,12251209,1037.645221
"204","Burkina Faso","Africa",2007,52.295,14326203,1217.032994
"205","Burundi","Africa",1952,39.031,2445618,339.2964587
"206","Burundi","Africa",1957,40.533,2667518,379.5646281
"207","Burundi","Africa",1962,42.045,2961915,355.2032273
"208","Burundi","Africa",1967,43.548,3330989,412.9775136
"209","Burundi","Africa",1972,44.057,3529983,464.0995039
"210","Burundi","Africa",1977,45.91,3834415,556.1032651
"211","Burundi","Africa",1982,47.471,4580410,559.603231
"212","Burundi","Africa",1987,48.211,5126023,621.8188189
"213","Burundi","Africa",1992,44.736,5809236,631.6998778
"214","Burundi","Africa",1997,45.326,6121610,463.1151478
"215","Burundi","Africa",2002,47.36,7021078,446.4035126
"216","Burundi","Africa",2007,49.58,8390505,430.0706916
"217","Cambodia","Asia",1952,39.417,4693836,368.4692856
"218","Cambodia","Asia",1957,41.366,5322536,434.0383364
"219","Cambodia","Asia",1962,43.415,6083619,496.9136476
"220","Cambodia","Asia",1967,45.415,6960067,523.4323142
"221","Cambodia","Asia",1972,40.317,7450606,421.6240257
"222","Cambodia","Asia",1977,31.22,6978607,524.9721832
"223","Cambodia","Asia",1982,50.957,7272485,624.4754784
"224","Cambodia","Asia",1987,53.914,8371791,683.8955732
"225","Cambodia","Asia",1992,55.803,10150094,682.3031755
"226","Cambodia","Asia",1997,56.534,11782962,734.28517
"227","Cambodia","Asia",2002,56.752,12926707,896.2260153
"228","Cambodia","Asia",2007,59.723,14131858,1713.778686
"229","Cameroon","Africa",1952,38.523,5009067,1172.667655
"230","Cameroon","Africa",1957,40.428,5359923,1313.048099
"231","Cameroon","Africa",1962,42.643,5793633,1399.607441
"232","Cameroon","Africa",1967,44.799,6335506,1508.453148
"233","Cameroon","Africa",1972,47.049,7021028,1684.146528
"234","Cameroon","Africa",1977,49.355,7959865,1783.432873
"235","Cameroon","Africa",1982,52.961,9250831,2367.983282
"236","Cameroon","Africa",1987,54.985,10780667,2602.664206
"237","Cameroon","Africa",1992,54.314,12467171,1793.163278
"238","Cameroon","Africa",1997,52.199,14195809,1694.337469
"239","Cameroon","Africa",2002,49.856,15929988,1934.011449
"240","Cameroon","Africa",2007,50.43,17696293,2042.09524
"241","Canada","Americas",1952,68.75,14785584,11367.16112
"242","Canada","Americas",1957,69.96,17010154,12489.95006
"243","Canada","Americas",1962,71.3,18985849,13462.48555
"244","Canada","Americas",1967,72.13,20819767,16076.58803
"245","Canada","Americas",1972,72.88,22284500,18970.57086
"246","Canada","Americas",1977,74.21,23796400,22090.88306
"247","Canada","Americas",1982,75.76,25201900,22898.79214
"248","Canada","Americas",1987,76.86,26549700,26626.51503
"249","Canada","Americas",1992,77.95,28523502,26342.88426
"250","Canada","Americas",1997,78.61,30305843,28954.92589
"251","Canada","Americas",2002,79.77,31902268,33328.96507
"252","Canada","Americas",2007,80.653,33390141,36319.23501
"253","Central African Republic","Africa",1952,35.463,1291695,1071.310713
"254","Central African Republic","Africa",1957,37.464,1392284,1190.844328
"255","Central African Republic","Africa",1962,39.475,1523478,1193.068753
"256","Central African Republic","Africa",1967,41.478,1733638,1136.056615
"257","Central African Republic","Africa",1972,43.457,1927260,1070.013275
"258","Central African Republic","Africa",1977,46.775,2167533,1109.374338
"259","Central African Republic","Africa",1982,48.295,2476971,956.7529907
"260","Central African Republic","Africa",1987,50.485,2840009,844.8763504
"261","Central African Republic","Africa",1992,49.396,3265124,747.9055252
"262","Central African Republic","Africa",1997,46.066,3696513,740.5063317
"263","Central African Republic","Africa",2002,43.308,4048013,738.6906068
"264","Central African Republic","Africa",2007,44.741,4369038,706.016537
"265","Chad","Africa",1952,38.092,2682462,1178.665927
"266","Chad","Africa",1957,39.881,2894855,1308.495577
"267","Chad","Africa",1962,41.716,3150417,1389.817618
"268","Chad","Africa",1967,43.601,3495967,1196.810565
"269","Chad","Africa",1972,45.569,3899068,1104.103987
"270","Chad","Africa",1977,47.383,4388260,1133.98495
"271","Chad","Africa",1982,49.517,4875118,797.9081006
"272","Chad","Africa",1987,51.051,5498955,952.386129
"273","Chad","Africa",1992,51.724,6429417,1058.0643
"274","Chad","Africa",1997,51.573,7562011,1004.961353
"275","Chad","Africa",2002,50.525,8835739,1156.18186
"276","Chad","Africa",2007,50.651,10238807,1704.063724
"277","Chile","Americas",1952,54.745,6377619,3939.978789
"278","Chile","Americas",1957,56.074,7048426,4315.622723
"279","Chile","Americas",1962,57.924,7961258,4519.094331
"280","Chile","Americas",1967,60.523,8858908,5106.654313
"281","Chile","Americas",1972,63.441,9717524,5494.024437
"282","Chile","Americas",1977,67.052,10599793,4756.763836
"283","Chile","Americas",1982,70.565,11487112,5095.665738
"284","Chile","Americas",1987,72.492,12463354,5547.063754
"285","Chile","Americas",1992,74.126,13572994,7596.125964
"286","Chile","Americas",1997,75.816,14599929,10118.05318
"287","Chile","Americas",2002,77.86,15497046,10778.78385
"288","Chile","Americas",2007,78.553,16284741,13171.63885
"289","China","Asia",1952,44,556263527,400.448611
"290","China","Asia",1957,50.54896,637408000,575.9870009
"291","China","Asia",1962,44.50136,665770000,487.6740183
"292","China","Asia",1967,58.38112,754550000,612.7056934
"293","China","Asia",1972,63.11888,862030000,676.9000921
"294","China","Asia",1977,63.96736,943455000,741.2374699
"295","China","Asia",1982,65.525,1000281000,962.4213805
"296","China","Asia",1987,67.274,1084035000,1378.904018
"297","China","Asia",1992,68.69,1164970000,1655.784158
"298","China","Asia",1997,70.426,1230075000,2289.234136
"299","China","Asia",2002,72.028,1280400000,3119.280896
"300","China","Asia",2007,72.961,1318683096,4959.114854
"301","Colombia","Americas",1952,50.643,12350771,2144.115096
"302","Colombia","Americas",1957,55.118,14485993,2323.805581
"303","Colombia","Americas",1962,57.863,17009885,2492.351109
"304","Colombia","Americas",1967,59.963,19764027,2678.729839
"305","Colombia","Americas",1972,61.623,22542890,3264.660041
"306","Colombia","Americas",1977,63.837,25094412,3815.80787
"307","Colombia","Americas",1982,66.653,27764644,4397.575659
"308","Colombia","Americas",1987,67.768,30964245,4903.2191
"309","Colombia","Americas",1992,68.421,34202721,5444.648617
"310","Colombia","Americas",1997,70.313,37657830,6117.361746
"311","Colombia","Americas",2002,71.682,41008227,5755.259962
"312","Colombia","Americas",2007,72.889,44227550,7006.580419
"313","Comoros","Africa",1952,40.715,153936,1102.990936
"314","Comoros","Africa",1957,42.46,170928,1211.148548
"315","Comoros","Africa",1962,44.467,191689,1406.648278
"316","Comoros","Africa",1967,46.472,217378,1876.029643
"317","Comoros","Africa",1972,48.944,250027,1937.577675
"318","Comoros","Africa",1977,50.939,304739,1172.603047
"319","Comoros","Africa",1982,52.933,348643,1267.100083
"320","Comoros","Africa",1987,54.926,395114,1315.980812
"321","Comoros","Africa",1992,57.939,454429,1246.90737
"322","Comoros","Africa",1997,60.66,527982,1173.618235
"323","Comoros","Africa",2002,62.974,614382,1075.811558
"324","Comoros","Africa",2007,65.152,710960,986.1478792
"325","Congo, Dem. Rep.","Africa",1952,39.143,14100005,780.5423257
"326","Congo, Dem. Rep.","Africa",1957,40.652,15577932,905.8602303
"327","Congo, Dem. Rep.","Africa",1962,42.122,17486434,896.3146335
"328","Congo, Dem. Rep.","Africa",1967,44.056,19941073,861.5932424
"329","Congo, Dem. Rep.","Africa",1972,45.989,23007669,904.8960685
"330","Congo, Dem. Rep.","Africa",1977,47.804,26480870,795.757282
"331","Congo, Dem. Rep.","Africa",1982,47.784,30646495,673.7478181
"332","Congo, Dem. Rep.","Africa",1987,47.412,35481645,672.774812
"333","Congo, Dem. Rep.","Africa",1992,45.548,41672143,457.7191807
"334","Congo, Dem. Rep.","Africa",1997,42.587,47798986,312.188423
"335","Congo, Dem. Rep.","Africa",2002,44.966,55379852,241.1658765
"336","Congo, Dem. Rep.","Africa",2007,46.462,64606759,277.5518587
"337","Congo, Rep.","Africa",1952,42.111,854885,2125.621418
"338","Congo, Rep.","Africa",1957,45.053,940458,2315.056572
"339","Congo, Rep.","Africa",1962,48.435,1047924,2464.783157
"340","Congo, Rep.","Africa",1967,52.04,1179760,2677.939642
"341","Congo, Rep.","Africa",1972,54.907,1340458,3213.152683
"342","Congo, Rep.","Africa",1977,55.625,1536769,3259.178978
"343","Congo, Rep.","Africa",1982,56.695,1774735,4879.507522
"344","Congo, Rep.","Africa",1987,57.47,2064095,4201.194937
"345","Congo, Rep.","Africa",1992,56.433,2409073,4016.239529
"346","Congo, Rep.","Africa",1997,52.962,2800947,3484.164376
"347","Congo, Rep.","Africa",2002,52.97,3328795,3484.06197
"348","Congo, Rep.","Africa",2007,55.322,3800610,3632.557798
"349","Costa Rica","Americas",1952,57.206,926317,2627.009471
"350","Costa Rica","Americas",1957,60.026,1112300,2990.010802
"351","Costa Rica","Americas",1962,62.842,1345187,3460.937025
"352","Costa Rica","Americas",1967,65.424,1588717,4161.727834
"353","Costa Rica","Americas",1972,67.849,1834796,5118.146939
"354","Costa Rica","Americas",1977,70.75,2108457,5926.876967
"355","Costa Rica","Americas",1982,73.45,2424367,5262.734751
"356","Costa Rica","Americas",1987,74.752,2799811,5629.915318
"357","Costa Rica","Americas",1992,75.713,3173216,6160.416317
"358","Costa Rica","Americas",1997,77.26,3518107,6677.045314
"359","Costa Rica","Americas",2002,78.123,3834934,7723.447195
"360","Costa Rica","Americas",2007,78.782,4133884,9645.06142
"361","Cote d'Ivoire","Africa",1952,40.477,2977019,1388.594732
"362","Cote d'Ivoire","Africa",1957,42.469,3300000,1500.895925
"363","Cote d'Ivoire","Africa",1962,44.93,3832408,1728.869428
"364","Cote d'Ivoire","Africa",1967,47.35,4744870,2052.050473
"365","Cote d'Ivoire","Africa",1972,49.801,6071696,2378.201111
"366","Cote d'Ivoire","Africa",1977,52.374,7459574,2517.736547
"367","Cote d'Ivoire","Africa",1982,53.983,9025951,2602.710169
"368","Cote d'Ivoire","Africa",1987,54.655,10761098,2156.956069
"369","Cote d'Ivoire","Africa",1992,52.044,12772596,1648.073791
"370","Cote d'Ivoire","Africa",1997,47.991,14625967,1786.265407
"371","Cote d'Ivoire","Africa",2002,46.832,16252726,1648.800823
"372","Cote d'Ivoire","Africa",2007,48.328,18013409,1544.750112
"373","Croatia","Europe",1952,61.21,3882229,3119.23652
"374","Croatia","Europe",1957,64.77,3991242,4338.231617
"375","Croatia","Europe",1962,67.13,4076557,5477.890018
"376","Croatia","Europe",1967,68.5,4174366,6960.297861
"377","Croatia","Europe",1972,69.61,4225310,9164.090127
"378","Croatia","Europe",1977,70.64,4318673,11305.38517
"379","Croatia","Europe",1982,70.46,4413368,13221.82184
"380","Croatia","Europe",1987,71.52,4484310,13822.58394
"381","Croatia","Europe",1992,72.527,4494013,8447.794873
"382","Croatia","Europe",1997,73.68,4444595,9875.604515
"383","Croatia","Europe",2002,74.876,4481020,11628.38895
"384","Croatia","Europe",2007,75.748,4493312,14619.22272
"385","Cuba","Americas",1952,59.421,6007797,5586.53878
"386","Cuba","Americas",1957,62.325,6640752,6092.174359
"387","Cuba","Americas",1962,65.246,7254373,5180.75591
"388","Cuba","Americas",1967,68.29,8139332,5690.268015
"389","Cuba","Americas",1972,70.723,8831348,5305.445256
"390","Cuba","Americas",1977,72.649,9537988,6380.494966
"391","Cuba","Americas",1982,73.717,9789224,7316.918107
"392","Cuba","Americas",1987,74.174,10239839,7532.924763
"393","Cuba","Americas",1992,74.414,10723260,5592.843963
"394","Cuba","Americas",1997,76.151,10983007,5431.990415
"395","Cuba","Americas",2002,77.158,11226999,6340.646683
"396","Cuba","Americas",2007,78.273,11416987,8948.102923
"397","Czech Republic","Europe",1952,66.87,9125183,6876.14025
"398","Czech Republic","Europe",1957,69.03,9513758,8256.343918
"399","Czech Republic","Europe",1962,69.9,9620282,10136.86713
"400","Czech Republic","Europe",1967,70.38,9835109,11399.44489
"401","Czech Republic","Europe",1972,70.29,9862158,13108.4536
"402","Czech Republic","Europe",1977,70.71,10161915,14800.16062
"403","Czech Republic","Europe",1982,70.96,10303704,15377.22855
"404","Czech Republic","Europe",1987,71.58,10311597,16310.4434
"405","Czech Republic","Europe",1992,72.4,10315702,14297.02122
"406","Czech Republic","Europe",1997,74.01,10300707,16048.51424
"407","Czech Republic","Europe",2002,75.51,10256295,17596.21022
"408","Czech Republic","Europe",2007,76.486,10228744,22833.30851
"409","Denmark","Europe",1952,70.78,4334000,9692.385245
"410","Denmark","Europe",1957,71.81,4487831,11099.65935
"411","Denmark","Europe",1962,72.35,4646899,13583.31351
"412","Denmark","Europe",1967,72.96,4838800,15937.21123
"413","Denmark","Europe",1972,73.47,4991596,18866.20721
"414","Denmark","Europe",1977,74.69,5088419,20422.9015
"415","Denmark","Europe",1982,74.63,5117810,21688.04048
"416","Denmark","Europe",1987,74.8,5127024,25116.17581
"417","Denmark","Europe",1992,75.33,5171393,26406.73985
"418","Denmark","Europe",1997,76.11,5283663,29804.34567
"419","Denmark","Europe",2002,77.18,5374693,32166.50006
"420","Denmark","Europe",2007,78.332,5468120,35278.41874
"421","Djibouti","Africa",1952,34.812,63149,2669.529475
"422","Djibouti","Africa",1957,37.328,71851,2864.969076
"423","Djibouti","Africa",1962,39.693,89898,3020.989263
"424","Djibouti","Africa",1967,42.074,127617,3020.050513
"425","Djibouti","Africa",1972,44.366,178848,3694.212352
"426","Djibouti","Africa",1977,46.519,228694,3081.761022
"427","Djibouti","Africa",1982,48.812,305991,2879.468067
"428","Djibouti","Africa",1987,50.04,311025,2880.102568
"429","Djibouti","Africa",1992,51.604,384156,2377.156192
"430","Djibouti","Africa",1997,53.157,417908,1895.016984
"431","Djibouti","Africa",2002,53.373,447416,1908.260867
"432","Djibouti","Africa",2007,54.791,496374,2082.481567
"433","Dominican Republic","Americas",1952,45.928,2491346,1397.717137
"434","Dominican Republic","Americas",1957,49.828,2923186,1544.402995
"435","Dominican Republic","Americas",1962,53.459,3453434,1662.137359
"436","Dominican Republic","Americas",1967,56.751,4049146,1653.723003
"437","Dominican Republic","Americas",1972,59.631,4671329,2189.874499
"438","Dominican Republic","Americas",1977,61.788,5302800,2681.9889
"439","Dominican Republic","Americas",1982,63.727,5968349,2861.092386
"440","Dominican Republic","Americas",1987,66.046,6655297,2899.842175
"441","Dominican Republic","Americas",1992,68.457,7351181,3044.214214
"442","Dominican Republic","Americas",1997,69.957,7992357,3614.101285
"443","Dominican Republic","Americas",2002,70.847,8650322,4563.808154
"444","Dominican Republic","Americas",2007,72.235,9319622,6025.374752
"445","Ecuador","Americas",1952,48.357,3548753,3522.110717
"446","Ecuador","Americas",1957,51.356,4058385,3780.546651
"447","Ecuador","Americas",1962,54.64,4681707,4086.114078
"448","Ecuador","Americas",1967,56.678,5432424,4579.074215
"449","Ecuador","Americas",1972,58.796,6298651,5280.99471
"450","Ecuador","Americas",1977,61.31,7278866,6679.62326
"451","Ecuador","Americas",1982,64.342,8365850,7213.791267
"452","Ecuador","Americas",1987,67.231,9545158,6481.776993
"453","Ecuador","Americas",1992,69.613,10748394,7103.702595
"454","Ecuador","Americas",1997,72.312,11911819,7429.455877
"455","Ecuador","Americas",2002,74.173,12921234,5773.044512
"456","Ecuador","Americas",2007,74.994,13755680,6873.262326
"457","Egypt","Africa",1952,41.893,22223309,1418.822445
"458","Egypt","Africa",1957,44.444,25009741,1458.915272
"459","Egypt","Africa",1962,46.992,28173309,1693.335853
"460","Egypt","Africa",1967,49.293,31681188,1814.880728
"461","Egypt","Africa",1972,51.137,34807417,2024.008147
"462","Egypt","Africa",1977,53.319,38783863,2785.493582
"463","Egypt","Africa",1982,56.006,45681811,3503.729636
"464","Egypt","Africa",1987,59.797,52799062,3885.46071
"465","Egypt","Africa",1992,63.674,59402198,3794.755195
"466","Egypt","Africa",1997,67.217,66134291,4173.181797
