rownames,SexInsured,Female,VehicleType,PC,Clm_Count,Exp_weights,LNWEIGHT,NCD,AgeCat,AutoAge0,AutoAge1,AutoAge2,AutoAge,VAgeCat,VAgecat1
52,F,1,A,1,0,0.405201917,-0.903369777,0,4,0,0,0,0,6,6
53,M,0,A,1,0,0.503764545,-0.685646293,20,3,0,0,0,0,6,6
54,F,1,A,1,0,0.999315537,-6.84697e-4,50,4,0,0,0,0,6,6
55,M,0,A,1,0,0.670773443,-0.39932384,40,4,0,0,0,0,6,6
56,M,0,A,1,0,0.334017796,-1.096561006,10,4,0,0,0,0,6,6
57,M,0,A,1,0,0.328542095,-1.113090308,10,4,0,0,0,0,6,6
58,M,0,A,1,0,0.813141684,-0.206849912,10,3,0,0,1,1,2,2
59,M,0,A,1,0,0.919917865,-0.083470891,0,3,0,0,0,0,6,6
60,M,0,A,1,0,0.914442163,-0.089441058,50,3,1,0,0,1,0,2
61,M,0,A,1,0,0.908966461,-0.095447082,50,6,0,0,0,0,6,6
62,M,0,A,1,0,0.271047228,-1.3054622,0,3,1,0,0,1,0,2
63,M,0,A,1,0,0.862422998,-0.148009412,50,3,1,0,0,1,0,2
64,M,0,A,1,0,0.837782341,-0.176996949,10,4,0,0,0,0,6,6
65,M,0,A,1,0,0.569472964,-0.563043971,0,2,1,0,0,1,0,2
66,M,0,A,1,0,0.982888433,-0.017259662,0,4,1,0,0,1,0,2
67,M,0,A,1,0,0.583162218,-0.539289885,0,3,1,0,0,1,0,2
68,M,0,A,1,0,0.167008898,-1.789708186,50,3,1,0,0,1,0,2
69,M,0,A,1,0,0.049281314,-3.010210293,0,4,1,0,0,1,0,2
70,F,1,A,1,0,0.654346338,-0.424118499,20,3,1,0,0,1,0,2
71,M,0,A,1,0,0.295687885,-1.218450824,0,4,1,0,0,1,0,2
72,M,0,A,1,0,0.999315537,-6.84697e-4,50,3,1,0,0,1,0,2
73,M,0,A,1,0,0.084873374,-2.466594846,0,4,1,0,0,1,0,2
74,M,0,A,1,0,0.084873374,-2.466594846,50,5,1,0,0,1,0,2
75,M,0,A,1,0,0.084873374,-2.466594846,0,3,1,0,0,1,0,2
76,M,0,A,1,0,0.084873374,-2.466594846,20,4,1,0,0,1,0,2
77,F,1,A,1,0,0.084873374,-2.466594846,50,3,1,0,0,1,0,2
78,M,0,A,1,0,0.082135524,-2.499384669,50,6,1,0,0,1,0,2
79,M,0,A,1,0,0.999315537,-6.84697e-4,50,4,1,0,0,1,0,2
80,M,0,A,1,0,0.503764545,-0.685646293,30,4,1,0,0,1,0,2
81,M,0,A,1,0,0.41889117,-0.870144129,40,4,1,0,0,1,0,2
82,M,0,A,1,0,0.366872006,-1.002742251,10,2,1,0,0,1,0,2
83,F,1,A,1,0,0.900752909,-0.1045243,50,4,1,0,0,1,0,2
84,M,0,A,1,0,0.676249144,-0.391193714,0,4,0,0,0,0,6,6
85,M,0,A,1,0,0.084873374,-2.466594846,0,6,1,0,0,1,0,2
86,M,0,A,1,0,0.657084189,-0.419943127,0,4,1,0,0,1,0,2
87,M,0,A,1,0,0.999315537,-6.84697e-4,0,4,1,0,0,1,0,2
88,M,0,A,1,0,0.531143053,-0.632723892,0,4,0,0,0,0,6,6
89,U,0,G,0,0,0.355920602,-1.0330476,50,0,0,0,0,0,5,5
90,M,0,A,1,0,0.914442163,-0.089441058,50,5,1,0,0,1,0,2
91,M,0,A,1,0,0.010951403,-4.51428769,0,4,1,0,0,1,0,2
92,M,0,A,1,0,0.41889117,-0.870144129,40,4,1,0,0,1,0,2
93,M,0,A,1,0,0.599589322,-0.511510321,0,3,1,0,0,1,0,2
94,M,0,A,1,0,0.334017796,-1.096561006,20,3,1,0,0,1,0,2
95,M,0,A,1,0,0.837782341,-0.176996949,50,4,1,0,0,1,0,2
96,M,0,A,1,0,0.334017796,-1.096561006,50,6,1,0,0,1,0,2
97,M,0,A,1,0,0.334017796,-1.096561006,50,4,1,0,0,1,0,2
98,M,0,A,1,0,0.334017796,-1.096561006,10,3,1,0,0,1,0,2
99,M,0,A,1,0,0.257357974,-1.357287268,30,4,1,0,0,1,0,2
100,M,0,A,1,0,0.837782341,-0.176996949,40,4,1,0,0,1,0,2
101,M,0,A,1,0,0.752908967,-0.283810953,50,3,1,0,0,1,0,2
102,M,0,A,1,0,0.74469541399999994,-0.294779984,50,5,1,0,0,1,0,2
103,M,0,A,1,0,0.62422998,-0.471236422,0,2,1,0,0,1,0,2
104,M,0,A,1,0,0.5229295,-0.648308623,0,3,1,0,0,1,0,2
105,M,0,A,1,0,0.167008898,-1.789708186,50,4,1,0,0,1,0,2
106,M,0,A,1,0,0.10403833,-2.262995891,0,2,1,0,0,1,0,2
107,M,0,A,1,0,0.084873374,-2.466594846,50,4,1,0,0,1,0,2
108,M,0,A,1,0,0.065708419,-2.72252822,0,4,1,0,0,1,0,2
109,M,0,A,1,0,0.977412731,-0.022846269,50,4,1,0,0,1,0,2
110,M,0,A,1,0,0.925393566,-0.077536155,10,4,1,0,0,1,0,2
111,M,0,A,1,0,0.999315537,-6.84697e-4,50,4,1,0,0,1,0,2
112,M,0,A,1,1,0.856947296,-0.15437886,0,4,0,1,0,1,1,2
113,F,1,A,1,0,0.996577687,-0.003428183,50,3,1,0,0,1,0,2
114,M,0,A,1,0,0.481861739,-0.730098056,50,6,1,0,0,1,0,2
115,M,0,A,1,0,0.125941136,-2.071940654,0,4,1,0,0,1,0,2
116,M,0,A,1,0,0.999315537,-6.84697e-4,0,5,1,0,0,1,0,2
117,M,0,A,1,0,0.41889117,-0.870144129,30,4,1,0,0,1,0,2
118,M,0,A,1,0,0.41889117,-0.870144129,50,4,1,0,0,1,0,2
119,M,0,A,1,0,0.856947296,-0.15437886,20,3,1,0,0,1,0,2
120,F,1,A,1,0,0.670773443,-0.39932384,0,3,1,0,0,1,0,2
121,M,0,A,1,1,0.728268309,-0.317085742,0,5,1,0,0,1,0,2
122,M,0,A,1,0,0.41889117,-0.870144129,10,5,1,0,0,1,0,2
123,M,0,A,1,0,0.41889117,-0.870144129,10,4,1,0,0,1,0,2
124,F,1,A,1,0,0.914442163,-0.089441058,50,5,1,0,0,1,0,2
125,M,0,A,1,0,0.334017796,-1.096561006,50,3,1,0,0,1,0,2
126,M,0,A,1,0,0.005475702,-5.20743487,0,2,1,0,0,1,0,2
127,M,0,A,1,0,0.167008898,-1.789708186,0,4,1,0,0,1,0,2
128,F,1,A,1,0,0.837782341,-0.176996949,50,4,1,0,0,1,0,2
129,M,0,A,1,0,0.251882272,-1.378793474,0,4,1,0,0,1,0,2
130,M,0,A,1,0,0.213552361,-1.543873224,0,3,1,0,0,1,0,2
131,M,0,A,1,0,0.334017796,-1.096561006,50,5,1,0,0,1,0,2
132,M,0,A,1,0,0.13963039,-1.968756418,0,3,1,0,0,1,0,2
133,M,0,A,1,0,0.752908967,-0.283810953,10,5,0,0,0,0,6,6
134,M,0,A,1,0,0.251882272,-1.378793474,0,3,1,0,0,1,0,2
135,M,0,A,1,0,0.167008898,-1.789708186,30,4,1,0,0,1,0,2
136,M,0,A,1,0,0.985626283,-0.014478019,10,3,1,0,0,1,0,2
137,M,0,A,1,1,0.13963039,-1.968756418,0,3,1,0,0,1,0,2
138,M,0,A,1,0,0.646132786,-0.436750246,50,4,1,0,0,1,0,2
139,M,0,A,1,0,0.525667351,-0.643086679,0,4,1,0,0,1,0,2
140,M,0,A,1,0,0.134154689,-2.008761753,50,4,1,0,0,1,0,2
141,M,0,A,1,0,0.167008898,-1.789708186,0,3,1,0,0,1,0,2
142,M,0,A,1,0,0.084873374,-2.466594846,10,3,1,0,0,1,0,2
143,M,0,A,1,0,0.654346338,-0.424118499,0,4,1,0,0,1,0,2
144,M,0,A,1,0,0.90349076,-0.101489396,0,5,1,0,0,1,0,2
145,M,0,A,1,0,0.084873374,-2.466594846,10,4,1,0,0,1,0,2
146,M,0,A,1,0,0.084873374,-2.466594846,40,5,1,0,0,1,0,2
147,M,0,A,1,0,0.084873374,-2.466594846,20,6,1,0,0,1,0,2
148,M,0,A,1,0,0.607802875,-0.497904669,0,4,1,0,0,1,0,2
149,M,0,A,1,0,0.24366872,-1.411945681,0,3,1,0,0,1,0,2
150,M,0,A,1,0,0.684462697,-0.379121133,40,5,1,0,0,1,0,2
151,M,0,A,1,0,0.41889117,-0.870144129,50,5,1,0,0,1,0,2
152,M,0,A,1,0,0.670773443,-0.39932384,50,5,1,0,0,1,0,2
153,F,1,A,1,0,0.999315537,-6.84697e-4,50,3,1,0,0,1,0,2
154,M,0,A,1,0,0.454483231,-0.788594262,0,3,1,0,0,1,0,2
155,M,0,A,1,0,0.670773443,-0.39932384,50,4,1,0,0,1,0,2
156,M,0,A,1,0,0.405201917,-0.903369777,0,3,1,0,0,1,0,2
157,M,0,A,1,0,0.167008898,-1.789708186,0,4,1,0,0,1,0,2
158,M,0,A,1,0,0.952772074,-0.048379571,0,3,1,0,0,1,0,2
159,M,0,A,1,0,0.481861739,-0.730098056,50,4,1,0,0,1,0,2
160,M,0,A,1,0,0.999315537,-6.84697e-4,40,5,1,0,0,1,0,2
161,F,1,A,1,0,0.465434634,-0.764783614,10,3,1,0,0,1,0,2
162,F,1,A,1,0,0.944558522,-0.057037634,40,2,1,0,0,1,0,2
163,M,0,A,1,0,0.914442163,-0.089441058,30,6,0,0,0,0,6,6
164,M,0,A,1,0,0.914442163,-0.089441058,50,5,1,0,0,1,0,2
165,M,0,A,1,0,0.167008898,-1.789708186,50,4,1,0,0,1,0,2
166,F,1,A,1,0,0.914442163,-0.089441058,20,5,1,0,0,1,0,2
167,M,0,A,1,0,0.079397673,-2.533286221,0,3,1,0,0,1,0,2
168,M,0,A,1,0,0.843258042,-0.170482268,10,2,1,0,0,1,0,2
169,M,0,A,1,0,0.662559891,-0.411644324,30,3,1,0,0,1,0,2
170,M,0,A,1,0,0.837782341,-0.176996949,50,5,1,0,0,1,0,2
171,M,0,A,1,0,0.473648186,-0.747290456,40,3,1,0,0,1,0,2
172,M,0,A,1,0,0.334017796,-1.096561006,20,4,1,0,0,1,0,2
173,M,0,A,1,0,0.306639288,-1.182083179,50,4,1,0,0,1,0,2
174,M,0,A,1,0,0.837782341,-0.176996949,10,3,1,0,0,1,0,2
175,F,1,A,1,0,0.837782341,-0.176996949,0,4,1,0,0,1,0,2
176,M,0,A,1,0,0.391512663,-0.93773742,50,3,1,0,0,1,0,2
177,M,0,A,1,0,0.142368241,-1.949338332,20,4,1,0,0,1,0,2
178,M,0,A,1,0,0.752908967,-0.283810953,50,4,1,0,0,1,0,2
179,F,1,A,1,0,0.807665982,-0.213606694,50,3,0,1,0,1,1,2
180,M,0,A,1,0,0.251882272,-1.378793474,20,5,1,0,0,1,0,2
181,M,0,A,1,0,0.733744011,-0.30959506999999997,10,4,1,0,0,1,0,2
182,M,0,A,1,0,0.914442163,-0.089441058,50,4,1,0,0,1,0,2
183,M,0,A,1,0,0.167008898,-1.789708186,10,3,1,0,0,1,0,2
184,M,0,A,1,0,0.865160849,-0.144839837,10,4,1,0,0,1,0,2
185,M,0,A,1,0,0.167008898,-1.789708186,50,5,1,0,0,1,0,2
186,M,0,A,1,0,0.41889117,-0.870144129,50,3,1,0,0,1,0,2
187,F,1,A,1,0,0.733744011,-0.30959506999999997,0,4,1,0,0,1,0,2
188,F,1,A,1,0,0.503764545,-0.685646293,50,4,1,0,0,1,0,2
189,M,0,A,1,0,0.309377139,-1.173194232,0,4,1,0,0,1,0,2
190,M,0,A,1,0,0.525667351,-0.643086679,10,3,1,0,0,1,0,2
191,M,0,A,1,0,0.999315537,-6.84697e-4,50,5,1,0,0,1,0,2
192,M,0,A,1,0,0.37234770699999997,-0.987927165,20,5,1,0,0,1,0,2
193,M,0,A,1,0,0.013689254,-4.291144138,30,2,1,0,0,1,0,2
194,M,0,A,1,0,0.240930869,-1.423245236,0,3,1,0,0,1,0,2
195,M,0,A,1,0,0.65982204,-0.415785117,30,4,0,1,0,1,1,2
196,M,0,A,1,0,0.670773443,-0.39932384,0,4,1,0,0,1,0,2
197,M,0,A,1,0,0.503764545,-0.685646293,0,2,1,0,0,1,0,2
198,M,0,A,1,0,0.41889117,-0.870144129,20,5,1,0,0,1,0,2
199,M,0,A,1,0,0.079397673,-2.533286221,0,5,1,0,0,1,0,2
200,F,1,A,1,0,0.681724846,-0.383129154,0,3,1,0,0,1,0,2
201,M,0,A,1,0,0.952772074,-0.048379571,50,4,1,0,0,1,0,2
202,M,0,A,1,0,0.334017796,-1.096561006,50,5,1,0,0,1,0,2
203,M,0,A,1,0,0.41889117,-0.870144129,50,5,1,0,0,1,0,2
204,M,0,A,1,0,0.413415469,-0.883302214,40,6,1,0,0,1,0,2
205,M,0,A,1,0,0.41889117,-0.870144129,10,3,1,0,0,1,0,2
206,M,0,A,1,0,0.670773443,-0.39932384,10,4,1,0,0,1,0,2
207,M,0,A,1,0,0.295687885,-1.218450824,50,5,1,0,0,1,0,2
208,M,0,A,1,0,0.837782341,-0.176996949,50,5,0,1,0,1,1,2
209,F,1,A,1,1,0.657084189,-0.419943127,0,3,1,0,0,1,0,2
210,F,1,A,1,0,0.83504449,-0.180270274,50,4,0,0,1,1,2,2
211,M,0,A,1,0,0.752908967,-0.283810953,50,6,1,0,0,1,0,2
212,F,1,A,1,0,0.837782341,-0.176996949,0,4,1,0,0,1,0,2
213,M,0,A,1,1,0.698151951,-0.359318505,50,5,1,0,0,1,0,2
214,M,0,A,1,0,0.670773443,-0.39932384,10,3,1,0,0,1,0,2
215,M,0,A,1,0,0.167008898,-1.789708186,50,6,1,0,0,1,0,2
216,M,0,A,1,0,0.585900068,-0.534606036,10,3,1,0,0,1,0,2
217,M,0,A,1,0,0.240930869,-1.423245236,0,3,1,0,0,1,0,2
218,M,0,A,1,0,0.684462697,-0.379121133,0,3,1,0,0,1,0,2
219,M,0,A,1,0,0.084873374,-2.466594846,50,4,1,0,0,1,0,2
220,M,0,A,1,0,0.670773443,-0.39932384,0,6,1,0,0,1,0,2
221,M,0,A,1,1,0.240930869,-1.423245236,50,3,1,0,0,1,0,2
222,M,0,A,1,0,0.084873374,-2.466594846,40,4,1,0,0,1,0,2
223,M,0,A,1,0,0.583162218,-0.539289885,30,3,1,0,0,1,0,2
224,M,0,A,1,0,0.506502396,-0.680226226,50,4,1,0,0,1,0,2
225,M,0,A,1,0,0.344969199,-1.064300144,30,3,1,0,0,1,0,2
226,M,0,A,1,1,0.733744011,-0.30959506999999997,50,4,1,0,0,1,0,2
227,M,0,A,1,0,0.752908967,-0.283810953,50,5,1,0,0,1,0,2
228,M,0,A,1,0,0.654346338,-0.424118499,0,3,1,0,0,1,0,2
229,M,0,A,1,0,0.032854209,-3.415675401,30,3,1,0,0,1,0,2
230,M,0,A,1,0,0.503764545,-0.685646293,30,3,1,0,0,1,0,2
231,M,0,A,1,0,0.205338809,-1.583093937,0,4,1,0,0,1,0,2
232,F,1,A,1,0,0.999315537,-6.84697e-4,10,4,1,0,0,1,0,2
233,M,0,A,1,0,0.375085558,-0.980601125,0,3,1,0,0,1,0,2
234,M,0,A,1,0,0.17522245,-1.741698967,0,3,1,0,0,1,0,2
235,F,1,A,1,0,0.908966461,-0.095447082,0,3,1,0,0,1,0,2
236,M,0,A,1,0,0.503764545,-0.685646293,50,4,1,0,0,1,0,2
237,M,0,A,1,1,0.421629021,-0.863629448,0,4,1,0,0,1,0,2
238,M,0,A,1,0,0.271047228,-1.3054622,20,3,1,0,0,1,0,2
239,M,0,A,1,0,0.999315537,-6.84697e-4,50,3,1,0,0,1,0,2
240,M,0,A,1,0,0.936344969,-0.065771314,10,6,1,0,0,1,0,2
241,M,0,A,1,0,0.999315537,-6.84697e-4,50,4,1,0,0,1,0,2
242,M,0,A,1,0,0.662559891,-0.411644324,0,2,1,0,0,1,0,2
243,M,0,A,1,0,0.183436003,-1.695889431,50,4,1,0,0,1,0,2
244,F,1,A,1,0,0.999315537,-6.84697e-4,50,3,1,0,0,1,0,2
245,M,0,A,1,0,0.41889117,-0.870144129,10,3,1,0,0,1,0,2
246,M,0,A,1,0,0.388774812,-0.944754993,0,3,1,0,0,1,0,2
247,M,0,A,1,0,0.914442163,-0.089441058,50,4,1,0,0,1,0,2
248,F,1,A,1,0,0.314852841,-1.155649922,10,4,1,0,0,1,0,2
249,M,0,A,1,0,0.290212183,-1.237142957,0,4,1,0,0,1,0,2
250,M,0,A,1,0,0.13963039,-1.968756418,40,3,1,0,0,1,0,2
251,M,0,A,1,0,0.914442163,-0.089441058,30,3,1,0,0,1,0,2
252,M,0,A,1,0,0.837782341,-0.176996949,50,3,1,0,0,1,0,2
253,M,0,A,1,0,0.837782341,-0.176996949,50,3,1,0,0,1,0,2
254,M,0,A,1,0,0.574948665,-0.55347452,0,3,1,0,0,1,0,2
255,M,0,A,1,0,0.837782341,-0.176996949,50,5,1,0,0,1,0,2
256,M,0,A,1,0,0.837782341,-0.176996949,50,5,1,0,0,1,0,2
257,M,0,A,1,0,0.375085558,-0.980601125,0,3,1,0,0,1,0,2
258,M,0,A,1,0,0.876112252,-0.132261055,20,3,1,0,0,1,0,2
259,M,0,A,1,0,0.334017796,-1.096561006,50,5,1,0,0,1,0,2
260,M,0,A,1,0,0.999315537,-6.84697e-4,50,6,1,0,0,1,0,2
261,F,1,A,1,0,0.752908967,-0.283810953,10,4,1,0,0,1,0,2
262,M,0,A,1,0,0.752908967,-0.283810953,0,3,1,0,0,1,0,2
263,M,0,A,1,0,0.670773443,-0.39932384,50,7,1,0,0,1,0,2
264,M,0,A,1,0,0.889801506,-0.116756868,0,5,1,0,0,1,0,2
265,M,0,A,1,0,0.670773443,-0.39932384,10,3,1,0,0,1,0,2
266,F,1,A,1,0,0.635181383,-0.453844679,0,2,1,0,0,1,0,2
267,M,0,A,1,0,0.167008898,-1.789708186,50,4,1,0,0,1,0,2
268,M,0,A,1,0,0.084873374,-2.466594846,0,5,1,0,0,1,0,2
269,F,1,A,1,0,0.761122519,-0.272960937,0,2,1,0,0,1,0,2
270,M,0,A,1,0,0.585900068,-0.534606036,30,4,1,0,0,1,0,2
271,M,0,A,1,0,0.914442163,-0.089441058,40,5,1,0,0,1,0,2
272,M,0,A,1,0,0.41889117,-0.870144129,10,4,1,0,0,1,0,2
273,M,0,A,1,0,0.377823409,-0.973328365,30,4,1,0,0,1,0,2
274,M,0,A,1,0,0.531143053,-0.632723892,40,5,1,0,0,1,0,2
275,M,0,A,1,0,0.503764545,-0.685646293,50,5,1,0,0,1,0,2
276,M,0,A,1,0,0.914442163,-0.089441058,50,5,1,0,0,1,0,2
277,M,0,A,1,0,0.402464066,-0.910149464,40,7,1,0,0,1,0,2
278,M,0,A,1,0,0.049281314,-3.010210293,50,3,1,0,0,1,0,2
279,M,0,A,1,0,0.41889117,-0.870144129,50,3,0,0,0,0,6,6
280,M,0,A,1,0,0.334017796,-1.096561006,40,3,1,0,0,1,0,2
281,U,0,W,0,0,0.503764545,-0.685646293,0,0,0,0,0,0,0,2
282,M,0,A,1,0,0.41889117,-0.870144129,30,4,1,0,0,1,0,2
283,M,0,A,1,0,0.900752909,-0.1045243,0,3,1,0,0,1,0,2
284,M,0,A,1,0,0.334017796,-1.096561006,50,4,1,0,0,1,0,2
285,M,0,A,1,0,0.334017796,-1.096561006,20,3,1,0,0,1,0,2
286,M,0,A,1,0,0.999315537,-6.84697e-4,50,3,1,0,0,1,0,2
287,M,0,A,1,0,0.164271047,-1.806237488,30,3,0,0,1,1,2,2
288,M,0,A,1,0,0.752908967,-0.283810953,10,4,1,0,0,1,0,2
289,M,0,A,1,0,0.670773443,-0.39932384,40,4,1,0,0,1,0,2
290,M,0,A,1,0,0.101300479,-2.289664138,10,3,1,0,0,1,0,2
291,M,0,A,1,2,0.752908967,-0.283810953,30,4,1,0,0,1,0,2
292,M,0,A,1,0,0.084873374,-2.466594846,50,5,1,0,0,1,0,2
293,M,0,A,1,0,0.761122519,-0.272960937,0,3,0,0,0,0,6,6
294,M,0,A,1,0,0.999315537,-6.84697e-4,50,4,1,0,0,1,0,2
295,F,1,A,1,0,0.334017796,-1.096561006,40,4,1,0,0,1,0,2
296,M,0,A,1,1,0.900752909,-0.1045243,0,3,1,0,0,1,0,2
297,M,0,A,1,0,0.588637919,-0.529944023,40,4,1,0,0,1,0,2
298,M,0,A,1,0,0.142368241,-1.949338332,0,3,1,0,0,1,0,2
299,M,0,A,1,0,0.503764545,-0.685646293,50,4,1,0,0,1,0,2
300,M,0,A,1,0,0.999315537,-6.84697e-4,50,5,1,0,0,1,0,2
301,F,1,A,1,0,0.301163587,-1.200101685,10,3,1,0,0,1,0,2
302,M,0,A,1,0,0.161533196,-1.823044607,0,4,1,0,0,1,0,2
303,M,0,A,1,0,0.490075291,-0.713196245,30,4,1,0,0,1,0,2
304,M,0,A,1,0,0.468172485,-0.758918494,0,3,1,0,0,1,0,2
305,F,1,A,1,0,0.41889117,-0.870144129,20,4,1,0,0,1,0,2
306,M,0,A,1,0,0.906228611,-0.098463675,50,4,1,0,0,1,0,2
307,M,0,A,1,0,0.752908967,-0.283810953,10,5,1,0,0,1,0,2
308,M,0,A,1,0,0.021902806,-3.821140509,0,3,1,0,0,1,0,2
309,M,0,A,1,0,0.769336071,-0.262227381,20,5,1,0,0,1,0,2
310,F,1,A,1,0,0.41889117,-0.870144129,20,3,1,0,0,1,0,2
311,M,0,A,1,0,0.999315537,-6.84697e-4,0,6,1,0,0,1,0,2
312,F,1,A,1,0,0.156057495,-1.857530783,50,4,1,0,0,1,0,2
313,F,1,A,1,0,0.87063655,-0.138530668,50,5,1,0,0,1,0,2
314,M,0,A,1,0,0.837782341,-0.176996949,50,4,1,0,0,1,0,2
315,F,1,A,1,0,0.941820671,-0.059940393,0,4,0,0,1,1,2,2
316,M,0,A,1,0,0.561259411,-0.577572071,50,5,1,0,0,1,0,2
317,M,0,A,1,0,0.101300479,-2.289664138,50,4,1,0,0,1,0,2
318,M,0,A,1,0,0.065708419,-2.72252822,10,4,1,0,0,1,0,2
319,M,0,A,1,0,0.832306639,-0.183554349,0,4,1,0,0,1,0,2
320,M,0,A,1,0,0.251882272,-1.378793474,50,3,1,0,0,1,0,2
321,M,0,A,1,0,0.251882272,-1.378793474,50,5,1,0,0,1,0,2
322,M,0,A,1,0,0.752908967,-0.283810953,50,3,1,0,0,1,0,2
323,M,0,A,1,0,0.314852841,-1.155649922,20,4,0,0,1,1,2,2
324,M,0,A,1,0,0.752908967,-0.283810953,30,2,1,0,0,1,0,2
325,M,0,A,1,0,0.585900068,-0.534606036,10,3,1,0,0,1,0,2
326,M,0,A,1,0,0.457221082,-0.782588238,50,4,1,0,0,1,0,2
327,M,0,A,1,0,0.41889117,-0.870144129,50,3,1,0,0,1,0,2
328,M,0,A,1,0,0.670773443,-0.39932384,50,3,1,0,0,1,0,2
329,M,0,A,1,0,0.580424367,-0.543995776,0,3,1,0,0,1,0,2
330,M,0,A,1,0,0.83504449,-0.180270274,50,4,1,0,0,1,0,2
331,M,0,A,1,0,0.670773443,-0.39932384,50,3,1,0,0,1,0,2
332,M,0,A,1,0,0.325804244,-1.121458558,0,3,1,0,0,1,0,2
333,M,0,A,1,0,0.331279945,-1.104791505,30,4,1,0,0,1,0,2
334,M,0,A,1,0,0.402464066,-0.910149464,50,5,1,0,0,1,0,2
335,M,0,A,1,0,0.084873374,-2.466594846,50,4,1,0,0,1,0,2
