"","nr","year","agric","black","bus","construc","ent","exper","fin","hisp","poorhlth","hours","manuf","married","min","nrthcen","nrtheast","occ1","occ2","occ3","occ4","occ5","occ6","occ7","occ8","occ9","per","pro","pub","rur","south","educ","tra","trad","union","lwage","d81","d82","d83","d84","d85","d86","d87","expersq"
"36",110,1983,0,0,0,0,0,8,0,0,0,2223,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,2.20251560211182,0,0,1,0,0,0,0,64
"37",110,1984,0,0,0,0,0,9,0,0,0,2150,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.13495421409607,0,0,0,1,0,0,0,81
"38",110,1985,0,0,1,0,0,10,0,0,0,1532,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2.12582278251648,0,0,0,0,1,0,0,100
"39",110,1986,0,0,0,0,0,11,1,0,0,2080,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1.99101662635803,0,0,0,0,0,1,0,121
"40",110,1987,0,0,0,0,0,12,1,0,0,2080,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2.11239337921143,0,0,0,0,0,0,1,144
"41",120,1980,0,0,0,0,0,2,0,0,0,1025,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,0.258554875850677,0,0,0,0,0,0,0,4
"42",120,1981,0,0,0,0,0,3,0,0,0,1496,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1.31997168064117,1,0,0,0,0,0,0,9
"43",120,1982,0,0,0,0,0,4,0,0,0,1394,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1.46208524703979,0,1,0,0,0,0,0,16
"44",120,1983,0,0,0,0,0,5,0,0,0,2924,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1.32028687000275,0,0,1,0,0,0,0,25
"45",120,1984,0,0,0,0,1,6,0,0,0,3564,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,1.70364654064178,0,0,0,1,0,0,0,36
"46",120,1985,0,0,0,0,0,7,0,0,0,3979,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1.44580316543579,0,0,0,0,1,0,0,49
"47",120,1986,0,0,0,0,0,8,1,0,0,4351,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1.80636405944824,0,0,0,0,0,1,0,64
"48",120,1987,0,0,1,0,0,9,0,0,0,3568,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2.14812016487122,0,0,0,0,0,0,1,81
"49",126,1980,0,0,0,0,0,2,0,0,0,3115,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.73728549480438,0,0,0,0,0,0,0,4
"50",126,1981,0,0,0,0,0,3,0,0,0,2735,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.98960089683533,1,0,0,0,0,0,0,9
"51",126,1982,0,0,0,0,0,4,0,0,0,2390,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,2.18991684913635,0,1,0,0,0,0,0,16
"52",126,1983,0,0,0,0,0,5,0,0,0,2340,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.85546326637268,0,0,1,0,0,0,0,25
"53",126,1984,0,0,0,0,0,6,0,0,0,2250,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.92243778705597,0,0,0,1,0,0,0,36
"54",126,1985,0,0,0,0,0,7,0,0,0,2340,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,2.06102395057678,0,0,0,0,1,0,0,49
"55",126,1986,0,0,0,0,0,8,0,0,0,2941,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.78220164775848,0,0,0,0,0,1,0,64
"56",126,1987,0,0,0,0,0,9,0,0,0,2847,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,2.41468167304993,0,0,0,0,0,0,1,81
"57",150,1980,0,0,1,0,0,2,0,0,0,1876,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.20873534679413,0,0,0,0,0,0,0,4
"58",150,1981,0,0,1,0,0,3,0,0,0,2327,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.19403970241547,1,0,0,0,0,0,0,9
"59",150,1982,0,0,1,0,0,4,0,0,0,2006,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.17044055461884,0,1,0,0,0,0,0,16
"60",150,1983,0,0,1,0,0,5,0,0,0,1826,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.09796452522278,0,0,1,0,0,0,0,25
"61",150,1984,0,0,1,0,0,6,0,0,0,3414,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0.765816211700439,0,0,0,1,0,0,0,36
"62",150,1985,0,0,1,0,0,7,0,0,0,3928,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,1.11902594566345,0,0,0,0,1,0,0,49
"63",150,1986,0,0,1,0,0,8,0,0,0,4000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.11936676502228,0,0,0,0,0,1,0,64
"64",150,1987,0,0,1,0,0,9,0,0,0,4992,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,1,0.831459522247314,0,0,0,0,0,0,1,81
"65",162,1980,0,0,0,0,0,2,0,0,0,1874,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0.502470135688782,0,0,0,0,0,0,0,4
"66",162,1981,0,0,0,0,0,3,0,0,0,1710,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,0,0,0,1.06491231918335,1,0,0,0,0,0,0,9
"67",162,1982,0,0,0,0,0,4,0,0,0,1488,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1.18949794769287,0,1,0,0,0,0,0,16
"68",162,1983,0,0,0,0,0,5,0,0,0,939,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,1,0,1.5398885011673,0,0,1,0,0,0,0,25
"69",162,1984,0,0,0,0,0,6,0,0,0,1980,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,1.5982860326767,0,0,0,1,0,0,0,36
"70",162,1985,0,0,0,0,0,7,0,0,0,2735,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1.7373206615448,0,0,0,0,1,0,0,49
"71",162,1986,0,0,0,0,0,8,0,0,0,2720,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1.98845589160919,0,0,0,0,0,1,0,64
"72",162,1987,0,0,0,0,0,9,0,0,0,2795,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,11,0,0,0,2.15867853164673,0,0,0,0,0,0,1,81
"73",166,1980,0,0,0,0,0,2,0,0,0,1296,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,1,1.00529396533966,0,0,0,0,0,0,0,4
"74",166,1981,0,0,0,0,0,3,0,0,0,1942,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,1,0.937687397003174,1,0,0,0,0,0,0,9
"75",166,1982,0,0,0,0,0,4,0,0,0,1245,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,1,1.36748766899109,0,1,0,0,0,0,0,16
"76",166,1983,0,0,0,0,0,5,0,0,0,1196,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,1,1.37800872325897,0,0,1,0,0,0,0,25
"77",166,1984,0,0,0,0,0,6,0,0,0,2387,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,1,1.17018353939056,0,0,0,1,0,0,0,36
"78",166,1985,0,0,0,0,0,7,0,0,0,2160,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,1,0,1.72822141647339,0,0,0,0,1,0,0,49
"79",166,1986,0,0,0,0,0,8,0,0,0,2336,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1.70986473560333,0,0,0,0,0,1,0,64
"80",166,1987,0,0,0,0,0,9,0,0,0,2301,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0,1,0,1.85107481479645,0,0,0,0,0,0,1,81
"81",189,1980,0,0,0,0,0,2,0,0,0,520,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1.13054537773132,0,0,0,0,0,0,0,4
"82",189,1981,0,0,0,0,0,3,0,0,0,520,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0.83624804019928,1,0,0,0,0,0,0,9
"83",189,1982,0,0,0,0,0,4,0,0,0,520,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1.46735978126526,0,1,0,0,0,0,0,16
"84",189,1983,0,0,0,0,0,5,0,0,0,520,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1.07148361206055,0,0,1,0,0,0,0,25
"85",189,1984,0,0,0,0,0,6,0,0,0,1400,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1.44591951370239,0,0,0,1,0,0,0,36
"86",189,1985,0,0,0,0,0,7,0,0,0,1754,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1.68511629104614,0,0,0,0,1,0,0,49
"87",189,1986,0,0,0,0,0,8,0,0,0,1840,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.68617498874664,0,0,0,0,0,1,0,64
"88",189,1987,0,0,0,0,0,9,0,0,0,1872,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.75513029098511,0,0,0,0,0,0,1,81
"89",193,1980,0,0,0,0,0,2,0,0,0,980,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.56569194793701,0,0,0,0,0,0,0,4
"90",193,1981,0,0,0,0,0,3,0,0,0,925,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.49387526512146,1,0,0,0,0,0,0,9
"91",193,1982,0,0,0,0,0,4,0,0,0,2187,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.82266211509705,0,1,0,0,0,0,0,16
"92",193,1983,0,0,0,0,0,5,0,0,0,2080,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.38033604621887,0,0,1,0,0,0,0,25
"93",193,1984,0,0,0,0,0,6,0,0,0,2346,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.21712851524353,0,0,0,1,0,0,0,36
"94",193,1985,0,0,0,0,0,7,0,0,0,2487,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.27203154563904,0,0,0,0,1,0,0,49
"95",193,1986,0,0,0,0,0,8,0,0,0,2328,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.35379862785339,0,0,0,0,0,1,0,64
"96",193,1987,0,0,0,0,0,9,0,0,0,2132,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.42945003509521,0,0,0,0,0,0,1,81
"97",209,1980,0,0,0,0,0,3,0,0,0,2340,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,1,0,1.91800320148468,0,0,0,0,0,0,0,9
"98",209,1981,0,0,0,0,0,4,0,0,0,1935,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,1,0,0.765407741069794,1,0,0,0,0,0,0,16
"99",209,1982,0,0,0,0,0,5,0,0,0,2080,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,1,0,1.97818541526794,0,1,0,0,0,0,0,25
"100",209,1983,0,0,0,0,0,6,0,0,0,2080,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,1,0,1.9485536813736,0,0,1,0,0,0,0,36
"101",209,1984,0,0,0,0,1,7,0,0,0,2280,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,2.03702592849731,0,0,0,1,0,0,0,49
"102",209,1985,0,0,0,0,0,8,0,0,0,2520,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1.90257477760315,0,0,0,0,1,0,0,64
"103",209,1986,0,0,0,0,0,9,0,0,0,2395,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1.97260367870331,0,0,0,0,0,1,0,81
"104",209,1987,0,0,0,0,1,10,0,0,0,2145,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2.18698215484619,0,0,0,0,0,0,1,100
"105",212,1980,0,0,0,0,0,2,0,0,0,2080,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,1.7844717502594,0,0,0,0,0,0,0,4
"106",212,1981,0,0,0,0,0,3,0,0,0,2080,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,2.17998266220093,1,0,0,0,0,0,0,9
"107",212,1982,0,0,0,0,0,4,0,0,0,2110,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,1,1.96386539936066,0,1,0,0,0,0,0,16
"108",212,1983,0,0,0,0,0,5,0,0,0,2550,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,2.04493284225464,0,0,1,0,0,0,0,25
"109",212,1984,0,0,0,0,0,6,0,0,0,2560,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2.01286125183105,0,0,0,1,0,0,0,36
"110",212,1985,0,0,0,0,0,7,0,0,0,2704,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,2.09698581695557,0,0,0,0,1,0,0,49
"111",212,1986,0,0,0,0,0,8,0,0,0,2856,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,2.14396619796753,0,0,0,0,0,1,0,64
"112",212,1987,0,0,0,0,0,9,0,0,0,2912,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,1,2.24128437042236,0,0,0,0,0,0,1,81
"113",218,1980,0,0,0,0,0,2,0,0,0,2080,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,2.01331329345703,0,0,0,0,0,0,0,4
"114",218,1981,0,0,0,0,0,3,0,0,0,2530,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,1.9621524810791,1,0,0,0,0,0,0,9
"115",218,1982,0,0,0,0,0,4,0,0,0,2240,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,15,0,0,0,2.27564096450806,0,1,0,0,0,0,0,16
"116",218,1983,0,0,1,0,0,5,0,0,0,2520,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2.19491767883301,0,0,1,0,0,0,0,25
"117",218,1984,0,0,0,0,0,6,0,0,0,2405,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,2.42833733558655,0,0,0,1,0,0,0,36
"118",218,1985,0,0,1,0,0,7,0,0,0,2130,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2.72303700447083,0,0,0,0,1,0,0,49
"119",218,1986,0,0,1,0,0,8,0,0,0,2080,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2.96639633178711,0,0,0,0,0,1,0,64
"120",218,1987,0,0,1,0,0,9,0,0,0,2080,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.06505179405212,0,0,0,0,0,0,1,81
"121",243,1980,0,0,0,0,0,4,0,0,0,2000,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,1,0,0,1.56418132781982,0,0,0,0,0,0,0,16
"122",243,1981,0,0,0,0,0,5,0,0,0,2080,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1.6835458278656,1,0,0,0,0,0,0,25
"123",243,1982,0,0,0,0,0,6,0,0,1,2080,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,1.69050335884094,0,1,0,0,0,0,0,36
"124",243,1983,0,0,0,0,0,7,0,0,0,2080,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,1.66087162494659,0,0,1,0,0,0,0,49
"125",243,1984,0,0,0,0,0,8,0,0,0,2080,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,1.69805061817169,0,0,0,1,0,0,0,64
"126",243,1985,0,0,0,0,0,9,0,0,0,2168,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,1.67176818847656,0,0,0,0,1,0,0,81
"127",243,1986,0,0,0,0,0,10,0,0,0,2161,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,1.63571751117706,0,0,0,0,0,1,0,100
"128",243,1987,0,0,0,0,0,11,0,0,0,2080,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1.78697097301483,0,0,0,0,0,0,1,121
"129",259,1980,0,0,0,0,0,3,0,0,0,1984,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,1,2.10718965530396,0,0,0,0,0,0,0,9
"130",259,1981,0,0,0,0,0,4,0,0,0,2080,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,1,2.0890109539032,1,0,0,0,0,0,0,16
"131",259,1982,0,0,0,0,0,5,0,0,0,1755,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,1,2.04272389411926,0,1,0,0,0,0,0,25
"132",259,1983,0,0,0,0,0,6,0,0,0,3157,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,1,1.30815577507019,0,0,1,0,0,0,0,36
"133",259,1984,0,0,0,0,0,7,0,0,0,2100,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.48815226554871,0,0,0,1,0,0,0,49
"134",259,1985,0,0,0,1,0,8,0,0,0,2080,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.5428181886673,0,0,0,0,1,0,0,64
"135",259,1986,0,0,0,0,0,9,0,0,0,2996,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,1,0,1.53513467311859,0,0,0,0,0,1,0,81
"136",259,1987,0,0,0,0,0,10,0,0,0,3243,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,1,0,1.45433557033539,0,0,0,0,0,0,1,100
"137",260,1980,0,0,0,0,0,2,0,0,0,815,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,1,1,1.62991201877594,0,0,0,0,0,0,0,4
"138",260,1981,0,0,0,0,0,3,0,0,0,1898,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,1,1,1.77511310577393,1,0,0,0,0,0,0,9
