rownames,nr,year,agric,black,bus,construc,ent,exper,fin,hisp,poorhlth,hours,manuf,married,min,nrthcen,nrtheast,occ1,occ2,occ3,occ4,occ5,occ6,occ7,occ8,occ9,per,pro,pub,rur,south,educ,tra,trad,union,lwage,d81,d82,d83,d84,d85,d86,d87,expersq
16,17,1987,0,0,0,1,0,11,0,0,0,2476,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,1.8203338384628296,0,0,0,0,0,0,1,121
17,18,1980,0,0,0,0,0,4,0,0,0,2332,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,1,0,1.5159627199172974,0,0,0,0,0,0,0,16
18,18,1981,0,0,0,0,0,5,0,0,0,2116,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,1,0,1.7353790998458862,1,0,0,0,0,0,0,25
19,18,1982,0,0,0,0,0,6,0,0,0,2500,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1.6317436695098877,0,1,0,0,0,0,0,36
20,18,1983,0,0,0,0,0,7,0,0,0,2474,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,1.9982287883758545,0,0,1,0,0,0,0,49
21,18,1984,0,0,0,0,0,8,0,0,0,2362,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.184014320373535,0,0,0,1,0,0,0,64
22,18,1985,0,0,0,0,0,9,0,0,0,2340,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.266662120819092,0,0,0,0,1,0,0,81
23,18,1986,0,0,0,0,0,10,0,0,0,2340,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.069943904876709,0,0,0,0,0,1,0,100
24,18,1987,0,0,0,0,0,11,0,0,0,2340,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.8731608390808105,0,0,0,0,0,0,1,121
25,45,1980,0,0,0,0,0,2,0,0,0,1864,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1,0,1,1.8941149711608887,0,0,0,0,0,0,0,4
26,45,1981,0,0,0,0,0,3,0,0,0,2021,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0,1,1.4711593389511108,1,0,0,0,0,0,0,9
27,45,1982,0,0,0,0,0,4,0,0,0,2274,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.4734975099563599,0,1,0,0,0,0,0,16
28,45,1983,0,0,0,0,0,5,0,0,0,2112,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.740914225578308,0,0,1,0,0,0,0,25
29,45,1984,0,0,1,0,0,6,0,0,0,1920,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.8232136964797974,0,0,0,1,0,0,0,36
30,45,1985,0,0,0,0,0,7,0,0,0,2205,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.9082728624343872,0,0,0,0,1,0,0,49
31,45,1986,0,0,0,0,0,8,0,0,0,2551,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1.7424473762512207,0,0,0,0,0,1,0,64
32,45,1987,0,0,0,1,0,9,0,0,0,2860,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2.1356890201568604,0,0,0,0,0,0,1,81
33,110,1980,0,0,0,0,0,5,0,0,0,2080,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,1,1.948774814605713,0,0,0,0,0,0,0,25
34,110,1981,0,0,0,0,0,6,0,0,0,2080,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,0,1.962259292602539,1,0,0,0,0,0,0,36
35,110,1982,0,0,0,0,0,7,0,0,0,2639,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,1.9632967710494995,0,1,0,0,0,0,0,49
36,110,1983,0,0,0,0,0,8,0,0,0,2223,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,2.2025156021118164,0,0,1,0,0,0,0,64
37,110,1984,0,0,0,0,0,9,0,0,0,2150,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.1349542140960693,0,0,0,1,0,0,0,81
38,110,1985,0,0,1,0,0,10,0,0,0,1532,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2.1258227825164795,0,0,0,0,1,0,0,100
39,110,1986,0,0,0,0,0,11,1,0,0,2080,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1.9910166263580322,0,0,0,0,0,1,0,121
40,110,1987,0,0,0,0,0,12,1,0,0,2080,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2.112393379211426,0,0,0,0,0,0,1,144
41,120,1980,0,0,0,0,0,2,0,0,0,1025,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,0.2585548758506775,0,0,0,0,0,0,0,4
42,120,1981,0,0,0,0,0,3,0,0,0,1496,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1.3199716806411743,1,0,0,0,0,0,0,9
43,120,1982,0,0,0,0,0,4,0,0,0,1394,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1.462085247039795,0,1,0,0,0,0,0,16
44,120,1983,0,0,0,0,0,5,0,0,0,2924,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1.3202868700027466,0,0,1,0,0,0,0,25
45,120,1984,0,0,0,0,1,6,0,0,0,3564,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,1.7036465406417847,0,0,0,1,0,0,0,36
46,120,1985,0,0,0,0,0,7,0,0,0,3979,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1.445803165435791,0,0,0,0,1,0,0,49
47,120,1986,0,0,0,0,0,8,1,0,0,4351,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1.8063640594482422,0,0,0,0,0,1,0,64
48,120,1987,0,0,1,0,0,9,0,0,0,3568,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2.148120164871216,0,0,0,0,0,0,1,81
49,126,1980,0,0,0,0,0,2,0,0,0,3115,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.7372854948043823,0,0,0,0,0,0,0,4
50,126,1981,0,0,0,0,0,3,0,0,0,2735,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.9896008968353271,1,0,0,0,0,0,0,9
51,126,1982,0,0,0,0,0,4,0,0,0,2390,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,2.1899168491363525,0,1,0,0,0,0,0,16
52,126,1983,0,0,0,0,0,5,0,0,0,2340,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.8554632663726807,0,0,1,0,0,0,0,25
53,126,1984,0,0,0,0,0,6,0,0,0,2250,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.9224377870559692,0,0,0,1,0,0,0,36
54,126,1985,0,0,0,0,0,7,0,0,0,2340,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,2.0610239505767822,0,0,0,0,1,0,0,49
55,126,1986,0,0,0,0,0,8,0,0,0,2941,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.7822016477584839,0,0,0,0,0,1,0,64
56,126,1987,0,0,0,0,0,9,0,0,0,2847,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,2.4146816730499268,0,0,0,0,0,0,1,81
57,150,1980,0,0,1,0,0,2,0,0,0,1876,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.2087353467941284,0,0,0,0,0,0,0,4
58,150,1981,0,0,1,0,0,3,0,0,0,2327,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.1940397024154663,1,0,0,0,0,0,0,9
59,150,1982,0,0,1,0,0,4,0,0,0,2006,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.1704405546188354,0,1,0,0,0,0,0,16
60,150,1983,0,0,1,0,0,5,0,0,0,1826,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.0979645252227783,0,0,1,0,0,0,0,25
61,150,1984,0,0,1,0,0,6,0,0,0,3414,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0.7658162117004395,0,0,0,1,0,0,0,36
62,150,1985,0,0,1,0,0,7,0,0,0,3928,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,1.1190259456634521,0,0,0,0,1,0,0,49
63,150,1986,0,0,1,0,0,8,0,0,0,4000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.1193667650222778,0,0,0,0,0,1,0,64
64,150,1987,0,0,1,0,0,9,0,0,0,4992,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,1,0.8314595222473145,0,0,0,0,0,0,1,81
65,162,1980,0,0,0,0,0,2,0,0,0,1874,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0.5024701356887817,0,0,0,0,0,0,0,4
66,162,1981,0,0,0,0,0,3,0,0,0,1710,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,0,0,0,1.0649123191833496,1,0,0,0,0,0,0,9
67,162,1982,0,0,0,0,0,4,0,0,0,1488,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1.189497947692871,0,1,0,0,0,0,0,16
68,162,1983,0,0,0,0,0,5,0,0,0,939,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,1,0,1.5398885011672974,0,0,1,0,0,0,0,25
69,162,1984,0,0,0,0,0,6,0,0,0,1980,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,1.5982860326766968,0,0,0,1,0,0,0,36
70,162,1985,0,0,0,0,0,7,0,0,0,2735,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1.7373206615447998,0,0,0,0,1,0,0,49
71,162,1986,0,0,0,0,0,8,0,0,0,2720,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1.988455891609192,0,0,0,0,0,1,0,64
72,162,1987,0,0,0,0,0,9,0,0,0,2795,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,11,0,0,0,2.1586785316467285,0,0,0,0,0,0,1,81
73,166,1980,0,0,0,0,0,2,0,0,0,1296,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,1,1.0052939653396606,0,0,0,0,0,0,0,4
74,166,1981,0,0,0,0,0,3,0,0,0,1942,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,1,0.9376873970031738,1,0,0,0,0,0,0,9
75,166,1982,0,0,0,0,0,4,0,0,0,1245,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,1,1.3674876689910889,0,1,0,0,0,0,0,16
76,166,1983,0,0,0,0,0,5,0,0,0,1196,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,1,1.3780087232589722,0,0,1,0,0,0,0,25
77,166,1984,0,0,0,0,0,6,0,0,0,2387,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,1,1.170183539390564,0,0,0,1,0,0,0,36
78,166,1985,0,0,0,0,0,7,0,0,0,2160,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,1,0,1.7282214164733887,0,0,0,0,1,0,0,49
79,166,1986,0,0,0,0,0,8,0,0,0,2336,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1.7098647356033325,0,0,0,0,0,1,0,64
80,166,1987,0,0,0,0,0,9,0,0,0,2301,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0,1,0,1.8510748147964478,0,0,0,0,0,0,1,81
81,189,1980,0,0,0,0,0,2,0,0,0,520,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1.1305453777313232,0,0,0,0,0,0,0,4
82,189,1981,0,0,0,0,0,3,0,0,0,520,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0.8362480401992798,1,0,0,0,0,0,0,9
83,189,1982,0,0,0,0,0,4,0,0,0,520,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1.4673597812652588,0,1,0,0,0,0,0,16
84,189,1983,0,0,0,0,0,5,0,0,0,520,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1.0714836120605469,0,0,1,0,0,0,0,25
85,189,1984,0,0,0,0,0,6,0,0,0,1400,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1.4459195137023926,0,0,0,1,0,0,0,36
86,189,1985,0,0,0,0,0,7,0,0,0,1754,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1.6851162910461426,0,0,0,0,1,0,0,49
87,189,1986,0,0,0,0,0,8,0,0,0,1840,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.686174988746643,0,0,0,0,0,1,0,64
88,189,1987,0,0,0,0,0,9,0,0,0,1872,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.7551302909851074,0,0,0,0,0,0,1,81
89,193,1980,0,0,0,0,0,2,0,0,0,980,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.5656919479370117,0,0,0,0,0,0,0,4
90,193,1981,0,0,0,0,0,3,0,0,0,925,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.49387526512146,1,0,0,0,0,0,0,9
91,193,1982,0,0,0,0,0,4,0,0,0,2187,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.822662115097046,0,1,0,0,0,0,0,16
92,193,1983,0,0,0,0,0,5,0,0,0,2080,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.380336046218872,0,0,1,0,0,0,0,25
93,193,1984,0,0,0,0,0,6,0,0,0,2346,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.2171285152435303,0,0,0,1,0,0,0,36
94,193,1985,0,0,0,0,0,7,0,0,0,2487,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.272031545639038,0,0,0,0,1,0,0,49
95,193,1986,0,0,0,0,0,8,0,0,0,2328,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.3537986278533936,0,0,0,0,0,1,0,64
96,193,1987,0,0,0,0,0,9,0,0,0,2132,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.429450035095215,0,0,0,0,0,0,1,81
97,209,1980,0,0,0,0,0,3,0,0,0,2340,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,1,0,1.9180032014846802,0,0,0,0,0,0,0,9
98,209,1981,0,0,0,0,0,4,0,0,0,1935,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,1,0,0.7654077410697937,1,0,0,0,0,0,0,16
99,209,1982,0,0,0,0,0,5,0,0,0,2080,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,1,0,1.9781854152679443,0,1,0,0,0,0,0,25
100,209,1983,0,0,0,0,0,6,0,0,0,2080,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,1,0,1.9485536813735962,0,0,1,0,0,0,0,36
101,209,1984,0,0,0,0,1,7,0,0,0,2280,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,2.0370259284973145,0,0,0,1,0,0,0,49
102,209,1985,0,0,0,0,0,8,0,0,0,2520,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1.9025747776031494,0,0,0,0,1,0,0,64
103,209,1986,0,0,0,0,0,9,0,0,0,2395,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1.972603678703308,0,0,0,0,0,1,0,81
104,209,1987,0,0,0,0,1,10,0,0,0,2145,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2.1869821548461914,0,0,0,0,0,0,1,100
105,212,1980,0,0,0,0,0,2,0,0,0,2080,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,1.7844717502593994,0,0,0,0,0,0,0,4
106,212,1981,0,0,0,0,0,3,0,0,0,2080,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,2.1799826622009277,1,0,0,0,0,0,0,9
107,212,1982,0,0,0,0,0,4,0,0,0,2110,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,1,1.9638653993606567,0,1,0,0,0,0,0,16
108,212,1983,0,0,0,0,0,5,0,0,0,2550,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,2.0449328422546387,0,0,1,0,0,0,0,25
109,212,1984,0,0,0,0,0,6,0,0,0,2560,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2.0128612518310547,0,0,0,1,0,0,0,36
110,212,1985,0,0,0,0,0,7,0,0,0,2704,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,2.0969858169555664,0,0,0,0,1,0,0,49
111,212,1986,0,0,0,0,0,8,0,0,0,2856,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,2.1439661979675293,0,0,0,0,0,1,0,64
112,212,1987,0,0,0,0,0,9,0,0,0,2912,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,1,2.2412843704223633,0,0,0,0,0,0,1,81
113,218,1980,0,0,0,0,0,2,0,0,0,2080,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,2.0133132934570312,0,0,0,0,0,0,0,4
114,218,1981,0,0,0,0,0,3,0,0,0,2530,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,1.9621524810791016,1,0,0,0,0,0,0,9
115,218,1982,0,0,0,0,0,4,0,0,0,2240,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,15,0,0,0,2.2756409645080566,0,1,0,0,0,0,0,16
116,218,1983,0,0,1,0,0,5,0,0,0,2520,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2.194917678833008,0,0,1,0,0,0,0,25
117,218,1984,0,0,0,0,0,6,0,0,0,2405,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,2.428337335586548,0,0,0,1,0,0,0,36
118,218,1985,0,0,1,0,0,7,0,0,0,2130,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2.723037004470825,0,0,0,0,1,0,0,49
119,218,1986,0,0,1,0,0,8,0,0,0,2080,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2.9663963317871094,0,0,0,0,0,1,0,64
120,218,1987,0,0,1,0,0,9,0,0,0,2080,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.065051794052124,0,0,0,0,0,0,1,81
121,243,1980,0,0,0,0,0,4,0,0,0,2000,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,1,0,0,1.5641813278198242,0,0,0,0,0,0,0,16
122,243,1981,0,0,0,0,0,5,0,0,0,2080,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1.6835458278656006,1,0,0,0,0,0,0,25
123,243,1982,0,0,0,0,0,6,0,0,1,2080,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,1.6905033588409424,0,1,0,0,0,0,0,36
124,243,1983,0,0,0,0,0,7,0,0,0,2080,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,1.6608716249465942,0,0,1,0,0,0,0,49
125,243,1984,0,0,0,0,0,8,0,0,0,2080,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,1.698050618171692,0,0,0,1,0,0,0,64
126,243,1985,0,0,0,0,0,9,0,0,0,2168,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,1.6717681884765625,0,0,0,0,1,0,0,81
127,243,1986,0,0,0,0,0,10,0,0,0,2161,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,1.635717511177063,0,0,0,0,0,1,0,100
128,243,1987,0,0,0,0,0,11,0,0,0,2080,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1.7869709730148315,0,0,0,0,0,0,1,121
129,259,1980,0,0,0,0,0,3,0,0,0,1984,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,1,2.107189655303955,0,0,0,0,0,0,0,9
130,259,1981,0,0,0,0,0,4,0,0,0,2080,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,1,2.0890109539031982,1,0,0,0,0,0,0,16
131,259,1982,0,0,0,0,0,5,0,0,0,1755,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,1,2.0427238941192627,0,1,0,0,0,0,0,25
132,259,1983,0,0,0,0,0,6,0,0,0,3157,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,1,1.3081557750701904,0,0,1,0,0,0,0,36
133,259,1984,0,0,0,0,0,7,0,0,0,2100,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.488152265548706,0,0,0,1,0,0,0,49
134,259,1985,0,0,0,1,0,8,0,0,0,2080,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.5428181886672974,0,0,0,0,1,0,0,64
135,259,1986,0,0,0,0,0,9,0,0,0,2996,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,1,0,1.5351346731185913,0,0,0,0,0,1,0,81
136,259,1987,0,0,0,0,0,10,0,0,0,3243,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,1,0,1.4543355703353882,0,0,0,0,0,0,1,100
137,260,1980,0,0,0,0,0,2,0,0,0,815,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,1,1,1.62991201877594,0,0,0,0,0,0,0,4
138,260,1981,0,0,0,0,0,3,0,0,0,1898,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,1,1,1.7751131057739258,1,0,0,0,0,0,0,9
