"","dcode","bcode","math4","read4","enroll","exppp","free","reduced","lunch","medinc","totchild","married","single","pctsgle","zipcode","lenroll","lexppp","lmedinc"
"53",81010,6,63,61.1,331,5679.86,17.5,1.5,19,80468,10996,8941,2055,18.68861,48103,5.802118,8.644682,11.29562
"54",81010,163,64.8,61.1,244,6433.83,17.6,5.7,23.3,80468,10996,8941,2055,18.68861,48103,5.497168,8.769325,11.29562
"55",81010,2303,77.8,72.2,384,5626.63,8.1,3.1,11.2,80468,10996,8941,2055,18.68861,48103,5.950643,8.635266,11.29562
"56",81010,915,82.2,71.2,343,5225.96,17.5,3.2,20.7,80468,10996,8941,2055,18.68861,48103,5.83773,8.561394,11.29562
"57",81010,1064,88.6,67.1,314,5537.87,11.8,1.9,13.7,80468,10996,8941,2055,18.68861,48103,5.749393,8.619366,11.29562
"58",81010,1534,82.7,69.3,411,4937.8,12.2,2.9,15.1,80468,10996,8941,2055,18.68861,48103,6.018593,8.504675,11.29562
"59",81010,2143,89,74.4,442,4934.01,14.3,5.2,19.5,80468,10996,8941,2055,18.68861,48103,6.09131,8.503907,11.29562
"60",81010,4562,89.2,79.7,375,5032.3,7.2,3.5,10.7,80468,10996,8941,2055,18.68861,48103,5.926926,8.523632,11.29562
"61",81010,99,98,84.3,288,5520.19,13.2,7.3,20.5,89045,3907,3434,473,12.10647,48104,5.662961,8.616168,11.3969
"62",81010,455,88.2,70.6,370,5416.43,8.6,1.6,10.2,89045,3907,3434,473,12.10647,48104,5.913503,8.597192,11.3969
"63",81010,533,61.1,51.9,306,6202.08,23.5,7.5,31,89045,3907,3434,473,12.10647,48104,5.723585,8.73264,11.3969
"64",81010,1939,76.3,56.9,338,6441.83,19.5,11.5,31,89045,3907,3434,473,12.10647,48104,5.823046,8.770568,11.3969
"65",81010,2973,69.7,52.5,368,5702.08,23.1,7.1,30.2,89045,3907,3434,473,12.10647,48104,5.908083,8.648586,11.3969
"66",81010,3060,80.9,66,235,6206.67,19.6,6.4,26,89045,3907,3434,473,12.10647,48104,5.459586,8.733379,11.3969
"67",81902,8333,60,26.7,232,8372.16,78.9,4.7,83.6,89045,3907,3434,473,12.10647,48104,5.446737,9.032667,11.3969
"68",81010,6697,85.4,72.9,322,5794.2,12.7,2.2,14.9,73103,7037,5956,1081,15.36166,48105,5.774551,8.664613,11.19963
"69",81010,5760,88.9,83.1,369,5252.18,4.6,1.1,5.7,73103,7037,5956,1081,15.36166,48105,5.910797,8.566399,11.19963
"70",81010,2766,74.5,57.4,342,5412.25,19.9,10.2,30.1,73103,7037,5956,1081,15.36166,48105,5.834811,8.59642,11.19963
"71",81010,4182,71.1,66.3,346,5415.91,9.5,5.5,15,73103,7037,5956,1081,15.36166,48105,5.846439,8.597096,11.19963
"72",81010,2582,70,65,245,6303.75,16.7,7.8,24.5,65257,5271,3924,1347,25.55492,48108,5.501258,8.7489,11.08609
"73",81040,2720,87.3,70.4,415,4376.73,1.2,1.2,2.4,77177,2932,2518,414,14.12005,48118,6.028278,8.384057,11.25386
"74",81040,8517,83.8,59.3,405,4262.31,5.4,1.7,7.1,77177,2932,2518,414,14.12005,48118,6.003887,8.357567,11.25386
"75",81040,3507,64.6,54.2,387,4891.32,4.9,2.3,7.2,77177,2932,2518,414,14.12005,48118,5.958425,8.495217,11.25386
"76",81050,214,71.3,64.6,466,4755.97,3.2,2.1,5.3,80321,2975,2597,378,12.70588,48130,6.144186,8.467156,11.29379
"77",81080,5816,82.5,75,464,4308.88,6.9,2.2,9.1,69199,1650,1363,287,17.39394,48158,6.139884,8.368433,11.14474
"78",81100,2930,76.7,50.9,657,5435.27,11.7,5,16.7,63938,2728,2200,528,19.35484,48160,6.487684,8.600664,11.06567
"79",63240,2684,72,63.2,490,3983.24,12.9,5.9,18.8,73438,1668,1478,190,11.39089,48165,6.194406,8.289851,11.2042
"80",81120,7527,78.8,56.5,539,4763.39,3.3,2.2,5.5,86934,5371,4748,623,11.59933,48176,6.289716,8.468715,11.3729
"81",81120,8504,86.6,69.4,635,4879.58,3.6,3,6.6,86934,5371,4748,623,11.59933,48176,6.453625,8.492814,11.3729
"82",63240,3522,87.8,77.5,536,3835.93,7.1,4.1,11.2,79842,6080,5396,684,11.25,48178,6.284134,8.252167,11.2878
"83",63240,3496,77.1,61.5,700,3669.58,5,1.3,6.3,79842,6080,5396,684,11.25,48178,6.55108,8.207832,11.2878
"84",81070,2186,57.4,47.1,784,4410,18.9,6,24.9,64385,10808,7580,3228,29.86676,48197,6.664409,8.39163,11.07264
"85",81020,988,55.4,40,360,4887.21,52.2,11.9,64.1,64385,10808,7580,3228,29.86676,48197,5.886104,8.494377,11.07264
"86",81020,1157,60.4,39.6,369,4427.06,25.7,7,32.7,64385,10808,7580,3228,29.86676,48197,5.910797,8.395491,11.07264
"87",81020,1153,40.3,38.7,360,5078.97,48.6,7.8,56.4,47308,8772,5088,3684,41.99726,48198,5.886104,8.532864,10.76443
"88",81020,2825,53.2,41,408,5401.05,57.1,6.6,63.7,47308,8772,5088,3684,41.99726,48198,6.011267,8.594349,10.76443
"89",81150,5953,75.8,51.5,343,3684.2,42.3,10.5,52.8,47308,8772,5088,3684,41.99726,48198,5.83773,8.211808,10.76443
"90",81150,1705,61.3,41.9,394,3723.28,53.6,13.5,67.1,47308,8772,5088,3684,41.99726,48198,5.976351,8.222361,10.76443
"91",81150,1638,71.4,32.1,230,5083.97,69.1,10.4,79.5,47308,8772,5088,3684,41.99726,48198,5.438079,8.533848,10.76443
"92",63020,4155,88.6,73.3,424,4634.42,8,6.8,14.8,50028,4818,3078,1740,36.11457,48220,6.049734,8.441266,10.82034
"93",63020,4241,18.9,17,335,5047.83,73.7,11.6,85.3,50028,4818,3078,1740,36.11457,48220,5.81413,8.526713,10.82034
"94",63020,4590,50,33.3,375,7241.43,46.7,14.4,61.1,50028,4818,3078,1740,36.11457,48220,5.926926,8.887574,10.82034
"95",63130,2150,85.7,57.1,281,5727.38,40.2,8.5,48.7,50028,4818,3078,1740,36.11457,48220,5.638355,8.653013,10.82034
"96",63250,1097,53.8,46.2,658,4064.26,31,8.1,39.1,52012,7922,5521,2401,30.308,48237,6.489205,8.309987,10.85923
"97",63250,2032,46.8,45,436,5288.03,51.1,8,59.1,52012,7922,5521,2401,30.308,48237,6.077642,8.573201,10.85923
"98",63250,3006,56.1,32.7,528,4241.3,31.6,8.5,40.1,52012,7922,5521,2401,30.308,48237,6.269096,8.352625,10.85923
"99",63010,818,96,78.8,559,6607.55,0.4,0,0.4,128274,3728,3533,195,5.230687,48301,6.326149,8.795968,11.76192
"100",63010,5686,94.7,90.8,618,6640.96,1.3,0,1.3,128274,3728,3533,195,5.230687,48301,6.426488,8.801012,11.76192
"101",63080,4830,91.4,78.6,405,7558.8,0.5,0,0.5,138188,3535,3299,236,6.676096,48302,6.003887,8.930468,11.83637
"102",63080,5160,86.4,73.9,470,5905.47,1.7,0.2,1.9,138188,3535,3299,236,6.676096,48302,6.152733,8.683635,11.83637
"103",63080,5538,91.6,80.7,417,6300.76,0.5,0,0.5,138188,3535,3299,236,6.676096,48302,6.033086,8.748425,11.83637
"104",63010,1571,98.1,86.8,393,6619.53,1.3,0.3,1.6,123516,3666,3284,382,10.42008,48304,5.97381,8.79778,11.72413
"105",63080,5076,94.5,87.7,473,6012.12,3.4,0,3.4,123516,3666,3284,382,10.42008,48304,6.159095,8.701532,11.72413
"106",63260,178,94.2,83.9,811,3774.88,0.1,0,0.1,114237,7060,6647,413,5.849858,48306,6.698268,8.236124,11.64603
"107",63260,1114,98.7,89.9,452,4823.65,0.4,0,0.4,114237,7060,6647,413,5.849858,48306,6.113682,8.481286,11.64603
"108",63260,7310,97.4,87.2,501,4324.3,1,1,2,114237,7060,6647,413,5.849858,48306,6.216606,8.372005,11.64603
"109",63260,7350,96.2,88.5,457,4212.53,0,0,0,114237,7060,6647,413,5.849858,48306,6.124683,8.345819,11.64603
"110",63260,410,96.8,87.4,604,4430.24,3.1,3.8,6.9,76424,9152,7764,1388,15.16608,48307,6.403574,8.396209,11.24405
"111",63260,1551,94.8,80.2,511,4648.62,3.7,3.9,7.6,76424,9152,7764,1388,15.16608,48307,6.23637,8.444325,11.24405
"112",63260,7855,96.7,71.7,589,4883.38,5.8,2.9,8.700001,76424,9152,7764,1388,15.16608,48307,6.378426,8.493593,11.24405
"113",63260,1773,94.2,71.2,280,4795.69,3.6,3.2,6.8,76424,9152,7764,1388,15.16608,48307,5.634789,8.475472,11.24405
"114",63260,2731,90.4,85.5,589,4054.84,6.6,3.1,9.7,76424,9152,7764,1388,15.16608,48307,6.378426,8.307667,11.24405
"115",63070,7446,100,93.5,372,5512.27,3.8,1.3,5.1,95516,6336,5825,511,8.065025,48309,5.918894,8.614732,11.46705
"116",63260,5239,100,85.7,413,4223.98,1.2,0.5,1.7,95516,6336,5825,511,8.065025,48309,6.023448,8.348533,11.46705
"117",63260,2498,90.1,74.1,416,4563.44,0.2,0,0.2,95516,6336,5825,511,8.065025,48309,6.030685,8.425832,11.46705
"118",63260,6270,100,77.9,488,4746.81,1.8,0.2,2,95516,6336,5825,511,8.065025,48309,6.190315,8.465228,11.46705
"119",63160,3271,93.2,86.3,356,6356.23,20.8,7.9,28.7,59714,920,726,194,21.08696,48320,5.874931,8.757191,10.99732
"120",63200,994,94.7,72.9,398,5603.87,3.3,1.5,4.8,101783,7034,6529,505,7.179414,48322,5.986452,8.631213,11.5306
"121",63290,6283,75.3,50.7,470,5437.54,3.8,1.9,5.7,101783,7034,6529,505,7.179414,48322,6.152733,8.601082,11.5306
"122",63160,5783,91.3,71,412,5900.13,5.6,1,6.6,101783,7034,6529,505,7.179414,48322,6.021023,8.68273,11.5306
"123",63160,1401,94.4,74.6,496,5909.15,4.6,1.8,6.4,101783,7034,6529,505,7.179414,48322,6.206576,8.684258,11.5306
"124",63080,5766,96,88,316,8389.23,0.9,0.9,1.8,116893,4607,4184,423,9.18168,48323,5.755742,9.034704,11.66901
"125",63080,5349,92.4,72.7,329,7126.12,0,0,0,116893,4607,4184,423,9.18168,48323,5.796058,8.871522,11.66901
"126",63290,7447,92.4,71.4,596,5220.97,3.2,1.7,4.9,116893,4607,4184,423,9.18168,48323,6.390241,8.560438,11.66901
"127",63290,4235,76.7,67.4,349,6627.02,2.3,2,4.3,116893,4607,4184,423,9.18168,48323,5.855072,8.79891,11.66901
"128",63160,1491,84.7,76.5,477,5692,3.4,1.3,4.7,116893,4607,4184,423,9.18168,48323,6.167517,8.646817,11.66901
"129",63290,2001,95.4,87.2,651,4876.39,0.8,1.1,1.9,96568,5077,4650,427,8.410479,48324,6.478509,8.492161,11.478
"130",63070,148,90.9,60,374,5245.76,11.8,2.7,14.5,61227,3677,2855,822,22.35518,48326,5.924256,8.565175,11.02234
"131",63070,5363,94,86.2,354,5431.56,9.6,7.1,16.7,61227,3677,2855,822,22.35518,48326,5.869297,8.599981,11.02234
"132",63030,4532,57.5,62.5,320,6315.68,44.7,6.6,51.3,61227,3677,2855,822,22.35518,48326,5.768321,8.750791,11.02234
"133",63300,897,93,69.7,306,4595.37,16.7,7.2,23.9,64886,4577,3645,932,20.36268,48327,5.723585,8.432804,11.08039
"134",63300,2138,90.9,83.6,355,4669.76,5.9,3.4,9.3,64886,4577,3645,932,20.36268,48327,5.872118,8.448863,11.08039
"135",63300,4535,76.5,63,414,4536,19.3,7.2,26.5,64886,4577,3645,932,20.36268,48327,6.025866,8.419801,11.08039
"136",63300,522,67.3,46.2,310,4405.63,29.7,5.5,35.2,57274,5412,4035,1377,25.44346,48328,5.736572,8.390638,10.9556
"137",63300,933,64.9,49.1,385,4620.95,35.1,3.4,38.5,57274,5412,4035,1377,25.44346,48328,5.953243,8.438355,10.9556
"138",63300,1106,56.3,52.1,327,4382.68,27.8,13.1,40.9,57274,5412,4035,1377,25.44346,48328,5.78996,8.385416,10.9556
"139",63300,1484,80.6,65.3,394,4412.77,17.8,5.3,23.1,70044,5887,5167,720,12.23034,48329,5.976351,8.392258,11.15688
"140",63300,1891,91.5,88.7,345,4531.62,2.6,2,4.6,70044,5887,5167,720,12.23034,48329,5.843544,8.418835,11.15688
"141",63300,3418,92.8,79.5,417,4503.36,11.8,4.6,16.4,70044,5887,5167,720,12.23034,48329,6.033086,8.412579,11.15688
"142",63300,4169,71.6,71.6,468,4434.99,9.4,7.1,16.5,70044,5887,5167,720,12.23034,48329,6.148468,8.397281,11.15688
"143",63200,5100,91.1,80,308,6799.22,1.6,1.3,2.9,109185,5935,5400,535,9.014322,48331,5.7301,8.824563,11.6008
"144",63200,4579,97.9,72.3,282,6749.77,1.8,0.4,2.2,109185,5935,5400,535,9.014322,48331,5.641907,8.817264,11.6008
"145",63200,255,81.8,74.2,400,5328.28,6.8,3,9.8,81223,3763,3193,570,15.14749,48334,5.991465,8.580784,11.30495
"146",63200,7251,100,96.2,306,6257.07,0.7,0.3,1,81223,3763,3193,570,15.14749,48334,5.723585,8.741467,11.30495
"147",63200,2012,86.4,74.6,374,6781.45,4.8,1.1,5.9,81223,3763,3193,570,15.14749,48334,5.924256,8.821946,11.30495
"148",63200,5865,68.8,59.7,419,6243.73,8.6,2.4,11,81223,3763,3193,570,15.14749,48334,6.037871,8.739333,11.30495
"149",63200,1404,88,65.3,542,6311.01,4.4,0.9,5.3,78289,4124,3675,449,10.88749,48335,6.295266,8.750051,11.26816
"150",63200,7444,89.4,78.7,572,6090.31,3,1.6,4.6,78289,4124,3675,449,10.88749,48335,6.349139,8.714455,11.26816
"151",63200,2252,85.1,61.2,388,5720.36,3.1,0.3,3.4,78289,4124,3675,449,10.88749,48335,5.961005,8.651787,11.26816
"152",63200,2132,89.6,65.4,464,5816.61,7.1,3.7,10.8,72073,5759,4711,1048,18.1976,48336,6.139884,8.668473,11.18543
"153",63200,4537,60.5,51.2,257,6184.22,16.7,3.9,20.6,72073,5759,4711,1048,18.1976,48336,5.549076,8.729756,11.18543
"154",63030,45,36.7,25.4,369,7147.68,55.3,8.4,63.7,36615,6377,3229,3148,49.36491,48340,5.910797,8.874543,10.50821
"155",63030,1139,39,27.1,303,6096.19,74.3,7.3,81.60001,36615,6377,3229,3148,49.36491,48340,5.713733,8.715419,10.50821
"156",63030,2144,72.5,58.5,433,5499.44,46.7,5.1,51.8,36615,6377,3229,3148,49.36491,48340,6.070738,8.612402,10.50821
"157",63030,2922,41.8,25.4,365,7768.24,53.7,6.3,60,36615,6377,3229,3148,49.36491,48340,5.899898,8.957799,10.50821
"158",63030,834,46.5,34.9,310,6507.43,65.8,4.2,70,39255,4246,2008,2238,52.70843,48341,5.736572,8.7807,10.57783
"159",63030,275,44.4,22.2,266,7658.13,71.4,7.1,78.5,39255,4246,2008,2238,52.70843,48341,5.583496,8.943523,10.57783
"160",63030,4423,48.1,44.2,384,5426.06,57.6,5.2,62.8,39255,4246,2008,2238,52.70843,48341,5.950643,8.598969,10.57783
"161",63030,1652,81,57.1,357,6833.36,60.5,6.7,67.2,31935,5745,2497,3248,56.53612,48342,5.877736,8.829572,10.37146
"162",63030,2260,100,82.9,314,6144.62,69.4,4.8,74.2,31935,5745,2497,3248,56.53612,48342,5.749393,8.723332,10.37146
"163",63030,2384,33.3,15.4,324,7760.81,65.4,8.3,73.7,31935,5745,2497,3248,56.53612,48342,5.780744,8.956842,10.37146
"164",63030,5752,54.5,55.6,419,4786.32,64.7,7.9,72.6,31935,5745,2497,3248,56.53612,48342,6.037871,8.473517,10.37146
"165",63190,704,96.1,74.7,351,5634.92,3.7,3.1,6.8,76856,5603,4604,999,17.82973,48346,5.860786,8.636738,11.24969
"166",63190,5624,81.1,60.8,377,6258.94,11.4,8.2,19.6,76856,5603,4604,999,17.82973,48346,5.932245,8.741766,11.24969
"167",63190,3054,89.9,65.2,379,5943.68,9.8,4.7,14.5,76856,5603,4604,999,17.82973,48346,5.937536,8.690084,11.24969
"168",63190,170,91.8,72.4,432,5992.99,1.6,2.3,3.9,89651,5950,5222,728,12.23529,48348,6.068426,8.698346,11.40368
"169",63190,8056,92.6,75.3,440,5440.06,3.6,0.7,4.3,89651,5950,5222,728,12.23529,48348,6.086775,8.601545,11.40368
"170",63190,95,88.9,79.4,342,5890.68,6.1,2.9,9,71602,1902,1638,264,13.88013,48350,5.834811,8.681127,11.17888
"171",63210,877,84.6,61.5,500,4219.22,17.6,6,23.6,71602,1902,1638,264,13.88013,48350,6.214608,8.347405,11.17888
"172",63220,6490,82.8,64.1,446,4166.48,7.2,3.8,11,73938,2331,2019,312,13.38481,48356,6.100319,8.334826,11.21098
"173",63220,5309,67.9,47,511,4071.7,15.1,10.6,25.7,65684,2543,1959,584,22.965,48357,6.23637,8.311816,11.09261
"174",63220,8608,76.1,66.2,444,4397.09,4.3,4.5,8.8,65684,2543,1959,584,22.965,48357,6.095825,8.388699,11.09261
"175",63220,5787,82.4,64.6,409,4489.95,12.7,8.3,21,65684,2543,1959,584,22.965,48357,6.013715,8.409596,11.09261
"176",63230,8443,100,92.5,490,4374.7,3.7,2.7,6.4,70385,1913,1591,322,16.8322,48359,6.194406,8.383594,11.16174
"177",63230,6281,89.6,84.6,503,4981.5,5.6,2.2,7.8,90982,3464,3220,244,7.04388,48360,6.22059,8.513486,11.41842
"178",63230,347,85.7,68.8,474,4388.55,8,2.3,10.3,79958,3464,2947,517,14.92494,48362,6.161207,8.386754,11.28926
"179",63230,6280,98.8,90.4,573,4506.41,7.2,1.4,8.599999,79958,3464,2947,517,14.92494,48362,6.350886,8.413256,11.28926
"180",63230,4414,98.9,83.2,570,3954.79,0.7,1.9,2.6,79958,3464,2947,517,14.92494,48362,6.345636,8.282682,11.28926
"181",63110,2160,53.8,26.9,165,4612.22,6.1,2.4,8.5,71932,1346,1143,203,15.08172,48367,5.105946,8.436464,11.18348
"182",63110,713,95.3,80,535,4371.84,3.2,0.6,3.8,75635,5021,4336,685,13.6427,48371,6.282267,8.382939,11.23367
"183",63110,8629,77.5,59.2,492,4304.29,9.6,4.5,14.1,75635,5021,4336,685,13.6427,48371,6.198479,8.367368,11.23367
"184",63110,7997,93.5,62.3,237,4464.62,5.1,2.1,7.2,75635,5021,4336,685,13.6427,48371,5.46806,8.403939,11.23367
"185",63100,2788,92.5,85,413,6497.45,0.5,0.5,1,118204,4616,4287,329,7.127383,48374,6.023448,8.779165,11.68017
"186",63100,7349,97.6,78.9,578,6224.42,1.6,1.9,3.5,118204,4616,4287,329,7.127383,48374,6.359574,8.736236,11.68017
"187",63100,2843,95,89,478,6580.66,1,0.8,1.8,91318,5437,5099,338,6.216663,48375,6.169611,8.79189,11.4221
"188",63100,6173,96.6,93.1,373,8171.93,1.3,1.1,2.4,91318,5437,5099,338,6.216663,48375,5.921578,9.00846,11.4221
"189",63290,7544,85.7,59,500,5712.58,11.4,3.4,14.8,60611,1937,1458,479,24.72896,48377,6.214608,8.650426,11.01223
"190",63220,175,75.6,53.7,288,3920.48,17.7,5.9,23.6,75047,3271,2598,673,20.57475,48381,5.662961,8.27397,11.22587
"191",63220,1965,79.3,66.7,465,3867.95,10.8,2.6,13.4,75047,3271,2598,673,20.57475,48381,6.142037,8.26048,11.22587
"192",63220,5759,83.3,79.5,511,3342.19,6.1,2.7,8.8,75047,3271,2598,673,20.57475,48381,6.23637,8.114382,11.22587
"193",63220,7811,90,82.2,735,3317.43,3.1,2.6,5.7,85873,5661,5109,552,9.750927,48382,6.599871,8.106946,11.36062
"194",63290,763,96.1,80.3,506,5388.58,3.4,2.8,6.2,85873,5661,5109,552,9.750927,48382,6.226537,8.592037,11.36062
"195",63220,413,64.3,52.4,334,4572.56,20.7,10.2,30.9,78940,3464,2938,526,15.18476,48383,5.811141,8.427829,11.27644
"196",63220,6489,92.8,65.2,497,4074.64,2.6,2,4.6,78940,3464,2938,526,15.18476,48383,6.20859,8.312537,11.27644
"197",63220,5070,72.1,54.4,445,4121.88,14.6,5.8,20.4,72554,3864,3379,485,12.55176,48386,6.098074,8.324064,11.19209
"198",63290,961,82.1,69.5,580,5266.52,5,2.6,7.6,72554,3864,3379,485,12.55176,48386,6.363028,8.569125,11.19209
"199",63300,946,89.1,81.8,406,4315.54,8.4,2,10.4,72554,3864,3379,485,12.55176,48386,6.006353,8.369978,11.19209
"200",63290,1420,77.6,72.9,446,5980.6,3.1,1.6,4.7,69181,4900,4130,770,15.71429,48390,6.100319,8.696277,11.14448
"201",63290,889,91.5,69,436,5543.03,3.9,3.7,7.6,69181,4900,4130,770,15.71429,48390,6.077642,8.620296,11.14448
