rownames,kids,morekids,boys2,girls2,boy1st,boy2nd,samesex,multi2nd,age,agefstm,black,hispan,worked,weeks,hours,labinc,faminc,nonmomi,educ,agesq
73,2,0,0,0,1,0,0,0,33,26,1,0,1,52,38,25.116609573364258,51.36674880981445,26.250160217285156,14,1089
74,3,1,0,0,1,0,0,0,25,19,1,0,1,8,15,0.052480001002550125,21.054698944091797,21.002220153808594,11,625
75,2,0,0,0,0,1,0,0,32,24,1,0,0,0,0,0,10.506360054016113,10.506360054016113,12,1024
76,3,1,1,0,1,1,1,0,27,15,1,0,0,0,0,0,6.412970066070557,6.412970066070557,10,729
77,2,0,1,0,1,1,1,0,26,19,1,0,0,0,0,0,48.29146957397461,48.29146957397461,13,676
78,3,1,1,0,1,1,1,0,35,24,1,0,1,20,36,4.2088398933410645,42.00444030761719,37.795589447021484,16,1225
79,3,1,0,0,1,0,0,0,33,18,1,0,0,0,0,0,25.200580596923828,25.200580596923828,12,1089
80,2,0,0,0,1,0,0,0,33,22,1,0,1,52,40,31.498090744018555,70.76313018798828,39.26502990722656,18,1089
81,2,0,0,1,0,0,1,0,35,22,0,1,1,52,40,9.87661075592041,41.374691009521484,31.498090744018555,12,1225
82,2,0,0,1,0,0,1,0,30,17,1,0,1,51,40,29.3989200592041,58.7978401184082,29.3989200592041,12,900
83,3,1,0,0,0,1,0,0,28,20,1,0,1,44,40,10.506360054016113,39.90528106689453,29.3989200592041,14,784
84,3,1,1,0,1,1,1,0,31,22,1,0,1,16,40,2.1096699237823486,31.508590698242188,29.3989200592041,12,961
85,3,1,1,0,1,1,1,0,28,20,1,0,1,22,35,4.754630088806152,40.45105743408203,35.696441650390625,14,784
86,2,0,0,1,0,0,1,0,26,22,1,0,0,0,0,0,36.2841911315918,36.2841911315918,14,676
87,2,0,0,1,0,0,1,0,27,21,1,0,1,50,40,16.80388069152832,42.00444030761719,25.200580596923828,12,729
88,2,0,0,0,0,1,0,0,29,22,1,0,0,0,0,0,18.903051376342773,18.903051376342773,12,841
89,2,0,0,0,0,1,0,0,27,19,1,0,1,52,38,11.576940536499023,45.740970611572266,34.164031982421875,12,729
90,3,1,0,1,0,0,1,0,35,24,1,0,1,50,40,19.952640533447266,24.686269760131836,4.7336297035217285,16,1225
91,4,1,1,0,1,1,1,0,32,17,1,0,1,32,40,16.48900032043457,39.59040832519531,23.101390838623047,12,1024
92,2,0,1,0,1,1,1,0,25,16,1,0,1,52,30,24.7072696685791,54.11669158935547,39.9157829284668,12,625
93,3,1,0,0,0,1,0,0,26,17,1,0,0,0,0,0,8.344209671020508,8.344209671020508,12,676
94,3,1,0,0,1,0,0,0,23,17,1,0,1,40,9,2.739419937133789,19.75322151184082,17.01380157470703,10,529
95,2,0,1,0,1,1,1,0,35,22,0,1,1,50,40,20.267518997192383,49.44602966308594,29.178499221801758,15,1225
96,2,0,0,1,0,0,1,0,31,20,1,0,1,48,40,17.853469848632812,30.857839584350586,13.004380226135254,13,961
97,3,1,0,1,0,0,1,0,30,19,1,0,1,32,8,5.04850959777832,5.04850959777832,0,12,900
98,3,1,0,1,0,0,1,0,30,22,0,1,1,24,40,8.197269439697266,21.684450149536133,13.487190246582031,14,900
99,2,0,0,1,0,0,1,0,29,24,1,0,1,52,40,16.80388069152832,52.500308990478516,35.696441650390625,15,841
100,3,1,0,0,0,1,0,0,32,21,1,0,1,52,40,21.002220153808594,42.00444030761719,21.002220153808594,15,1024
101,3,1,0,0,0,1,0,0,28,22,1,0,1,40,40,14.284879684448242,43.127498626708984,28.842639923095703,14,784
102,5,1,0,1,0,0,1,0,35,17,1,0,0,0,0,0,45.34212875366211,45.34212875366211,11,1225
103,3,1,0,0,1,0,0,0,29,17,1,0,1,52,40,8.407190322875977,35.706939697265625,27.29974937438965,13,841
104,2,0,0,0,1,0,0,0,24,19,1,0,1,26,80,4.922560214996338,32.22230911254883,27.29974937438965,14,576
105,3,1,0,1,0,0,1,0,34,24,1,0,1,30,40,3.2222299575805664,23.23784065246582,20.015609741210938,12,1156
106,2,0,0,1,0,0,1,0,27,23,1,0,1,12,22,2.1096699237823486,33.786190032958984,31.6765193939209,14,729
107,2,0,0,0,0,1,0,0,31,21,1,0,1,50,40,18.903051376342773,56.69866180419922,37.795589447021484,12,961
108,2,0,1,0,1,1,1,0,29,22,1,0,1,36,40,23.101390838623047,52.500308990478516,29.3989200592041,17,841
109,2,0,0,1,0,0,1,0,28,21,1,0,1,52,24,12.605530738830566,22.440160751342773,9.834630012512207,13,784
110,4,1,0,0,0,1,0,0,34,20,1,0,1,52,40,10.506360054016113,69.29368591308594,58.78733825683594,12,1156
111,2,0,0,0,0,1,0,0,23,18,1,0,0,0,0,0,31.498090744018555,31.498090744018555,12,529
112,2,0,0,1,0,0,1,0,25,19,1,0,1,52,40,13.655119895935059,26.26066017150879,12.605530738830566,13,625
113,2,0,0,1,0,0,1,0,30,22,1,0,1,52,40,46.19231033325195,84.84856414794922,38.65625,14,900
114,3,1,0,0,1,0,0,0,35,19,1,0,0,0,0,0,31.36164093017578,31.36164093017578,11,1225
115,3,1,1,0,1,1,1,0,30,22,1,0,1,40,15,3.1592600345611572,38.855690002441406,35.696441650390625,16,900
116,2,0,0,0,1,0,0,0,31,22,1,0,1,42,40,35.696441650390625,79.80006408691406,44.10363006591797,14,961
117,3,1,1,0,1,1,1,0,35,18,1,0,1,52,40,14.200910568237305,39.30699920654297,25.106109619140625,12,1225
118,4,1,0,0,1,0,0,0,31,16,1,0,0,0,0,0,21.06519889831543,21.06519889831543,12,961
119,2,0,0,0,1,0,0,0,30,22,1,0,1,52,40,41.99394226074219,83.987884521484375,41.99394226074219,16,900
120,2,0,0,0,1,0,0,0,29,20,1,0,0,0,0,0,18.903051376342773,18.903051376342773,12,841
121,2,0,0,0,0,1,0,0,30,19,1,0,1,28,32,10.506360054016113,60.82353210449219,50.31719207763672,12,900
122,2,0,0,0,1,0,0,0,29,21,1,0,0,0,0,0,1.68982994556427,1.68982994556427,14,841
123,3,1,0,0,1,0,0,0,31,19,1,0,1,51,40,18.210330963134766,48.88975143432617,30.679410934448242,13,961
124,2,0,1,0,1,1,1,0,26,21,1,0,1,52,40,14.704700469970703,46.202781677246094,31.498090744018555,14,676
125,4,1,0,0,0,1,0,0,34,21,1,0,0,0,0,0,22.05181121826172,22.05181121826172,12,1156
126,2,0,0,0,1,0,0,0,26,19,1,0,1,52,40,20.89727020263672,27.425689697265625,6.528429985046387,14,676
127,2,0,1,0,1,1,1,0,28,21,1,0,1,52,40,32.63164138793945,82.644439697265625,50.01278305053711,15,784
128,3,1,1,0,1,1,1,0,30,21,1,0,0,0,0,0,54.5890007019043,54.5890007019043,12,900
129,3,1,1,0,1,1,1,0,25,18,1,0,1,36,40,14.389829635620117,55.754032135009766,41.364192962646484,12,625
130,2,0,0,1,0,0,1,0,31,20,1,0,1,42,40,14.704700469970703,38.90816116333008,24.20347023010254,15,961
131,2,0,1,0,1,1,1,0,24,18,1,0,0,0,0,0,36.29469299316406,36.29469299316406,12,576
132,3,1,0,0,1,0,0,0,32,22,1,0,0,0,0,0,46.19231033325195,46.19231033325195,12,1024
133,2,0,0,0,1,0,0,0,26,19,1,0,1,52,40,10.275449752807617,30.438018798828125,20.16254997253418,12,676
134,2,0,1,0,1,1,1,0,34,25,1,0,1,52,40,23.101390838623047,69.29368591308594,46.19231033325195,12,1156
135,2,0,0,1,0,0,1,0,27,21,1,0,1,52,40,10.506360054016113,51.25130844116211,40.74494171142578,12,729
136,3,1,1,0,1,1,1,0,30,21,1,0,1,48,38,30.44849967956543,101.56849670410156,71.12000274658203,16,900
137,2,0,0,0,1,0,0,0,35,26,1,0,1,52,40,25.200580596923828,50.401161193847656,25.200580596923828,13,1225
138,2,0,0,1,0,0,1,0,32,22,1,0,1,42,15,1.68982994556427,22.692060470581055,21.002220153808594,16,1024
139,2,0,1,0,1,1,1,0,25,19,1,0,1,50,40,14.704700469970703,58.7978401184082,44.0931282043457,12,625
140,3,1,1,0,1,1,1,0,29,23,0,1,1,16,25,2.5295000076293945,79.191314697265625,76.66181182861328,12,841
141,3,1,0,0,0,1,0,0,29,18,1,0,1,12,39,2.1096699237823486,27.310230255126953,25.200580596923828,12,841
142,3,1,0,0,0,1,0,0,27,20,1,0,0,0,0,0,26.890409469604492,26.890409469604492,12,729
143,2,0,0,0,1,0,0,0,27,21,1,0,0,0,0,0,27.29974937438965,27.29974937438965,11,729
144,2,0,0,0,1,0,0,0,25,18,1,0,1,45,40,23.101390838623047,55.44966125488281,32.34825134277344,12,625
145,3,1,1,0,1,1,1,0,31,21,1,0,0,0,0,0,29.230979919433594,29.230979919433594,12,961
146,2,0,0,1,0,0,1,0,31,16,1,0,1,43,32,10.506360054016113,29.923721313476562,19.417339324951172,12,961
147,4,1,1,0,1,1,1,0,28,19,1,0,0,0,0,0,29.251970291137695,29.251970291137695,12,784
148,3,1,0,1,0,0,1,0,31,23,1,0,0,0,0,0,46.19231033325195,46.19231033325195,12,961
149,3,1,0,0,0,1,0,0,27,18,1,0,1,36,32,10.926199913024902,44.30303192138672,33.37683868408203,14,729
150,2,0,0,0,0,1,0,0,29,21,1,0,1,52,40,18.903051376342773,69.29368591308594,50.39065933227539,12,841
151,2,0,0,1,0,0,1,0,24,20,1,0,1,25,40,8.407190322875977,46.202781677246094,37.795589447021484,12,576
152,2,0,0,0,1,0,0,0,30,20,1,0,0,0,0,0,52.500308990478516,52.500308990478516,14,900
153,3,1,1,0,1,1,1,0,28,18,0,1,0,0,0,0,0,0,11,784
154,2,0,0,0,0,1,0,0,23,15,1,0,0,0,0,0,25.116609573364258,25.116609573364258,11,529
155,2,0,0,1,0,0,1,0,32,27,1,0,0,0,0,0,48.91071701049805,48.91071701049805,17,1024
156,4,1,1,0,1,1,1,0,33,24,1,0,1,20,35,5.195450305938721,55.586090087890625,50.39065933227539,17,1089
157,2,0,1,0,1,1,1,0,33,23,1,0,1,36,35,27.29974937438965,59.63750076293945,32.3377685546875,16,1089
158,2,0,0,1,0,0,1,0,27,21,1,1,0,0,0,0,9.666690826416016,9.666690826416016,11,729
159,3,1,1,0,1,1,1,0,35,24,1,0,1,49,21,7.210659980773926,12.574049949645996,5.36338996887207,12,1225
160,4,1,1,0,1,1,1,0,27,17,1,0,1,37,47,18.903051376342773,53.75980758666992,34.85675048828125,13,729
161,2,0,0,0,0,1,0,0,33,22,1,0,1,47,40,22.05181121826172,53.54991149902344,31.498090744018555,16,1089
162,7,1,0,0,1,0,0,0,29,19,1,0,1,2,32,0.7452100515365601,17.54907989501953,16.80388069152832,13,841
163,4,1,0,1,0,0,1,0,34,19,1,0,1,43,32,9.939589500427246,55.239749908447266,45.3001594543457,12,1156
164,3,1,1,0,1,1,1,0,27,16,1,0,1,40,40,7.5675201416015625,36.9664421081543,29.3989200592041,12,729
165,2,0,0,0,1,0,0,0,24,18,1,0,1,10,20,0.8501699566841125,21.85239028930664,21.002220153808594,8,576
166,5,1,0,0,1,0,0,0,30,20,1,0,1,28,10,2.1096699237823486,157.43800354003906,155.3282470703125,14,900
167,3,1,0,0,0,1,0,0,30,19,1,0,1,30,40,10.506360054016113,88.196746826171875,77.69038391113281,12,900
168,3,1,0,1,0,0,1,0,29,18,1,0,1,52,40,22.05181121826172,68.24413299560547,46.19231033325195,14,841
169,2,0,0,0,0,1,0,0,34,23,1,0,1,52,40,33.597251892089844,79.78956604003906,46.19231033325195,12,1156
170,2,0,0,1,0,0,1,0,33,23,1,0,0,0,0,0,54.31608963012695,54.31608963012695,12,1089
171,3,1,1,0,1,1,1,0,34,20,1,0,0,0,0,0,37.795589447021484,37.795589447021484,12,1156
172,2,0,0,1,0,0,1,0,23,19,1,0,1,18,40,8.407190322875977,56.69866180419922,48.29146957397461,17,529
173,2,0,1,0,1,1,1,0,33,21,1,0,1,52,40,41.99394226074219,86.31800079345703,44.324031829833984,12,1089
174,2,0,0,1,0,0,1,0,30,25,0,1,0,0,0,0,39.89478302001953,39.89478302001953,12,900
175,4,1,0,1,0,0,1,0,33,17,1,0,1,24,80,6.308020114898682,39.90528106689453,33.597251892089844,12,1089
176,4,1,0,0,1,0,0,0,30,17,1,0,0,0,0,0,40.4615592956543,40.4615592956543,11,900
177,3,1,1,0,1,1,1,0,23,16,1,0,1,30,40,10.506360054016113,31.508590698242188,21.002220153808594,9,529
178,3,1,0,1,0,0,1,0,27,18,1,0,0,0,0,0,74.83550262451172,74.83550262451172,12,729
179,2,0,0,0,0,1,0,0,30,18,1,0,1,28,40,13.025369644165039,50.83147048950195,37.80609130859375,12,900
180,3,1,0,0,0,1,0,0,29,19,1,0,0,0,0,0,17.654050827026367,17.654050827026367,12,841
181,2,0,0,0,0,1,0,0,27,23,1,0,1,47,40,10.2964506149292,23.321809768676758,13.025369644165039,12,729
182,4,1,0,0,1,0,0,0,32,20,1,0,1,18,40,7.147680282592773,40.74494171142578,33.597251892089844,20,1024
183,3,1,0,0,1,0,0,0,31,18,1,0,1,52,40,8.407190322875977,33.607749938964844,25.200580596923828,11,961
184,3,1,1,0,1,1,1,0,23,15,1,0,0,0,0,0,50.39065933227539,50.39065933227539,12,529
185,3,1,0,0,1,0,0,0,31,21,1,0,1,52,40,2.5295000076293945,15.135040283203125,12.605530738830566,10,961
186,2,0,0,0,1,0,0,0,26,20,1,0,1,52,25,10.506360054016113,23.11189079284668,12.605530738830566,13,676
187,2,0,0,0,0,1,0,0,33,20,1,0,1,52,40,32.54766845703125,70.34324645996094,37.795589447021484,18,1089
188,3,1,0,1,0,0,1,0,26,16,1,0,1,16,40,4.2088398933410645,28.370330810546875,24.161479949951172,12,676
189,2,0,0,0,1,0,0,0,31,21,1,0,1,46,40,13.99098014831543,62.271968841552734,48.280967712402344,13,961
190,2,0,0,1,0,0,1,0,29,24,1,0,1,52,7,26.250160217285156,51.45071792602539,25.200580596923828,16,841
191,2,0,0,0,1,0,0,0,27,22,1,0,0,0,0,0,21.96784019470215,21.96784019470215,12,729
192,2,0,0,0,1,0,0,0,34,27,1,0,0,0,0,0,56.03744125366211,56.03744125366211,16,1156
193,2,0,0,0,0,1,0,0,27,17,1,0,1,52,40,16.80388069152832,52.500308990478516,35.696441650390625,12,729
194,2,0,0,0,1,0,0,0,30,21,1,0,1,52,40,16.80388069152832,60.89699935913086,44.0931282043457,14,900
195,2,0,0,0,1,0,0,0,29,18,1,0,1,52,50,46.19231033325195,76.24193572998047,30.049659729003906,13,841
196,2,0,0,0,1,0,0,0,35,27,1,0,1,52,40,33.849159240722656,53.69683837890625,19.84766960144043,17,1225
197,2,0,1,0,1,1,1,0,25,17,1,0,1,5,40,16.80388069152832,41.58462905883789,24.780731201171875,11,625
198,2,0,0,0,1,0,0,0,29,19,1,0,0,0,0,0,25.200580596923828,25.200580596923828,11,841
199,3,1,0,0,1,0,0,0,30,22,1,0,1,52,40,21.317089080810547,47.924129486083984,26.607019424438477,14,900
200,5,1,0,0,0,1,0,0,26,16,1,0,0,0,0,0,21.43255043029785,21.43255043029785,14,676
201,2,0,0,1,0,0,1,0,33,17,1,0,1,52,40,41.99394226074219,69.29368591308594,27.29974937438965,12,1089
202,4,1,1,0,1,1,1,0,35,19,1,0,1,9,40,2.277600049972534,10.684789657592773,8.407190322875977,11,1225
203,2,0,0,0,0,1,0,0,33,22,1,0,0,0,0,0,16.80388069152832,16.80388069152832,12,1089
204,2,0,0,0,0,1,0,0,30,18,1,0,1,12,40,3.7890100479125977,28.716690063476562,24.927669525146484,12,900
205,4,1,0,1,0,0,1,0,26,19,1,0,1,30,40,10.506360054016113,23.615690231323242,13.109339714050293,7,676
206,5,1,0,0,1,0,0,0,34,20,1,0,0,0,0,0,28.412309646606445,28.412309646606445,11,1156
207,4,1,0,0,1,0,0,0,27,16,1,0,1,15,40,3.0333001613616943,19.837188720703125,16.80388069152832,7,729
208,3,1,1,0,1,1,1,0,25,18,1,0,0,0,0,0,8.092309951782227,8.092309951782227,12,625
209,3,1,0,0,1,0,0,0,33,23,1,0,1,52,40,14.557769775390625,23.85708999633789,9.29934024810791,13,1089
210,4,1,0,0,0,1,0,0,28,19,1,0,0,0,0,0,18.903051376342773,18.903051376342773,10,784
211,3,1,0,0,1,0,0,0,24,15,1,0,1,12,30,0.9551199674606323,13.560660362243652,12.605530738830566,8,576
212,3,1,0,0,1,0,0,0,28,18,1,0,1,43,40,10.506360054016113,35.706939697265625,25.200580596923828,12,784
213,3,1,0,0,1,0,0,0,27,20,1,0,0,0,0,0,8.407190322875977,8.407190322875977,10,729
214,3,1,1,0,1,1,1,0,27,16,1,0,1,24,34,4.2088398933410645,37.81658935546875,33.607749938964844,13,729
215,2,0,0,0,0,1,0,0,33,23,1,0,1,52,40,11.765870094299316,55.35519027709961,43.58930969238281,12,1089
216,3,1,1,0,1,1,1,0,23,18,1,0,1,48,40,21.002220153808594,44.10363006591797,23.101390838623047,12,529
217,4,1,0,0,1,0,0,0,30,21,1,0,1,20,5,1.899749994277954,3.799499988555908,1.899749994277954,12,900
218,5,1,0,0,0,1,0,0,23,16,1,0,1,26,40,0.640250027179718,11.146610260009766,10.506360054016113,10,529
219,3,1,0,0,0,1,0,0,31,16,1,0,1,52,40,8.407190322875977,35.706939697265625,27.29974937438965,10,961
220,6,1,0,0,0,1,0,0,35,21,1,0,1,52,40,18.903051376342773,43.05403137207031,24.15097999572754,10,1225
221,2,0,0,0,1,0,0,0,31,20,1,0,1,52,72,20.750329971313477,52.41633987426758,31.66602897644043,11,961
222,2,0,0,0,0,1,0,0,31,25,1,0,0,0,0,0,8.207769393920898,8.207769393920898,12,961
223,3,1,1,0,1,1,1,0,25,18,1,0,0,0,0,0,46.19231033325195,46.19231033325195,11,625
224,5,1,0,0,1,0,0,0,31,16,1,0,0,0,0,0,12.521559715270996,12.521559715270996,10,961
225,3,1,1,0,1,1,1,0,32,16,1,0,1,52,40,21.002220153808594,60.89699935913086,39.89478302001953,10,1024
226,2,0,0,0,0,1,0,0,26,16,1,0,1,52,40,18.903051376342773,42.00444030761719,23.101390838623047,10,676
227,3,1,0,0,1,0,0,0,28,20,1,0,1,52,30,12.605530738830566,27.730079650878906,15.124540328979492,12,784
228,5,1,0,1,0,0,1,0,31,23,1,0,0,0,0,0,18.903051376342773,18.903051376342773,7,961
229,2,0,0,0,1,0,0,0,22,18,1,0,1,52,40,11.346030235290527,49.152130126953125,37.80609130859375,12,484
230,4,1,1,0,1,1,1,0,33,15,1,0,0,0,0,0,0,0,8,1089
231,3,1,1,0,1,1,1,0,29,19,1,0,1,6,40,0.43032997846603394,35.54949951171875,35.11915969848633,15,841
232,2,0,0,1,0,0,1,0,28,22,1,0,1,30,40,8.134300231933594,30.773880004882812,22.63957977294922,13,784
233,2,0,0,0,1,0,0,0,29,20,1,0,1,37,40,28.60123062133789,62.670806884765625,34.069557189941406,18,841
234,2,0,0,0,1,0,0,0,26,22,1,0,1,50,32,9.981559753417969,32.26430130004883,22.2827205657959,12,676
235,2,0,1,0,1,1,1,0,25,21,1,0,0,0,0,0,21.212141036987305,21.212141036987305,12,625
