rownames,husage,husunion,husearns,huseduc,husblck,hushisp,hushrs,kidge6,earns,age,black,educ,hispanic,union,faminc,husexp,exper,kidlt6,hours,expersq,nwifeinc,inlf,hrwage,lwage
55,53,,0,12,0,0,60,1,0,49,0,12,0,,17500,35,31,0,0,961,17.5,0,,
56,29,0,600,16,0,0,50,0,460,27,0,14,0,0,55000,7,7,1,40,49,31.079999923706055,1,11.5,2.4423470497131348
57,35,0,600,16,0,0,42,0,600,31,0,12,0,0,55000,13,13,0,40,169,23.799999237060547,1,15,2.70805025100708
58,33,1,1478,14,0,0,74,0,0,30,0,16,0,,55000,13,8,1,0,64,55,0,,
59,38,0,240,18,0,0,48,1,400,36,0,16,0,0,32500,14,14,0,40,196,11.699999809265137,1,10,2.3025851249694824
60,24,,0,13,0,1,35,0,0,35,0,0,1,,6250,5,29,1,0,841,6.25,0,,
61,49,1,760,12,1,0,48,0,0,46,1,11,0,,112500,31,29,0,0,841,112.5,0,,
62,34,0,1000,16,0,0,40,0,0,34,0,16,0,,55000,12,12,1,0,144,55,0,,
63,49,0,1000,16,0,0,40,1,0,46,0,12,0,,45000,27,28,0,0,784,45,0,,
64,34,,0,16,0,0,40,0,173,29,0,16,0,0,3000,12,7,1,24,49,0,1,7.208333492279053,1.9752377271652222
65,44,0,1450,18,0,0,40,1,1100,45,0,18,0,0,3000,20,21,0,40,441,0,1,27.5,3.3141860961914062
66,32,0,326,16,0,0,40,0,0,28,0,14,0,,0,10,8,1,0,64,0,0,,
67,31,0,675,16,0,0,40,0,434,32,0,14,0,0,67500,9,12,1,24,144,44.93199920654297,1,18.08333396911621,2.8949906826019287
68,40,0,865,18,0,0,48,0,100,38,0,18,0,0,3000,16,14,1,10,196,0,1,10,2.3025851249694824
69,47,0,1000,16,0,0,40,0,0,32,0,16,0,,45000,25,10,1,0,100,45,0,,
70,33,0,600,12,0,0,35,1,308,31,0,12,0,0,3000,15,13,0,30,169,0,1,10.266666412353516,2.32890248298645
71,54,,0,10,0,1,40,0,327,48,0,12,1,1,37500,38,30,0,35,900,20.496000289916992,1,9.342857360839844,2.234612226486206
72,47,0,90,7,0,1,24,1,0,49,0,7,1,,3000,34,36,0,0,1296,3,0,,
73,45,0,387,4,0,0,45,0,240,45,0,4,0,0,27500,35,35,1,0,1225,15.020000457763672,0,,
74,47,,0,12,0,1,0,1,360,44,0,16,0,0,22500,29,22,0,40,484,3.7799999713897705,1,9,2.1972246170043945
75,41,,0,16,0,0,50,0,150,33,0,16,0,0,112500,19,11,1,25,121,104.69999694824219,1,6,1.7917594909667969
76,59,,0,15,0,0,0,0,0,49,0,12,0,,67500,38,31,0,0,961,67.5,0,,
77,42,1,650,4,0,1,52,1,0,39,0,12,1,,55000,32,21,0,0,441,55,0,,
78,59,1,400,12,0,0,40,0,0,57,0,12,0,,45000,41,39,0,0,1521,45,0,,
79,49,1,340,12,0,0,40,0,195,48,0,12,0,0,112500,31,30,0,0,900,102.36000061035156,0,,
80,34,0,1923,18,0,0,60,0,962,33,0,18,1,0,112500,10,9,1,27,81,62.47600173950195,1,35.62963104248047,3.5731775760650635
81,66,,0,13,0,0,0,0,0,57,0,12,0,,32500,47,39,0,0,1521,32.5,0,,
82,53,0,385,12,0,0,0,0,576,45,0,12,0,0,55000,35,27,0,40,729,25.04800033569336,1,14.399999618530273,2.6672282218933105
83,25,0,350,11,1,0,40,0,141,33,1,10,0,0,13750,8,17,0,35,289,6.418000221252441,1,4.028571605682373,1.3934118747711182
84,51,0,1100,18,0,0,55,0,0,47,0,16,0,,112500,27,25,0,0,625,112.5,0,,
85,26,0,250,15,1,0,40,0,500,24,1,12,0,0,0,5,6,0,40,36,0,1,12.5,2.525728702545166
86,53,0,1157,17,0,0,91,0,1000,52,0,18,0,1,55000,30,28,0,35,784,3,1,28.571428298950195,3.352407217025757
87,30,0,570,8,0,1,50,0,0,21,0,12,1,,55000,16,3,1,0,9,55,0,,
88,43,0,730,16,0,0,40,0,0,37,0,14,0,,3000,21,17,1,0,289,3,0,,
89,44,,0,11,0,0,0,1,0,37,0,12,0,,0,27,19,0,0,361,0,0,,
90,39,0,200,12,0,0,50,0,300,28,0,12,0,0,8750,21,10,0,40,100,0,1,7.5,2.0149030685424805
91,24,0,390,12,1,0,0,0,205,22,1,12,0,0,17500,6,4,1,25,16,6.840000152587891,1,8.199999809265137,2.1041340827941895
92,29,0,450,18,0,0,0,0,0,26,0,16,0,,17500,5,4,1,0,16,17.5,0,,
93,46,0,1000,12,0,0,24,0,992,33,0,12,0,1,112500,28,15,0,40,225,60.91600036621094,1,24.799999237060547,3.210843563079834
94,32,0,25,12,0,0,7,0,0,33,0,13,0,,11500,14,14,1,0,196,11.5,0,,
95,38,1,720,12,0,0,40,1,0,36,0,12,0,,32500,20,18,0,0,324,32.5,0,,
96,35,0,300,9,0,0,40,1,88,37,0,12,0,0,13750,20,19,0,20,361,9.173999786376953,1,4.400000095367432,1.4816045761108398
97,39,0,611,12,0,0,40,1,5,38,0,14,0,0,32500,21,18,0,1,324,32.2400016784668,1,5,1.6094379425048828
98,36,1,800,12,0,0,60,1,0,37,0,12,0,,22500,18,19,0,0,361,22.5,0,,
99,30,0,825,16,0,0,50,0,500,28,0,18,0,0,45000,8,4,0,84,16,19,1,5.952381134033203,1.7837913036346436
100,31,0,266,13,0,1,38,0,200,27,0,12,1,0,22500,12,9,1,40,81,12.100000381469727,1,5,1.6094379425048828
101,41,1,520,12,0,0,40,1,240,37,0,13,0,0,37500,23,18,0,40,324,25.020000457763672,1,6,1.7917594909667969
102,47,,0,11,0,0,60,1,280,47,0,13,0,0,45000,30,28,0,32,784,30.440000534057617,1,8.75,2.169053792953491
103,24,0,360,12,0,0,50,0,184,22,0,16,0,0,55000,6,0,0,0,0,45.43199920654297,0,,
104,55,,0,11,0,0,0,0,782,50,0,12,0,0,27500,38,32,0,40,1024,0,1,19.549999237060547,2.972975254058838
105,34,0,450,14,0,0,50,1,0,38,0,12,0,,22500,14,20,0,0,400,22.5,0,,
106,56,0,1442,16,0,0,72,0,0,56,0,15,0,,112500,34,35,0,0,1225,112.5,0,,
107,24,0,484,10,0,0,40,0,0,21,0,9,0,,27500,8,6,1,0,36,27.5,0,,
108,31,0,650,13,0,0,45,1,0,30,0,13,0,,55000,12,11,0,0,121,55,0,,
109,44,0,401,6,0,0,40,0,220,45,0,12,0,0,37500,32,27,0,40,729,26.059999465942383,1,5.5,1.7047480344772339
110,43,,0,12,0,0,0,1,200,44,0,12,0,0,17500,25,26,0,18,676,7.099999904632568,1,11.11111068725586,2.4079456329345703
111,24,0,478,15,0,1,45,0,0,23,0,13,1,,32500,3,4,1,0,16,32.5,0,,
112,37,,0,12,0,0,60,1,0,35,0,12,0,,0,19,17,0,0,289,0,0,,
113,62,,0,6,0,0,0,1,0,43,0,12,0,,17500,50,25,0,0,625,17.5,0,,
114,54,0,1000,13,0,0,50,0,0,50,0,13,0,,45000,35,31,1,0,961,45,0,,
115,38,0,780,14,0,0,40,1,95,40,0,14,0,0,45000,18,20,0,15,400,40.060001373291016,1,6.333333492279053,1.8458267450332642
116,46,0,950,11,0,0,45,0,150,46,0,11,0,0,67500,29,29,0,24,841,59.70000076293945,1,6.25,1.8325815200805664
117,46,0,450,16,0,0,50,1,681,46,0,17,0,0,112500,24,23,0,0,529,77.08799743652344,0,,
118,31,0,550,12,0,0,40,0,670,30,0,12,0,0,45000,13,12,0,60,144,10.15999984741211,1,11.166666984558105,2.412933111190796
119,33,0,790,12,0,0,24,0,312,34,0,16,0,0,55000,15,12,1,0,144,38.7760009765625,0,,
120,37,0,200,12,0,0,40,1,286,47,0,12,0,0,17500,19,29,0,40,841,2.628000020980835,1,7.150000095367432,1.967112421989441
121,27,0,338,12,0,0,25,0,333,28,0,16,0,0,37500,9,6,1,40,36,20.18400001525879,1,8.324999809265137,2.119262933731079
122,46,,0,12,0,1,0,1,75,41,0,7,1,0,6250,28,28,0,32,784,2.3499999046325684,1,2.34375,0.8517522215843201
123,33,1,480,13,1,0,40,0,360,32,1,14,0,0,45000,14,12,1,40,144,26.280000686645508,1,9,2.1972246170043945
124,33,0,850,18,0,0,40,0,646,34,0,16,0,0,67500,9,12,0,40,144,33.90800094604492,1,16.149999618530273,2.7819199562072754
125,57,0,500,12,0,0,40,0,0,58,0,12,0,,27500,39,40,0,0,1600,27.5,0,,
126,42,0,1250,18,0,0,50,1,769,42,0,16,0,0,112500,18,20,0,77,400,72.51200103759766,1,9.98701286315918,2.3012855052948
127,69,,0,5,0,1,0,0,0,42,0,1,1,,13750,58,35,0,0,1225,13.75,0,,
128,46,0,800,18,0,0,40,0,400,44,0,18,0,0,0,22,20,1,24,400,0,1,16.66666603088379,2.813410758972168
129,60,0,450,10,0,0,54,0,543,57,0,12,0,1,55000,44,39,0,40,1521,26.763999938964844,1,13.574999809265137,2.608229875564575
130,51,0,500,12,1,0,70,0,80,46,1,10,0,0,17500,33,30,0,10,900,13.34000015258789,1,8,2.079441547393799
131,54,0,400,12,0,0,40,0,325,54,0,12,0,0,37500,36,36,0,40,1296,20.600000381469727,1,8.125,2.0949456691741943
132,50,0,220,6,0,1,40,1,260,43,0,3,1,1,27500,38,34,0,40,1156,13.979999542236328,1,6.5,1.8718022108078003
133,33,0,450,10,0,0,50,0,0,23,0,11,0,,22500,17,6,1,0,36,22.5,0,,
134,28,,0,10,0,0,20,1,750,28,0,12,0,0,22500,12,10,0,40,100,0,1,18.75,2.9311938285827637
135,36,,0,13,0,0,70,0,300,24,0,12,0,0,37500,17,6,1,40,36,21.899999618530273,1,7.5,2.0149030685424805
136,44,0,337,14,0,0,70,1,332,42,0,12,0,0,27500,24,24,0,40,576,10.236000061035156,1,8.300000190734863,2.116255521774292
137,54,,0,12,0,0,0,0,300,53,0,12,0,0,22500,36,35,0,0,1225,6.900000095367432,0,,
138,41,0,769,12,0,0,0,0,0,34,0,13,0,,37500,23,15,1,0,225,37.5,0,,
139,37,,0,12,0,0,0,1,163,31,0,12,0,0,32500,19,13,0,0,169,24.02400016784668,0,,
140,32,,0,14,0,0,30,0,0,31,0,16,0,,3000,12,9,1,0,81,3,0,,
141,46,,0,16,0,0,40,1,0,42,0,12,0,,32500,24,24,0,0,576,32.5,0,,
142,35,,0,12,0,0,50,0,395,30,0,14,0,0,17500,17,10,1,40,100,0,1,9.875,2.290006399154663
143,60,,0,14,0,0,40,1,260,56,0,14,0,0,45000,40,36,0,40,1296,31.479999542236328,1,6.5,1.8718022108078003
144,48,1,600,12,0,0,40,0,235,50,0,13,0,0,45000,30,31,0,35,961,32.779998779296875,1,6.714285850524902,1.9042375087738037
145,58,0,1923,16,0,0,20,0,0,57,0,16,0,,3000,36,35,0,0,1225,3,0,,
146,37,0,600,18,0,0,38,0,230,26,0,13,0,0,45000,13,7,1,25,49,33.040000915527344,1,9.199999809265137,2.219203472137451
147,37,0,1000,12,0,0,50,0,0,25,0,6,1,,37500,19,13,1,0,169,37.5,0,,
148,40,0,700,18,0,0,32,1,35,40,0,16,0,0,32500,16,18,0,2,324,30.68000030517578,1,17.5,2.862200975418091
149,57,0,1058,18,0,0,40,0,500,52,0,15,0,0,67500,33,31,0,0,961,41.5,0,,
150,44,0,400,12,0,0,50,1,540,44,0,13,0,1,45000,26,25,0,0,625,16.920000076293945,0,,
151,39,0,1115,16,0,0,40,1,0,37,0,13,0,,55000,17,18,0,0,324,55,0,,
152,45,,0,9,0,0,42,0,315,53,0,12,0,0,32500,30,35,0,40,1225,16.1200008392334,1,7.875,2.0636932849884033
153,46,1,648,12,0,0,48,1,0,46,0,12,0,,32500,28,28,0,0,784,32.5,0,,
154,24,0,280,12,1,0,40,0,200,29,1,12,0,0,22500,6,11,1,30,121,12.100000381469727,1,6.666666507720947,1.8971199989318848
155,32,,0,14,0,0,0,0,0,28,0,14,0,,45000,12,8,1,0,64,45,0,,
156,40,0,1000,15,0,0,40,0,0,40,0,12,0,,55000,19,22,1,0,484,55,0,,
157,39,,0,12,0,0,60,1,880,39,0,12,0,0,55000,21,21,0,0,441,9.239999771118164,0,,
158,54,0,500,12,0,0,55,0,100,51,0,12,0,0,45000,36,33,0,21,1089,39.79999923706055,1,4.761904716491699,1.56064772605896
159,48,0,200,12,1,0,40,0,240,46,1,12,0,0,13750,30,28,0,0,784,1.2699999809265137,0,,
160,28,,0,12,0,0,65,0,196,31,0,14,0,0,27500,10,11,1,30,121,17.308000564575195,1,6.5333333015441895,1.8769172430038452
161,30,,0,13,0,0,55,0,0,33,0,13,0,,112500,11,14,1,0,196,112.5,0,,
162,44,,0,15,0,0,60,1,224,42,0,17,0,0,45000,23,19,0,40,361,33.35200119018555,1,5.599999904632568,1.722766637802124
163,50,0,780,12,0,0,40,0,600,42,0,16,0,1,67500,32,20,0,40,400,36.29999923706055,1,15,2.70805025100708
164,61,,0,17,0,0,0,0,0,54,0,14,0,,45000,38,34,0,0,1156,45,0,,
165,49,1,606,12,0,0,57,0,126,50,0,12,0,0,45000,31,32,0,28,1024,38.448001861572266,1,4.5,1.504077434539795
166,37,1,600,16,0,0,38,1,450,36,0,16,0,1,45000,15,14,0,35,196,21.600000381469727,1,12.857142448425293,2.5538995265960693
167,56,0,1200,12,0,0,40,0,450,54,0,15,0,0,32500,38,33,0,24,1089,9.100000381469727,1,18.75,2.9311938285827637
168,22,,0,8,0,0,0,0,0,22,0,11,0,,3000,8,5,1,0,25,3,0,,
169,24,0,430,16,0,0,40,0,153,23,0,16,0,0,27500,2,1,0,30,1,19.54400062561035,1,5.099999904632568,1.6292405128479004
170,29,1,550,13,0,0,40,0,220,28,0,12,0,0,37500,10,10,1,0,100,26.059999465942383,0,,
171,26,0,277,18,0,0,40,0,140,26,1,12,0,0,13750,2,8,1,35,64,6.46999979019165,1,4,1.3862943649291992
172,38,0,800,12,0,0,45,0,0,37,0,12,0,,37500,20,19,1,0,361,37.5,0,,
173,51,0,1600,18,0,0,50,0,275,51,0,12,0,0,67500,27,33,0,27,1089,53.20000076293945,1,10.185185432434082,2.320934295654297
174,32,,0,12,0,0,0,1,0,30,0,12,0,,3000,14,12,0,0,144,3,0,,
175,44,,0,18,0,0,50,1,0,37,0,16,0,,55000,20,15,0,0,225,55,0,,
176,51,,0,12,1,0,40,0,0,44,1,12,0,,17500,33,26,0,0,676,17.5,0,,
177,34,0,368,10,0,0,32,1,231,33,0,12,0,0,45000,18,15,0,40,225,32.987998962402344,1,5.775000095367432,1.7535382509231567
178,29,0,1092,12,0,0,84,0,300,30,0,16,0,0,55000,11,8,1,35,64,39.400001525878906,1,8.571428298950195,2.1484344005584717
179,35,0,175,18,0,0,20,0,400,27,0,16,0,0,32500,11,5,1,40,25,11.699999809265137,1,10,2.3025851249694824
180,37,0,400,12,0,0,40,1,400,38,0,14,0,0,37500,19,18,0,40,324,16.700000762939453,1,10,2.3025851249694824
181,53,0,425,12,0,0,40,0,490,45,0,12,0,0,0,35,27,0,40,729,0,1,12.25,2.505525827407837
182,27,0,625,13,0,0,40,0,396,26,0,12,0,0,45000,8,8,0,35,64,24.408000946044922,1,11.314285278320312,2.4260661602020264
183,53,,0,9,1,0,0,1,170,52,1,10,0,1,27500,38,36,0,20,1296,18.65999984741211,1,8.5,2.140066146850586
184,46,0,280,12,0,0,40,0,0,46,0,12,0,,0,28,28,0,0,784,0,0,,
185,32,0,320,12,0,0,40,0,0,29,0,10,0,,17500,14,13,1,0,169,17.5,0,,
186,24,0,300,12,0,0,40,0,500,22,0,16,0,0,17500,6,0,0,48,0,0,1,10.416666984558105,2.343407154083252
187,39,0,360,14,0,0,40,0,500,33,0,14,0,1,45000,19,13,1,40,169,19,1,12.5,2.525728702545166
188,35,,0,12,0,0,40,1,72,36,0,12,0,0,55000,17,18,0,10,324,51.25600051879883,1,7.199999809265137,1.974081039428711
189,43,0,940,10,0,0,45,1,0,39,0,13,0,,55000,27,20,0,0,400,55,0,,
190,61,,0,10,1,0,0,0,180,37,0,8,0,0,0,45,23,0,35,529,0,1,5.142857074737549,1.6376087665557861
191,41,0,400,12,0,0,46,0,0,40,0,12,0,,17500,23,22,0,0,484,17.5,0,,
192,26,0,1200,13,0,0,40,0,500,25,0,16,0,0,45000,7,3,0,45,9,19,1,11.11111068725586,2.4079456329345703
193,56,,0,12,0,0,65,0,0,54,0,12,0,,27500,38,36,0,0,1296,27.5,0,,
194,38,1,1000,14,0,0,46,0,700,38,0,14,0,1,55000,18,18,1,35,324,18.600000381469727,1,20,2.995732307434082
195,38,0,770,14,0,0,32,1,414,38,0,14,0,0,55000,18,18,0,24,324,33.47200012207031,1,17.25,2.8478121757507324
196,33,0,400,12,0,0,40,0,105,28,0,12,0,0,22500,15,10,0,30,100,17.040000915527344,1,3.5,1.2527629137039185
197,27,0,200,12,0,0,40,0,326,22,0,12,0,0,22500,9,4,0,40,16,5.547999858856201,1,8.149999618530273,2.098017930984497
198,39,0,1500,16,0,0,40,0,500,38,0,12,0,1,55000,17,20,0,40,400,29,1,12.5,2.525728702545166
199,32,0,650,13,0,0,50,1,425,33,0,14,0,0,45000,13,13,0,40,169,22.899999618530273,1,10.625,2.3632097244262695
200,43,0,1000,17,0,0,45,0,0,44,0,16,0,,67500,20,22,0,0,484,67.5,0,,
201,45,,0,12,1,0,0,1,450,40,1,14,0,0,32500,27,20,0,40,400,9.100000381469727,1,11.25,2.420368194580078
202,52,0,440,10,0,0,40,1,126,37,0,12,0,0,32500,36,19,0,32,361,25.947999954223633,1,3.9375,1.3705459833145142
203,64,0,71,14,0,0,16,1,230,54,0,15,0,0,17500,44,33,0,40,1089,5.539999961853027,1,5.75,1.7491998672485352
204,54,0,770,18,0,0,40,0,475,56,0,14,0,0,55000,30,36,0,40,1296,30.299999237060547,1,11.875,2.474435329437256
205,44,,0,14,0,0,40,1,399,38,0,15,0,1,112500,24,17,0,24,289,91.75199890136719,1,16.625,2.8109076023101807
206,32,0,495,12,0,0,45,0,0,23,0,14,0,,37500,14,3,1,0,9,37.5,0,,
207,34,0,230,10,0,0,40,1,0,37,0,12,0,,27500,18,19,0,0,361,27.5,0,,
208,25,0,230,13,0,0,40,0,650,24,0,14,1,0,27500,6,4,1,40,16,0,1,16.25,2.788092851638794
209,40,,0,14,0,0,80,0,312,38,0,14,0,0,17500,20,18,1,40,324,1.2760000228881836,1,7.800000190734863,2.054123640060425
210,54,,0,18,0,0,50,0,0,50,0,16,0,,0,30,28,0,0,784,0,0,,
211,33,,0,12,0,0,0,0,0,27,0,11,0,,8750,15,10,1,0,100,8.75,0,,
212,50,,0,13,0,0,40,0,290,48,0,12,0,0,0,31,30,0,35,900,0,1,8.285714149475098,2.114532947540283
213,52,,0,12,0,0,0,1,0,38,0,12,0,,11500,34,20,0,0,400,11.5,0,,
214,30,,0,12,0,0,60,0,90,44,0,16,0,0,37500,12,22,0,15,484,32.81999969482422,1,6,1.7917594909667969
215,34,0,400,12,0,0,48,0,200,34,0,10,0,0,32500,16,18,1,30,324,22.100000381469727,1,6.666666507720947,1.8971199989318848
216,42,0,486,12,0,0,48,0,136,39,0,12,0,0,32500,24,21,0,24,441,25.42799949645996,1,5.666666507720947,1.7346010208129883
217,29,1,520,12,0,0,32,0,0,27,0,12,0,,37500,11,9,1,0,81,37.5,0,,
218,47,,0,18,0,0,25,0,0,39,0,18,0,,112500,23,15,1,0,225,112.5,0,,
219,62,,0,12,0,0,0,0,0,43,0,6,1,,45000,44,31,1,0,961,45,0,,
220,31,0,170,12,0,0,40,0,200,31,0,12,0,0,27500,13,13,1,40,169,17.100000381469727,1,5,1.6094379425048828
221,44,,0,15,0,0,60,1,1040,37,0,17,0,0,67500,23,14,0,48,196,13.420000076293945,1,21.66666603088379,3.075774908065796
222,28,0,300,11,0,1,40,0,0,28,0,11,1,,17500,11,11,1,0,121,17.5,0,,
223,61,0,264,12,0,0,40,0,418,55,0,12,0,0,45000,43,37,0,40,1369,23.263999938964844,1,10.449999809265137,2.346601963043213
224,52,,0,14,0,0,0,0,0,49,0,12,0,,22500,32,31,0,0,961,22.5,0,,
225,52,0,234,10,0,0,56,0,90,50,0,12,0,0,27500,36,32,0,10,1024,22.81999969482422,1,9,2.1972246170043945
226,36,0,700,14,0,0,40,0,680,33,0,14,0,0,67500,16,13,1,36,169,32.13999938964844,1,18.88888931274414,2.9385738372802734
227,21,0,200,11,0,1,42,0,0,19,0,5,1,,27500,4,8,1,0,64,27.5,0,,
228,44,0,615,12,0,0,60,0,0,37,0,12,0,,45000,26,19,0,0,361,45,0,,
229,50,0,300,12,0,0,45,0,300,51,0,12,0,0,32500,32,33,0,40,1089,16.899999618530273,1,7.5,2.0149030685424805
230,46,,0,12,0,0,50,0,0,49,0,13,0,,27500,28,30,0,0,900,27.5,0,,
231,44,0,700,12,0,0,60,0,0,44,0,12,0,,55000,26,26,0,0,676,55,0,,
232,58,0,150,12,0,0,30,0,500,55,0,12,0,0,45000,40,37,0,0,1369,19,0,,
233,64,0,1200,6,0,0,50,0,0,58,0,12,0,,45000,52,40,0,0,1600,45,0,,
234,43,,0,16,0,0,50,1,192,40,0,16,0,0,0,21,18,0,30,324,0,1,6.400000095367432,1.8562979698181152
235,56,1,800,3,0,1,40,0,0,57,0,6,1,,37500,47,45,0,0,2025,37.5,0,,
236,47,,0,12,0,0,44,0,95,44,0,12,0,0,32500,29,26,0,18,676,27.559999465942383,1,5.277777671813965,1.6635050773620605
