"","husage","husunion","husearns","huseduc","husblck","hushisp","hushrs","kidge6","earns","age","black","educ","hispanic","union","faminc","husexp","exper","kidlt6","hours","expersq","nwifeinc","inlf","hrwage","lwage"
"24",62,NA,0,12,0,0,20,0,0,59,0,13,0,NA,67500,44,40,0,0,1600,67.5,0,NA,NA
"25",45,0,1154,16,0,0,38,1,425,45,0,18,0,0,67500,23,21,0,35,441,45.4000015258789,1,12.1428575515747,2.49674105644226
"26",33,0,1350,16,0,0,40,0,770,32,0,12,0,0,112500,11,14,0,40,196,72.4599990844727,1,19.25,2.95751094818115
"27",31,0,769,18,0,0,55,0,125,27,0,14,0,0,45000,7,7,1,21,49,38.5,1,5.9523811340332,1.78379130363464
"28",55,1,695,12,0,0,72,0,0,51,0,12,0,NA,37500,37,33,0,0,1089,37.5,0,NA,NA
"29",31,0,340,12,0,0,40,0,245,30,0,15,0,0,32500,13,9,1,35,81,19.7600002288818,1,7,1.94591009616852
"30",22,0,450,12,0,0,43,0,0,21,0,12,0,NA,27500,4,3,1,0,9,27.5,0,NA,NA
"31",44,0,750,12,0,0,40,1,539,42,0,12,0,0,55000,26,24,0,40,576,26.9720001220703,1,13.4750003814697,2.60083603858948
"32",41,NA,0,16,0,0,40,0,0,28,0,14,0,NA,67500,19,8,1,0,64,67.5,0,NA,NA
"33",45,0,1200,12,0,0,50,0,300,42,0,12,0,0,112500,27,24,0,40,576,96.9000015258789,1,7.5,2.01490306854248
"34",22,0,249,12,0,0,40,0,299,23,0,13,0,0,27500,4,4,0,40,16,11.9519996643066,1,7.47499990463257,2.01156401634216
"35",66,0,500,16,0,0,40,0,500,55,0,12,0,0,67500,44,37,0,40,1369,41.5,1,12.5,2.52572870254517
"36",36,0,1500,16,0,0,60,0,0,31,0,17,0,NA,112500,14,8,1,0,64,112.5,0,NA,NA
"37",58,0,360,12,0,0,40,0,0,57,0,14,0,NA,22500,40,37,0,0,1369,22.5,0,NA,NA
"38",26,0,500,12,0,0,40,0,0,21,0,13,0,NA,37500,8,2,0,0,4,37.5,0,NA,NA
"39",38,0,1000,16,0,0,40,1,0,39,0,16,0,NA,3000,16,17,0,0,289,3,0,NA,NA
"40",33,0,675,16,0,0,40,0,0,33,0,12,0,NA,37500,11,15,1,0,225,37.5,0,NA,NA
"41",55,NA,0,13,0,0,0,0,0,55,0,14,0,NA,11500,36,35,0,0,1225,11.5,0,NA,NA
"42",43,0,400,12,0,0,50,1,260,31,0,12,0,0,45000,25,13,0,40,169,31.4799995422363,1,6.5,1.8718022108078
"43",26,0,520,14,0,0,36,0,345,27,0,14,0,0,45000,6,7,0,40,49,27.0599994659424,1,8.625,2.15466499328613
"44",37,1,500,12,0,0,50,0,213,30,0,12,0,0,32500,19,12,1,15,144,21.423999786377,1,14.1999998092651,2.65324187278748
"45",51,0,500,12,0,0,40,0,320,49,0,12,0,0,67500,33,31,0,60,961,50.8600006103516,1,5.33333349227905,1.6739764213562
"46",52,NA,0,12,0,0,0,0,0,48,0,16,0,NA,37500,34,26,0,0,676,37.5,0,NA,NA
"47",40,NA,0,18,0,0,50,1,0,34,0,16,0,NA,112500,16,12,0,0,144,112.5,0,NA,NA
"48",38,0,1500,16,0,0,40,0,550,38,0,16,0,0,67500,16,16,1,40,256,38.9000015258789,1,13.75,2.62103891372681
"49",31,0,880,16,0,0,40,0,0,29,0,16,0,NA,0,9,7,1,0,49,0,0,NA,NA
"50",57,1,1080,13,0,0,40,0,0,51,0,12,0,NA,0,38,33,0,0,1089,0,0,NA,NA
"51",37,0,465,12,0,0,50,0,687,32,0,17,0,1,45000,19,9,1,40,81,9.27600002288818,1,17.1749992370605,2.84345483779907
"52",57,NA,0,12,0,0,0,1,0,47,0,12,0,NA,22500,39,29,0,0,841,22.5,0,NA,NA
"53",54,0,300,18,0,0,60,0,400,52,0,18,0,1,112500,30,28,0,50,784,91.6999969482422,1,8,2.0794415473938
"54",57,NA,0,13,0,0,0,0,575,57,0,14,0,0,55000,38,37,0,40,1369,25.1000003814697,1,14.375,2.66549062728882
"55",53,NA,0,12,0,0,60,1,0,49,0,12,0,NA,17500,35,31,0,0,961,17.5,0,NA,NA
"56",29,0,600,16,0,0,50,0,460,27,0,14,0,0,55000,7,7,1,40,49,31.0799999237061,1,11.5,2.44234704971313
"57",35,0,600,16,0,0,42,0,600,31,0,12,0,0,55000,13,13,0,40,169,23.7999992370605,1,15,2.70805025100708
"58",33,1,1478,14,0,0,74,0,0,30,0,16,0,NA,55000,13,8,1,0,64,55,0,NA,NA
"59",38,0,240,18,0,0,48,1,400,36,0,16,0,0,32500,14,14,0,40,196,11.6999998092651,1,10,2.30258512496948
"60",24,NA,0,13,0,1,35,0,0,35,0,0,1,NA,6250,5,29,1,0,841,6.25,0,NA,NA
"61",49,1,760,12,1,0,48,0,0,46,1,11,0,NA,112500,31,29,0,0,841,112.5,0,NA,NA
"62",34,0,1000,16,0,0,40,0,0,34,0,16,0,NA,55000,12,12,1,0,144,55,0,NA,NA
"63",49,0,1000,16,0,0,40,1,0,46,0,12,0,NA,45000,27,28,0,0,784,45,0,NA,NA
"64",34,NA,0,16,0,0,40,0,173,29,0,16,0,0,3000,12,7,1,24,49,0,1,7.20833349227905,1.97523772716522
"65",44,0,1450,18,0,0,40,1,1100,45,0,18,0,0,3000,20,21,0,40,441,0,1,27.5,3.31418609619141
"66",32,0,326,16,0,0,40,0,0,28,0,14,0,NA,0,10,8,1,0,64,0,0,NA,NA
"67",31,0,675,16,0,0,40,0,434,32,0,14,0,0,67500,9,12,1,24,144,44.931999206543,1,18.0833339691162,2.89499068260193
"68",40,0,865,18,0,0,48,0,100,38,0,18,0,0,3000,16,14,1,10,196,0,1,10,2.30258512496948
"69",47,0,1000,16,0,0,40,0,0,32,0,16,0,NA,45000,25,10,1,0,100,45,0,NA,NA
"70",33,0,600,12,0,0,35,1,308,31,0,12,0,0,3000,15,13,0,30,169,0,1,10.2666664123535,2.32890248298645
"71",54,NA,0,10,0,1,40,0,327,48,0,12,1,1,37500,38,30,0,35,900,20.496000289917,1,9.34285736083984,2.23461222648621
"72",47,0,90,7,0,1,24,1,0,49,0,7,1,NA,3000,34,36,0,0,1296,3,0,NA,NA
"73",45,0,387,4,0,0,45,0,240,45,0,4,0,0,27500,35,35,1,0,1225,15.0200004577637,0,NA,NA
"74",47,NA,0,12,0,1,0,1,360,44,0,16,0,0,22500,29,22,0,40,484,3.77999997138977,1,9,2.19722461700439
"75",41,NA,0,16,0,0,50,0,150,33,0,16,0,0,112500,19,11,1,25,121,104.699996948242,1,6,1.7917594909668
"76",59,NA,0,15,0,0,0,0,0,49,0,12,0,NA,67500,38,31,0,0,961,67.5,0,NA,NA
"77",42,1,650,4,0,1,52,1,0,39,0,12,1,NA,55000,32,21,0,0,441,55,0,NA,NA
"78",59,1,400,12,0,0,40,0,0,57,0,12,0,NA,45000,41,39,0,0,1521,45,0,NA,NA
"79",49,1,340,12,0,0,40,0,195,48,0,12,0,0,112500,31,30,0,0,900,102.360000610352,0,NA,NA
"80",34,0,1923,18,0,0,60,0,962,33,0,18,1,0,112500,10,9,1,27,81,62.476001739502,1,35.6296310424805,3.57317757606506
"81",66,NA,0,13,0,0,0,0,0,57,0,12,0,NA,32500,47,39,0,0,1521,32.5,0,NA,NA
"82",53,0,385,12,0,0,0,0,576,45,0,12,0,0,55000,35,27,0,40,729,25.0480003356934,1,14.3999996185303,2.66722822189331
"83",25,0,350,11,1,0,40,0,141,33,1,10,0,0,13750,8,17,0,35,289,6.41800022125244,1,4.02857160568237,1.39341187477112
"84",51,0,1100,18,0,0,55,0,0,47,0,16,0,NA,112500,27,25,0,0,625,112.5,0,NA,NA
"85",26,0,250,15,1,0,40,0,500,24,1,12,0,0,0,5,6,0,40,36,0,1,12.5,2.52572870254517
"86",53,0,1157,17,0,0,91,0,1000,52,0,18,0,1,55000,30,28,0,35,784,3,1,28.5714282989502,3.35240721702576
"87",30,0,570,8,0,1,50,0,0,21,0,12,1,NA,55000,16,3,1,0,9,55,0,NA,NA
"88",43,0,730,16,0,0,40,0,0,37,0,14,0,NA,3000,21,17,1,0,289,3,0,NA,NA
"89",44,NA,0,11,0,0,0,1,0,37,0,12,0,NA,0,27,19,0,0,361,0,0,NA,NA
"90",39,0,200,12,0,0,50,0,300,28,0,12,0,0,8750,21,10,0,40,100,0,1,7.5,2.01490306854248
"91",24,0,390,12,1,0,0,0,205,22,1,12,0,0,17500,6,4,1,25,16,6.84000015258789,1,8.19999980926514,2.10413408279419
"92",29,0,450,18,0,0,0,0,0,26,0,16,0,NA,17500,5,4,1,0,16,17.5,0,NA,NA
"93",46,0,1000,12,0,0,24,0,992,33,0,12,0,1,112500,28,15,0,40,225,60.9160003662109,1,24.7999992370605,3.21084356307983
"94",32,0,25,12,0,0,7,0,0,33,0,13,0,NA,11500,14,14,1,0,196,11.5,0,NA,NA
"95",38,1,720,12,0,0,40,1,0,36,0,12,0,NA,32500,20,18,0,0,324,32.5,0,NA,NA
"96",35,0,300,9,0,0,40,1,88,37,0,12,0,0,13750,20,19,0,20,361,9.17399978637695,1,4.40000009536743,1.48160457611084
"97",39,0,611,12,0,0,40,1,5,38,0,14,0,0,32500,21,18,0,1,324,32.2400016784668,1,5,1.60943794250488
"98",36,1,800,12,0,0,60,1,0,37,0,12,0,NA,22500,18,19,0,0,361,22.5,0,NA,NA
"99",30,0,825,16,0,0,50,0,500,28,0,18,0,0,45000,8,4,0,84,16,19,1,5.9523811340332,1.78379130363464
"100",31,0,266,13,0,1,38,0,200,27,0,12,1,0,22500,12,9,1,40,81,12.1000003814697,1,5,1.60943794250488
"101",41,1,520,12,0,0,40,1,240,37,0,13,0,0,37500,23,18,0,40,324,25.0200004577637,1,6,1.7917594909668
"102",47,NA,0,11,0,0,60,1,280,47,0,13,0,0,45000,30,28,0,32,784,30.4400005340576,1,8.75,2.16905379295349
"103",24,0,360,12,0,0,50,0,184,22,0,16,0,0,55000,6,0,0,0,0,45.431999206543,0,NA,NA
"104",55,NA,0,11,0,0,0,0,782,50,0,12,0,0,27500,38,32,0,40,1024,0,1,19.5499992370605,2.97297525405884
"105",34,0,450,14,0,0,50,1,0,38,0,12,0,NA,22500,14,20,0,0,400,22.5,0,NA,NA
"106",56,0,1442,16,0,0,72,0,0,56,0,15,0,NA,112500,34,35,0,0,1225,112.5,0,NA,NA
"107",24,0,484,10,0,0,40,0,0,21,0,9,0,NA,27500,8,6,1,0,36,27.5,0,NA,NA
"108",31,0,650,13,0,0,45,1,0,30,0,13,0,NA,55000,12,11,0,0,121,55,0,NA,NA
"109",44,0,401,6,0,0,40,0,220,45,0,12,0,0,37500,32,27,0,40,729,26.0599994659424,1,5.5,1.70474803447723
"110",43,NA,0,12,0,0,0,1,200,44,0,12,0,0,17500,25,26,0,18,676,7.09999990463257,1,11.1111106872559,2.40794563293457
"111",24,0,478,15,0,1,45,0,0,23,0,13,1,NA,32500,3,4,1,0,16,32.5,0,NA,NA
"112",37,NA,0,12,0,0,60,1,0,35,0,12,0,NA,0,19,17,0,0,289,0,0,NA,NA
"113",62,NA,0,6,0,0,0,1,0,43,0,12,0,NA,17500,50,25,0,0,625,17.5,0,NA,NA
"114",54,0,1000,13,0,0,50,0,0,50,0,13,0,NA,45000,35,31,1,0,961,45,0,NA,NA
"115",38,0,780,14,0,0,40,1,95,40,0,14,0,0,45000,18,20,0,15,400,40.060001373291,1,6.33333349227905,1.84582674503326
"116",46,0,950,11,0,0,45,0,150,46,0,11,0,0,67500,29,29,0,24,841,59.7000007629395,1,6.25,1.83258152008057
"117",46,0,450,16,0,0,50,1,681,46,0,17,0,0,112500,24,23,0,0,529,77.0879974365234,0,NA,NA
"118",31,0,550,12,0,0,40,0,670,30,0,12,0,0,45000,13,12,0,60,144,10.1599998474121,1,11.1666669845581,2.4129331111908
"119",33,0,790,12,0,0,24,0,312,34,0,16,0,0,55000,15,12,1,0,144,38.7760009765625,0,NA,NA
"120",37,0,200,12,0,0,40,1,286,47,0,12,0,0,17500,19,29,0,40,841,2.62800002098083,1,7.15000009536743,1.96711242198944
"121",27,0,338,12,0,0,25,0,333,28,0,16,0,0,37500,9,6,1,40,36,20.1840000152588,1,8.32499980926514,2.11926293373108
"122",46,NA,0,12,0,1,0,1,75,41,0,7,1,0,6250,28,28,0,32,784,2.34999990463257,1,2.34375,0.85175222158432
"123",33,1,480,13,1,0,40,0,360,32,1,14,0,0,45000,14,12,1,40,144,26.2800006866455,1,9,2.19722461700439
"124",33,0,850,18,0,0,40,0,646,34,0,16,0,0,67500,9,12,0,40,144,33.9080009460449,1,16.1499996185303,2.78191995620728
"125",57,0,500,12,0,0,40,0,0,58,0,12,0,NA,27500,39,40,0,0,1600,27.5,0,NA,NA
"126",42,0,1250,18,0,0,50,1,769,42,0,16,0,0,112500,18,20,0,77,400,72.5120010375977,1,9.98701286315918,2.3012855052948
"127",69,NA,0,5,0,1,0,0,0,42,0,1,1,NA,13750,58,35,0,0,1225,13.75,0,NA,NA
"128",46,0,800,18,0,0,40,0,400,44,0,18,0,0,0,22,20,1,24,400,0,1,16.6666660308838,2.81341075897217
"129",60,0,450,10,0,0,54,0,543,57,0,12,0,1,55000,44,39,0,40,1521,26.7639999389648,1,13.5749998092651,2.60822987556458
"130",51,0,500,12,1,0,70,0,80,46,1,10,0,0,17500,33,30,0,10,900,13.3400001525879,1,8,2.0794415473938
"131",54,0,400,12,0,0,40,0,325,54,0,12,0,0,37500,36,36,0,40,1296,20.6000003814697,1,8.125,2.09494566917419
"132",50,0,220,6,0,1,40,1,260,43,0,3,1,1,27500,38,34,0,40,1156,13.9799995422363,1,6.5,1.8718022108078
"133",33,0,450,10,0,0,50,0,0,23,0,11,0,NA,22500,17,6,1,0,36,22.5,0,NA,NA
"134",28,NA,0,10,0,0,20,1,750,28,0,12,0,0,22500,12,10,0,40,100,0,1,18.75,2.93119382858276
"135",36,NA,0,13,0,0,70,0,300,24,0,12,0,0,37500,17,6,1,40,36,21.8999996185303,1,7.5,2.01490306854248
"136",44,0,337,14,0,0,70,1,332,42,0,12,0,0,27500,24,24,0,40,576,10.2360000610352,1,8.30000019073486,2.11625552177429
"137",54,NA,0,12,0,0,0,0,300,53,0,12,0,0,22500,36,35,0,0,1225,6.90000009536743,0,NA,NA
"138",41,0,769,12,0,0,0,0,0,34,0,13,0,NA,37500,23,15,1,0,225,37.5,0,NA,NA
"139",37,NA,0,12,0,0,0,1,163,31,0,12,0,0,32500,19,13,0,0,169,24.0240001678467,0,NA,NA
"140",32,NA,0,14,0,0,30,0,0,31,0,16,0,NA,3000,12,9,1,0,81,3,0,NA,NA
"141",46,NA,0,16,0,0,40,1,0,42,0,12,0,NA,32500,24,24,0,0,576,32.5,0,NA,NA
"142",35,NA,0,12,0,0,50,0,395,30,0,14,0,0,17500,17,10,1,40,100,0,1,9.875,2.29000639915466
"143",60,NA,0,14,0,0,40,1,260,56,0,14,0,0,45000,40,36,0,40,1296,31.4799995422363,1,6.5,1.8718022108078
"144",48,1,600,12,0,0,40,0,235,50,0,13,0,0,45000,30,31,0,35,961,32.7799987792969,1,6.7142858505249,1.9042375087738
"145",58,0,1923,16,0,0,20,0,0,57,0,16,0,NA,3000,36,35,0,0,1225,3,0,NA,NA
"146",37,0,600,18,0,0,38,0,230,26,0,13,0,0,45000,13,7,1,25,49,33.0400009155273,1,9.19999980926514,2.21920347213745
"147",37,0,1000,12,0,0,50,0,0,25,0,6,1,NA,37500,19,13,1,0,169,37.5,0,NA,NA
"148",40,0,700,18,0,0,32,1,35,40,0,16,0,0,32500,16,18,0,2,324,30.6800003051758,1,17.5,2.86220097541809
"149",57,0,1058,18,0,0,40,0,500,52,0,15,0,0,67500,33,31,0,0,961,41.5,0,NA,NA
"150",44,0,400,12,0,0,50,1,540,44,0,13,0,1,45000,26,25,0,0,625,16.9200000762939,0,NA,NA
"151",39,0,1115,16,0,0,40,1,0,37,0,13,0,NA,55000,17,18,0,0,324,55,0,NA,NA
"152",45,NA,0,9,0,0,42,0,315,53,0,12,0,0,32500,30,35,0,40,1225,16.1200008392334,1,7.875,2.0636932849884
"153",46,1,648,12,0,0,48,1,0,46,0,12,0,NA,32500,28,28,0,0,784,32.5,0,NA,NA
"154",24,0,280,12,1,0,40,0,200,29,1,12,0,0,22500,6,11,1,30,121,12.1000003814697,1,6.66666650772095,1.89711999893188
"155",32,NA,0,14,0,0,0,0,0,28,0,14,0,NA,45000,12,8,1,0,64,45,0,NA,NA
"156",40,0,1000,15,0,0,40,0,0,40,0,12,0,NA,55000,19,22,1,0,484,55,0,NA,NA
"157",39,NA,0,12,0,0,60,1,880,39,0,12,0,0,55000,21,21,0,0,441,9.23999977111816,0,NA,NA
"158",54,0,500,12,0,0,55,0,100,51,0,12,0,0,45000,36,33,0,21,1089,39.7999992370605,1,4.7619047164917,1.56064772605896
"159",48,0,200,12,1,0,40,0,240,46,1,12,0,0,13750,30,28,0,0,784,1.26999998092651,0,NA,NA
"160",28,NA,0,12,0,0,65,0,196,31,0,14,0,0,27500,10,11,1,30,121,17.3080005645752,1,6.53333330154419,1.87691724300385
"161",30,NA,0,13,0,0,55,0,0,33,0,13,0,NA,112500,11,14,1,0,196,112.5,0,NA,NA
"162",44,NA,0,15,0,0,60,1,224,42,0,17,0,0,45000,23,19,0,40,361,33.3520011901855,1,5.59999990463257,1.72276663780212
"163",50,0,780,12,0,0,40,0,600,42,0,16,0,1,67500,32,20,0,40,400,36.2999992370605,1,15,2.70805025100708
"164",61,NA,0,17,0,0,0,0,0,54,0,14,0,NA,45000,38,34,0,0,1156,45,0,NA,NA
"165",49,1,606,12,0,0,57,0,126,50,0,12,0,0,45000,31,32,0,28,1024,38.4480018615723,1,4.5,1.50407743453979
"166",37,1,600,16,0,0,38,1,450,36,0,16,0,1,45000,15,14,0,35,196,21.6000003814697,1,12.8571424484253,2.55389952659607
"167",56,0,1200,12,0,0,40,0,450,54,0,15,0,0,32500,38,33,0,24,1089,9.10000038146973,1,18.75,2.93119382858276
"168",22,NA,0,8,0,0,0,0,0,22,0,11,0,NA,3000,8,5,1,0,25,3,0,NA,NA
"169",24,0,430,16,0,0,40,0,153,23,0,16,0,0,27500,2,1,0,30,1,19.5440006256104,1,5.09999990463257,1.6292405128479
"170",29,1,550,13,0,0,40,0,220,28,0,12,0,0,37500,10,10,1,0,100,26.0599994659424,0,NA,NA
"171",26,0,277,18,0,0,40,0,140,26,1,12,0,0,13750,2,8,1,35,64,6.46999979019165,1,4,1.3862943649292
"172",38,0,800,12,0,0,45,0,0,37,0,12,0,NA,37500,20,19,1,0,361,37.5,0,NA,NA
"173",51,0,1600,18,0,0,50,0,275,51,0,12,0,0,67500,27,33,0,27,1089,53.2000007629395,1,10.1851854324341,2.3209342956543
"174",32,NA,0,12,0,0,0,1,0,30,0,12,0,NA,3000,14,12,0,0,144,3,0,NA,NA
"175",44,NA,0,18,0,0,50,1,0,37,0,16,0,NA,55000,20,15,0,0,225,55,0,NA,NA
"176",51,NA,0,12,1,0,40,0,0,44,1,12,0,NA,17500,33,26,0,0,676,17.5,0,NA,NA
"177",34,0,368,10,0,0,32,1,231,33,0,12,0,0,45000,18,15,0,40,225,32.9879989624023,1,5.77500009536743,1.75353825092316
"178",29,0,1092,12,0,0,84,0,300,30,0,16,0,0,55000,11,8,1,35,64,39.4000015258789,1,8.5714282989502,2.14843440055847
"179",35,0,175,18,0,0,20,0,400,27,0,16,0,0,32500,11,5,1,40,25,11.6999998092651,1,10,2.30258512496948
"180",37,0,400,12,0,0,40,1,400,38,0,14,0,0,37500,19,18,0,40,324,16.7000007629395,1,10,2.30258512496948
"181",53,0,425,12,0,0,40,0,490,45,0,12,0,0,0,35,27,0,40,729,0,1,12.25,2.50552582740784
"182",27,0,625,13,0,0,40,0,396,26,0,12,0,0,45000,8,8,0,35,64,24.4080009460449,1,11.3142852783203,2.42606616020203
"183",53,NA,0,9,1,0,0,1,170,52,1,10,0,1,27500,38,36,0,20,1296,18.6599998474121,1,8.5,2.14006614685059
"184",46,0,280,12,0,0,40,0,0,46,0,12,0,NA,0,28,28,0,0,784,0,0,NA,NA
"185",32,0,320,12,0,0,40,0,0,29,0,10,0,NA,17500,14,13,1,0,169,17.5,0,NA,NA
"186",24,0,300,12,0,0,40,0,500,22,0,16,0,0,17500,6,0,0,48,0,0,1,10.4166669845581,2.34340715408325
"187",39,0,360,14,0,0,40,0,500,33,0,14,0,1,45000,19,13,1,40,169,19,1,12.5,2.52572870254517
"188",35,NA,0,12,0,0,40,1,72,36,0,12,0,0,55000,17,18,0,10,324,51.2560005187988,1,7.19999980926514,1.97408103942871
"189",43,0,940,10,0,0,45,1,0,39,0,13,0,NA,55000,27,20,0,0,400,55,0,NA,NA
"190",61,NA,0,10,1,0,0,0,180,37,0,8,0,0,0,45,23,0,35,529,0,1,5.14285707473755,1.63760876655579
"191",41,0,400,12,0,0,46,0,0,40,0,12,0,NA,17500,23,22,0,0,484,17.5,0,NA,NA
"192",26,0,1200,13,0,0,40,0,500,25,0,16,0,0,45000,7,3,0,45,9,19,1,11.1111106872559,2.40794563293457
"193",56,NA,0,12,0,0,65,0,0,54,0,12,0,NA,27500,38,36,0,0,1296,27.5,0,NA,NA
"194",38,1,1000,14,0,0,46,0,700,38,0,14,0,1,55000,18,18,1,35,324,18.6000003814697,1,20,2.99573230743408
"195",38,0,770,14,0,0,32,1,414,38,0,14,0,0,55000,18,18,0,24,324,33.4720001220703,1,17.25,2.84781217575073
"196",33,0,400,12,0,0,40,0,105,28,0,12,0,0,22500,15,10,0,30,100,17.0400009155273,1,3.5,1.25276291370392
"197",27,0,200,12,0,0,40,0,326,22,0,12,0,0,22500,9,4,0,40,16,5.5479998588562,1,8.14999961853027,2.0980179309845
"198",39,0,1500,16,0,0,40,0,500,38,0,12,0,1,55000,17,20,0,40,400,29,1,12.5,2.52572870254517
"199",32,0,650,13,0,0,50,1,425,33,0,14,0,0,45000,13,13,0,40,169,22.8999996185303,1,10.625,2.36320972442627
"200",43,0,1000,17,0,0,45,0,0,44,0,16,0,NA,67500,20,22,0,0,484,67.5,0,NA,NA
"201",45,NA,0,12,1,0,0,1,450,40,1,14,0,0,32500,27,20,0,40,400,9.10000038146973,1,11.25,2.42036819458008
"202",52,0,440,10,0,0,40,1,126,37,0,12,0,0,32500,36,19,0,32,361,25.9479999542236,1,3.9375,1.37054598331451
"203",64,0,71,14,0,0,16,1,230,54,0,15,0,0,17500,44,33,0,40,1089,5.53999996185303,1,5.75,1.74919986724854
"204",54,0,770,18,0,0,40,0,475,56,0,14,0,0,55000,30,36,0,40,1296,30.2999992370605,1,11.875,2.47443532943726
"205",44,NA,0,14,0,0,40,1,399,38,0,15,0,1,112500,24,17,0,24,289,91.7519989013672,1,16.625,2.81090760231018
"206",32,0,495,12,0,0,45,0,0,23,0,14,0,NA,37500,14,3,1,0,9,37.5,0,NA,NA
"207",34,0,230,10,0,0,40,1,0,37,0,12,0,NA,27500,18,19,0,0,361,27.5,0,NA,NA
"208",25,0,230,13,0,0,40,0,650,24,0,14,1,0,27500,6,4,1,40,16,0,1,16.25,2.78809285163879
"209",40,NA,0,14,0,0,80,0,312,38,0,14,0,0,17500,20,18,1,40,324,1.27600002288818,1,7.80000019073486,2.05412364006042
"210",54,NA,0,18,0,0,50,0,0,50,0,16,0,NA,0,30,28,0,0,784,0,0,NA,NA
"211",33,NA,0,12,0,0,0,0,0,27,0,11,0,NA,8750,15,10,1,0,100,8.75,0,NA,NA
"212",50,NA,0,13,0,0,40,0,290,48,0,12,0,0,0,31,30,0,35,900,0,1,8.2857141494751,2.11453294754028
"213",52,NA,0,12,0,0,0,1,0,38,0,12,0,NA,11500,34,20,0,0,400,11.5,0,NA,NA
"214",30,NA,0,12,0,0,60,0,90,44,0,16,0,0,37500,12,22,0,15,484,32.8199996948242,1,6,1.7917594909668
"215",34,0,400,12,0,0,48,0,200,34,0,10,0,0,32500,16,18,1,30,324,22.1000003814697,1,6.66666650772095,1.89711999893188
"216",42,0,486,12,0,0,48,0,136,39,0,12,0,0,32500,24,21,0,24,441,25.42799949646,1,5.66666650772095,1.73460102081299
"217",29,1,520,12,0,0,32,0,0,27,0,12,0,NA,37500,11,9,1,0,81,37.5,0,NA,NA
"218",47,NA,0,18,0,0,25,0,0,39,0,18,0,NA,112500,23,15,1,0,225,112.5,0,NA,NA
"219",62,NA,0,12,0,0,0,0,0,43,0,6,1,NA,45000,44,31,1,0,961,45,0,NA,NA
"220",31,0,170,12,0,0,40,0,200,31,0,12,0,0,27500,13,13,1,40,169,17.1000003814697,1,5,1.60943794250488
"221",44,NA,0,15,0,0,60,1,1040,37,0,17,0,0,67500,23,14,0,48,196,13.4200000762939,1,21.6666660308838,3.0757749080658
