"","lfp","k5","k618","age","wc","hc","lwg","inc"
"134","yes",0,1,38,"yes","no",2.14398,21.2999992
"135","yes",0,1,45,"no","no",0.7243997,23.5599995
"136","yes",0,1,47,"no","no",0.9416087,20.8500004
"137","yes",0,2,39,"no","no",0.7827594,26.1499996
"138","yes",1,0,36,"yes","yes",1.8325815,17
"139","yes",1,2,33,"no","yes",1.2039727,20.7199993
"140","yes",0,0,50,"no","yes",1.491655,16.9999981
"141","yes",0,0,58,"no","yes",1.8921324,16
"142","yes",0,0,49,"yes","yes",2.1308968,19.5
"143","yes",0,2,41,"yes","yes",1.4806052,11.999999
"144","yes",0,1,51,"no","no",0.8943118,13.7320004
"145","yes",0,0,53,"no","no",0.2025245,27.1999989
"146","yes",1,2,36,"no","no",0.4855078,5.3150001
"147","yes",0,2,46,"no","no",1.0986123,16
"148","yes",0,2,36,"no","no",1.5532677,27.8719997
"149","yes",0,1,53,"yes","yes",0.1216024,40
"150","yes",0,3,40,"yes","yes",2.0018072,15.9000006
"151","yes",0,2,42,"yes","yes",1.4950274,27.5
"152","yes",1,1,33,"yes","yes",0.9052411,17.0199986
"153","yes",0,3,43,"no","yes",0.6325226,22.3950005
"154","yes",1,0,31,"yes","yes",1.3862944,11.1000004
"155","yes",0,0,47,"yes","yes",2.1029148,32.7000008
"156","yes",0,0,54,"yes","yes",1.9596404,27.7999992
"157","yes",1,3,33,"no","no",0.5108258,2.2
"158","yes",0,0,43,"yes","yes",1.236917,19.7210007
"159","yes",0,1,46,"yes","yes",1.4433111,10
"160","yes",0,3,35,"no","no",1.0216513,13.1999998
"161","yes",0,3,37,"no","no",0.636137,12.7089996
"162","yes",0,2,37,"yes","yes",1.6164626,27.2999992
"163","yes",0,3,34,"yes","yes",0.2231435,21.2000008
"164","yes",1,0,43,"yes","yes",1.0498221,14.3999996
"165","yes",0,0,46,"no","no",1.4150438,20.5760002
"166","yes",0,3,35,"no","no",0.5753643,12.5
"167","yes",0,0,46,"yes","yes",2.606698,17.4999962
"168","yes",0,0,46,"yes","yes",1.5179226,44
"169","yes",0,2,43,"no","no",0.7550228,13.1189995
"170","yes",0,0,30,"no","no",1.0949824,14.000001
"171","yes",0,2,41,"no","no",0.9421319,9.6450005
"172","yes",0,1,54,"no","yes",1.7249508,17.3969994
"173","yes",0,1,31,"no","no",1.0315291,7.7999997
"174","yes",0,0,44,"no","no",0.474356,13.1339998
"175","yes",0,1,32,"no","yes",0.8109302,25.6000004
"176","yes",0,0,47,"no","no",0.7092764,13.9000006
"177","yes",0,1,46,"yes","yes",1.7105405,19.2980003
"178","yes",0,0,37,"no","no",0.4602733,9.1999998
"179","yes",0,2,51,"no","no",1.3318062,38
"180","yes",0,1,49,"no","no",1.0986123,44
"181","yes",0,4,36,"yes","yes",2.1580038,21.3719997
"182","yes",0,1,39,"no","no",1.4375876,23.6680012
"183","yes",0,2,48,"no","no",1.5448993,9
"184","yes",0,2,38,"yes","yes",1.4105872,25.1999989
"185","yes",0,2,40,"no","no",3.2188759,21.2199993
"186","yes",1,5,39,"no","yes",0.9681486,33.9699974
"187","yes",0,0,37,"yes","yes",1.7917595,17.0699997
"188","yes",0,1,49,"yes","no",1.6887316,6.0160012
"189","yes",0,3,33,"no","yes",-0.409162,17.1000004
"190","yes",0,0,30,"no","yes",0.2231435,8.2370005
"191","yes",0,0,54,"no","no",0.8221774,13.3000002
"192","yes",0,4,39,"no","no",1.2417133,16
"193","yes",0,3,43,"no","no",1.4271164,12.54
"194","yes",0,3,31,"no","no",1.4971018,18
"195","yes",0,3,33,"yes","yes",0.5596158,31.2000008
"196","yes",0,3,40,"no","yes",1.3000159,20.75
"197","yes",0,1,36,"no","no",1.8844231,11.1000004
"198","yes",0,0,51,"no","no",0.9555114,20.6800003
"199","yes",0,1,44,"yes","no",1.5820881,18
"200","yes",0,3,42,"yes","yes",1.7556204,32.4300003
"201","yes",0,1,40,"no","no",1.5131067,32.9000015
"202","yes",1,1,34,"yes","yes",2.2518919,24.1000004
"203","yes",0,0,30,"yes","yes",2.3644607,17.7999973
"204","yes",0,0,54,"no","no",0.1053605,20.5
"205","yes",0,0,51,"no","no",1.3997173,10.500001
"206","yes",0,2,44,"no","no",0.9884722,10.4369993
"207","yes",0,1,43,"no","no",1.0906444,18.1949997
"208","yes",0,1,34,"no","no",1.1546267,12.8450012
"209","yes",0,0,45,"yes","no",1.2669476,13.8000002
"210","yes",0,0,39,"no","no",2.8851907,22.1999989
"211","yes",0,0,50,"no","no",1.2288704,6.6999998
"212","yes",0,0,52,"no","no",1.2039727,6.25
"213","yes",0,2,41,"no","no",1.3573829,15.6000004
"214","yes",0,0,59,"no","no",0.8377283,3.3000002
"215","yes",0,0,52,"no","no",0.5369517,3.6710005
"216","yes",0,0,46,"yes","no",0.7487171,7.79
"217","yes",1,5,41,"no","yes",2.2958679,18.2719994
"218","yes",0,2,33,"no","no",1.1077996,10.9540005
"219","yes",0,0,45,"no","no",0.6208265,13.5
"220","yes",1,2,36,"no","no",-2.0541239,11.1999998
"221","yes",0,1,48,"no","no",1.892005,21
"222","yes",0,1,47,"no","no",1.7297242,25.6999989
"223","yes",0,0,45,"no","no",0.469369,8.9329996
"224","yes",0,2,37,"no","yes",0.9808294,19.1599998
"225","yes",0,4,46,"yes","yes",2.0694911,26.5900002
"226","yes",0,3,43,"yes","yes",1.6751894,22.3999996
"227","yes",0,2,42,"no","yes",1.3862944,20.6329994
"228","yes",1,2,34,"yes","yes",1.7992158,28.1999989
"229","yes",0,0,52,"no","no",1.8325815,28.7999992
"230","yes",0,3,37,"no","no",1.0906444,9
"231","yes",0,1,37,"no","no",1.4431167,11.3999996
"232","yes",0,0,52,"no","no",1.2503659,10.3999996
"233","yes",1,0,30,"no","yes",1.6023204,19.0799999
"234","yes",0,1,31,"yes","no",1.0185697,9.4659996
"235","yes",0,1,38,"no","no",1.2970634,6.4999995
"236","yes",0,3,43,"no","yes",1.6851965,29.1170006
"237","yes",0,1,49,"no","no",-0.4209214,19.1030006
"238","yes",0,0,55,"no","no",1.5620917,16.3500004
"239","yes",0,2,38,"yes","yes",2.1465313,32.0250015
"240","yes",0,0,52,"yes","yes",2.3474667,16.6999931
"241","yes",0,0,48,"no","no",0.9698421,4.8110003
"242","yes",0,2,32,"yes","no",1.9241487,24.6259995
"243","yes",0,1,32,"no","yes",1.6267294,17.3999996
"244","yes",0,2,38,"no","yes",-0.039221,13.0249996
"245","yes",0,3,46,"no","no",1.4601418,19.007
"246","yes",0,3,40,"no","no",1.9553889,14.0299997
"247","yes",0,4,31,"no","no",0.9263413,14.8999987
"248","yes",0,1,43,"no","no",2.0661962,25
"249","yes",0,0,51,"no","no",1.4228519,10.7000008
"250","yes",1,0,30,"yes","yes",2.1010323,24.25
"251","yes",0,0,52,"yes","yes",2.2614579,39.1399994
"252","yes",1,5,30,"no","no",0.7013053,7.2000003
"253","yes",0,0,51,"yes","yes",2.0310118,31.8110008
"254","yes",0,2,31,"yes","no",1.1623771,9.999999
"255","yes",0,4,34,"no","no",0.4700036,20.6599998
"256","yes",0,0,49,"no","yes",1.4105872,13.5
"257","yes",1,3,35,"yes","yes",0.3930422,25.3800011
"258","yes",1,0,53,"no","no",1.2909843,18.2749996
"259","yes",0,3,32,"no","yes",0,39.2130013
"260","yes",0,3,38,"no","no",0.9571128,10.499999
"261","yes",0,0,54,"no","yes",0.5596158,34.8569984
"262","yes",0,1,47,"yes","no",1.5686159,28.5019989
"263","yes",0,1,45,"yes","yes",1.7101794,13
"264","yes",0,1,47,"yes","yes",1.4105872,41.3999977
"265","yes",0,0,59,"no","no",0.2231435,14.7799997
"266","yes",0,1,32,"no","no",0.5108258,15.0500002
"267","yes",0,1,45,"no","yes",1.332389,29.7000008
"268","yes",0,4,40,"no","no",0.8602011,16.1650009
"269","yes",0,2,47,"yes","no",2.3227875,25.2050037
"270","yes",1,2,36,"yes","yes",1.9195929,14.1999998
"271","yes",0,0,56,"yes","yes",1.9761044,18.1590004
"272","yes",0,1,41,"no","no",0.895445,28.9810009
"273","yes",0,3,48,"no","no",0.1812526,13.3920002
"274","yes",1,2,36,"no","no",0.4953217,9.1749992
"275","yes",0,0,41,"no","yes",0.5777649,27.0400009
"276","yes",0,0,41,"yes","no",1.0788095,13.1500015
"277","yes",0,3,36,"no","yes",1.6032073,16.3999996
"278","yes",0,3,37,"no","no",0.6208265,21.2999992
"279","yes",0,0,38,"no","no",2.0838959,17.2010002
"280","yes",0,2,43,"yes","no",1.3791769,8.5600004
"281","yes",0,0,54,"yes","yes",1.1123673,6.4910016
"282","yes",0,1,38,"no","no",1.0671136,12.5
"283","yes",1,0,30,"no","yes",1.1188148,27
"284","yes",0,0,49,"no","yes",1.5885466,53.5
"285","yes",0,1,45,"yes","no",1.3903024,52.5
"286","yes",0,0,51,"yes","yes",1.7147983,38.4000015
"287","yes",0,0,34,"no","no",0.2010386,13.8920002
"288","yes",0,2,34,"no","no",0.9872699,3.8999991
"289","yes",0,1,41,"no","yes",0.9834995,34.2000008
"290","yes",0,1,49,"no","yes",2.2331755,19.7000008
"291","yes",0,0,32,"no","yes",1.1436096,18.5
"292","yes",0,0,32,"yes","yes",-0.6113947,11
"293","yes",0,2,32,"yes","yes",2.1530533,43.2999992
"294","yes",0,0,47,"no","no",1.2998388,18.7600002
"295","yes",0,1,39,"no","no",0.8409411,4.8000007
"296","yes",0,0,49,"no","yes",1.0584848,21.5
"297","yes",0,3,37,"no","yes",1.1526461,28.0400009
"298","yes",0,0,59,"yes","yes",1.2935848,26
"299","yes",0,0,50,"no","no",1.8325815,27
"300","yes",0,1,32,"yes","yes",2.3271625,17.7999916
"301","yes",0,0,46,"no","yes",1.1661358,17.4019985
"302","yes",0,2,43,"yes","yes",2.0349898,19.3099995
"303","yes",0,3,37,"no","no",0.6792445,9.999999
"304","yes",0,2,32,"yes","yes",1.5471342,11.1799994
"305","yes",0,1,39,"no","yes",0.7529984,18.8570004
"306","yes",0,2,34,"yes","no",0.8472977,12.3000002
"307","yes",0,1,39,"no","no",0.8711449,13.6769991
"308","yes",0,3,45,"no","no",0.2282489,9.5600004
"309","yes",0,0,50,"no","no",0.0896122,24.5
"310","yes",0,1,40,"no","no",1.3217559,23.1499996
"311","yes",0,1,30,"no","no",1.1960874,15.5909996
"312","yes",0,0,57,"yes","yes",1.6361114,14.4210005
"313","yes",0,1,39,"no","no",1.892005,17.4549999
"314","yes",0,0,53,"no","no",1.5183107,9.8000011
"315","yes",0,1,48,"yes","yes",2.472122,17.574995
"316","yes",0,1,46,"yes","yes",1.3217559,16.5550003
"317","yes",0,0,47,"no","no",1.4736363,13.2950001
"318","yes",0,1,43,"no","no",1.3694872,11.8439999
"319","yes",0,0,47,"no","yes",1.2039727,46.6450005
"320","yes",0,1,47,"no","no",1.1987233,14.6999998
"321","yes",0,0,47,"no","no",1.2702223,26.0900002
"322","yes",0,0,46,"no","no",0.4700036,9.8999996
"323","yes",0,4,34,"no","no",0.7999901,9.0480003
"324","yes",0,0,48,"no","no",1.5659528,30.75
"325","yes",0,1,30,"no","no",1.7589697,8.5
"326","yes",0,1,51,"no","no",0.8580216,22.25
"327","yes",0,5,52,"no","yes",0.6931472,42.9099998
"328","yes",0,2,37,"no","yes",0.6418539,33.2999992
"329","yes",0,2,32,"no","no",1.6337306,13.8199997
"330","yes",0,2,36,"yes","yes",1.7037485,23.6000004
"331","yes",0,2,35,"no","yes",1.8440101,13
"332","yes",0,0,45,"yes","yes",1.9661129,20.75
"333","yes",0,0,56,"no","no",0.8649974,6.3000002
"334","yes",0,2,40,"no","no",0.9332882,7.7890005
"335","yes",1,2,45,"no","yes",0.7792501,10.4699993
"336","yes",0,2,32,"no","no",0.9555114,12
"337","yes",0,0,45,"no","no",1.3162353,16.9799995
"338","yes",0,2,40,"no","no",1.4759065,17.8999996
"339","yes",0,1,38,"no","no",1.4913896,15.5400009
"340","yes",0,4,49,"no","no",1.4557482,9.8839998
"341","yes",0,1,47,"yes","yes",0.5108258,28.6000004
"342","yes",0,0,52,"yes","no",1.1804423,17.6599998
"343","yes",0,1,34,"yes","yes",1.688481,26.0000019
"344","yes",0,2,44,"no","no",0.7907302,13.6020002
"345","yes",0,3,36,"yes","yes",1.4017986,15.8000002
"346","yes",0,0,50,"yes","yes",-0.433636,41.0999985
"347","yes",0,0,45,"no","no",1.683176,10.7749996
"348","yes",0,2,44,"yes","yes",-1.7664415,9
"349","yes",0,2,57,"no","no",3.155581,24.3990002
"350","yes",0,0,35,"yes","yes",2.2595255,37.2999992
"351","yes",0,0,46,"no","no",1.3069208,28
"352","yes",2,1,30,"yes","yes",0.7985076,13.6999998
"353","yes",0,3,42,"no","no",0.5590276,17.210001
"354","yes",0,1,34,"no","yes",0.1479199,14
"355","yes",0,2,45,"yes","yes",1.9444993,35.7550011
"356","yes",1,2,35,"yes","yes",1.3783262,23.5
"357","yes",0,0,40,"yes","yes",3.0647252,32
"358","yes",0,1,32,"no","yes",-0.7419373,17.1499996
"359","yes",0,0,54,"no","no",0.765718,20.25
"360","yes",0,3,38,"no","no",0.6193811,5.4860001
"361","yes",0,3,43,"no","no",1.4654578,25.0750008
"362","yes",0,0,54,"yes","no",2.1892564,18.2199993
"363","yes",0,3,39,"yes","yes",1.0216513,26
"364","yes",0,1,37,"no","yes",0.9770272,34.5
"365","yes",0,2,46,"no","no",0.9162908,12.3999996
"366","yes",0,0,56,"no","no",2.9050782,10.7869987
"367","yes",0,3,41,"no","no",-0.1996555,16.323
"368","yes",0,1,45,"yes","yes",0.6931472,30.5
"369","yes",0,1,44,"yes","yes",2.7333677,51.3000069
"370","yes",0,1,50,"yes","yes",1.868332,33.0499992
"371","yes",0,5,37,"yes","yes",2.1202636,34.75
"372","yes",0,1,44,"no","no",1.5151978,16.3999996
"373","yes",0,2,32,"yes","yes",0.9146253,19.7000008
"374","yes",1,1,34,"no","no",1.4995565,6.5999985
"375","yes",0,2,32,"no","no",0.8030804,9.0200005
"376","yes",0,3,37,"no","yes",0.7280345,10.3999996
"377","yes",0,1,44,"yes","no",0.5163968,14.5199995
"378","yes",0,2,34,"yes","no",1.2264457,17.2000008
"379","yes",1,3,33,"no","yes",0.9162908,43
"380","yes",0,3,43,"no","no",1.3764663,13.8720007
"381","yes",0,2,35,"yes","no",1.8289676,-0.029
"382","yes",0,1,43,"yes","yes",1.3682758,16.7700005
"383","yes",0,0,34,"no","no",1.0647107,7.7999997
"384","yes",0,3,36,"no","no",1.4064971,14.499999
"385","yes",0,2,41,"no","no",1.0473189,7.9000001
"386","yes",0,0,41,"yes","yes",1.9480944,79.8000031
"387","yes",0,3,35,"no","no",1.0779932,7.1759992
"388","yes",1,3,32,"no","no",0.6539265,17.507
"389","yes",0,0,30,"yes","yes",1.9278916,20.6000004
"390","yes",0,0,43,"no","no",1.3610165,18.5599995
"391","yes",0,0,54,"no","no",0.6931472,9.3000002
"392","yes",0,2,35,"yes","no",1.6046872,5.1200004
"393","yes",0,0,50,"no","yes",0.1839228,14.5
"394","yes",1,1,34,"yes","yes",3.1135154,19.7999992
"395","yes",0,0,52,"yes","no",1.926825,18.3000011
"396","yes",0,3,35,"yes","yes",1.2701128,34
"397","yes",0,0,55,"no","no",0.682676,11.6279993
"398","yes",0,0,35,"yes","yes",1.6810741,11.7999992
"399","yes",0,1,49,"yes","yes",0.556288,39.0999985
"400","yes",2,2,38,"yes","no",1.6282244,18.4300003
"401","yes",0,2,42,"yes","yes",0.9162908,21
"402","yes",0,1,48,"no","no",1.3415585,59
"403","yes",0,0,51,"yes","yes",0,25.2999992
"404","yes",0,2,43,"no","no",1.1222221,23.2490005
"405","yes",0,1,43,"no","no",0.5401976,24.9279995
"406","yes",0,1,38,"no","yes",1.3915043,14.7819996
"407","yes",0,1,44,"no","no",1.6971768,18.8999996
"408","yes",1,3,36,"no","no",3.2188759,21
"409","yes",0,0,38,"no","no",0.8711703,10
"410","yes",0,0,47,"no","no",1.1673195,29.3099995
"411","yes",0,2,34,"no","no",1.2169925,13.1400003
"412","yes",1,2,40,"yes","yes",0.5753643,25.0900002
"413","yes",0,1,31,"no","no",1.1516048,14.6000004
"414","yes",0,0,46,"no","no",0.9942524,1.1999998
"415","yes",0,3,36,"yes","yes",0.5263296,32
"416","yes",1,2,39,"yes","no",-1.5432981,16.1200008
"417","yes",0,2,36,"yes","no",1.9120456,26.5
"418","yes",0,4,37,"no","no",0.5543109,12.75
"419","yes",0,4,39,"no","no",0.9162908,12.8999996
"420","yes",1,3,36,"no","no",1.5009363,10.6999998
"421","yes",0,2,49,"no","yes",0.94469,14.434001
"422","yes",1,1,45,"no","no",1.2412686,23.7089996
"423","yes",2,0,32,"yes","yes",1.5649862,15.0999994
"424","yes",0,5,36,"no","no",0.8380113,18.2000008
"425","yes",0,1,40,"no","no",1.6688613,22.6410007
"426","yes",0,2,43,"yes","no",1.7694349,21.6400013
"427","yes",0,1,33,"no","no",1.2264457,24
"428","yes",0,1,30,"no","no",1.4064971,16
"429","no",0,1,49,"no","yes",0.868948,21.0249996
"430","no",2,0,30,"yes","yes",1.4018365,23.6000004
"431","no",1,0,30,"no","yes",1.1174339,22.7999992
"432","no",0,4,41,"no","yes",0.8318294,35.9099998
"433","no",0,1,45,"no","yes",1.1690733,21.7000008
"434","no",0,5,43,"no","yes",0.942697,21.823
"435","no",0,1,42,"yes","yes",1.2022138,31
"436","no",0,0,60,"no","no",1.0930369,15.3000002
"437","no",0,0,57,"no","no",1.0061998,12.9250002
"438","no",0,2,38,"no","no",0.711668,15.8299999
"439","no",0,0,56,"no","no",0.974076,30.2000008
"440","no",0,3,32,"no","no",1.0163747,16.6000004
"441","no",0,1,49,"no","no",0.3405683,11
"442","no",0,0,55,"no","no",0.9520319,15
"443","no",1,1,36,"no","yes",0.4209535,20.5279999
"444","no",0,3,44,"no","no",0.8524491,13.1260004
"445","no",0,1,44,"no","no",0.8281056,15.5500002
"446","no",1,2,35,"yes","yes",1.1201084,18.0100002
"447","no",2,3,44,"yes","no",1.2789059,18.8740005
"448","no",0,1,45,"no","no",0.9068115,24.7999992
"449","no",1,0,34,"no","no",0.8718655,17.5
"450","no",2,0,30,"yes","yes",1.7003706,16.1499996
"451","no",0,1,39,"no","no",0.7517971,15.1890001
"452","no",0,2,36,"no","yes",0.9234089,6
"453","no",0,2,38,"yes","yes",1.4720492,37.25
"454","no",0,0,53,"no","yes",1.1203605,27.7600002
"455","no",0,2,36,"no","no",0.778245,9.0900002
"456","no",1,1,32,"no","no",1.0709316,14.5
"457","no",0,3,51,"no","no",0.9759441,19.7000008
"458","no",0,0,38,"no","no",0.8379935,16.7880001
"459","no",2,0,33,"no","no",1.0415969,18.5200005
"460","no",0,0,54,"no","no",1.1201659,20.9500008
"461","no",0,3,38,"no","no",0.5365883,7.5739999
"462","no",2,2,30,"no","yes",0.8188999,10.0270004
"463","no",2,3,34,"no","no",1.0694989,5
"464","no",0,1,34,"no","yes",0.4213425,7.04
"465","no",0,2,50,"no","no",0.9058391,40.7999992
"466","no",2,0,30,"yes","yes",1.5986567,16.0499992
"467","no",0,2,38,"no","yes",0.8710875,33.0999985
"468","no",0,0,54,"yes","yes",1.3315178,33.855999
"469","no",1,2,30,"no","yes",0.9452254,20.5
"470","no",0,0,55,"no","no",0.7888429,28.6000004
"471","no",0,1,51,"no","no",0.8548406,18.75
"472","no",0,1,44,"no","no",0.9764099,20.2999992
"473","no",0,0,53,"no","no",0.734675,13.4200001
"474","no",0,2,42,"no","no",0.5254625,18.3999996
"475","no",0,2,38,"no","no",1.2308719,16.6819992
"476","no",1,3,38,"yes","no",0.9767634,32.6850014
"477","no",1,4,41,"no","no",1.1698513,7.0500002
"478","no",0,3,35,"no","no",0.5554565,10.8669996
"479","no",1,2,33,"no","no",0.9785493,18.2199993
"480","no",0,0,48,"yes","yes",1.0267509,26.6130009
"481","no",0,0,47,"no","no",1.1215274,25
"482","no",0,5,34,"no","yes",0.7929273,15.6999998
"483","no",2,1,33,"yes","yes",1.0503179,40.25
