rownames,origin,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
23,EWR,2013,1,2,0,26.96,10.94,50.34,310,14.960139999999999,25.317159999999998,0,1016.3,10,2013-01-02T05:00:00Z
24,EWR,2013,1,2,1,26.06,10.94,52.25,330,12.658579999999999,24.166379999999997,0,1016.3,10,2013-01-02T06:00:00Z
25,EWR,2013,1,2,2,24.98,10.94,54.65,330,13.809359999999998,,0,1017,10,2013-01-02T07:00:00Z
26,EWR,2013,1,2,3,24.08,8.96,51.93,320,14.960139999999999,,0,1016.6,10,2013-01-02T08:00:00Z
27,EWR,2013,1,2,4,24.08,8.96,51.93,330,12.658579999999999,,0,1016.9,10,2013-01-02T09:00:00Z
28,EWR,2013,1,2,5,24.08,8.96,51.93,330,6.904679999999999,,0,1016.9,10,2013-01-02T10:00:00Z
29,EWR,2013,1,2,6,24.08,8.96,51.93,310,3.4523399999999995,,0,1017.2,10,2013-01-02T11:00:00Z
30,EWR,2013,1,2,7,24.98,10.04,52.5,300,6.904679999999999,,0,1017.6,10,2013-01-02T12:00:00Z
31,EWR,2013,1,2,8,24.98,10.04,52.5,280,9.20624,,0,1018.5,10,2013-01-02T13:00:00Z
32,EWR,2013,1,2,9,26.96,10.04,48.36,290,11.5078,,0,1019,10,2013-01-02T14:00:00Z
33,EWR,2013,1,2,10,28.94,10.94,46.41,280,9.20624,,0,1018.5,10,2013-01-02T15:00:00Z
34,EWR,2013,1,2,11,30.92,12.02,44.92,300,14.960139999999999,25.317159999999998,0,1017.5,10,2013-01-02T16:00:00Z
35,EWR,2013,1,2,12,32,12.92,44.74,290,12.658579999999999,23.0156,0,1017.1,10,2013-01-02T17:00:00Z
36,EWR,2013,1,2,13,33.98,12.92,41.33,290,16.11092,25.317159999999998,0,1017.3,10,2013-01-02T18:00:00Z
37,EWR,2013,1,2,14,33.98,10.94,37.86,310,17.261699999999998,26.46794,0,1017.8,10,2013-01-02T19:00:00Z
38,EWR,2013,1,2,15,33.98,12.02,39.72,310,13.809359999999998,20.714039999999997,0,1018.5,10,2013-01-02T20:00:00Z
39,EWR,2013,1,2,16,32,12.92,44.74,310,6.904679999999999,,0,1018.6,10,2013-01-02T21:00:00Z
40,EWR,2013,1,2,17,32,12.92,44.74,290,12.658579999999999,18.41248,0,1019.7,10,2013-01-02T22:00:00Z
41,EWR,2013,1,2,18,30.92,12.92,46.74,300,11.5078,,0,1020.3,10,2013-01-02T23:00:00Z
42,EWR,2013,1,2,19,30.92,14,49.01,290,6.904679999999999,,0,1020.4,10,2013-01-03T00:00:00Z
43,EWR,2013,1,2,20,30.02,14,50.84,280,9.20624,16.11092,0,1020.6,10,2013-01-03T01:00:00Z
44,EWR,2013,1,2,21,30.02,14,50.84,270,5.7539,,0,1021.2,10,2013-01-03T02:00:00Z
45,EWR,2013,1,2,22,28.94,15.08,55.69,270,8.05546,,0,1021.7,10,2013-01-03T03:00:00Z
46,EWR,2013,1,2,23,28.94,15.08,55.69,280,9.20624,,0,1022.2,10,2013-01-03T04:00:00Z
47,EWR,2013,1,3,0,28.04,15.08,57.79,290,8.05546,,0,1021.8,10,2013-01-03T05:00:00Z
48,EWR,2013,1,3,1,28.04,15.08,57.79,280,10.357019999999999,,0,1022.1,10,2013-01-03T06:00:00Z
49,EWR,2013,1,3,2,26.96,15.08,60.41,270,8.05546,,0,1022.3,10,2013-01-03T07:00:00Z
50,EWR,2013,1,3,3,26.96,15.08,60.41,280,6.904679999999999,,0,1022.1,10,2013-01-03T08:00:00Z
51,EWR,2013,1,3,4,26.06,15.08,62.7,290,5.7539,,0,1021.9,10,2013-01-03T09:00:00Z
52,EWR,2013,1,3,5,26.06,15.08,62.7,290,5.7539,,0,1022,10,2013-01-03T10:00:00Z
53,EWR,2013,1,3,6,26.06,15.98,65.21,310,6.904679999999999,,0,1022.4,10,2013-01-03T11:00:00Z
54,EWR,2013,1,3,7,26.06,15.98,65.21,320,5.7539,,0,1022.2,10,2013-01-03T12:00:00Z
55,EWR,2013,1,3,8,26.96,17.06,65.84,310,5.7539,,0,1022.4,10,2013-01-03T13:00:00Z
56,EWR,2013,1,3,9,28.04,17.06,62.97,290,5.7539,,0,1022.8,10,2013-01-03T14:00:00Z
57,EWR,2013,1,3,10,30.92,15.08,51.38,290,9.20624,,0,1022.1,10,2013-01-03T15:00:00Z
58,EWR,2013,1,3,11,30.92,14,49.01,,4.60312,,0,1021,10,2013-01-03T16:00:00Z
59,EWR,2013,1,3,12,33.08,12.92,42.84,260,8.05546,,0,1019.8,10,2013-01-03T17:00:00Z
60,EWR,2013,1,3,13,33.98,12.92,41.33,260,9.20624,,0,1019.1,10,2013-01-03T18:00:00Z
61,EWR,2013,1,3,14,33.98,12.92,41.33,240,8.05546,,0,1018.7,10,2013-01-03T19:00:00Z
62,EWR,2013,1,3,15,33.08,14,44.92,250,11.5078,,0,1018.8,10,2013-01-03T20:00:00Z
63,EWR,2013,1,3,16,32,14,46.92,270,10.357019999999999,,0,1018.9,10,2013-01-03T21:00:00Z
64,EWR,2013,1,3,17,30.02,15.08,53.29,240,9.20624,,0,1019.3,10,2013-01-03T22:00:00Z
65,EWR,2013,1,3,18,30.92,15.08,51.38,240,10.357019999999999,,0,1019.6,10,2013-01-03T23:00:00Z
66,EWR,2013,1,3,19,30.92,15.08,51.38,230,11.5078,,0,1019.6,10,2013-01-04T00:00:00Z
67,EWR,2013,1,3,20,30.92,15.08,51.38,240,11.5078,,0,1019.4,10,2013-01-04T01:00:00Z
68,EWR,2013,1,3,21,30.92,15.98,53.44,240,12.658579999999999,,0,1019,10,2013-01-04T02:00:00Z
69,EWR,2013,1,3,22,28.94,17.06,60.69,230,10.357019999999999,,0,1019,10,2013-01-04T03:00:00Z
70,EWR,2013,1,3,23,30.02,17.96,60.38,240,10.357019999999999,,0,1018.4,10,2013-01-04T04:00:00Z
71,EWR,2013,1,4,0,30.02,17.96,60.38,240,13.809359999999998,,0,1018,10,2013-01-04T05:00:00Z
72,EWR,2013,1,4,1,28.94,17.96,63.1,230,8.05546,,0,1018.1,10,2013-01-04T06:00:00Z
73,EWR,2013,1,4,2,30.02,19.04,63.24,240,10.357019999999999,,0,1018.3,10,2013-01-04T07:00:00Z
74,EWR,2013,1,4,3,28.94,19.04,66.09,250,11.5078,,0,1018.2,10,2013-01-04T08:00:00Z
75,EWR,2013,1,4,4,28.94,19.94,68.68,230,6.904679999999999,,0,1018.4,10,2013-01-04T09:00:00Z
76,EWR,2013,1,4,5,30.92,21.02,66.34,240,11.5078,,0,1018.4,10,2013-01-04T10:00:00Z
77,EWR,2013,1,4,6,33.08,21.02,60.81,230,16.11092,,0,1018.7,10,2013-01-04T11:00:00Z
78,EWR,2013,1,4,7,33.98,21.92,60.93,240,10.357019999999999,,0,1018.7,10,2013-01-04T12:00:00Z
79,EWR,2013,1,4,8,35.06,21.92,58.37,250,13.809359999999998,,0,1019,10,2013-01-04T13:00:00Z
80,EWR,2013,1,4,9,35.96,21.02,54.21,250,14.960139999999999,19.56326,0,1019,10,2013-01-04T14:00:00Z
81,EWR,2013,1,4,10,37.04,19.04,47.75,260,16.11092,27.618719999999996,0,1018.1,10,2013-01-04T15:00:00Z
82,EWR,2013,1,4,11,37.04,19.04,47.75,270,20.714039999999997,27.618719999999996,0,1016.9,10,2013-01-04T16:00:00Z
83,EWR,2013,1,4,12,39.92,19.94,44.33,260,17.261699999999998,25.317159999999998,0,1015.8,10,2013-01-04T17:00:00Z
84,EWR,2013,1,4,13,37.94,19.04,46.09,250,24.166379999999997,31.07106,0,1015.1,10,2013-01-04T18:00:00Z
85,EWR,2013,1,4,14,37.94,19.94,47.89,250,21.864819999999998,28.769499999999997,0,1014.7,10,2013-01-04T19:00:00Z
86,EWR,2013,1,4,15,37.94,19.94,47.89,250,18.41248,27.618719999999996,0,1014.6,10,2013-01-04T20:00:00Z
87,EWR,2013,1,4,16,37.04,19.94,49.62,250,17.261699999999998,25.317159999999998,0,1014.8,10,2013-01-04T21:00:00Z
88,EWR,2013,1,4,17,35.96,21.02,54.21,230,13.809359999999998,,0,1015.2,10,2013-01-04T22:00:00Z
89,EWR,2013,1,4,18,35.06,21.02,56.18,230,9.20624,,0,1015.4,10,2013-01-04T23:00:00Z
90,EWR,2013,1,4,19,35.06,21.02,56.18,240,11.5078,19.56326,0,1015.5,10,2013-01-05T00:00:00Z
91,EWR,2013,1,4,20,35.06,19.94,53.66,250,11.5078,,0,1015.3,10,2013-01-05T01:00:00Z
92,EWR,2013,1,4,21,35.06,19.94,53.66,250,13.809359999999998,,0,1015.7,10,2013-01-05T02:00:00Z
93,EWR,2013,1,4,22,33.98,19.04,53.91,250,11.5078,,0,1016.2,10,2013-01-05T03:00:00Z
94,EWR,2013,1,4,23,33.08,19.04,55.89,240,11.5078,,0,1016.6,10,2013-01-05T04:00:00Z
95,EWR,2013,1,5,0,33.08,17.96,53.36,260,10.357019999999999,,0,1017.1,10,2013-01-05T05:00:00Z
96,EWR,2013,1,5,1,33.08,17.06,51.33,270,10.357019999999999,,0,1017.7,10,2013-01-05T06:00:00Z
97,EWR,2013,1,5,2,32,17.06,53.6,280,12.658579999999999,,0,1018.8,10,2013-01-05T07:00:00Z
98,EWR,2013,1,5,3,32,17.06,53.6,290,18.41248,23.0156,0,1019.3,10,2013-01-05T08:00:00Z
99,EWR,2013,1,5,4,32,17.06,53.6,260,11.5078,,0,1020.2,10,2013-01-05T09:00:00Z
100,EWR,2013,1,5,5,32,17.06,53.6,240,12.658579999999999,,0,1021,10,2013-01-05T10:00:00Z
101,EWR,2013,1,5,6,33.08,17.96,53.36,250,10.357019999999999,,0,1022.4,10,2013-01-05T11:00:00Z
102,EWR,2013,1,5,7,32,19.04,58.37,250,9.20624,,0,1023,10,2013-01-05T12:00:00Z
103,EWR,2013,1,5,8,35.06,19.94,53.66,240,9.20624,20.714039999999997,0,1024.5,10,2013-01-05T13:00:00Z
104,EWR,2013,1,5,9,37.94,21.02,50.14,270,10.357019999999999,,0,1024.8,10,2013-01-05T14:00:00Z
105,EWR,2013,1,5,10,41,21.02,44.51,310,10.357019999999999,21.864819999999998,0,1024.9,10,2013-01-05T15:00:00Z
106,EWR,2013,1,5,11,42.08,19.94,40.77,320,14.960139999999999,26.46794,0,1024.6,10,2013-01-05T16:00:00Z
107,EWR,2013,1,5,12,42.98,19.94,39.38,310,13.809359999999998,,0,1023.9,10,2013-01-05T17:00:00Z
108,EWR,2013,1,5,13,44.06,19.94,37.79,290,11.5078,19.56326,0,1023.6,10,2013-01-05T18:00:00Z
109,EWR,2013,1,5,14,44.06,19.94,37.79,310,9.20624,16.11092,0,1024,10,2013-01-05T19:00:00Z
110,EWR,2013,1,5,15,42.98,19.04,37.9,310,8.05546,,0,1024.1,10,2013-01-05T20:00:00Z
111,EWR,2013,1,5,16,41,19.94,42.51,310,4.60312,,0,1024,10,2013-01-05T21:00:00Z
112,EWR,2013,1,5,17,39.92,19.94,44.33,280,4.60312,,0,1024.7,10,2013-01-05T22:00:00Z
113,EWR,2013,1,5,18,39.02,21.92,49.93,240,8.05546,,0,1025,10,2013-01-05T23:00:00Z
114,EWR,2013,1,5,19,35.96,21.92,56.32,240,6.904679999999999,,0,1024.8,10,2013-01-06T00:00:00Z
115,EWR,2013,1,5,20,33.98,21.92,60.93,240,4.60312,,0,1024.2,10,2013-01-06T01:00:00Z
116,EWR,2013,1,5,21,33.08,23,66.11,220,4.60312,,0,1024.1,10,2013-01-06T02:00:00Z
117,EWR,2013,1,5,22,33.08,23,66.11,210,4.60312,,0,1023.3,10,2013-01-06T03:00:00Z
118,EWR,2013,1,5,23,32,23,69.04,210,4.60312,,0,1022.8,10,2013-01-06T04:00:00Z
119,EWR,2013,1,6,0,33.98,23,63.77,210,5.7539,,0,1023.3,10,2013-01-06T05:00:00Z
120,EWR,2013,1,6,1,33.98,23,63.77,230,9.20624,,0,1023.4,10,2013-01-06T06:00:00Z
121,EWR,2013,1,6,2,33.98,23,63.77,200,4.60312,,0,1022.5,10,2013-01-06T07:00:00Z
122,EWR,2013,1,6,3,33.98,24.08,66.72,200,5.7539,,0,1021.7,10,2013-01-06T08:00:00Z
123,EWR,2013,1,6,4,33.08,28.04,81.5,200,8.05546,,0,1020.5,10,2013-01-06T09:00:00Z
124,EWR,2013,1,6,5,33.8,30.2,88.37,210,5.7539,,0,,6,2013-01-06T10:00:00Z
125,EWR,2013,1,6,6,33.98,30.92,88.42,210,5.7539,,0,1020.3,6,2013-01-06T11:00:00Z
126,EWR,2013,1,6,7,35.06,32,93.03,230,9.20624,,0,,6,2013-01-06T12:00:00Z
127,EWR,2013,1,6,8,35.96,32,86.59,240,8.05546,,0,,6,2013-01-06T13:00:00Z
128,EWR,2013,1,6,9,37.4,32,86.59,230,11.5078,,0,,8,2013-01-06T14:00:00Z
129,EWR,2013,1,6,10,39.92,30.92,74.98,250,11.5078,,0,,9,2013-01-06T15:00:00Z
130,EWR,2013,1,6,11,42.98,30.02,59.93,240,10.357019999999999,,0,1017.4,10,2013-01-06T16:00:00Z
131,EWR,2013,1,6,12,46.04,28.94,51.03,250,10.357019999999999,,0,1016.3,10,2013-01-06T17:00:00Z
132,EWR,2013,1,6,13,46.94,26.96,45.48,240,13.809359999999998,19.56326,0,1015.5,10,2013-01-06T18:00:00Z
133,EWR,2013,1,6,14,48.02,24.98,40.22,250,14.960139999999999,18.41248,0,1015.1,10,2013-01-06T19:00:00Z
134,EWR,2013,1,6,15,46.94,24.08,40.35,260,11.5078,,0,1015,10,2013-01-06T20:00:00Z
135,EWR,2013,1,6,16,44.96,26.06,47.23,260,6.904679999999999,,0,1015.5,10,2013-01-06T21:00:00Z
136,EWR,2013,1,6,17,44.06,26.06,48.87,270,8.05546,,0,1016,10,2013-01-06T22:00:00Z
137,EWR,2013,1,6,18,44.06,24.98,46.73,250,10.357019999999999,,0,1016.5,10,2013-01-06T23:00:00Z
138,EWR,2013,1,6,19,42.98,24.98,48.7,260,10.357019999999999,,0,1016.6,10,2013-01-07T00:00:00Z
139,EWR,2013,1,6,20,42.98,26.06,50.94,270,10.357019999999999,,0,1016.5,10,2013-01-07T01:00:00Z
140,EWR,2013,1,6,21,42.08,26.06,52.73,270,10.357019999999999,,0,1016.7,10,2013-01-07T02:00:00Z
141,EWR,2013,1,6,22,41,26.96,57.06,270,6.904679999999999,,0,1017.2,10,2013-01-07T03:00:00Z
142,EWR,2013,1,6,23,39.92,26.96,59.5,270,9.20624,,0,1017.6,10,2013-01-07T04:00:00Z
143,EWR,2013,1,7,0,39.92,26.96,59.5,260,8.05546,,0,1018.1,10,2013-01-07T05:00:00Z
144,EWR,2013,1,7,1,37.94,26.96,64.29,270,8.05546,,0,1018.7,10,2013-01-07T06:00:00Z
145,EWR,2013,1,7,2,35.96,26.96,69.51,280,6.904679999999999,,0,1019.3,10,2013-01-07T07:00:00Z
146,EWR,2013,1,7,3,37.04,28.04,69.63,260,6.904679999999999,,0,1019.8,10,2013-01-07T08:00:00Z
147,EWR,2013,1,7,4,35.96,28.04,72.66,280,9.20624,,0,1020.6,10,2013-01-07T09:00:00Z
148,EWR,2013,1,7,5,35.06,26.96,72.03,290,4.60312,,0,1021.7,10,2013-01-07T10:00:00Z
149,EWR,2013,1,7,6,35.96,28.04,72.66,270,6.904679999999999,,0,1023.1,10,2013-01-07T11:00:00Z
150,EWR,2013,1,7,7,37.94,28.94,69.73,250,8.05546,,0,1024.1,10,2013-01-07T12:00:00Z
151,EWR,2013,1,7,8,39.92,28.94,64.54,280,5.7539,,0,1025.1,10,2013-01-07T13:00:00Z
152,EWR,2013,1,7,9,44.06,26.96,50.73,300,13.809359999999998,23.0156,0,1025.9,10,2013-01-07T14:00:00Z
153,EWR,2013,1,7,10,44.96,24.08,43.49,320,14.960139999999999,21.864819999999998,0,1026.5,10,2013-01-07T15:00:00Z
154,EWR,2013,1,7,11,46.04,23,39.9,300,11.5078,20.714039999999997,0,1026.6,10,2013-01-07T16:00:00Z
155,EWR,2013,1,7,12,46.94,21.92,36.85,300,14.960139999999999,24.166379999999997,0,1026.9,10,2013-01-07T17:00:00Z
156,EWR,2013,1,7,13,46.04,19.94,35.05,360,11.5078,,0,1027.1,10,2013-01-07T18:00:00Z
157,EWR,2013,1,7,14,46.94,19.94,33.88,290,11.5078,20.714039999999997,0,1027.6,10,2013-01-07T19:00:00Z
158,EWR,2013,1,7,15,44.96,17.96,33.55,320,8.05546,,0,1028.4,10,2013-01-07T20:00:00Z
159,EWR,2013,1,7,16,42.98,17.96,36.18,330,6.904679999999999,,0,1028.8,10,2013-01-07T21:00:00Z
160,EWR,2013,1,7,17,42.08,17.96,37.46,320,3.4523399999999995,,0,1029.1,10,2013-01-07T22:00:00Z
161,EWR,2013,1,7,18,41,19.04,40.9,310,4.60312,,0,1029.3,10,2013-01-07T23:00:00Z
162,EWR,2013,1,7,19,39.92,21.02,46.41,0,0,,0,1029.3,10,2013-01-08T00:00:00Z
163,EWR,2013,1,7,20,39.92,21.02,46.41,0,0,,0,1029.1,10,2013-01-08T01:00:00Z
164,EWR,2013,1,7,21,37.04,24.08,59.09,0,0,,0,1028.9,10,2013-01-08T02:00:00Z
165,EWR,2013,1,7,22,35.96,23,58.94,230,3.4523399999999995,,0,1029.3,10,2013-01-08T03:00:00Z
166,EWR,2013,1,7,23,32,23,69.04,210,6.904679999999999,,0,1029.2,10,2013-01-08T04:00:00Z
167,EWR,2013,1,8,0,32,23,69.04,210,3.4523399999999995,,0,1029.2,10,2013-01-08T05:00:00Z
168,EWR,2013,1,8,1,32,24.08,72.24,210,6.904679999999999,,0,1029,10,2013-01-08T06:00:00Z
169,EWR,2013,1,8,2,32,24.98,75,190,3.4523399999999995,,0,1028.7,10,2013-01-08T07:00:00Z
170,EWR,2013,1,8,3,30.92,26.06,81.95,190,4.60312,,0,1028.2,10,2013-01-08T08:00:00Z
171,EWR,2013,1,8,4,30.02,24.98,81.27,240,4.60312,,0,1028.6,10,2013-01-08T09:00:00Z
172,EWR,2013,1,8,5,28.94,24.08,81.8,210,4.60312,,0,1028.9,10,2013-01-08T10:00:00Z
173,EWR,2013,1,8,6,30.92,24.98,78.35,0,0,,0,1029.2,9,2013-01-08T11:00:00Z
174,EWR,2013,1,8,7,30.02,24.98,81.27,210,5.7539,,0,1030,8,2013-01-08T12:00:00Z
175,EWR,2013,1,8,8,35.06,26.96,72.03,240,6.904679999999999,,0,1030.5,9,2013-01-08T13:00:00Z
176,EWR,2013,1,8,9,39.02,28.94,66.85,230,9.20624,,0,1030.3,9,2013-01-08T14:00:00Z
177,EWR,2013,1,8,10,44.06,28.94,55.02,220,13.809359999999998,,0,1029.7,9,2013-01-08T15:00:00Z
178,EWR,2013,1,8,11,46.04,30.02,53.33,230,10.357019999999999,,0,1028.2,10,2013-01-08T16:00:00Z
179,EWR,2013,1,8,12,46.94,30.02,51.55,230,14.960139999999999,25.317159999999998,0,1027.9,10,2013-01-08T17:00:00Z
180,EWR,2013,1,8,13,48.92,30.02,47.86,240,11.5078,,0,1027.6,10,2013-01-08T18:00:00Z
181,EWR,2013,1,8,14,48.92,30.02,47.86,220,11.5078,,0,1027.9,10,2013-01-08T19:00:00Z
182,EWR,2013,1,8,15,48.92,28.04,44.14,240,11.5078,,0,1027.7,10,2013-01-08T20:00:00Z
183,EWR,2013,1,8,16,46.04,28.04,49.19,230,10.357019999999999,,0,1027.8,10,2013-01-08T21:00:00Z
184,EWR,2013,1,8,17,44.06,28.94,55.02,220,6.904679999999999,,0,1028.1,10,2013-01-08T22:00:00Z
185,EWR,2013,1,8,18,39.92,30.92,69.96,220,8.05546,,0,1028.7,10,2013-01-08T23:00:00Z
186,EWR,2013,1,8,19,39.92,30.92,69.96,200,5.7539,,0,1028.7,10,2013-01-09T00:00:00Z
187,EWR,2013,1,8,20,39.02,30.02,69.86,210,5.7539,,0,1028.6,10,2013-01-09T01:00:00Z
188,EWR,2013,1,8,21,37.94,28.94,69.73,210,3.4523399999999995,,0,1028.6,10,2013-01-09T02:00:00Z
189,EWR,2013,1,8,22,37.94,28.94,69.73,210,4.60312,,0,1029.3,10,2013-01-09T03:00:00Z
190,EWR,2013,1,8,23,37.04,28.94,72.24,230,4.60312,,0,1029.2,10,2013-01-09T04:00:00Z
191,EWR,2013,1,9,0,35.96,28.94,75.39,0,0,,0,1029.1,10,2013-01-09T05:00:00Z
192,EWR,2013,1,9,1,33.98,28.94,81.57,0,0,,0,1028.7,10,2013-01-09T06:00:00Z
193,EWR,2013,1,9,2,35.06,28.94,78.13,0,0,,0,1028.5,10,2013-01-09T07:00:00Z
194,EWR,2013,1,9,3,35.96,30.02,78.79,0,0,,0,1028.4,10,2013-01-09T08:00:00Z
195,EWR,2013,1,9,4,35.96,28.94,75.39,0,0,,0,1028.2,10,2013-01-09T09:00:00Z
196,EWR,2013,1,9,5,35.06,28.94,78.13,0,0,,0,1028,9,2013-01-09T10:00:00Z
197,EWR,2013,1,9,6,35.06,28.94,78.13,0,0,,0,1028.4,9,2013-01-09T11:00:00Z
198,EWR,2013,1,9,7,33.98,30.02,85.24,260,4.60312,,0,1029,6,2013-01-09T12:00:00Z
199,EWR,2013,1,9,8,37.04,30.92,78.31,0,0,,0,1028.7,7,2013-01-09T13:00:00Z
200,EWR,2013,1,9,9,42.08,32,67.22,0,0,,0,1028.3,7,2013-01-09T14:00:00Z
201,EWR,2013,1,9,10,44.06,33.08,65.07,170,3.4523399999999995,,0,1026.4,7,2013-01-09T15:00:00Z
202,EWR,2013,1,9,11,46.94,33.98,60.47,230,5.7539,,0,1025.9,7,2013-01-09T16:00:00Z
203,EWR,2013,1,9,12,46.04,33.98,62.56,200,9.20624,,0,1024.1,9,2013-01-09T17:00:00Z
204,EWR,2013,1,9,13,46.94,33.98,60.47,270,8.05546,,0,1024.7,9,2013-01-09T18:00:00Z
205,EWR,2013,1,9,14,46.94,35.06,63.13,180,8.05546,,0,1021.1,8,2013-01-09T19:00:00Z
206,EWR,2013,1,9,15,48.92,37.04,63.39,210,13.809359999999998,20.714039999999997,0,1020.7,9,2013-01-09T20:00:00Z
207,EWR,2013,1,9,16,50,37.04,60.89,240,11.5078,20.714039999999997,0,1021,10,2013-01-09T21:00:00Z
208,EWR,2013,1,9,17,48.92,37.04,63.39,240,12.658579999999999,,0,1021.7,10,2013-01-09T22:00:00Z
209,EWR,2013,1,9,18,48.02,37.04,65.56,250,10.357019999999999,,0,1022.1,10,2013-01-09T23:00:00Z
210,EWR,2013,1,9,19,46.94,37.04,68.28,260,11.5078,,0,1022.6,10,2013-01-10T00:00:00Z
211,EWR,2013,1,9,20,44.96,37.04,73.59,230,11.5078,,0,1022.5,10,2013-01-10T01:00:00Z
212,EWR,2013,1,9,21,44.06,35.96,72.98,230,12.658579999999999,,0,1022.5,10,2013-01-10T02:00:00Z
213,EWR,2013,1,9,22,44.06,35.06,70.42,240,12.658579999999999,,0,1023,10,2013-01-10T03:00:00Z
214,EWR,2013,1,9,23,42.98,33.08,67.81,220,8.05546,,0,1023.7,10,2013-01-10T04:00:00Z
215,EWR,2013,1,10,0,41,32,70.08,230,8.05546,,0,1024.6,10,2013-01-10T05:00:00Z
216,EWR,2013,1,10,1,39.02,30.02,69.86,210,9.20624,,0,1025.9,10,2013-01-10T06:00:00Z
217,EWR,2013,1,10,2,39.02,28.94,66.85,230,6.904679999999999,,0,1026.9,10,2013-01-10T07:00:00Z
218,EWR,2013,1,10,3,39.92,26.96,59.5,270,5.7539,,0,1027.5,10,2013-01-10T08:00:00Z
219,EWR,2013,1,10,4,41,26.06,54.97,320,6.904679999999999,,0,1028.2,10,2013-01-10T09:00:00Z
220,EWR,2013,1,10,5,41,26.06,54.97,300,12.658579999999999,20.714039999999997,0,1029,10,2013-01-10T10:00:00Z
221,EWR,2013,1,10,6,39.92,24.98,54.81,280,6.904679999999999,17.261699999999998,0,1030,10,2013-01-10T11:00:00Z
222,EWR,2013,1,10,7,41,24.98,52.56,330,6.904679999999999,,0,1031.4,10,2013-01-10T12:00:00Z
223,EWR,2013,1,10,8,42.98,24.98,48.7,330,8.05546,,0,1032.2,10,2013-01-10T13:00:00Z
224,EWR,2013,1,10,9,44.96,23,41.56,320,17.261699999999998,26.46794,0,1032.7,10,2013-01-10T14:00:00Z
225,EWR,2013,1,10,10,44.96,21.92,39.72,320,11.5078,,0,1032.8,10,2013-01-10T15:00:00Z
226,EWR,2013,1,10,11,46.94,21.92,36.85,330,13.809359999999998,23.0156,0,1032,10,2013-01-10T16:00:00Z
227,EWR,2013,1,10,12,48.92,21.92,34.21,320,14.960139999999999,20.714039999999997,0,1031.3,10,2013-01-10T17:00:00Z
228,EWR,2013,1,10,13,50,21.92,32.86,310,12.658579999999999,18.41248,0,1031.5,10,2013-01-10T18:00:00Z
229,EWR,2013,1,10,14,50,21.92,32.86,300,11.5078,19.56326,0,1031.9,10,2013-01-10T19:00:00Z
