"","faa","name","lat","lon","alt","tz","dst","tzone"
"32","2G9","Somerset County Airport",40.0388708,-79.0149951,2275,-5,"A","America/New_York"
"33","2H0","Shelby County Airport",39.410556,-88.845556,550,-6,"A","America/Chicago"
"34","2J9","Quincy Municipal Airport",30.5978708,-84.557425,225,-5,"A","America/New_York"
"35","369","Atmautluak Airport",60.866667,-162.273056,18,-9,"A","America/Anchorage"
"36","36U","Heber City Municipal Airport",40.4818056,-111.4288056,5637,-7,"A","America/Denver"
"37","38W","Lynden Airport",48.9558961,-122.4581183,106,-8,"A","America/Los_Angeles"
"38","3D2","Ephraim-Gibraltar Airport",45.1354167,-87.1879444,773,-6,"A","America/Chicago"
"39","3G3","Wadsworth Municipal",41.0031572,-81.7564401,974,-5,"A","America/New_York"
"40","3G4","Ashland County Airport",40.9029722,-82.2556389,1206,-5,"A","America/New_York"
"41","3J1","Ridgeland Airport",32.4934167,-80.99175,79,-5,"A","America/New_York"
"42","3W2","Put-in-Bay Airport",41.3521,-82.497,595,-5,"A","America/New_York"
"43","40J","Perry-Foley Airport",30.0692778,-83.5805833,44,-5,"A","America/New_York"
"44","41N","Braceville Airport",41.2111675,-80.9692572,900,-5,"A","America/New_York"
"45","47A","Cherokee County Airport",34.3122175,-84.4221556,1219,-5,"A","America/New_York"
"46","49A","Gilmer County Airport",34.6282222,-84.5265833,1486,-5,"A","America/New_York"
"47","49X","Chemehuevi Valley",34.528889,-114.431971,638,-8,"A","America/Los_Angeles"
"48","4A4","Polk County Airport - Cornelius Moore Field",34.0186944,-85.1464722,974,-5,"A","America/New_York"
"49","4A7","Clayton County Tara Field",33.389099,-84.332397,874,-5,"A","America/New_York"
"50","4A9","Isbell Field Airport",34.4736944,-85.7213889,877,-6,"A","America/Chicago"
"51","4B8","Robertson Field",41.6893333,-72.8646944,202,-5,"A","America/New_York"
"52","4G0","Pittsburgh-Monroeville Airport",40.4526389,-79.7749167,1187,-5,"A","America/New_York"
"53","4G2","Hamburg Inc Airport",42.7008925,-78.9147569,751,-5,"A","America/New_York"
"54","4G4","Youngstown Elser Metro Airport",40.9617953,-80.6773264,1070,-5,"A","America/New_York"
"55","4I7","Putnam County Airport",39.6335556,-86.8138056,842,-5,"U","America/New_York"
"56","4U9","Dell Flight Strip",44.7357483,-112.7200133,6007,-7,"A","America/Denver"
"57","52A","Madison GA Municipal Airport",33.612125,-83.4604444,694,-5,"A","America/New_York"
"58","54J","DeFuniak Springs Airport",30.7311111,-86.1537778,289,-6,"A","America/Chicago"
"59","55J","Fernandina Beach Municipal Airport",30.6118333,-81.4611944,16,-5,"A","America/New_York"
"60","55S","Packwood",46.3625,-121.4067,1057,-8,"A","America/Los_Angeles"
"61","57C","East Troy Municipal Airport",42.7971667,-88.3726111,860,-6,"A","America/Chicago"
"62","5B2","Saratoga County Airport",43.050722,-73.861638,433,-5,"A","America/New_York"
"63","60J","Ocean Isle Beach Airport",33.9085056,-78.4366722,32,-5,"U","America/New_York"
"64","6A2","Griffin-Spalding County Airport",33.2269722,-84.2749444,958,-5,"A","America/New_York"
"65","6J4","Saluda County",33.5561,-81.4768,539,-5,"A","America/New_York"
"66","6K8","Tok Junction Airport",63.329444,-142.953611,1639,-9,"A","America/Anchorage"
"67","6S0","Big Timber Airport",45.8063889,-109.9811111,4492,-7,"A","America/Denver"
"68","6S2","Florence",43.9828168,-124.1113687,51,-8,"A","America/Los_Angeles"
"69","6Y8","Welke Airport",45.721111,-85.520278,664,-5,"A","America/New_York"
"70","70J","Cairo-Grady County Airport",30.8879767,-84.1547353,265,-5,"A","America/New_York"
"71","70N","Spring Hill Airport",41.3473569,-75.4158972,1729,-5,"A","America/New_York"
"72","7A4","Foster Field",42.4664444,-90.1693889,990,-6,"A","America/Chicago"
"73","7D9","Germack Airport",41.7778322,-80.9039797,820,-5,"A","America/New_York"
"74","7N7","Spitfire Aerodrome",39.7355633,-75.3977211,40,-5,"A","America/New_York"
"75","8M8","Garland Airport",44.8065278,-84.2761944,1218,-5,"A","America/New_York"
"76","93C","Richland Airport",43.2833575,-90.2982819,742,-6,"A","America/Chicago"
"77","99N","Bamberg County Airport",33.3045278,-81.1084167,231,-5,"A","America/New_York"
"78","9A1","Covington Municipal Airport",33.6323083,-83.8474472,809,-5,"A","America/New_York"
"79","9A5","Barwick Lafayette Airport",34.6884792,-85.2903319,777,-5,"A","America/New_York"
"80","9G1","Rock Airport",40.6035463,-79.8261189,1063,-5,"A","America/New_York"
"81","A39","Phoenix Regional Airport",32.99169921875,-111.920997619629,1300,-7,"A","America/Phoenix"
"82","A50","Colorado Springs East",38.87,-104.41,6145,-7,"A","America/Denver"
"83","AAF","Apalachicola Regional Airport",29.7276066,-85.0274416,20,-5,"A","America/New_York"
"84","AAP","Andrau Airport",29.43,-95.35,80,-6,"A","America/Chicago"
"85","ABE","Lehigh Valley Intl",40.652083,-75.440806,393,-5,"A","America/New_York"
"86","ABI","Abilene Rgnl",32.411319,-99.681897,1791,-6,"A","America/Chicago"
"87","ABL","Ambler Airport",67.106389,-157.8575,334,-9,"A","America/Anchorage"
"88","ABQ","Albuquerque International Sunport",35.0402222,-106.6091944,5355,-7,"A","America/Denver"
"89","ABR","Aberdeen Regional Airport",45.4491,-98.4218,1302,-6,"A","America/Chicago"
"90","ABY","Southwest Georgia Regional Airport",31.5355,-84.1945,197,-5,"A","America/New_York"
"91","ACJ","Jimmy Carter Regional",32.0665,-84.1133,468,-5,"A","America/New_York"
"92","ACK","Nantucket Mem",41.253053,-70.060181,48,-5,"A","America/New_York"
"93","ACT","Waco Rgnl",31.611289,-97.230519,516,-6,"A","America/Chicago"
"94","ACV","Arcata",40.978111,-124.108611,221,-8,"A","America/Los_Angeles"
"95","ACY","Atlantic City Intl",39.457583,-74.577167,75,-5,"A","America/New_York"
"96","ADK","Adak Airport",51.878,-176.646,18,-9,"A","America/Anchorage"
"97","ADM","Ardmore Muni",34.300833,-97.008889,762,-6,"A","America/Chicago"
"98","ADQ","Kodiak",57.749967,-152.493856,78,-9,"A","America/Anchorage"
"99","ADS","Addison",32.9685594,-96.8364478,644,-6,"A","America/Chicago"
"100","ADW","Andrews Afb",38.810806,-76.867028,280,-5,"A","America/New_York"
"101","AET","Allakaket Airport",66.5519,-152.6222,441,-9,"A","America/Anchorage"
"102","AEX","Alexandria Intl",31.3274,-92.549833,89,-6,"A","America/Chicago"
"103","AFE","Kake Airport",56.961389,-133.910278,172,-9,"A","America/Anchorage"
"104","AFW","Fort Worth Alliance Airport",32.987778,-97.318889,722,-6,"A","America/Chicago"
"105","AGC","Allegheny County Airport",40.3544,-79.9302,1252,-5,"A","America/New_York"
"106","AGN","Angoon Seaplane Base",57.503611,-134.585,0,-9,"A","America/Anchorage"
"107","AGS","Augusta Rgnl At Bush Fld",33.369944,-81.9645,144,-5,"A","America/New_York"
"108","AHN","Athens Ben Epps Airport",33.9486,-83.3263,808,-5,"A","America/New_York"
"109","AIA","Alliance Municipal Airport",42.053333,-102.803889,3931,-7,"A","America/Denver"
"110","AIK","Municipal Airport",33.6493889,-81.6850278,529,-5,"A","America/New_York"
"111","AIN","Wainwright Airport",70.638056,-159.994722,41,-9,"A","America/Anchorage"
"112","AIZ","Lee C Fine Memorial Airport",38.096035,-92.5494875,869,-6,"A","America/Chicago"
"113","AKB","Atka Airport",52.220278,-174.206389,56,-9,"A","America/Anchorage"
"114","AKC","Akron Fulton Intl",41.0375,-81.466917,1067,-5,"A","America/New_York"
"115","AKI","Akiak Airport",60.902778,-161.230556,30,-9,"A","America/Anchorage"
"116","AKK","Akhiok Airport",56.938611,-154.1825,44,-9,"A","America/Anchorage"
"117","AKN","King Salmon",58.676778,-156.649278,68,-9,"A","America/Anchorage"
"118","AKP","Anaktuvuk Pass Airport",68.1336,-151.743,2103,-9,"A","America/Anchorage"
"119","ALB","Albany Intl",42.748267,-73.801692,285,-5,"A","America/New_York"
"120","ALI","Alice Intl",27.740889,-98.026944,178,-6,"A","America/Chicago"
"121","ALM","Alamogordo White Sands Regional Airport",32.8399,-105.991,4200,-7,"A","America/Denver"
"122","ALO","Waterloo Regional Airport",42.5571,-92.4003,873,-6,"A","America/Chicago"
"123","ALS","San Luis Valley Regional Airport",37.435,-105.866667,7539,-7,"A","America/Denver"
"124","ALW","Walla Walla Regional Airport",46.0949,-118.288,1191,-8,"A","America/Los_Angeles"
"125","ALX","Alexandria",38.806346,-77.0621,1,-5,"A","America/New_York"
"126","ALZ","Alitak Seaplane Base",56.899444,-154.247778,0,-9,"A","America/Anchorage"
"127","AMA","Rick Husband Amarillo Intl",35.219369,-101.705931,3607,-6,"A","America/Chicago"
"128","ANB","Anniston Metro",33.588167,-85.858111,612,-6,"A","America/Chicago"
"129","ANC","Ted Stevens Anchorage Intl",61.174361,-149.996361,152,-9,"A","America/Anchorage"
"130","AND","Anderson Rgnl",34.494583,-82.709389,782,-5,"A","America/New_York"
"131","ANI","Aniak Airport",61.5816,-159.543,88,-9,"A","America/Anchorage"
"132","ANN","Annette Island",55.042436,-131.572233,119,-9,"A","America/Anchorage"
"133","ANP","Lee Airport",38.942778,-76.568333,34,-5,"A","America/New_York"
"134","ANQ","Tri-State Steuben County Airport",41.6396983,-85.0834933,995,-5,"A","America/New_York"
"135","ANV","Anvik Airport",62.6467,-160.191,309,-9,"A","America/Anchorage"
"136","AOH","Lima Allen County Airport",40.707478,-84.0270781,975,-5,"A","America/New_York"
"137","AOO","Altoona Blair Co",40.296372,-78.320022,1504,-5,"A","America/New_York"
"138","AOS","Amook Bay Seaplane Base",57.471389,-153.815278,0,-9,"A","America/Anchorage"
"139","APA","Centennial",39.570129,-104.849294,5883,-7,"A","America/Denver"
"140","APC","Napa County Airport",38.2131944,-122.2806944,35,-8,"A","America/Los_Angeles"
"141","APF","Naples Muni",26.152619,-81.775294,8,-5,"A","America/New_York"
"142","APG","Phillips Aaf",39.466219,-76.168808,57,-5,"A","America/New_York"
"143","APN","Alpena County Regional Airport",45.0781,-83.5603,689,-5,"A","America/New_York"
"144","AQC","Klawock Seaplane Base",55.554658,-133.101693,0,-9,"A","America/Anchorage"
"145","ARA","Acadiana Rgnl",30.037758,-91.883896,24,-6,"A","America/Chicago"
"146","ARB","Ann Arbor Municipal Airport",42.132274,-83.444418,839,-5,"A","America/New_York"
"147","ARC","Arctic Village Airport",68.1147,-145.579,2092,-9,"A","America/Anchorage"
"148","ART","Watertown Intl",43.991922,-76.021739,325,-5,"A","America/New_York"
"149","ARV","Lakeland",45.927778,-89.730833,1629,-6,"A","America/Chicago"
"150","ASE","Aspen Pitkin County Sardy Field",39.2232,-106.869,7820,-7,"A","America/Denver"
"151","ASH","Boire Field Airport",42.78175,-71.5147778,199,-5,"A","America/New_York"
"152","AST","Astoria Regional Airport",46.157972,-123.878694,15,-8,"A","America/Los_Angeles"
"153","ATK","Atqasuk Edward Burnell Sr Memorial Airport",70.4673,-157.436,96,-9,"A","America/Anchorage"
"154","ATL","Hartsfield Jackson Atlanta Intl",33.636719,-84.428067,1026,-5,"A","America/New_York"
"155","ATT","Camp Mabry Austin City",30.31666,-97.7666,0,-6,"A","America/Chicago"
"156","ATW","Appleton",44.257526,-88.507576,680,-6,"A","America/Chicago"
"157","ATY","Watertown Regional Airport",44.914,-97.1547,1748,-6,"A","America/Chicago"
"158","AUG","Augusta State",44.320647,-69.797317,352,-5,"A","America/New_York"
"159","AUK","Alakanuk Airport",62.68,-164.66,10,-9,"A","America/Anchorage"
"160","AUO","Auburn University Regional",32.3691,-85.2604,777,-6,"A","America/Chicago"
"161","AUS","Austin Bergstrom Intl",30.194528,-97.669889,542,-6,"A","America/Chicago"
"162","AUW","Wausau Downtown Airport",44.9262845,-89.6270018,1201,-6,"U","America/Chicago"
"163","AVL","Asheville Regional Airport",35.436194,-82.541806,2165,-5,"A","America/New_York"
"164","AVO","Executive",27.591389,-81.528889,160,-5,"A","America/New_York"
"165","AVP","Wilkes Barre Scranton Intl",41.338478,-75.723403,962,-5,"A","America/New_York"
"166","AVW","Marana Regional",32.409556,-111.218388,2031,-7,"U","America/Phoenix"
"167","AVX","Avalon",33.405,-118.415833,1602,-8,"A","America/Los_Angeles"
"168","AZA","Phoenix-Mesa Gateway",33.307833,-111.655,1382,-7,"N","America/Phoenix"
"169","AZO","Kalamazoo",42.234875,-85.552058,874,-5,"A","America/New_York"
"170","BAB","Beale Afb",39.136089,-121.436567,113,-8,"A","America/Los_Angeles"
"171","BAD","Barksdale Afb",32.50182,-93.662674,166,-6,"A","America/Chicago"
"172","BAF","Barnes Municipal",42.1579472,-72.715875,270,-5,"A","America/New_York"
"173","BBX","Wings Field",40.1375,-75.265,302,-5,"A","America/New_York"
"174","BCE","Bryce Canyon",37.706444,-112.145806,7590,-7,"A","America/Denver"
"175","BCT","Boca Raton",26.3785,-80.107694,13,-5,"A","America/New_York"
"176","BDE","Baudette Intl",48.728444,-94.612222,1086,-6,"A","America/Chicago"
"177","BDL","Bradley Intl",41.938889,-72.683222,173,-5,"A","America/New_York"
"178","BDR","Igor I Sikorsky Mem",41.163472,-73.126167,9,-5,"A","America/New_York"
"179","BEC","Beech Factory Airport",37.6939167,-97.2149167,1409,-6,"A","America/Chicago"
"180","BED","Laurence G Hanscom Fld",42.469953,-71.289031,133,-5,"A","America/New_York"
"181","BEH","Southwest Michigan Regional Airport",42.1285833,-86.4285,643,-5,"A","America/New_York"
"182","BET","Bethel",60.779778,-161.838,121,-9,"A","America/Anchorage"
"183","BFD","Bradford Regional Airport",41.8031,-78.6401,2143,-5,"A","America/New_York"
"184","BFF","Western Nebraska Regional Airport",41.874,-103.596,3967,-7,"A","America/Denver"
"185","BFI","Boeing Fld King Co Intl",47.53,-122.301947,21,-8,"A","America/Los_Angeles"
"186","BFL","Meadows Fld",35.433598,-119.05677,507,-8,"A","America/Los_Angeles"
"187","BFM","Mobile Downtown",30.626783,-88.068092,26,-6,"A","America/Chicago"
"188","BFP","Beaver Falls",40.7724722,-80.3914444,1253,-5,"A","America/New_York"
"189","BFT","Beaufort",32.477411,-80.723161,37,-5,"A","America/New_York"
"190","BGE","Decatur County Industrial Air Park",30.9715981,-84.6369278,141,-5,"A","America/New_York"
"191","BGM","Greater Binghamton Edwin A Link Fld",42.208689,-75.979839,1636,-5,"A","America/New_York"
"192","BGR","Bangor Intl",44.807444,-68.828139,192,-5,"A","America/New_York"
"193","BHB","Hancock County - Bar Harbor",44.4497689,-68.3615653,83,-5,"A","America/New_York"
"194","BHM","Birmingham Intl",33.562942,-86.75355,644,-6,"A","America/Chicago"
"195","BID","Block Island State Airport",41.168056,-71.577778,108,-5,"A","America/New_York"
"196","BIF","Biggs Aaf",31.849528,-106.380039,3948,-7,"A","America/Denver"
"197","BIG","Allen Aaf",63.994547,-145.721642,1291,-9,"A","America/Anchorage"
"198","BIL","Billings Logan International Airport",45.80921,-108.537654,3652,-7,"A","America/Denver"
"199","BIS","Bismarck Municipal Airport",46.775842,-100.757931,1661,-6,"A","America/Chicago"
"200","BIV","Tulip City Airport",42.7427778,-86.1078333,698,-5,"A","America/New_York"
"201","BIX","Keesler Afb",30.410425,-88.924433,33,-6,"A","America/Chicago"
"202","BJC","Rocky Mountain Metropolitan Airport",39.90888888,-105.11722222,5670,-7,"A","America/Denver"
"203","BJI","Bemidji Regional Airport",47.510722,-94.934722,1391,-6,"A","America/Chicago"
"204","BKC","Buckland Airport",65.981667,-161.149167,31,-9,"A","America/Anchorage"
"205","BKD","Stephens Co",32.719047,-98.891,1284,-6,"A","America/Chicago"
"206","BKF","Buckley Afb",39.701668,-104.75166,5662,-7,"A","America/Denver"
"207","BKG","Branson LLC",36.531994,-93.200556,1302,-6,"A","America/Chicago"
"208","BKH","Barking Sands Pmrf",22.022833,-159.785,23,-10,"A","Pacific/Honolulu"
"209","BKL","Burke Lakefront Airport",41.5175,-81.683333,583,-5,"A","America/New_York"
"210","BKW","Raleigh County Memorial Airport",37.7873,-81.1242,2504,-5,"A","America/New_York"
"211","BKX","Brookings Regional Airport",44.3048,-96.8169,1648,-6,"A","America/Chicago"
"212","BLD","Boulder City Municipal Airport",35.5651,-114.514,2201,-7,"U","America/Phoenix"
"213","BLF","Mercer County Airport",37.2958,-81.2077,2857,-5,"A","America/New_York"
"214","BLH","Blythe Airport",33.619167,-114.716889,399,-8,"A","America/Los_Angeles"
"215","BLI","Bellingham Intl",48.792694,-122.537528,170,-8,"A","America/Los_Angeles"
"216","BLV","Scott Afb Midamerica",38.545178,-89.835183,459,-6,"A","America/Chicago"
"217","BMC","Brigham City",41.552,-112.062,4229,-7,"A","America/Denver"
"218","BMG","Monroe County Airport",39.1460208,-86.6166805,846,-5,"A","America/New_York"
"219","BMI","Central Illinois Rgnl",40.477111,-88.915917,871,-6,"A","America/Chicago"
"220","BMT","Beaumont Municipal",30.0702044,-94.2150967,32,-6,"A","America/Chicago"
"221","BMX","Big Mountain Afs",59.361247,-155.258822,663,-9,"A","America/Anchorage"
"222","BNA","Nashville Intl",36.124472,-86.678194,599,-6,"A","America/Chicago"
"223","BOI","Boise Air Terminal",43.564361,-116.222861,2871,-7,"A","America/Denver"
"224","BOS","General Edward Lawrence Logan Intl",42.364347,-71.005181,19,-5,"A","America/New_York"
"225","BOW","Bartow Municipal Airport",27.9434,-81.7834,125,-5,"U","America/New_York"
"226","BPT","Southeast Texas Rgnl",29.950833,-94.020694,15,-6,"A","America/Chicago"
"227","BQK","Brunswick Golden Isles Airport",31.2588,-81.4665,26,-5,"A","America/New_York"
"228","BRD","Brainerd Lakes Rgnl",46.398308,-94.138078,1226,-6,"U","America/Chicago"
"229","BRL","Southeast Iowa Regional Airport",40.7832,-91.1255,698,-6,"A","America/Chicago"
"230","BRO","Brownsville South Padre Island Intl",25.906833,-97.425861,22,-6,"A","America/Chicago"
"231","BRW","Wiley Post Will Rogers Mem",71.285446,-156.766003,44,-9,"A","America/Anchorage"
"232","BSF","Bradshaw Aaf",19.760056,-155.553717,6190,-10,"A","Pacific/Honolulu"
"233","BTI","Barter Island Lrrs",70.133989,-143.581867,2,-9,"A","America/Anchorage"
"234","BTM","Bert Mooney Airport",45.954806,-112.497472,5550,-7,"A","America/Denver"
"235","BTR","Baton Rouge Metro Ryan Fld",30.533167,-91.149639,70,-6,"A","America/Chicago"
"236","BTT","Bettles",66.913944,-151.529056,644,-9,"A","America/Anchorage"
"237","BTV","Burlington Intl",44.471861,-73.153278,335,-5,"A","America/New_York"
"238","BUF","Buffalo Niagara Intl",42.940525,-78.732167,724,-5,"A","America/New_York"
"239","BUR","Bob Hope",34.200667,-118.358667,778,-8,"A","America/Los_Angeles"
"240","BUU","Municipal Airport",42.6907171,-88.3046825,780,-6,"A","America/Chicago"
"241","BUY","Burlington-Alamance Regional Airport",36.0485433,-79.4748892,617,-5,"A","America/New_York"
"242","BVY","Beverly Municipal Airport",42.584141,-70.9161444,107,-5,"A","America/New_York"
"243","BWD","KBWD",31.7936111,-98.9565,1387,-6,"A","America/Chicago"
"244","BWG","Bowling Green-Warren County Regional Airport",36.9645278,-86.4196667,547,-6,"A","America/Chicago"
"245","BWI","Baltimore Washington Intl",39.175361,-76.668333,146,-5,"A","America/New_York"
"246","BXK","Buckeye Municipal Airport",33.420417,-112.68618,1033,-7,"U","America/Phoenix"
"247","BXS","Borrego Valley Airport",33.2590278,-116.3209722,520,-8,"A","America/Los_Angeles"
"248","BYH","Arkansas Intl",35.964347,-89.943956,254,-6,"A","America/Chicago"
"249","BYS","Bicycle Lake Aaf",35.280531,-116.630031,2350,-8,"A","America/Los_Angeles"
"250","BYW","Blakely Island Airport",48.56025,-122.80243,0,-8,"A","America/Los_Angeles"
"251","BZN","Gallatin Field",45.777643,-111.160151,4500,-7,"A","America/Denver"
"252","C02","Grand Geneva Resort Airport",42.6149167,-88.3895833,835,-6,"U","America/Chicago"
"253","C16","Frasca Field",40.144979,-88.200197,735,-6,"A","America/Chicago"
"254","C47","Portage Municipal Airport",43.5603136,-89.4828607,825,-6,"U","America/Chicago"
"255","C65","Plymouth Municipal Airport",41.3651307,-86.3002574,800,-5,"A","America/New_York"
"256","C89","Sylvania Airport",42.70325,-87.9589722,785,-6,"A","America/Chicago"
"257","C91","Dowagiac Municipal Airport",41.9929342,-86.1280125,748,-5,"U","America/New_York"
"258","CAE","Columbia Metropolitan",33.938833,-81.119528,236,-5,"A","America/New_York"
"259","CAK","Akron Canton Regional Airport",40.9160833,-81.4421944,1228,-5,"A","America/New_York"
"260","CAR","Caribou Muni",46.8715,-68.017917,626,-5,"A","America/New_York"
"261","CBE","Greater Cumberland Rgnl.",39.615278,-78.760556,775,-5,"A","America/New_York"
"262","CBM","Columbus Afb",33.643833,-88.443833,219,-6,"A","America/Chicago"
"263","CCO","Coweta County Airport",33.3115656,-84.7697554,970,-5,"A","America/New_York"
"264","CCR","Buchanan Field Airport",37.9896667,-122.0568889,26,-8,"A","America/Los_Angeles"
"265","CDB","Cold Bay",55.206061,-162.725436,96,-9,"A","America/Anchorage"
"266","CDC","Cedar City Rgnl",37.700967,-113.098847,5622,-7,"A","America/Denver"
"267","CDI","Cambridge Municipal Airport",39.9750278,-81.5775833,799,-5,"U","America/New_York"
"268","CDK","CedarKey",29.1342222,-83.0504722,11,-5,"A","America/New_York"
"269","CDN","Woodward Field",34.2835833,-80.5648611,302,-5,"A","America/New_York"
"270","CDR","Chadron Municipal Airport",42.8375,-103.095556,3297,-7,"A","America/Denver"
"271","CDS","Childress Muni",34.433781,-100.287992,1954,-6,"A","America/Chicago"
"272","CDV","Merle K Mudhole Smith",60.491778,-145.477556,48,-9,"A","America/Anchorage"
"273","CDW","Caldwell Essex County Airport",40.8752222,-74.2813611,172,-5,"A","America/New_York"
"274","CEC","Del Norte County Airport",41.7802,-124.237,57,-8,"A","America/Los_Angeles"
"275","CEF","Westover Arb Metropolitan",42.194014,-72.534783,241,-5,"A","America/New_York"
"276","CEM","Central Airport",65.573889,-144.780833,937,-9,"A","America/Anchorage"
"277","CEU","Clemson",34.6722222,-82.8858889,891,-5,"A","America/New_York"
"278","CEW","Bob Sikes",30.778833,-86.522111,213,-6,"A","America/Chicago"
"279","CEZ","Cortez Muni",37.303,-108.628056,5918,-7,"A","America/Denver"
"280","CFD","Coulter Fld",30.715694,-96.331361,367,-6,"A","America/Chicago"
"281","CGA","Craig Seaplane Base",55.478889,-133.147778,0,-9,"A","America/Anchorage"
"282","CGC","Crystal River",28.8676111,-82.5741111,9,-5,"A","America/New_York"
"283","CGF","Cuyahoga County",41.565124,-81.4863555,879,-5,"A","America/New_York"
"284","CGI","Cape Girardeau Regional Airport",37.2253,-89.5708,342,-6,"A","America/Chicago"
"285","CGX","Meigs Field",41.860278,-87.609722,585,-6,"A","America/Chicago"
"286","CGZ","Casa Grande Municipal Airport",32.954889,-111.766832,1464,-7,"U","America/Phoenix"
"287","CHA","Lovell Fld",35.035278,-85.203808,683,-5,"A","America/New_York"
"288","CHI","All Airports",41.883611,-87.631667,596,-6,"A","America/Chicago"
"289","CHO","Charlottesville-Albemarle",38.138639,-78.452861,639,-5,"A","America/New_York"
"290","CHS","Charleston Afb Intl",32.898647,-80.040528,45,-5,"A","America/New_York"
"291","CHU","Chuathbaluk Airport",61.579167,-159.215556,243,-9,"A","America/Anchorage"
"292","CIC","Chico Muni",39.795383,-121.858422,238,-8,"A","America/Los_Angeles"
"293","CID","Cedar Rapids",41.884694,-91.710806,869,-6,"A","America/Chicago"
"294","CIK","Chalkyitsik Airport",66.645,-143.74,544,-9,"A","America/Anchorage"
"295","CIL","Council Airport",64.897778,-163.703333,85,-9,"A","America/Anchorage"
"296","CIU","Chippewa County International Airport",46.2508,-84.4724,800,-5,"A","America/New_York"
"297","CKB","Harrison Marion Regional Airport",39.2966,-80.2281,1217,-5,"A","America/New_York"
"298","CKD","Crooked Creek Airport",61.867778,-158.135,178,-9,"A","America/Anchorage"
"299","CKF","Crisp County Cordele Airport",31.9888333,-83.7739167,310,-5,"A","America/New_York"
"300","CKV","Clarksville-Montgomery County Regional Airport",36.621944,-87.415,550,-6,"A","America/Chicago"
"301","CLC","Clear Lake Metroport",29.5569,-95.137497,35,-6,"A","America/Chicago"
"302","CLD","McClellan-Palomar Airport",33.0742,-117.1648,328,-8,"A","America/Los_Angeles"
"303","CLE","Cleveland Hopkins Intl",41.411689,-81.849794,791,-5,"A","America/New_York"
"304","CLL","Easterwood Fld",30.588583,-96.363833,321,-6,"A","America/Chicago"
"305","CLM","William R Fairchild International Airport",48.1202,-123.5,291,-8,"A","America/Los_Angeles"
"306","CLS","Chehalis-Centralia",46.4062,-122.5897,177,-8,"A","America/Los_Angeles"
"307","CLT","Charlotte Douglas Intl",35.214,-80.943139,748,-5,"A","America/New_York"
"308","CLW","Clearwater Air Park",27.9764722,-82.7586667,70,-5,"A","America/New_York"
"309","CMH","Port Columbus Intl",39.997972,-82.891889,815,-5,"A","America/New_York"
