rownames,season,player,possessions,draymond
61,2018,Alex Abrines,2578.298,-0.6406532
62,2019,Alex Abrines,1288.455,-1.124739
63,2018,Alex Caruso,1217.667,1.459116
64,2019,Alex Caruso,1137.778,4.17129
65,2015,Alex Kirk,29.53125,-11.54336
66,2014,Alex Len,760.4263,-2.645275
67,2015,Alex Len,3170.09,1.204752
68,2016,Alex Len,3811.581,0.6525376
69,2017,Alex Len,3358.225,1.541873
70,2018,Alex Len,3026.859,0.5535545
71,2019,Alex Len,3488.797,0.4024043
72,2017,Alex Poythress,327.345,-1.035528
73,2018,Alex Poythress,214.24,0.9690092
74,2019,Alex Poythress,681.7385,1.195631
75,2016,Alex Stepheson,152.8567,6.570402
76,2014,Alexey Shved,1362.445,-0.4379106
77,2015,Alexey Shved,1577.03,-2.374654
78,2014,Alexis Ajinca,1878.819,-1.231676
79,2015,Alexis Ajinca,1886.48,0.918018
80,2016,Alexis Ajinca,1792.136,0.0424595
81,2017,Alexis Ajinca,1235.282,0.5436447
82,2018,Alfonzo McKinnie,114.0604,2.833355
83,2019,Alfonzo McKinnie,2708.746,-0.2212932
84,2019,Alize Johnson,148,3.423944
85,2014,Allen Crabbe,210.4583,-0.9351667
86,2015,Allen Crabbe,1483.248,0.8822076
87,2016,Allen Crabbe,5025.327,0.3728356
88,2017,Allen Crabbe,4891.046,-0.6799405
89,2018,Allen Crabbe,4657.182,0.8271663
90,2019,Allen Crabbe,2443.739,1.085181
91,2019,Allonzo Trier,3104.326,-0.9024433
92,2014,Alonzo Gee,2079.95,-1.231118
93,2015,Alonzo Gee,1396.54,1.703337
94,2016,Alonzo Gee,3404.08,-0.4750712
95,2017,Alonzo Gee,203.5504,2.313927
96,2014,Amar'e Stoudemire,2799.755,0.0625684
97,2015,Amar'e Stoudemire,2633.586,1.099141
98,2016,Amar'e Stoudemire,1688.715,1.678418
99,2019,Amile Jefferson,147.9567,-2.662952
100,2014,Amir Johnson,4662.681,0.4759569
101,2015,Amir Johnson,4151.016,0.1203203
102,2016,Amir Johnson,4033.257,0.8365323
103,2017,Amir Johnson,3577.901,1.915634
104,2018,Amir Johnson,2786.456,1.458153
105,2019,Amir Johnson,1224.958,-1.439458
106,2014,Anderson Varejao,3529.5,0.047936
107,2015,Anderson Varejao,1242.32,-0.508446
108,2016,Anderson Varejao,1227.077,-1.221853
109,2017,Anderson Varejao,197.3017,-2.458655
110,2014,Andray Blatche,3532.228,-0.9680415
111,2015,Andre Dawkins,43.12917,8.610134
112,2014,Andre Drummond,5245.639,-0.3000934
113,2015,Andre Drummond,4944.056,0.5762386
114,2016,Andre Drummond,5609.562,-0.2815954
115,2017,Andre Drummond,4822.015,-1.048324
116,2018,Andre Drummond,5378.516,-0.0915594
117,2019,Andre Drummond,5708.754,1.014774
118,2014,Andre Iguodala,4652.563,-0.3161691
119,2015,Andre Iguodala,5579.277,0.6548673
120,2016,Andre Iguodala,5284.902,-1.00842
121,2017,Andre Iguodala,5156.421,0.1916146
122,2018,Andre Iguodala,4296.783,0.7089451
123,2019,Andre Iguodala,4742.006,0.5223963
124,2018,Andre Ingram,142.7067,-0.4649389
125,2019,Andre Ingram,34.35625,1.737955
126,2014,Andre Miller,2129.992,-0.152516
127,2015,Andre Miller,2472.937,1.051351
128,2016,Andre Miller,952.1881,-0.8241724
129,2014,Andre Roberson,835.7681,-0.3315544
130,2015,Andre Roberson,2676.219,2.306452
131,2016,Andre Roberson,4172.076,2.079207
132,2017,Andre Roberson,5343.956,2.848248
133,2018,Andre Roberson,2119.153,0.6397376
134,2014,Andrea Bargnani,2409.25,-1.010836
135,2015,Andrea Bargnani,1552.828,-2.263379
136,2016,Andrea Bargnani,1299.7,-3.087138
137,2014,Andrei Kirilenko,1957.478,-0.9425939
138,2015,Andrei Kirilenko,73.6875,2.307151
139,2014,Andrew Bogut,3645.246,1.655811
140,2015,Andrew Bogut,4152.807,2.510708
141,2016,Andrew Bogut,3808.699,2.206501
142,2017,Andrew Bogut,1153.698,0.6186568
143,2018,Andrew Bogut,464.67,1.802759
144,2019,Andrew Bogut,662.2256,2.202198
145,2014,Andrew Bynum,1034.01,1.367192
146,2016,Andrew Goudelock,133.2717,1.892868
147,2017,Andrew Harrison,3149.685,0.865516
148,2018,Andrew Harrison,2647.028,0.4766314
149,2019,Andrew Harrison,383.9919,-3.097328
150,2014,Andrew Nicholson,2357.539,-0.1337364
151,2015,Andrew Nicholson,980.8225,-0.2680864
152,2016,Andrew Nicholson,1678.92,0.4094994
153,2017,Andrew Nicholson,703.5156,-0.2353014
154,2018,Andrew White III,455.2717,-2.468737
155,2015,Andrew Wiggins,5926.248,-1.092563
156,2016,Andrew Wiggins,5780.091,-0.1313312
157,2017,Andrew Wiggins,6148.07,-1.525159
158,2018,Andrew Wiggins,6404.738,-0.3053623
159,2019,Andrew Wiggins,5400.167,0.142695
160,2014,Andris Biedrins,92.35313,-3.435771
161,2019,Anfernee Simons,338.6006,-2.806055
162,2019,Angel Delgado,33.0125,1.467119
163,2014,Antawn Jamison,515.9434,-0.6930863
164,2018,Ante Zizic,503.8656,0.5383138
165,2019,Ante Zizic,2259.126,-0.4402087
166,2014,Anthony Bennett,1367.299,-1.894187
167,2015,Anthony Bennett,1848.345,-2.552391
168,2016,Anthony Bennett,180.4775,-9.058456
169,2017,Anthony Bennett,576.675,-2.51266
170,2016,Anthony Brown,1217.218,0.8353338
171,2017,Anthony Brown,318.4934,1.68781
172,2018,Anthony Brown,10.71417,-11.67658
173,2014,Anthony Davis,4631.505,1.240198
174,2015,Anthony Davis,5135.391,2.287045
175,2016,Anthony Davis,4452.43,1.403481
176,2017,Anthony Davis,5602.739,2.259874
177,2018,Anthony Davis,6648.167,3.207572
178,2019,Anthony Davis,4013.729,1.154147
179,2014,Anthony Morrow,2810.408,-1.47194
180,2015,Anthony Morrow,3731.271,-1.146495
181,2016,Anthony Morrow,2076.963,-0.9434649
182,2017,Anthony Morrow,1565.73,-1.048718
183,2014,Anthony Randolph,1128,0.429688
184,2014,Anthony Tolliver,2659.459,0.1838065
185,2015,Anthony Tolliver,2883.957,-1.327804
186,2016,Anthony Tolliver,2754.027,1.29436
187,2017,Anthony Tolliver,3024.157,-1.40762
188,2018,Anthony Tolliver,3612.831,1.774496
189,2019,Anthony Tolliver,2328.167,-0.404532
190,2018,Antonio Blakeney,655.7366,0.3104241
191,2019,Antonio Blakeney,1767.843,-4.08464
192,2018,Antonius Cleveland,267.5556,-4.956103
193,2014,Archie Goodwin,1116.302,1.563641
194,2015,Archie Goodwin,1099.871,-0.9821848
195,2016,Archie Goodwin,2352.861,-2.762505
196,2017,Archie Goodwin,452.7038,-2.055451
197,2014,Arinze Onuaku,61.25729,-3.493101
198,2015,Arinze Onuaku,138.975,0.1101236
199,2017,Arinze Onuaku,56.32666,-4.471751
200,2014,Arnett Moultrie,407.8548,1.2529
201,2014,Aron Baynes,1222.682,-0.0083244
202,2015,Aron Baynes,2388.48,1.509869
203,2016,Aron Baynes,2626.788,-0.0452236
204,2017,Aron Baynes,2409.348,2.717027
205,2018,Aron Baynes,3803.767,2.715094
206,2019,Aron Baynes,2032.594,2.17148
207,2014,Arron Afflalo,5065.188,-1.736261
208,2015,Arron Afflalo,5152.402,0.4833177
209,2016,Arron Afflalo,4674.822,-0.2199857
210,2017,Arron Afflalo,3163.95,-2.214272
211,2018,Arron Afflalo,1410.319,0.4262567
212,2014,Austin Daye,317.2702,-1.81861
213,2015,Austin Daye,718.5025,-1.0589
214,2014,Austin Rivers,2638.667,-0.1821463
215,2015,Austin Rivers,3704.959,-1.354018
216,2016,Austin Rivers,3373.585,2.067886
217,2017,Austin Rivers,4402.34,0.3515468
218,2018,Austin Rivers,4213.85,-0.4428546
219,2019,Austin Rivers,4753.252,0.1088961
220,2014,Avery Bradley,3716.956,-1.0746
221,2015,Avery Bradley,5257.806,-0.7967757
222,2016,Avery Bradley,5346.738,-0.1717675
223,2017,Avery Bradley,5034.262,-0.7749345
224,2018,Avery Bradley,2934.981,-0.9791553
225,2019,Avery Bradley,4044.191,0.4150857
226,2016,Axel Toupane,618.6417,1.500412
227,2017,Axel Toupane,96.55083,1.486451
228,2019,BJ Johnson,109.7196,-4.907263
229,2018,Bam Adebayo,2954.994,1.03855
230,2019,Bam Adebayo,4005.742,0.7348471
231,2017,Ben Bentil,23.81667,-9.73349
232,2014,Ben Gordon,552.4781,0.9308009
233,2015,Ben Gordon,1590.204,-1.463186
234,2014,Ben McLemore,4409.083,-1.838292
235,2015,Ben McLemore,5422.881,0.3247414
236,2016,Ben McLemore,3127.402,-0.7067087
237,2017,Ben McLemore,2387.035,-1.045275
238,2018,Ben McLemore,2244.733,-2.162794
239,2019,Ben McLemore,365.8687,-2.747262
240,2018,Ben Moore,19.875,-2.115493
241,2018,Ben Simmons,6597.155,1.224182
242,2019,Ben Simmons,6761.323,0.9704571
243,2014,Beno Udrih,1495.606,-0.5536793
244,2015,Beno Udrih,3315.171,-0.7343823
245,2016,Beno Udrih,1420.639,0.0741362
246,2017,Beno Udrih,1125.6,-1.639477
247,2014,Bernard James,327.5925,-1.103183
248,2015,Bernard James,330.5283,4.249223
249,2019,Billy Garrett,137.55,-1.740131
250,2014,Bismack Biyombo,2193.703,1.770315
251,2015,Bismack Biyombo,2442.236,1.04355
252,2016,Bismack Biyombo,4554.06,1.440235
253,2017,Bismack Biyombo,3612.148,-0.4636807
254,2018,Bismack Biyombo,3087.175,0.7512486
255,2019,Bismack Biyombo,1631.087,0.0141299
256,2014,Blake Griffin,6767.099,0.2133805
257,2015,Blake Griffin,5882.581,0.3489613
258,2016,Blake Griffin,2658.044,-0.4353958
259,2017,Blake Griffin,4409.112,0.4784661
260,2018,Blake Griffin,4070.221,0.9182305
261,2019,Blake Griffin,5537.955,-0.6091988
262,2016,Boban Marjanovic,1101.105,1.558926
263,2017,Boban Marjanovic,603.9463,1.803168
264,2018,Boban Marjanovic,727.5981,1.18208
265,2019,Boban Marjanovic,1735.128,3.0188990000000002
266,2017,Bobby Brown,319.0952,1.514174
267,2018,Bobby Brown,248.1365,-3.849244
268,2016,Bobby Portis,2261.855,1.97858
269,2017,Bobby Portis,2292.621,0.8749169
270,2018,Bobby Portis,3463.991,-1.289332
271,2019,Bobby Portis,2772.841,-1.499604
272,2018,Bogdan Bogdanovic,4407.547,-1.100377
273,2019,Bogdan Bogdanovic,4204.709,-0.4795555
274,2015,Bojan Bogdanovic,4101.675,0.223174
275,2016,Bojan Bogdanovic,4311.956,-2.454811
276,2017,Bojan Bogdanovic,5010.472,-0.8448923
277,2018,Bojan Bogdanovic,5554.766,-0.4630767
278,2019,Bojan Bogdanovic,5658.639,-0.3173191
279,2019,Bonzie Colson,228.3808,-4.752103
280,2014,Boris Diaw,5235.049,0.0818633
281,2015,Boris Diaw,4359.212,-0.2401635
282,2016,Boris Diaw,3176.88,0.6921547
283,2017,Boris Diaw,2911.503,-0.7692227
284,2019,Brad Wanamaker,778.8312,-0.44691
285,2014,Bradley Beal,5839.12,0.8649276
286,2015,Bradley Beal,5005.667,-0.1336765
287,2016,Bradley Beal,3592.849,-0.4436967
288,2017,Bradley Beal,6577.491,-0.0944418
289,2018,Bradley Beal,6543.007,-0.2539472
290,2019,Bradley Beal,6504.522,-0.7976942
291,2014,Brandan Wright,2352.931,-0.5692205
292,2015,Brandan Wright,2956.421,0.3272774
293,2016,Brandan Wright,430.7575,0.3759861
294,2017,Brandan Wright,909.8988,2.289301
295,2018,Brandan Wright,788.2238,0.5897183
296,2016,Branden Dawson,58.27187,-7.402748
297,2014,Brandon Bass,4508.396,0.8161092
298,2015,Brandon Bass,4143.017,-0.3347345
299,2016,Brandon Bass,2757.251,-0.4168868
300,2017,Brandon Bass,1207.296,-1.138305
301,2014,Brandon Davies,1224.99,-0.9601179
302,2015,Brandon Davies,882.8431,-3.693831
303,2019,Brandon Goodwin,126.3856,-3.641491
304,2017,Brandon Ingram,4768.333,-1.359275
305,2018,Brandon Ingram,4196.463,0.2755511
306,2019,Brandon Ingram,3850,1.148983
307,2014,Brandon Jennings,5523.632,-1.321382
308,2015,Brandon Jennings,2362.862,-1.387827
309,2016,Brandon Jennings,1822.062,1.163918
310,2017,Brandon Jennings,4128.536,-1.610031
311,2018,Brandon Jennings,448.8156,-3.180542
312,2014,Brandon Knight,4706,-1.051872
313,2015,Brandon Knight,4154.715,-0.4301431
314,2016,Brandon Knight,3913.754,-0.8380009
315,2017,Brandon Knight,2436.988,-0.4488597
316,2019,Brandon Knight,1545.823,-1.462342
317,2018,Brandon Paul,1229.537,-0.3282866
318,2014,Brandon Rush,831.0363,-4.093122
319,2015,Brandon Rush,609.0025,-3.728351
320,2016,Brandon Rush,2477.126,-0.1441366
321,2017,Brandon Rush,2070.729,1.528256
322,2019,Brandon Sampson,444.8525,-1.619589
323,2015,Brendan Haywood,250.3963,3.69022
324,2014,Brian Roberts,3298.924,0.4544957
325,2015,Brian Roberts,2629.521,1.114989
326,2016,Brian Roberts,1057.007,0.6481064
327,2017,Brian Roberts,839.9733,-1.429307
328,2016,Briante Weber,352.696,-3.947102
329,2017,Briante Weber,400.5759,-5.821869
330,2018,Briante Weber,507.5631,-7.717921
331,2017,Brice Johnson,19.53,5.905331
332,2018,Brice Johnson,219.5675,3.932705
333,2014,Brook Lopez,1045.679,3.288444
334,2015,Brook Lopez,4617.813,1.346657
335,2016,Brook Lopez,4969.794,1.310023
336,2017,Brook Lopez,4810.63,0.8435237
337,2018,Brook Lopez,3716.515,1.261595
338,2019,Brook Lopez,6039.569,2.531657
339,2019,Bruce Brown,3135.498,2.207396
340,2015,Bruno Caboclo,45.18063,-10.36303
341,2016,Bruno Caboclo,89.66396,-2.349551
342,2017,Bruno Caboclo,83.375,14.17573
343,2018,Bruno Caboclo,213.9506,4.007223
344,2019,Bruno Caboclo,1678.167,0.9077687
345,2015,Bryce Cotton,340.6575,-3.360849
346,2016,Bryce Cotton,81.4875,-8.125449
347,2016,Bryce Dejean-Jones,563.8707,-2.566566
348,2017,Bryn Forbes,745.1081,-0.7328264
349,2018,Bryn Forbes,3239.555,-0.0900144
350,2019,Bryn Forbes,5199.527,-1.823379
351,2017,Buddy Hield,3910.11,-1.737076
352,2018,Buddy Hield,4080.468,-0.6634462
353,2019,Buddy Hield,5743.739,-0.2196209
354,2014,Byron Mullens,872.604,-3.948068
355,2014,C.J. Watson,3084.156,0.5975937
356,2015,C.J. Watson,2878.069,0.9813545
357,2016,C.J. Watson,1388.123,-2.397736
358,2017,C.J. Watson,2095.472,-1.347875
359,2018,C.J. Williams,1496.042,0.7927682
360,2019,C.J. Williams,270.64,-2.327097
361,2014,CJ McCollum,1042.648,1.582489
362,2015,CJ McCollum,2322.621,2.0834
363,2016,CJ McCollum,6642.746,0.1722853
364,2017,CJ McCollum,6097.783,-0.6698294
365,2018,CJ McCollum,6346.93,0.4851325
366,2019,CJ McCollum,6339.989,0.6987391
367,2014,CJ Miles,1975.79,-1.157207
368,2015,CJ Miles,3728.025,1.032112
369,2016,CJ Miles,3281.08,0.4374782
370,2017,CJ Miles,3802.85,-0.5584466
371,2018,CJ Miles,3277.35,-0.3672993
372,2019,CJ Miles,1872.709,0.4898161
373,2015,CJ Wilcox,212.4156,-6.240419
374,2016,CJ Wilcox,366.9008,3.210024
375,2017,CJ Wilcox,224.5725,-3.534526
376,2018,Caleb Swanigan,416.9662,-0.7033982
377,2019,Caleb Swanigan,382.9458,0.3930628
378,2015,Cameron Bairstow,132.4667,1.038977
379,2016,Cameron Bairstow,224.8833,2.96853
380,2016,Cameron Payne,1574.687,-0.5835651
381,2017,Cameron Payne,968.9387,-0.3349701
382,2018,Cameron Payne,1228.02,0.7915258
383,2019,Cameron Payne,1524.065,-3.7907130000000002
384,2019,Cameron Reynolds,552.5333,-0.107811
385,2017,Caris LeVert,2713.411,-0.9325753
386,2018,Caris LeVert,4011.095,-1.074727
387,2019,Caris LeVert,2592.982,-0.9719455
388,2014,Carl Landry,481.0479,-3.1003
389,2015,Carl Landry,2410.572,0.769872
390,2016,Carl Landry,1203.198,-2.045338
391,2014,Carlos Boozer,4370.874,-0.8854232
392,2015,Carlos Boozer,3435.465,-0.480329
393,2014,Carmelo Anthony,5687.544,-0.1640346
394,2015,Carmelo Anthony,2735.81,-1.473283
395,2016,Carmelo Anthony,5000.966,-0.8231139
396,2017,Carmelo Anthony,5151.083,-0.1235619
397,2018,Carmelo Anthony,5613.804,-0.6558207
398,2019,Carmelo Anthony,616.175,-1.897101
399,2014,Caron Butler,3669.118,-0.4742085
400,2015,Caron Butler,3186.49,-1.027248
401,2016,Caron Butler,379.72,-1.654163
402,2014,Carrick Felix,83.28333,-2.811116
403,2014,Cartier Martin,1816.238,-2.237764
404,2015,Cartier Martin,394.5975,-4.300741
405,2014,Casper Ware,247.0075,0.4714599
406,2018,Cedi Osman,1544.994,0.8367217
407,2019,Cedi Osman,5021.402,-1.103224
408,2019,Chandler Hutchison,1891.247,0.5046074
409,2014,Chandler Parsons,6155.679,0.1857142
410,2015,Chandler Parsons,4532.335,-1.048
411,2016,Chandler Parsons,3615.615,-0.1164792
412,2017,Chandler Parsons,1333.688,-1.217726
413,2018,Chandler Parsons,1421.733,-1.82307
414,2019,Chandler Parsons,1039.017,1.04475
415,2014,Channing Frye,4702.03,-0.0826054
416,2015,Channing Frye,3757.142,-1.557112
417,2016,Channing Frye,2841.686,0.0903639
418,2017,Channing Frye,3199.818,0.0894186
419,2018,Channing Frye,1468.852,-1.635754
420,2019,Channing Frye,705.5148,-3.996041
421,2018,Charles Cooke,82.27,0.9357717
422,2014,Charlie Villanueva,360.6375,-4.324748
423,2015,Charlie Villanueva,1562.808,-1.143887
424,2016,Charlie Villanueva,1446.628,-0.306874
425,2014,Chase Budinger,1523.904,0.2144129
426,2015,Chase Budinger,2629.87,-1.396307
427,2016,Chase Budinger,1955.046,0.7951473
428,2017,Chasson Randle,625.4523,-1.023183
429,2019,Chasson Randle,1634.755,-1.697359
430,2014,Chauncey Billups,622.5706,-2.877225
431,2017,Cheick Diallo,421.7142,-2.598847
432,2018,Cheick Diallo,1372.329,-1.415527
433,2019,Cheick Diallo,2015.813,-0.017874
434,2019,Chimezie Metu,320.0271,-0.498618
435,2017,Chinanu Onuaku,113.88,-2.621908
436,2018,Chinanu Onuaku,47.34479,2.195219
437,2014,Chris Andersen,3305.118,1.578279
438,2015,Chris Andersen,2216.597,-1.264457
439,2016,Chris Andersen,941.3096,-1.29574
440,2017,Chris Andersen,235.4337,0.7690434
441,2014,Chris Babb,266.8325,-0.0908298
442,2014,Chris Bosh,6180.427,0.1838463
443,2015,Chris Bosh,2998.542,-0.1106217
444,2016,Chris Bosh,3530.071,-0.0251405
445,2018,Chris Boucher,1.89875,-2.493646
446,2019,Chris Boucher,378.4338,4.423605
447,2019,Chris Chiozza,73.03313,2.830364
448,2014,Chris Copeland,705.2836,-0.6006364
449,2015,Chris Copeland,1644.443,0.0207031
450,2016,Chris Copeland,315.1525,-3.026138
451,2014,Chris Douglas-Roberts,2157.003,-0.2968484
452,2015,Chris Douglas-Roberts,209.9483,-6.192442
453,2014,Chris Johnson,1589.177,-2.248214
454,2015,Chris Johnson,1101.378,0.550303
455,2016,Chris Johnson,1752.208,0.3489599
456,2014,Chris Kaman,1573.047,4.358961
457,2015,Chris Kaman,2892.57,0.0255792
458,2016,Chris Kaman,296.6533,0.0642443
459,2016,Chris McCullough,752.7337,-0.1836436
460,2017,Chris McCullough,172.5033,1.5714
461,2018,Chris McCullough,202.0313,2.208067
462,2014,Chris Paul,5413.724,-0.4314759
463,2015,Chris Paul,6665.016,-0.0229089
464,2016,Chris Paul,5208.333,-0.8402417
465,2017,Chris Paul,4400.425,-1.160646
466,2018,Chris Paul,4913.794,-0.3848919
467,2019,Chris Paul,4742.603,-0.8897975
468,2014,Chris Singleton,504.5833,-4.645187
469,2014,Chris Smith,5.110834,-2.553921
470,2014,Chris Wright,261.5287,1.344172
471,2016,Christian Wood,327.4583,0.4793339
472,2017,Christian Wood,216.5412,1.380481
473,2019,Christian Wood,569.5742,-2.032479
474,2014,Chuck Hayes,1578.538,-0.5101215
475,2015,Chuck Hayes,511.8062,-0.8071458
476,2016,Chuck Hayes,52.365,7.40978
477,2015,Cleanthony Early,1299.392,-1.808145
478,2016,Cleanthony Early,308.8662,-0.4049935
479,2016,Cliff Alexander,77.58749,2.191395
480,2015,Clint Capela,483.7279,4.549577
481,2016,Clint Capela,3207.914,1.882456
482,2017,Clint Capela,3844.894,0.4974688
483,2018,Clint Capela,5260.663,1.706621
484,2019,Clint Capela,5312.979,1.12802
485,2014,Cody Zeller,2997.656,0.5413696
486,2015,Cody Zeller,2965.636,1.143239
487,2016,Cody Zeller,3916.183,0.3399361
488,2017,Cody Zeller,3484.5,0.0615563
489,2018,Cody Zeller,1318.137,1.137861
490,2019,Cody Zeller,2638.526,1.639383
491,2014,Cole Aldrich,664.4688,2.97092
492,2015,Cole Aldrich,1934.92,-0.030905
493,2016,Cole Aldrich,1788.383,-0.0682553
494,2017,Cole Aldrich,1099.944,-0.5396616
495,2018,Cole Aldrich,111.1892,-4.73607
496,2019,Collin Sexton,5373.898,-3.585276
497,2014,Corey Brewer,5499.555,-0.563321
498,2015,Corey Brewer,5381.227,-0.0119568
499,2016,Corey Brewer,3771.407,-1.214619
500,2017,Corey Brewer,2715.614,-0.6956648
501,2018,Corey Brewer,2957.712,-1.029878
502,2019,Corey Brewer,1074.475,-1.604159
503,2015,Cory Jefferson,1089.214,0.5783861
504,2016,Cory Jefferson,105.8646,-0.1962242
505,2014,Cory Joseph,2089.01,0.2843881
506,2015,Cory Joseph,2955.364,1.125177
507,2016,Cory Joseph,4944.921,0.955144
508,2017,Cory Joseph,4490.19,0.0581474
509,2018,Cory Joseph,4802.798,-0.0645232
510,2019,Cory Joseph,4489.078,1.127414
511,2016,Coty Clarke,12.9275,-2.534407
512,2014,Courtney Lee,4204.492,0.9105157
513,2015,Courtney Lee,5346.451,-0.7611267
514,2016,Courtney Lee,5142.783,1.127667
515,2017,Courtney Lee,4968.717,-0.5117989
516,2018,Courtney Lee,4737.906,-0.5687613
517,2019,Courtney Lee,920.5025,-0.9443452
518,2016,Cristiano Felicio,661.1263,3.773036
519,2017,Cristiano Felicio,2279.052,-0.269471
520,2018,Cristiano Felicio,2032.567,-1.29207
521,2019,Cristiano Felicio,1592.088,-0.4741898
522,2016,D'Angelo Russell,4598.477,-1.423949
523,2017,D'Angelo Russell,3805.741,-1.375498
524,2018,D'Angelo Russell,2681.636,-1.861736
525,2019,D'Angelo Russell,5600.034,0.3260713
526,2014,D.J. Augustin,3959.667,-0.2903618
527,2015,D.J. Augustin,3928.51,-0.7323543
528,2016,D.J. Augustin,2424.818,-2.181583
529,2017,D.J. Augustin,3137.84,-1.463576
530,2018,D.J. Augustin,3681.333,-1.136894
531,2019,D.J. Augustin,4989.847,-1.766095
532,2018,D.J. Wilson,150.7863,-4.410955
533,2019,D.J. Wilson,2055.031,0.9605402
534,2014,DJ Stephens,27.68125,1.443338
535,2019,DJ Stephens,17.15292,-25.98537
536,2014,DJ White,26.23937,-3.096095
537,2015,Dahntay Jones,316.7412,-1.504929
538,2016,Dahntay Jones,183.7738,0.9132345
539,2017,Dahntay Jones,91.18187,-0.2259229
540,2019,Dairis Bertans,368.896,-7.335623
541,2018,Dakari Johnson,338.1233,2.385035
542,2017,Damian Jones,218.7796,3.513055
543,2018,Damian Jones,212.4615,-1.881086
544,2019,Damian Jones,888.5454,1.135707
545,2014,Damian Lillard,6903.7,0.3295249
546,2015,Damian Lillard,6244.834,-0.2365652
547,2016,Damian Lillard,6417.935,0.113013
548,2017,Damian Lillard,5871.391,-0.4002362
549,2018,Damian Lillard,5852.063,0.7098828
550,2019,Damian Lillard,7338.427,0.4037808
551,2016,Damien Inglis,317.785,0.2405515
552,2018,Damien Wilkins,312.17,1.452605
553,2014,Damion James,101.7813,1.725496
554,2018,Damion Lee,865.6542,0.9897022
555,2019,Damion Lee,816.5625,-2.347251
556,2015,Damjan Rudez,2109.705,-0.9974422
557,2016,Damjan Rudez,574.8904,0.2747607
558,2017,Damjan Rudez,648.41,-4.269502
559,2018,Damyean Dotson,990.8575,0.752877
560,2019,Damyean Dotson,4241.382,-1.360114
561,2018,Daniel Hamilton,57.5575,-2.599439
562,2019,Daniel Hamilton,450.1175,3.077528
563,2017,Daniel Ochefu,168.9146,-2.114684
564,2014,Daniel Orton,539.4409,1.501535
565,2018,Daniel Theis,1936.35,1.349986
566,2019,Daniel Theis,2060.651,0.3359011
567,2015,Danilo Gallinari,2926.865,-1.159621
568,2016,Danilo Gallinari,3740.449,-1.579581
569,2017,Danilo Gallinari,4436.942,0.179868
570,2018,Danilo Gallinari,1379.884,1.315486
571,2019,Danilo Gallinari,4817.624,-0.6468472
