rownames,player,position,id,draft_year,projected_spm,superstar,starter,role_player,bust
34,Jordan Mickey,PF,jordan-mickey,2015,-0.745960108,0.001443787,0.144665538,0.374332518,0.479558158
35,Wayne Blackshear,SG,wayne-blackshear,2015,-0.750833557,0.001026966,0.115460611,0.433883586,0.449628838
36,Chris Walker,PF,5-chris-walker,2015,-0.75113066,0.001166667,0.157566667,0.353433333,0.487833333
37,T.J. McConnell,PG,tj-mcconnell,2015,-0.760484149,0.002670752,0.102511805,0.43556844,0.459249003
38,J.P. Tokoto,SF,jp-tokoto,2015,-0.785873736,6.73629e-4,0.107998383,0.431220506,0.460107482
39,Pat Connaughton,SF,pat-connaughton,2015,-0.833781871,6.64804e-4,0.08891347,0.432599715,0.47782201
40,R.J. Hunter,SG,rj-hunter,2015,-0.836776877,0.004112703,0.121239491,0.385605421,0.489042385
41,Jerian Grant,PG,jerian-grant,2015,-0.869777062,0.001169979,0.130352495,0.345982451,0.522495076
42,Olivier Hanlan,SG,olivier-hanlan,2015,-0.939601082,2.27369e-4,0.058708643,0.482292406,0.458771582
43,Branden Dawson,SF,branden-dawson,2015,-0.94832171,3.08971e-4,0.093166238,0.391170861,0.51535393
44,Robert Upshaw,C,robert-upshaw,2015,-0.953017497,2.16394e-4,0.088032316,0.38180529,0.529946
45,Tyler Harvey,SG,tyler-harvey,2015,-0.963286998,0,0.045680357,0.485580914,0.468738729
46,Darrun Hilliard,SG,darrun-hilliard,2015,-0.997597057,0.001336934,0.058581954,0.430904831,0.509176281
47,Tyler Haws,SG,tyler-haws,2015,-1.014375418,0.001035564,0.038756025,0.476593937,0.483614474
48,Treveon Graham,SG,treveon-graham,2015,-1.026896912,0.001371164,0.075528744,0.379480354,0.543619737
49,Rakeem Christmas,PF,rakeem-christmas,2015,-1.037407078,1.03674e-4,0.074800607,0.399359049,0.52573667
50,Kenneth Smith,PG,3-kenneth-smith,2015,-1.039547879,7.46776e-4,0.073520453,0.35809779,0.567634981
51,Michael Qualls,SG,3-michael-qualls,2015,-1.041676256,0.005867204,0.056290419,0.39026949,0.547572888
52,Aaron White,PF,5-aaron-white,2015,-1.044431359,8.58212e-4,0.090374546,0.358788407,0.549978835
53,Alan Williams,PF,3-alan-williams,2015,-1.051104888,0.00100349,0.027920018,0.449342651,0.52173384
54,Shannon Scott,PG,shannon-scott,2015,-1.061872742,0.001596119,0.068008751,0.356970581,0.573424549
55,Isaac Fotu,PF,isaac-fotu,2015,-1.065081918,0.001318013,0.054936126,0.384945795,0.558800066
56,Keifer Sykes,PG,keifer-sykes,2015,-1.083833575,0.002417356,0.04982042,0.387609233,0.560152991
57,Juwan Staten,PG,juawn-staten,2015,-1.095315539,4.76844e-4,0.038064935,0.414884254,0.546573966
58,Corey Hawkins,SG,corey-hawkins,2015,-1.096899647,1.08822e-4,0.033205484,0.436069852,0.530615842
59,D.J. Newbill,SG,devonte-newbill,2015,-1.108784009,5.54941e-4,0.026482771,0.436494657,0.536467631
60,Josh Richardson,SG,2-josh-richardson,2015,-1.125029822,1.31253e-4,0.056205838,0.376816007,0.566846902
61,Jonathan Holmes,SF,2-jonathan-holmes,2015,-1.13357382,0,0.053248718,0.365396839,0.581354443
62,Joseph Young,SG,joseph-young,2015,-1.138828781,8.03961e-5,0.04891635,0.394276343,0.55672691
63,Wesley Saunders,SG,wesley-saunders,2015,-1.171996457,3.73186e-4,0.036596138,0.387045086,0.575985589
64,Richaun Holmes,PF,richaun-holmes,2015,-1.186744347,3.57099e-4,0.060157338,0.314633278,0.624852285
65,Anthony Brown,SG,3-anthony-brown,2015,-1.187041132,0,0.038678905,0.379622804,0.581698291
66,Norman Powell,SG,norman-powell,2015,-1.189678464,0,0.03610954,0.38697547,0.576914989
67,Josh Smith,C,9-josh-smith,2015,-1.192473127,0,0.026755605,0.382057886,0.591186509
68,Derrick Marks,SG,derrick-marks,2015,-1.199786481,0.001857445,0.030881673,0.379643412,0.587617469
69,Marcus Thornton,SG,2-marcus-thornton,2015,-1.202113387,4.89255e-4,0.021634511,0.389748446,0.588127788
70,Terran Petteway,SG,terran-petteway,2015,-1.207198123,0,0.035343103,0.367281274,0.597375623
71,Seth Tuttle,PF,seth-tuttle,2015,-1.221872777,0,0.03687377,0.358785304,0.604340925
72,Trevor Lacey,SG,trevor-lacey,2015,-1.2269165,0,0.033303382,0.357759442,0.608937176
73,Dez Wells,SG,dezmine-wells,2015,-1.244978961,2.29033e-4,0.022535212,0.384498234,0.59273752
74,"Larry Nance, Jr.",PF,larry-nance-jr,2015,-1.254446537,0,0.030613137,0.339796126,0.629590736
75,Sir`Dominic Pointer,SF,sir-dominic-pointer,2015,-1.301544045,0,0.029016181,0.320955511,0.650028307
76,Briante Weber,PG,briante-weber,2015,-1.308756716,0.004466226,0.037216853,0.286508463,0.671808458
77,Cady Lalanne,PF,cady-lalanne,2015,-1.312742518,0,0.022921295,0.33122696,0.645851745
78,Joel Embiid,C,joel-embiid,2014,1.164983449,0.147866667,0.398188095,0.234645238,0.2193
79,Marcus Smart,PG,marcus-smart,2014,0.9972632,0.163507826,0.363845589,0.142131996,0.33051459
80,Noah Vonleh,PF,noah-vonieh,2014,0.88516864,0.099,0.461066667,0.1801,0.259833333
81,Aaron Gordon,PF,aaron-gordon,2014,0.844204419,0.0966,0.4617,0.200033333,0.241666667
82,Andrew Wiggins,SG,andrew-wiggins,2014,0.694104731,0.110216667,0.42225,0.118,0.349533333
83,Julius Randle,PF,julius-randle,2014,0.627281437,0.082233333,0.417433333,0.2036,0.296733333
84,Jabari Parker,SF,jabari-parker,2014,0.514308936,0.0885,0.405,0.152666667,0.35383333300000003
85,Jordan Adams,SG,2-jordan-adams,2014,0.416089009,0.051623343,0.357780708,0.325513346,0.265082604
86,Gary Harris,SG,gary-harris,2014,0.298824269,0.068668118,0.334410402,0.310628849,0.286292631
87,Jarnell Stokes,PF,jarnell-stokes,2014,0.144021715,0.014131988,0.293791082,0.41587172,0.27620521
88,Nik Stauskas,SG,nik-stauskas,2014,0.09764512,0.016286567,0.302474659,0.390961236,0.290277537
89,James Young,SF,james-young,2014,0.023821786,0.0317,0.310783333,0.359264286,0.298252381
90,Glenn Robinson III,SF,glenn-robinson-iii,2014,-0.005355215,0.006183208,0.281363583,0.404918844,0.307534365
91,Zach LaVine,PG,zach-lavine,2014,-0.04600119,0.032766667,0.2868,0.397933333,0.2825
92,T.J. Warren,SF,tj-warren,2014,-0.148039157,0.013448779,0.258598773,0.36924236,0.358710088
93,Mitch McGary,PF,mitch-mcgary,2014,-0.274478981,0.007489118,0.237597619,0.434655687,0.320257575
94,Elfrid Payton,PG,elfrid-payton,2014,-0.284167648,0.019206755,0.239723996,0.343878864,0.397190385
95,Kyle Anderson,PF,3-kyle-anderson,2014,-0.291038075,0.012674006,0.254152427,0.329701228,0.40347234
96,Rodney Hood,SG,rodney-hood,2014,-0.315093348,0.002403967,0.236255935,0.414664765,0.346675333
97,Tyler Ennis,PG,tyler-ennis,2014,-0.392781623,0.037816667,0.248416667,0.2376,0.476166667
98,Scottie Wilbekin,PG,scottie-wilbekin,2014,-0.429531082,0.008391528,0.1896991,0.410623309,0.391286062
99,Jerami Grant,SF,jerami-grant,2014,-0.453116853,0.008432581,0.191915165,0.375301105,0.424351149
100,Ioannis Papapetrou,SF,ioannis-papapetrou,2014,-0.546537848,0.011866667,0.1737,0.386366667,0.428066667
101,P.J. Hairston,SG,pj-hairston,2014,-0.571128526,0.004645311,0.176566294,0.402214391,0.416574004
102,Doug McDermott,SF,doug-mcdermott,2014,-0.592855566,0.008434031,0.170931755,0.419181273,0.401452941
103,Johnny O`Bryant III,PF,johnny-o-bryant-iii,2014,-0.595490859,0.004936115,0.16872046,0.375714528,0.450628896
104,Spencer Dinwiddie,PG,spencer-dinwiddie,2014,-0.65617692,0.006796893,0.143349483,0.395656986,0.454196638
105,Aaron Craft,PG,aaron-craft,2014,-0.688627125,0.002723818,0.167154989,0.349487744,0.480633448
106,Russ Smith,SG,russ-smith,2014,-0.716167447,0.008371726,0.113620222,0.433192637,0.444815416
107,Adreian Payne,PF,adreian-payne,2014,-0.761344456,4.07614e-4,0.151041217,0.405494312,0.443056856
108,Lamar Patterson,SF,lamar-patterson,2014,-0.765033453,6.8699e-4,0.119157244,0.434200801,0.445954965
109,Casey Prather,SF,casey-prather,2014,-0.774441847,0.001530535,0.121648369,0.409966457,0.46685464
110,K.J. McDaniels,SF,kj-mcdaniels,2014,-0.796472838,0.002848519,0.125553787,0.394025815,0.47757188
111,Shabazz Napier,PG,shabazz-napier,2014,-0.803921841,0.00112918,0.153899813,0.341044624,0.503926382
112,Javon McCrea,PF,javon-mccrea,2014,-0.817757422,0.006759709,0.066239509,0.468548353,0.45845243
113,Travis Bader,SG,travis-bader,2014,-0.832533624,0,0.052121788,0.526294472,0.421583739
114,Patric Young,C,patric-young,2014,-0.835141766,0.001417635,0.134786954,0.393510364,0.470285047
115,Jabari Brown,SG,jabari-brown,2014,-0.888391954,8.71092e-4,0.078403416,0.448375023,0.472350468
116,Cleanthony Early,SF,cleanthony-early,2014,-0.911636168,1.9739e-4,0.10647912,0.388504497,0.504818993
117,JaKarr Sampson,PF,jakarr-sampson,2014,-0.967242513,0.003211382,0.083077968,0.36771572,0.545994931
118,Nick Johnson,SG,7-nick-johnson,2014,-0.972089828,0.001791793,0.088348209,0.383142037,0.526717961
119,Will Sheehey,SF,will-sheehey,2014,-0.985157118,0,0.063033638,0.443120162,0.493846199
120,Joe Harris,SG,joe-harris,2014,-0.999378558,0,0.089270279,0.387283671,0.52344605
121,Langston Galloway,PG,langston-galloway,2014,-1.021832753,0,0.035558574,0.451284827,0.513156599
122,Bryce Cotton,PG,bryce-cotton,2014,-1.023212462,2.13567e-4,0.05335954,0.423850229,0.522576664
123,Deonte Burton,PG,2-deonte-burton,2014,-1.036448897,0.010366667,0.042411111,0.387922222,0.5593
124,Sean Kilpatrick,SG,sean-kilpatrick,2014,-1.042705292,0.001270496,0.056124043,0.417013174,0.525592287
125,C.J. Fair,SF,cj-fair,2014,-1.047596435,0,0.071627366,0.374835673,0.553536961
126,Khem Birch,PF,khem-birch,2014,-1.052769541,7.08447e-4,0.068302683,0.368116261,0.562872609
127,C.J Wilcox,SG,cj-wilcox,2014,-1.059856736,0,0.058479353,0.412311947,0.5292087
128,James Michael McAdoo,PF,james-michael-mcadoo,2014,-1.073448068,0.003532802,0.06125954,0.361387101,0.573820557
129,Semaj Christon,PG,semaj-christon,2014,-1.08062241,0.002745413,0.060859379,0.365707692,0.570687516
130,George Beamon,SG,george-beamon,2014,-1.081143582,1.57411e-4,0.038253059,0.424073696,0.537515833
131,Jordan McRae,SG,jordan-mcrae,2014,-1.084563556,3.94215e-4,0.052110878,0.415968858,0.531526049
132,Jordan Clarkson,PG,jordan-clarkson,2014,-1.089102908,3.87702e-4,0.068988557,0.384239805,0.546383936
133,LaQuinton Ross,SF,laquinton-ross,2014,-1.099541557,0.001632995,0.06037919,0.367091288,0.570896526
134,Keith Appling,PG,keith-appling,2014,-1.116948137,8.99603e-5,0.069645012,0.349903441,0.580361587
135,Eric Moreland,PF,eric-moreland,2014,-1.120380546,0,0.03454344,0.409842116,0.555614444
136,Cory Jefferson,PF,cory-jefferson,2014,-1.143082916,7.03744e-4,0.053958917,0.371486396,0.573850942
137,Roy Devyn Marble,SF,roy-devyn-marble,2014,-1.164732314,0.001294149,0.045501185,0.367424895,0.585779771
138,Geron Johnson,SG,geron-johnson,2014,-1.172923037,2.51835e-4,0.036559588,0.38053921,0.582649367
139,Taylor Braun,SF,taylor-braun,2014,-1.17554871,2.48671e-4,0.02429166,0.395952127,0.579507542
140,DeAndre Kane,PG,deandre-kane,2014,-1.175872264,3.01607e-4,0.02970408,0.395004839,0.574989473
141,Jahii Carson,PG,jahii-carson,2014,-1.18869046,0,0.040676668,0.364069502,0.595253829
142,Mike Moser,PF,mike-moser,2014,-1.192565415,0,0.046481376,0.346782181,0.606736443
143,Jordan Bachynski,C,jordan-bachynski,2014,-1.198032056,0,0.035665482,0.376963083,0.587371435
144,Richard Solomon,PF,richard-solomon,2014,-1.205473844,8.28134e-4,0.026671054,0.36616915,0.606331663
145,Fuquan Edwin,SG,edwin-fuquan,2014,-1.213011652,0.00182937,0.026088426,0.370230616,0.601851589
146,Roscoe Smith,SF,roscoe-smith,2014,-1.216220914,0,0.04902337,0.329921451,0.621055179
147,Melvin Ejim,SF,melvin-ejim,2014,-1.223335768,1.03426e-4,0.04885285,0.331901847,0.619141877
148,Josh Huestis,PF,josh-huestis,2014,-1.226497956,5.40636e-5,0.028102449,0.360460124,0.611383363
149,Devon Collier,PF,devon-collier,2014,-1.229856301,3.74529e-4,0.034315304,0.368935716,0.596374451
150,Juvonte Reddic,PF,juvonte-reddic,2014,-1.24975282,0,0.031508062,0.337647833,0.630844105
151,Markel Brown,SG,markel-brown,2014,-1.261974277,0,0.043132515,0.331316868,0.625550617
152,Xavier Thames,PG,xavier-thames,2014,-1.268289325,0,0.033606909,0.336991656,0.629401435
153,DeAndre Daniels,SF,deandre-daniels,2014,-1.271549283,0,0.052553569,0.297930547,0.649515884
154,Alex Kirk,C,2-alex-kirk,2014,-1.298321156,1.9885e-4,0.031377704,0.3194811,0.648942346
155,Shawn Jones,PF,shawn-jones,2014,-1.311412048,0,0.014185322,0.34431906,0.641495618
156,Tarik Black,PF,tarik-black,2014,-1.315996164,2.26324e-4,0.044106876,0.291998366,0.663668434
157,Alec Brown,C,alec-brown,2014,-1.375842907,3.4759e-4,0.017325302,0.303191714,0.679135395
158,Dwight Powell,PF,dwight-powell,2014,-1.437694654,0,0.021705208,0.264808597,0.713486196
159,Victor Oladipo,SG,victor-oladipo,2013,1.211980125,0.160260293,0.429232385,0.174529059,0.235978263
160,Nerlens Noel,C,nerlens-noel,2013,1.08444878,0.117252381,0.479164286,0.1294,0.274183333
161,Otto Porter,SF,otto-porter,2013,1.032747011,0.11176473,0.499681367,0.127524591,0.261029313
162,Alex Len,C,alex-len,2013,0.55480609,0.071429724,0.400516549,0.245677995,0.282375732
163,Anthony Bennett,PF,anthony-bennett,2013,0.338017425,0.065866667,0.387,0.203416667,0.343716667
164,Ben McLemore,SG,ben-mclemore,2013,0.32444404,0.0575,0.404833333,0.188116667,0.34955
165,Cody Zeller,PF,cody-zeller,2013,0.23832921,0.01624033,0.355549252,0.375353221,0.252857198
166,CJ McCollum,PG,cj-mccollum,2013,0.049354284,0.058070979,0.291784943,0.246109835,0.404034243
167,Michael Carter-Williams,PG,michael-carter-williams,2013,0.024133017,0.031497832,0.313682744,0.26933731,0.385482114
168,Kentavious Caldwell-Pope,SG,kentavious-caldwell-pope,2013,0.003458325,0.031397588,0.321592229,0.262890961,0.384119222
169,Steven Adams,C,steven-adams,2013,-0.007590802,0.009433333,0.295566667,0.416633333,0.278366667
170,Grant Jerrett,PF,grant-jerrett,2013,-0.089439075,0.011233333,0.2963,0.3707,0.321766667
171,Trey Burke,PG,trey-burke,2013,-0.229094366,0.038073803,0.288109133,0.181635808,0.492181256
172,Reggie Bullock,SG,2-reggie-bullock,2013,-0.363011514,8.29094e-4,0.213444188,0.428350149,0.357376569
173,Shane Larkin,PG,shane-larkin,2013,-0.411266786,0.005543345,0.271785963,0.258576863,0.464093829
174,Archie Goodwin,SG,archie-goodwin,2013,-0.525482504,0.014966667,0.1988,0.346766667,0.439466667
175,Allen Crabbe,SG,allen-crabbe,2013,-0.562182507,0.003465149,0.152968209,0.431709994,0.411856648
176,Tony Snell,SF,tony-snell,2013,-0.565298098,0.001210346,0.169808308,0.419738587,0.409242759
177,Kelly Olynyk,PF,kelly-olynyk,2013,-0.57888199,0.008095686,0.157718954,0.436653771,0.397531589
178,Tim Hardaway Jr,SG,tim-hardaway-jr,2013,-0.593670577,0.004712437,0.156173225,0.41770834,0.421405998
179,Adonis Thomas,SF,adonis-thomas,2013,-0.601208552,0.001996626,0.160148573,0.404400508,0.433454293
180,Deshaun Thomas,SF,deshaun-thomas,2013,-0.606352187,4.69212e-4,0.174268398,0.419770557,0.405491833
181,B.J. Young,PG,bj-young,2013,-0.618394761,0.016186659,0.167706566,0.328696079,0.487410695
182,Tony Mitchell,PF,4-tony-mitchell,2013,-0.64137677,0.00759297,0.167912596,0.350991271,0.473503163
183,Mason Plumlee,C,mason-plumlee,2013,-0.700841167,0.001170008,0.172470295,0.379570768,0.446788929
184,Gorgui Dieng,C,gorgui-dieng,2013,-0.709679491,0.001011468,0.152128445,0.402509868,0.444350219
185,Vander Blue,SG,vander-blue,2013,-0.727812305,0.002510889,0.133050452,0.400696766,0.463741893
186,Shabazz Muhammad,SF,shabazz-muhammad,2013,-0.738454845,6.66667e-4,0.161033333,0.356316667,0.481983333
187,Erik Murphy,PF,erik-murphy,2013,-0.74513942,0.001054612,0.131158196,0.419842755,0.447944437
188,Andre Roberson,SF,andre-roberson,2013,-0.752286275,0.003681298,0.1204483,0.396024692,0.479845709
189,Pierre Jackson,PG,pierre-jackson,2013,-0.783826536,0.003619142,0.113334171,0.406726714,0.476319973
190,Jamaal Franklin,SG,jamaal-franklin,2013,-0.868364956,0.003013166,0.107371449,0.384940465,0.504674919
191,James Southerland,SF,james-southerland,2013,-0.874727443,0,0.099678886,0.404429138,0.495891976
192,Ryan Kelly,PF,2-ryan-kelly,2013,-0.885402692,1.20922e-4,0.112510359,0.399197829,0.48817089
193,Phil Pressey,PG,phil-pressey,2013,-0.916096596,0.003063217,0.10344648,0.362295133,0.53119517
194,Peyton Siva,PG,peyton-siva,2013,-0.939827872,0.001761086,0.090901209,0.373051655,0.53428605
195,Glen Rice Jr,SF,glen-rice-jr,2013,-0.945307971,2.04333e-4,0.0981566,0.370717625,0.530921441
196,D.J. Stephens,SF,dj-stephens,2013,-0.951124183,0,0.082636386,0.411949228,0.505414386
197,Travis Releford,SF,travis-releford,2013,-0.978145201,1.0139e-4,0.055874624,0.44762623,0.496397756
198,Christian Watford,SF,christian-watford,2013,-0.984311926,2.69209e-4,0.069316101,0.417370796,0.513043894
199,Isaiah Canaan,PG,isaiah-canaan,2013,-0.985065573,1.27015e-4,0.10931585,0.347792098,0.542765037
200,Trevor Mbakwe,PF,trevor-mbakwe,2013,-0.990799231,6.95301e-5,0.06912942,0.427314852,0.503486197
201,Matthew Dellavedova,PG,matt-dellavedova,2013,-0.992282486,1.69304e-4,0.048258289,0.443589619,0.507982788
202,Myck Kabongo,PG,myck-kabongo,2013,-1.002002595,0.002630925,0.069003247,0.393466255,0.534899573
203,Will Clyburn,SG,will-clyburn,2013,-1.004961208,0.001021995,0.066831608,0.414142438,0.51800396
204,Ryan Broekhoff,SF,ryan-broekhoff,2013,-1.006948962,0,0.062664739,0.417767694,0.519567567
205,Seth Curry,SG,seth-curry,2013,-1.023819856,3.66145e-4,0.051393688,0.449503363,0.498736805
206,Jeff Withey,C,2-jeff-withey,2013,-1.036232627,0,0.098025362,0.361959583,0.540015054
207,Rotnei Clarke,PG,rotnei-clarke,2013,-1.05249864,0,0.020606728,0.463675964,0.515717308
208,Elijah Johnson,PG,elijah-johnson,2013,-1.082314328,0,0.039158247,0.413754257,0.547087496
209,Solomon Hill,SF,solomon-hill,2013,-1.08797892,0,0.05128024,0.395677229,0.553042531
210,C.J. Aiken,SF,cj-aiken,2013,-1.099332037,0,0.038996348,0.410482828,0.550520824
211,Nate Wolters,PG,nate-wolters,2013,-1.100889746,1.66948e-4,0.039029324,0.408349811,0.552453917
212,Arsalan Kazemi,PF,arsalan-kazemi,2013,-1.113387768,7.61458e-4,0.05234262,0.371871609,0.575024313
213,Ray McCallum,PG,ray-mccallum,2013,-1.113494711,0,0.061821626,0.366471375,0.571707
214,Mike Muscala,PF,mike-muscala,2013,-1.116139235,0.001540374,0.037592367,0.397360688,0.56350657
215,Lorenzo Brown,PG,2-lorenzo-brown,2013,-1.127627385,7.427e-4,0.050603228,0.365403135,0.583250937
216,Kenny Kadji,PF,kenny-kadji,2013,-1.138419153,0,0.047545839,0.389572967,0.562881194
217,Khalif Wyatt,SG,khalif-wyatt,2013,-1.140869965,0,0.048994705,0.381852178,0.569153117
218,Brandon Davies,PF,brandon-davies,2013,-1.154171176,8.44981e-4,0.027603772,0.403711974,0.567839273
219,Rodney Williams,SF,4-rodney-williams,2013,-1.158410735,0,0.046943383,0.36018012,0.592876497
220,Laurence Bowers,SF,laurence-bowers,2013,-1.17514428,6.65635e-5,0.056893896,0.346354614,0.596684926
221,James Ennis,SF,james-ennis,2013,-1.176969681,0,0.036649456,0.378062379,0.585288164
222,Colton Iverson,C,colton-iverson,2013,-1.177163018,0.004160936,0.047608351,0.339127856,0.609102857
223,Brandon Paul,SG,brandon-paul,2013,-1.190408681,5.06708e-4,0.033261671,0.39150879,0.574722831
224,Erick Green,PG,erick-green,2013,-1.201441963,0,0.032744568,0.382569601,0.584685831
225,Amath M`Baye,SF,amath-m-baye,2013,-1.205039414,2.72116e-4,0.022421276,0.394267316,0.583039293
226,Carrick Felix,SG,carrick-felix,2013,-1.208663593,0,0.039530919,0.360240658,0.600228423
227,Robert Covington,SF,robert-covington,2013,-1.212712709,0,0.046616042,0.333632043,0.619751915
228,Jamelle Hagins,PF,jamelle-hagins,2013,-1.225318468,0,0.018641152,0.389021757,0.59233709
229,Michael Snaer,SG,michael-snaer,2013,-1.249049599,2.78975e-4,0.037805886,0.348607287,0.613307852
230,Ramon Galloway,PG,ramon-galloway,2013,-1.249319754,0,0.027981426,0.354329482,0.617689092
231,Will Cherry,PG,will-cherry,2013,-1.259595794,1.3371e-4,0.028317073,0.350351012,0.621198206
232,C.J. Leslie,SF,cj-leslie,2013,-1.260952605,0,0.040435679,0.323628107,0.635936215
233,Dewayne Dedmon,C,dewayne-dedmon,2013,-1.263695161,0,0.039272621,0.320209109,0.64051827
234,Elias Harris,SF,elias-harris,2013,-1.267952853,7.74874e-4,0.025412883,0.349452706,0.624359537
235,Richard Howell,PF,richard-howell,2013,-1.288215577,0,0.044641474,0.299999163,0.655359363
236,Ed Daniel,PF,daniel-edward,2013,-1.301542821,4.66873e-4,0.029791772,0.321661022,0.648080333
237,Jackie Carmichael,PF,jackie-carmichael,2013,-1.356107188,1.41893e-4,0.014838132,0.324852085,0.66016789
238,Romero Osby,PF,romero-osby,2013,-1.367231132,0,0.014427001,0.318924131,0.666648869
239,Zeke Marshall,C,zeke-marshall,2013,-1.410949701,0,0.019962324,0.281362774,0.698674902
240,Anthony Davis,PF,3-anthony-davis,2012,1.430364691,0.103266667,0.589083333,0.076133333,0.231516667
241,Bradley Beal,SG,bradley-beal,2012,1.012450112,0.133466667,0.491516667,0.137333333,0.237683333
242,Dion Waiters,SG,dion-waiters,2012,0.881298607,0.122661905,0.403533333,0.199038095,0.274766667
243,Michael Kidd-Gilchrist,SF,michael-kidd-gilchrist,2012,0.796144638,0.076,0.531266667,0.138666667,0.254066667
244,Thomas Robinson,PF,thomas-robinson,2012,0.624179856,0.114304453,0.369209632,0.202871382,0.313614533
245,Andre Drummond,C,andre-drummond,2012,0.469727567,0.0545,0.47435,0.1908,0.28035
246,Jared Sullinger,PF,jared-sullinger,2012,0.444681123,0.022565109,0.40867264,0.32864506,0.240117191
247,Harrison Barnes,SF,harrison-barnes,2012,0.220673597,0.066667841,0.358434179,0.200094882,0.374803098
248,Terrence Jones,PF,terrance-jones,2012,0.132519059,0.032260825,0.352716879,0.298113457,0.316908839
249,Jeremy Lamb,SG,jeremy-lamb,2012,0.076846822,0.016579435,0.309183261,0.388164485,0.286072819
250,John Henson,PF,john-henson,2012,0.01894437,0.020747365,0.365186479,0.289436373,0.324629784
251,Marquis Teague,PG,marquis-teague,2012,-0.050632849,0.030233333,0.319166667,0.29125,0.35935
252,Austin Rivers,SG,austin-rivers,2012,-0.145823923,0.036233333,0.268866667,0.334097619,0.360802381
253,Royce White,SF,royce-white,2012,-0.193489861,0.0184,0.24375,0.357366667,0.380483333
254,Damian Lillard,PG,damian-lillard,2012,-0.200562313,0.036313508,0.259299921,0.27352202,0.430864551
