rownames,start,end,pollster,sample_size,population,text,approve,disapprove,unsure,approve_republican,approve_democrat,url
12,2018-01-28,2018-01-30,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,34,29,37,18,57,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/81kgdte5zw/econTabReport.pdf
13,2018-02-18,2018-02-20,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,39,25,36,23,62,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/57yxejgrmo/econTabReport.pdf
14,2018-02-20,2018-02-23,CNN/SSRS,1016,a,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,47,33,21,28,66,http://cdn.cnn.com/cnn/2018/images/02/26/rel3c.-.russia.pdf
15,2018-03-10,2018-03-13,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,37,27,36,20,57,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/y3tke5cxwy/econTabReport.pdf
16,2018-03-15,2018-03-19,Morning Consult,1994,rv,"As you may know, the U.S. Department of Justice appointed Robert Mueller as special counsel to investigate any alleged coordination between the Russian government and Donald Trumps 2016 presidential campaign. Based on what you know, do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?",45,27,27,35,62,https://morningconsult.com/wp-content/uploads/2018/03/180322_crosstabs_POLITICO_v1_DK.pdf
17,2018-03-22,2018-03-25,CNN/SSRS,1014,a,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,48,35,17,29,69,https://cdn.cnn.com/cnn/2018/images/03/27/rel4b-north.korea2c.russia.pdf
18,2018-04-15,2018-04-17,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,37,29,33,19,61,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4l31gznvf1/econTabReport.pdf
19,2018-05-02,2018-05-05,CNN/SSRS,1015,a,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,44,38,18,17,64,http://cdn.cnn.com/cnn/2018/images/05/10/rel5f.-.russia.pdf
20,2018-05-06,2018-05-08,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,36,30,34,14,63,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/kwgrow0dna/econTabReport.pdf
21,2018-05-10,2018-05-12,YouGov/HuffPost,1000,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel on the Russia probe?,38,32,30,19,70,https://big.assets.huffingtonpost.com/athena/files/2018/05/15/5afb49bbe4b0a59b4dfe6ddd.pdf
22,2018-05-27,2018-05-29,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,38,31,31,16,68,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/v00h5ts0qm/econTabReport.pdf
23,2018-06-03,2018-06-06,Fox News,1001,rv,Do you approve or disapprove of Robert Mueller’s investigation of the Trump campaign’s ties with Russia and potential obstruction of justice charges against members of the Trump administration?,55,37,8,23,84,https://www.foxnews.com/politics/fox-news-poll-results-6-14-18
24,2018-06-10,2018-06-12,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,34,30,36,13,66,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/0kj6rhpqso/econTabReport.pdf
25,2018-06-14,2018-06-17,CNN/SSRS,1012,a,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,41,39,21,20,62,http://cdn.cnn.com/cnn/2018/images/06/21/rel6f.-.russia.investigation.pdf
26,2018-06-17,2018-06-19,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,35,29,36,16,64,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/rbrysksiud/econTabReport.pdf
27,2018-06-27,2018-07-02,Washington Post/Schar School,1473,a,Do you approve or disapprove of the way U.S. Justice Department special counsel Robert Mueller is handling the investigation into possible ties between Trumps presidential campaign and the Russian government?,49,45,5,20,76,https://www.washingtonpost.com/politics/polling/department-justice-mueller-russian/2018/07/11/09a17592-8123-11e8-b3b5-b61896f90919_page.html
28,2018-07-09,2018-07-11,Fox News,1007,rv,Do you approve or disapprove of Robert Mueller’s investigation of the Trump campaign’s ties with Russia and potential obstruction of justice charges against members of the Trump administration?,48,40,12,25,72,https://www.foxnews.com/politics/fox-news-poll-7-12
29,2018-07-13,2018-07-14,YouGov/HuffPost,1000,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel on the Russia probe?,36,33,30,18,66,https://big.assets.huffingtonpost.com/athena/files/2018/07/16/5b4ce38be4b0e7c958fe3ea5.pdf
30,2018-07-22,2018-07-24,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,35,30,35,15,62,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/wa3gpxn761/econTabReport.pdf
31,2018-07-29,2018-07-31,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,36,32,31,16,65,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/fw0vfdqfpc/econTabReport.pdf
32,2018-08-05,2018-08-07,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,35,32,33,15,61,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/q6cfmfwwh4/econTabReport.pdf
33,2018-08-09,2018-08-12,CNN/SSRS,1002,a,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,47,39,13,22,72,http://cdn.cnn.com/cnn/2018/images/08/13/rel7a.-.trump2c.russia.pdf
34,2018-08-12,2018-08-14,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,38,31,32,21,65,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/6ote18t1hm/econTabReport.pdf
35,2018-08-19,2018-08-21,Fox News,1009,rv,Do you approve or disapprove of Robert Mueller’s investigation of the Trump campaign’s ties with Russia and potential obstruction of justice charges against members of the Trump administration?,59,37,4,26,84,https://www.foxnews.com/politics/fox-news-poll-8-22
36,2018-08-26,2018-08-28,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,34,31,35,15,65,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/krhk8brhhw/econTabReport.pdf
37,2018-09-02,2018-09-04,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,39,29,30,13,68,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/22joa4cprz/econTabReport.pdf
38,2018-09-06,2018-09-09,CNN/SSRS,1003,a,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,50,38,12,23,73,"http://cdn.cnn.com/cnn/2018/images/09/11/rel8c.-.russia,.cohen,.impeachment.pdf"
39,2018-09-16,2018-09-18,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,42,32,26,23,68,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/9th9okzc75/econTabReport.pdf
40,2018-09-16,2018-09-19,Fox News,1003,rv,Do you approve or disapprove of Robert Mueller’s investigation of the Trump campaign’s ties with Russia and potential obstruction of justice charges against members of the Trump administration?,55,39,7,25,82,https://www.foxnews.com/politics/fox-news-poll-9-23
41,2018-10-04,2018-10-07,CNN/SSRS,1009,a,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,48,36,16,23,73,http://cdn.cnn.com/cnn/2018/images/10/11/rel9c.-.trump.and.russia.pdf
42,2018-12-02,2018-12-04,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,38,31,30,16,70,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/yoolhxrark/econTabReport.pdf
43,2018-12-06,2018-12-09,CNN/SSRS,1015,a,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,43,40,16,21,71,http://cdn.cnn.com/cnn/2018/images/12/10/rel12a.-.trump.and.russia.pdf
44,2018-12-09,2018-12-11,Fox News,1006,rv,Do you approve or disapprove of Robert Mueller’s investigation of the Trump campaign’s ties with Russia and potential obstruction of justice charges against members of the Trump administration?,56,37,7,27,82,https://www.foxnews.com/politics/fox-news-poll-document-12-12-18
45,2018-12-09,2018-12-11,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,41,33,26,21,68,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ppsei7g0oq/econTabReport.pdf
46,2018-12-12,2018-12-17,Quinnipiac,1147,rv,Do you approve or disapprove of the way that Special Counsel Robert Mueller is handling his job?,45,38,17,17,72,https://poll.qu.edu/national/release-detail?ReleaseID=2591
47,2019-01-20,2019-01-22,Fox News,1008,rv,Do you approve or disapprove of Robert Mueller’s investigation of the Trump campaign’s ties with Russia and potential obstruction of justice charges against members of the Trump administration?,49,34,17,21,80,https://www.foxnews.com/politics/fox-news-poll-document-1-23-19
48,2019-01-20,2019-01-22,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,40,30,30,22,66,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/183c0vbnai/econTabReport.pdf
49,2019-01-30,2019-02-02,CNN/SSRS,1011,a,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,44,41,15,20,67,http://cdn.cnn.com/cnn/2019/images/02/07/rel2c.-.russia.pdf
50,2019-02-07,2019-02-08,YouGov/HuffPost,1000,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel on the Russia probe?,36,33,31,16,63,https://big.assets.huffingtonpost.com/athena/files/2019/02/13/5c6446b4e4b08da0ec8141f3.pdf
51,2019-02-06,2019-02-10,Washington Post/Schar School,841,a,"As you may know, special counsel Robert Mueller is investigating Russia’s role in the 2016 election and its possible ties with Donald Trump’s presidential campaign. Do you approve or disapprove of the way Mueller is handling this investigation? Do you approve/disapprove strongly or somewhat?",51,34,15,21,77,https://drive.google.com/file/d/1JWqPDt4hMKpZ9hpCAq2pzrOZki-NwSHN/view
52,2019-02-24,2019-02-26,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,40,30,30,22,62,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/oo6kz6sf4b/econTabReport.pdf
53,2019-03-03,2019-03-05,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,37,34,28,15,65,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/9d5s05pspt/econTabReport.pdf
54,2019-03-14,2019-03-17,CNN/SSRS,1003,a,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,48,37,15,20,75,http://cdn.cnn.com/cnn/2019/images/03/20/rel4c.-.trump.and.russia.pdf
55,2019-03-17,2019-03-20,Fox News,1002,rv,Do you approve or disapprove of Robert Mueller’s investigation of the Trump campaign’s ties with Russia and potential obstruction of justice charges against members of the Trump administration?,52,36,12,23,82,https://www.foxnews.com/politics/fox-news-poll-3-24-2019
56,2019-03-24,2019-03-26,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,48,25,27,35,72,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/6ujvi5p8z1/econTabReport.pdf
57,2019-03-25,2019-03-27,Marist,938,a,Do you approve or disapprove of the job Robert Mueller did as special counsel investigating possible wrongdoing and Russian interference in the 2016 election?,51,27,22,47,53,http://maristpoll.marist.edu/wp-content/uploads/2019/03/NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_1903251153.pdf
58,2019-03-25,2019-03-27,YouGov/HuffPost,1000,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel on the Russia probe?,43,27,30,44,51,https://big.assets.huffingtonpost.com/athena/files/2019/03/28/5c9d2beee4b00ba632795d13.pdf
59,2019-03-26,2019-03-29,Washington Post/Schar School,640,a,"As you may know, special counsel Robert Mueller has completed his investigation of Russia’s role in the 2016 election and its possible ties with Donald Trump’s presidential campaign. Do you approve or disapprove of the way Mueller handled this investigation? Do you approve/disapprove strongly or somewhat?",53,30,17,46,62,https://www.washingtonpost.com/page/2010-2019/WashingtonPost/2019/03/30/National-Politics/Polling/question_21323.xml
60,2019-03-31,2019-04-02,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,48,25,27,42,63,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/t1fl59zsim/econTabReport.pdf
61,2019-04-13,2019-04-16,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,45,23,32,35,62,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/egvqvgp5a7/econTabReport.pdf
62,2019-04-18,2019-04-19,YouGov/HuffPost,1000,a,Do you approve or disapprove of the way Robert Mueller has handled his job as special counsel on the Russia probe?,44,28,27,39,59,https://big.assets.huffingtonpost.com/athena/files/2019/04/22/5cbe11f6e4b0f7a84a73723d.pdf
63,2019-04-21,2019-04-23,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,47,27,26,37,64,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/75p17530i6/econTabReport.pdf
64,2019-04-25,2019-04-28,CNN/SSRS,1007,a,Do you approve or disapprove of the way Robert Mueller handled the investigation into Russian interference in the 2016 election?,59,30,11,50,69,http://cdn.cnn.com/cnn/2019/images/04/30/rel6c.-.mueller.report.pdf
65,2019-04-24,2019-04-29,Marist,1017,a,Do you approve or disapprove of the job Robert Mueller did as special counsel investigating possible wrongdoing and Russian interference in the 2016 election?,54,26,20,47,61,http://maristpoll.marist.edu/wp-content/uploads/2019/04/NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_1904301401.pdf
