rownames,year.key,league.key,team.key,park.key,span.first,span.last,games,openings,attendance
43,1873,NA,PH2,PHI01,1873-05-01,1873-10-16,27,0,0
44,1873,NA,WS5,WAS01,1873-04-15,1873-10-23,18,0,0
45,1874,NA,BL1,BAL02,1874-04-22,1874-10-14,20,15,11100
46,1874,NA,BR2,NYC01,1874-05-05,1874-10-29,29,27,19800
47,1874,NA,BS1,BOS01,1874-05-02,1874-10-28,34,32,45300
48,1874,NA,BS1,WOR03,1874-10-30,1874-10-30,1,1,500
49,1874,NA,CH2,CHI02,1874-05-13,1874-10-10,28,28,75692
50,1874,NA,HR1,BOS01,1874-08-12,1874-08-12,1,1,500
51,1874,NA,HR1,HRT01,1874-05-01,1874-10-28,30,26,28355
52,1874,NA,NY2,NYC01,1874-05-06,1874-10-30,35,32,37600
53,1874,NA,PH1,PHI01,1874-04-16,1874-10-24,29,29,29600
54,1874,NA,PH2,PHI01,1874-05-04,1874-10-21,25,25,24050
55,1875,NA,BR2,NYC01,1875-05-05,1875-10-09,27,26,11324
56,1875,NA,BS1,BOS01,1875-04-19,1875-10-30,35,34,46030
57,1875,NA,BS1,PRO01,1875-06-22,1875-06-22,1,1,1400
58,1875,NA,BS1,SPR01,1875-05-14,1875-05-14,1,1,1600
59,1875,NA,CH2,CHI02,1875-05-15,1875-10-02,33,33,61155
60,1875,NA,HR1,HRT01,1875-04-24,1875-10-29,38,37,54524
61,1875,NA,HR1,PRO01,1875-06-12,1875-06-12,1,1,1200
62,1875,NA,KEO,KEO01,1875-05-04,1875-06-14,8,8,4277
63,1875,NA,NH1,NEW01,1875-04-26,1875-10-28,26,23,14404
64,1875,NA,NH1,NEW02,1875-04-21,1875-04-21,1,1,700
65,1875,NA,NY2,NYC01,1875-04-30,1875-10-29,36,36,29202
66,1875,NA,PH1,DOV01,1875-06-24,1875-06-24,1,0,0
67,1875,NA,PH1,PHI01,1875-04-22,1875-10-28,36,35,45353
68,1875,NA,PH1,PHI02,1875-06-04,1875-06-04,1,1,300
69,1875,NA,PH2,COV01,1875-09-21,1875-09-21,1,1,800
70,1875,NA,PH2,LUD01,1875-09-22,1875-09-22,1,1,500
71,1875,NA,PH2,PHI01,1875-04-26,1875-10-25,31,29,25229
72,1875,NA,PH3,PHI02,1875-04-21,1875-05-24,7,5,3300
73,1875,NA,SL1,STL01,1875-05-04,1875-07-04,14,14,5700
74,1875,NA,SL2,STL02,1875-05-06,1875-10-08,34,34,81028
75,1875,NA,WS6,BAL02,1875-06-01,1875-06-09,2,1,200
76,1875,NA,WS6,RIC01,1875-04-29,1875-05-01,2,2,2000
77,1875,NA,WS6,WAS01,1875-04-26,1875-06-08,8,7,8350
78,1876,NL,BSN,BOS01,1876-04-29,1876-10-21,36,0,0
79,1876,NL,CHN,CHI02,1876-05-10,1876-09-27,31,22,74000
80,1876,NL,CN1,CIN02,1876-04-25,1876-10-09,30,0,0
81,1876,NL,HAR,HRT01,1876-05-01,1876-09-16,32,0,0
82,1876,NL,LS1,LOU01,1876-04-25,1876-10-05,33,0,0
83,1876,NL,NY3,NYC01,1876-04-25,1876-10-17,33,0,0
84,1876,NL,PHN,PHI01,1876-04-22,1876-09-16,35,0,0
85,1876,NL,SL3,STL02,1876-05-05,1876-10-04,30,0,0
86,1877,NL,BSN,BOS01,1877-06-02,1877-09-29,32,0,0
87,1877,NL,CHN,CHI02,1877-05-08,1877-10-06,29,13,33500
88,1877,NL,CN1,CIN02,1877-05-14,1877-09-29,31,0,0
89,1877,NL,HAR,NEW01,1877-09-22,1877-09-22,1,0,0
90,1877,NL,HAR,NYC01,1877-04-30,1877-09-21,28,0,0
91,1877,NL,LS1,LOU01,1877-05-10,1877-09-29,29,0,0
92,1877,NL,SL3,STL02,1877-05-08,1877-10-06,30,0,0
93,1878,NL,BSN,BOS01,1878-05-04,1878-09-28,30,0,0
94,1878,NL,CHN,CHI03,1878-05-14,1878-09-14,35,11,30400
95,1878,NL,CN1,CIN02,1878-05-01,1878-09-07,34,0,0
96,1878,NL,IN1,IND01,1878-05-01,1878-09-13,22,0,0
97,1878,NL,IN1,PIT01,1878-08-22,1878-08-24,3,0,0
98,1878,NL,IN1,STL02,1878-07-09,1878-07-13,3,0,0
99,1878,NL,ML2,MIL01,1878-05-14,1878-09-14,25,0,0
100,1878,NL,PRO,NYC01,1878-07-26,1878-07-26,1,0,0
101,1878,NL,PRO,PRO02,1878-05-01,1878-09-30,31,0,0
102,1879,NL,BFN,BUF01,1879-05-01,1879-09-30,40,0,0
103,1879,NL,BSN,BOS01,1879-05-28,1879-09-27,42,0,0
104,1879,NL,CHN,CHI03,1879-05-01,1879-08-26,43,10,26700
105,1879,NL,CL2,CLE02,1879-05-01,1879-09-30,42,0,0
106,1879,NL,CN1,CIN02,1879-05-01,1879-08-27,37,0,0
107,1879,NL,PRO,PRO02,1879-05-28,1879-09-30,42,0,0
108,1879,NL,SR1,SYR01,1879-05-28,1879-09-10,34,0,0
109,1879,NL,TRN,TRO02,1879-05-28,1879-09-20,41,0,0
110,1880,NL,BFN,BUF01,1880-05-07,1880-09-16,43,0,0
111,1880,NL,BSN,BOS01,1880-05-04,1880-09-30,43,0,0
112,1880,NL,CHN,CHI03,1880-05-07,1880-09-30,43,38,76150
113,1880,NL,CL2,CLE02,1880-05-01,1880-09-22,44,0,0
114,1880,NL,CN1,CIN03,1880-05-01,1880-09-30,40,0,0
115,1880,NL,PRO,PRO02,1880-05-01,1880-09-27,44,0,0
116,1880,NL,TRN,ALB01,1880-09-11,1880-09-11,1,0,0
117,1880,NL,TRN,TRO01,1880-05-18,1880-09-17,40,0,0
118,1880,NL,WOR,WOR01,1880-05-01,1880-10-01,42,0,0
119,1881,NL,BFN,BUF01,1881-05-05,1881-09-10,41,0,0
120,1881,NL,BSN,BOS01,1881-05-03,1881-09-30,41,0,0
121,1881,NL,CHN,CHI03,1881-04-30,1881-08-25,42,40,94800
122,1881,NL,CL2,CLE02,1881-05-06,1881-09-05,42,0,0
123,1881,NL,DTN,DET01,1881-05-02,1881-09-09,42,0,0
124,1881,NL,PRO,PRO02,1881-05-02,1881-09-30,43,0,0
125,1881,NL,TRN,ALB01,1881-06-15,1881-09-10,2,0,0
126,1881,NL,TRN,TRO01,1881-05-05,1881-09-30,41,0,0
127,1881,NL,WOR,WOR01,1881-04-30,1881-09-30,42,0,0
128,1882,NL,BFN,BUF01,1882-05-01,1882-09-26,39,0,0
129,1882,AA,BL2,BAL02,1882-05-09,1882-09-30,33,0,0
130,1882,NL,BSN,BOS01,1882-05-01,1882-09-30,43,0,0
131,1882,NL,CHN,CHI03,1882-05-10,1882-09-30,45,43,138300
132,1882,NL,CL2,CLE02,1882-05-01,1882-09-30,42,0,0
133,1882,AA,CN2,CIN03,1882-05-02,1882-09-28,42,0,0
134,1882,NL,DTN,DET01,1882-05-15,1882-09-20,43,0,0
135,1882,AA,LS2,LOU02,1882-05-05,1882-09-25,39,0,0
136,1882,AA,PH4,PHI03,1882-05-02,1882-09-21,39,0,0
137,1882,NL,PRO,PRO02,1882-05-01,1882-10-02,42,0,0
138,1882,AA,PT1,PIT02,1882-05-10,1882-09-23,37,0,0
139,1882,AA,SL4,STL03,1882-05-02,1882-10-01,44,0,0
140,1882,NL,TRN,ALB01,1882-05-16,1882-05-30,4,0,0
141,1882,NL,TRN,WAT01,1882-05-20,1882-08-26,38,0,0
142,1882,NL,WOR,WOR01,1882-05-02,1882-09-29,42,0,0
143,1883,NL,BFN,BUF01,1883-05-05,1883-09-08,49,0,0
144,1883,AA,BL2,BAL03,1883-05-01,1883-09-06,49,0,0
145,1883,NL,BSN,BOS01,1883-05-30,1883-09-29,49,0,0
146,1883,NL,CHN,CHI03,1883-05-05,1883-09-08,49,44,122800
147,1883,NL,CL2,CLE02,1883-05-01,1883-08-22,49,0,0
148,1883,AA,CL5,COL01,1883-05-01,1883-09-27,47,0,0
149,1883,AA,CN2,CIN03,1883-05-01,1883-09-29,51,0,0
150,1883,NL,DTN,DET01,1883-05-01,1883-09-03,51,0,0
151,1883,AA,LS2,LOU02,1883-05-11,1883-09-30,47,0,0
152,1883,NL,NY1,NYC03,1883-05-01,1883-09-29,49,0,0
153,1883,AA,NY4,NYC03,1883-05-12,1883-09-06,34,0,0
154,1883,AA,NY4,NYC04,1883-05-30,1883-09-04,13,0,0
155,1883,AA,PH4,PHI01,1883-05-10,1883-09-07,51,0,0
156,1883,NL,PHI,PHI04,1883-05-01,1883-09-29,50,0,0
157,1883,NL,PRO,PRO02,1883-05-30,1883-09-29,49,0,0
158,1883,AA,PT1,PIT02,1883-06-12,1883-09-06,32,0,0
159,1883,AA,PT1,PIT03,1883-05-01,1883-06-09,17,0,0
160,1883,AA,SL4,STL03,1883-05-15,1883-09-30,49,0,0
161,1884,UA,ALT,ALT01,1884-04-30,1884-05-31,18,0,0
162,1884,NL,BFN,BUF02,1884-05-21,1884-10-15,58,0,0
163,1884,AA,BL2,BAL03,1884-05-01,1884-10-15,57,0,0
164,1884,UA,BLU,BAL04,1884-04-17,1884-09-24,49,0,0
165,1884,UA,BLU,BAL05,1884-08-25,1884-08-25,1,0,0
166,1884,AA,BR3,NYC05,1884-05-05,1884-10-15,52,0,0
167,1884,NL,BSN,BOS01,1884-05-01,1884-09-13,56,0,0
168,1884,UA,BSU,BOS02,1884-04-30,1884-09-24,57,0,0
169,1884,NL,CHN,CHI03,1884-05-29,1884-10-11,57,50,94100
170,1884,UA,CHU,BAL04,1884-09-17,1884-09-17,1,0,0
171,1884,UA,CHU,CHI05,1884-05-02,1884-08-01,35,0,0
172,1884,UA,CHU,PIT03,1884-08-25,1884-08-30,5,0,0
173,1884,NL,CL2,CLE02,1884-05-21,1884-10-11,56,0,0
174,1884,AA,CL5,COL01,1884-05-14,1884-09-22,55,0,0
175,1884,AA,CN2,CIN04,1884-05-01,1884-09-22,56,0,0
176,1884,AA,CN2,NYC05,1884-10-10,1884-10-10,1,0,0
177,1884,UA,CNU,CIN03,1884-04-17,1884-10-15,52,0,0
178,1884,NL,DTN,DET01,1884-06-02,1884-10-14,58,0,0
179,1884,AA,IN2,IND02,1884-05-14,1884-09-20,44,0,0
180,1884,AA,IN2,IND03,1884-05-18,1884-09-21,11,0,0
181,1884,UA,KCU,KAN01,1884-06-07,1884-10-19,36,0,0
182,1884,AA,LS2,LOU02,1884-05-01,1884-09-22,56,0,0
183,1884,UA,MLU,MIL02,1884-09-27,1884-10-12,12,0,0
184,1884,NL,NY1,NYC03,1884-05-01,1884-09-13,58,0,0
185,1884,AA,NY4,NYC03,1884-07-17,1884-10-15,22,0,0
186,1884,AA,NY4,NYC06,1884-05-13,1884-08-23,33,0,0
187,1884,AA,PH4,PHI01,1884-05-09,1884-10-15,54,0,0
188,1884,NL,PHI,PHI04,1884-05-01,1884-10-15,57,0,0
189,1884,UA,PHU,PHI05,1884-04-17,1884-08-07,35,0,0
190,1884,NL,PRO,PRO02,1884-05-01,1884-09-13,57,0,0
191,1884,AA,PT1,PIT04,1884-05-01,1884-10-15,56,0,0
192,1884,AA,RIC,RIC02,1884-08-05,1884-10-15,22,0,0
193,1884,AA,SL4,STL03,1884-05-01,1884-09-23,55,0,0
194,1884,UA,SLU,STL04,1884-04-20,1884-10-19,55,0,0
195,1884,AA,TL1,TOL01,1884-05-14,1884-09-24,54,0,0
196,1884,AA,TL1,TOL02,1884-09-13,1884-09-13,1,0,0
197,1884,UA,WIL,WIL01,1884-09-02,1884-09-10,7,0,0
198,1884,AA,WS7,WAS04,1884-05-01,1884-08-02,30,0,0
199,1884,UA,WSU,WAS03,1884-04-18,1884-09-25,65,0,0
200,1885,NL,BFN,BUF02,1885-05-08,1885-10-07,50,0,0
201,1885,NL,BFN,ELM01,1885-10-10,1885-10-10,2,0,0
202,1885,NL,BFN,MIL02,1885-09-04,1885-09-04,1,0,0
203,1885,AA,BL2,BAL03,1885-04-20,1885-10-01,55,0,0
204,1885,AA,BR3,NYC05,1885-04-24,1885-10-01,57,0,0
205,1885,NL,BSN,BOS01,1885-05-11,1885-09-12,59,0,0
206,1885,NL,CHN,CHI06,1885-06-06,1885-10-10,56,54,154677
207,1885,AA,CN2,CIN04,1885-04-20,1885-08-30,56,0,0
208,1885,NL,DTN,DET01,1885-05-01,1885-10-09,52,0,0
209,1885,AA,LS2,LOU02,1885-04-19,1885-08-30,56,0,0
210,1885,NL,NY1,NYC03,1885-05-02,1885-09-26,61,0,0
211,1885,AA,NY4,NYC03,1885-04-24,1885-10-01,52,0,0
212,1885,AA,PH4,PHI01,1885-04-18,1885-10-05,57,0,0
213,1885,NL,PHI,PHI04,1885-05-02,1885-09-07,55,0,0
214,1885,NL,PRO,MIL02,1885-09-25,1885-09-25,1,0,0
215,1885,NL,PRO,PRO02,1885-05-11,1885-09-09,50,0,0
216,1885,AA,PT1,PIT04,1885-04-28,1885-09-05,57,0,0
217,1885,AA,SL4,STL03,1885-04-18,1885-09-06,55,0,0
218,1885,NL,SL5,IND02,1885-09-15,1885-09-15,1,0,0
219,1885,NL,SL5,STL04,1885-04-30,1885-10-09,57,0,0
220,1886,AA,BL2,BAL03,1886-04-17,1886-09-23,67,3,6300
221,1886,AA,BR3,NYC05,1886-04-22,1886-09-23,56,3,12000
222,1886,AA,BR3,NYC07,1886-05-02,1886-09-19,14,3,17000
223,1886,NL,BSN,BOS01,1886-05-28,1886-10-09,59,0,0
224,1886,NL,CHN,CHI06,1886-05-06,1886-09-11,62,53,172600
225,1886,AA,CN2,CIN04,1886-04-17,1886-10-10,71,2,13000
226,1886,NL,DTN,DET01,1886-05-10,1886-09-23,62,1,5000
227,1886,NL,KCN,KAN02,1886-04-30,1886-09-18,58,1,5000
228,1886,AA,LS2,LOU02,1886-04-18,1886-10-10,69,1,10000
229,1886,NL,NY1,NYC03,1886-04-29,1886-10-09,63,4,56000
230,1886,AA,NY4,SAI01,1886-04-22,1886-09-23,65,2,10000
231,1886,AA,PH4,PHI01,1886-04-17,1886-10-15,71,2,11000
232,1886,NL,PHI,PHI04,1886-05-03,1886-10-09,62,2,9058
233,1886,AA,PT1,PIT04,1886-05-01,1886-10-12,74,1,1000
234,1886,AA,SL4,STL03,1886-04-18,1886-10-10,70,4,33000
235,1886,NL,SL5,STL04,1886-04-29,1886-09-23,63,1,3500
236,1886,NL,WS8,WAS05,1886-04-29,1886-10-11,66,4,6700
237,1887,AA,BL2,BAL03,1887-04-16,1887-10-01,68,2,15500
238,1887,AA,BR3,NYC05,1887-04-16,1887-10-06,59,4,36500
239,1887,AA,BR3,NYC18,1887-04-24,1887-10-09,15,3,25000
240,1887,NL,BSN,BOS01,1887-05-09,1887-09-10,60,4,41000
241,1887,NL,CHN,CHI06,1887-05-06,1887-09-29,67,59,280150
242,1887,AA,CL3,CLE03,1887-05-04,1887-10-03,59,7,17200
243,1887,AA,CL3,CLE09,1887-08-21,1887-08-21,1,0,0
244,1887,AA,CN2,CIN04,1887-04-16,1887-10-02,73,2,20000
245,1887,NL,DTN,DET01,1887-05-05,1887-09-28,62,5,16700
246,1887,NL,IN3,IND04,1887-04-28,1887-10-08,64,2,4200
247,1887,AA,LS2,LOU02,1887-04-16,1887-10-09,69,3,12000
248,1887,NL,NY1,NYC03,1887-04-28,1887-10-08,63,8,51525
249,1887,AA,NY4,NYC05,1887-10-08,1887-10-08,1,0,0
250,1887,AA,NY4,SAI01,1887-05-03,1887-10-10,60,2,4000
251,1887,AA,NY4,WEE01,1887-09-11,1887-09-11,1,0,0
252,1887,AA,PH4,PHI01,1887-04-21,1887-10-10,71,4,29500
253,1887,NL,PHI,PHI06,1887-04-30,1887-10-07,64,2,26500
254,1887,NL,PIT,PIT04,1887-04-30,1887-10-08,65,7,33500
255,1887,AA,SL4,STL03,1887-04-22,1887-10-09,73,2,15000
256,1887,NL,WS8,WAS05,1887-04-29,1887-10-08,62,4,8300
257,1887,NL,WS8,WOR02,1887-08-17,1887-08-17,1,0,0
258,1888,AA,BL2,BAL03,1888-04-20,1888-10-13,56,0,0
259,1888,AA,BR3,NYC05,1888-04-18,1888-10-16,56,6,9200
260,1888,AA,BR3,NYC18,1888-04-22,1888-10-14,20,0,0
261,1888,NL,BSN,BOS03,1888-05-25,1888-10-13,68,1,15000
262,1888,NL,CHN,CHI06,1888-05-01,1888-09-26,70,58,283642
263,1888,AA,CL3,CLE03,1888-05-02,1888-09-15,56,3,1500
264,1888,AA,CL3,GEA01,1888-07-22,1888-08-26,3,0,0
265,1888,AA,CL3,NEW03,1888-09-02,1888-09-02,1,0,0
266,1888,AA,CN2,CIN04,1888-05-01,1888-10-14,82,4,17900
267,1888,NL,DTN,DET01,1888-05-01,1888-09-22,68,2,14000
268,1888,NL,IN3,IND05,1888-04-20,1888-09-22,66,3,8000
269,1888,AA,KC2,KAN02,1888-04-18,1888-09-29,56,1,1000
270,1888,AA,KC2,KAN03,1888-09-30,1888-09-30,1,0,0
271,1888,AA,LS2,LOU02,1888-04-28,1888-10-14,60,1,1200
272,1888,NL,NY1,NYC03,1888-04-25,1888-10-13,70,8,51900
273,1888,AA,PH4,GLO01,1888-10-14,1888-10-14,1,0,0
274,1888,AA,PH4,GLO02,1888-08-05,1888-08-26,2,0,0
275,1888,AA,PH4,PHI01,1888-04-18,1888-10-17,72,1,2014
276,1888,NL,PHI,PHI06,1888-04-20,1888-10-13,66,1,1200
277,1888,NL,PIT,PIT04,1888-04-20,1888-09-27,70,4,13000
278,1888,AA,SL4,STL03,1888-04-18,1888-10-11,82,1,8000
279,1888,NL,WS8,WAS05,1888-04-20,1888-10-13,66,0,0
280,1889,AA,BL2,BAL06,1889-04-18,1889-10-10,67,1,2108
281,1889,AA,BR3,NYC05,1889-04-25,1889-05-04,8,0,0
282,1889,AA,BR3,NYC08,1889-05-30,1889-10-05,49,7,57759
283,1889,AA,BR3,NYC18,1889-05-05,1889-10-06,14,2,12684
284,1889,NL,BSN,BOS03,1889-05-08,1889-09-18,68,1,10000
285,1889,NL,CHN,CHI06,1889-05-08,1889-10-05,69,38,115050
286,1889,NL,CL4,CLE03,1889-05-03,1889-10-05,68,1,10000
287,1889,AA,CL6,COL02,1889-04-28,1889-10-14,69,0,0
288,1889,AA,CN2,CIN04,1889-04-17,1889-10-15,74,3,22000
289,1889,NL,IN3,IND05,1889-04-24,1889-10-05,69,0,0
290,1889,AA,KC2,KAN03,1889-04-25,1889-09-30,70,0,0
291,1889,AA,LS2,LOU02,1889-04-17,1889-10-14,64,2,3000
292,1889,NL,NY1,JER01,1889-04-24,1889-04-25,2,0,0
293,1889,NL,NY1,NYC09,1889-07-08,1889-09-14,38,1,2000
294,1889,NL,NY1,SAI01,1889-04-29,1889-06-14,23,2,5490
295,1889,AA,PH4,GLO01,1889-04-21,1889-10-13,14,0,0
296,1889,AA,PH4,PHI01,1889-04-18,1889-10-15,59,2,3078
297,1889,NL,PHI,PHI06,1889-04-29,1889-09-21,68,0,0
298,1889,NL,PIT,PIT04,1889-04-24,1889-10-05,70,0,0
299,1889,AA,SL4,STL03,1889-04-25,1889-10-06,71,1,14000
300,1889,NL,WS8,WAS05,1889-04-24,1889-09-21,56,0,0
301,1890,PL,BFP,BUF03,1890-04-19,1890-10-04,65,4,2292
302,1890,AA,BL3,BAL06,1890-08-27,1890-10-15,22,1,4192
303,1890,AA,BR4,MAS01,1890-07-27,1890-08-03,2,0,0
304,1890,AA,BR4,NYC09,1890-06-09,1890-08-02,8,0,0
305,1890,AA,BR4,NYC18,1890-04-17,1890-06-08,28,3,6362
306,1890,NL,BRO,NYC08,1890-04-28,1890-10-03,74,5,15061
307,1890,PL,BRP,NYC11,1890-04-28,1890-09-12,66,7,8134
308,1890,NL,BSN,BOS03,1890-04-19,1890-09-16,66,2,6691
309,1890,PL,BSP,BOS04,1890-04-19,1890-09-10,73,6,28726
310,1890,NL,CHN,CHI06,1890-04-29,1890-10-03,74,66,112944
311,1890,PL,CHP,CHI07,1890-05-05,1890-10-04,70,9,41725
312,1890,NL,CIN,CIN04,1890-04-19,1890-10-03,73,6,24264
313,1890,NL,CL4,CLE03,1890-04-25,1890-10-04,63,4,6150
314,1890,NL,CL4,DET01,1890-09-23,1890-09-23,1,1,2000
315,1890,NL,CL4,IND06,1890-07-28,1890-08-02,6,0,0
316,1890,AA,CL6,COL02,1890-04-17,1890-10-13,71,1,4000
317,1890,PL,CLP,CLE04,1890-04-30,1890-10-04,62,9,13238
318,1890,AA,LS2,LOU02,1890-04-18,1890-10-14,74,4,35269
319,1890,NL,NY1,NYC09,1890-04-19,1890-09-13,66,5,10054
320,1890,PL,NYP,NYC10,1890-04-19,1890-09-18,66,8,26684
321,1890,AA,PH4,GLO01,1890-04-27,1890-10-12,13,0,0
322,1890,AA,PH4,PHI01,1890-04-17,1890-10-11,59,1,11810
323,1890,NL,PHI,PHI06,1890-04-29,1890-09-10,76,4,11166
324,1890,PL,PHP,PHI07,1890-04-30,1890-09-17,65,6,33755
325,1890,NL,PIT,CAN02,1890-09-18,1890-09-18,1,0,0
326,1890,NL,PIT,PIT04,1890-04-19,1890-09-30,38,7,4275
327,1890,NL,PIT,WHE01,1890-09-22,1890-09-22,1,0,0
328,1890,PL,PTP,PIT05,1890-04-19,1890-10-04,65,8,28389
329,1890,AA,RC2,IRO01,1890-05-11,1890-07-20,6,0,0
330,1890,AA,RC2,ROC01,1890-04-28,1890-10-04,57,0,0
331,1890,AA,SL4,STL03,1890-04-22,1890-10-10,72,1,6775
332,1890,AA,SR2,SYR02,1890-04-28,1890-10-04,54,1,1165
333,1890,AA,SR2,SYR03,1890-08-03,1890-08-03,1,0,0
334,1890,AA,SR2,THR01,1890-05-18,1890-07-20,5,0,0
335,1890,AA,TL2,TOL03,1890-05-01,1890-10-02,68,2,7800
336,1891,AA,BL3,BAL06,1891-04-08,1891-05-09,14,1,5800
337,1891,AA,BL3,BAL07,1891-05-11,1891-10-03,56,0,0
338,1891,NL,BRO,NYC11,1891-04-27,1891-09-30,72,68,181919
339,1891,AA,BS2,BOS04,1891-04-18,1891-10-03,70,1,5000
340,1891,NL,BSN,BOS03,1891-04-27,1891-09-30,73,64,178980
341,1891,NL,CHN,CHI06,1891-05-01,1891-10-02,31,30,66160
342,1891,NL,CHN,CHI07,1891-05-05,1891-10-03,36,36,119089
343,1891,NL,CIN,CIN04,1891-04-22,1891-09-23,67,66,89154
344,1891,NL,CL4,CLE05,1891-05-01,1891-10-03,69,68,118665
345,1891,AA,CL6,COL02,1891-04-18,1891-09-22,62,1,1209
346,1891,AA,CN3,PEN01,1891-04-25,1891-08-13,45,1,4125
347,1891,AA,LS2,LOU02,1891-04-08,1891-09-27,71,0,0
348,1891,AA,ML3,MIL03,1891-09-10,1891-10-04,20,1,300
349,1891,AA,ML3,MIN01,1891-10-02,1891-10-02,1,0,0
350,1891,NL,NY1,NYC10,1891-04-22,1891-10-03,69,62,196303
351,1891,AA,PH4,PHI07,1891-04-08,1891-10-05,72,1,2169
352,1891,NL,PHI,PHI06,1891-04-22,1891-10-03,69,62,214178
353,1891,NL,PIT,PIT05,1891-04-22,1891-09-30,66,63,124898
354,1891,AA,SL4,STL03,1891-04-08,1891-10-04,74,3,7377
355,1891,AA,WS9,WAS06,1891-04-13,1891-10-06,72,0,0
356,1892,NL,BLN,BAL07,1892-04-12,1892-10-15,77,65,94750
357,1892,NL,BRO,NYC11,1892-04-22,1892-10-11,78,73,188811
358,1892,NL,BSN,BOS03,1892-04-21,1892-10-08,76,68,147465
359,1892,NL,CHN,CHI07,1892-04-23,1892-10-06,67,67,120572
360,1892,NL,CIN,CIN04,1892-04-12,1892-10-15,80,73,197487
361,1892,NL,CL4,CLE05,1892-04-21,1892-10-15,79,69,140810
362,1892,NL,LS3,LOU02,1892-04-12,1892-10-09,70,63,135686
363,1892,NL,NY1,NYC10,1892-04-23,1892-10-12,79,73,132211
364,1892,NL,PHI,PHI06,1892-04-12,1892-10-15,79,72,193092
365,1892,NL,PHI,PIT05,1892-06-30,1892-06-30,2,1,1835
366,1892,NL,PIT,PIT05,1892-04-22,1892-10-12,89,78,184902
367,1892,NL,SLN,KAN03,1892-08-23,1892-10-15,3,3,11321
368,1892,NL,SLN,STL03,1892-04-12,1892-10-13,72,67,185652
369,1892,NL,WAS,WAS06,1892-04-12,1892-10-15,70,62,124955
370,1893,NL,BLN,BAL07,1893-04-29,1893-09-13,60,58,137316
371,1893,NL,BRO,NYC11,1893-05-05,1893-09-09,67,61,223346
372,1893,NL,BSN,BOS03,1893-05-15,1893-09-09,65,57,192092
