rownames,year,yor,loc,env,rep,gen,daystoflower,plantheight,earheight,population,lodged,moisture,testweight,yield
52,2000,2000,BA,2000BA,R4,TR1167CL,79,248.92,88.9,62431.07825,0,10.7,80.37315,10.67590706
53,2000,2000,BA,2000BA,R1,TR1157,80,241.3,83.82,60278.7937,1,10.9,76.25475,8.69466628
54,2000,2000,BA,2000BA,R2,TR1157,79,246.38,99.06,62431.07825,3,10.6,78.03081,9.475054876
55,2000,2000,BA,2000BA,R3,TR1157,80,254,88.9,60278.7937,0,10.9,76.3191,9.103302112
56,2000,2000,BA,2000BA,R4,TR1157,79,254,96.52,63866.7583,0,10.5,78.01794,9.095879152
57,2000,2000,BA,2000BA,R1,TR702,81,231.14,81.28,58843.11365,0,10.7,83.44908,8.50080268
58,2000,2000,BA,2000BA,R2,TR702,80,236.22,76.2,58843.11365,0,10.7,76.97547,8.370021052
59,2000,2000,BA,2000BA,R3,TR702,82,226.06,86.36,66019.04285,0,11.5,79.34355,8.52697144
60,2000,2000,BA,2000BA,R4,TR702,81,228.6,78.74,63866.7583,0,10.8,79.70391,9.189149712
61,2000,2000,BA,2000BA,R1,RX897,80,238.76,91.44,63866.7583,0,10.8,78.35256,9.790759268
62,2000,2000,BA,2000BA,R2,RX897,80,241.3,88.9,58843.11365,0,10.8,77.61897,9.484797668
63,2000,2000,BA,2000BA,R3,RX897,80,241.3,91.44,60995.3982,0,11,78.32682,9.12052564
64,2000,2000,BA,2000BA,R4,RX897,81,241.3,93.98,63147.68275,0,10.6,80.38602,9.31311754
65,2000,2000,BA,2000BA,R1,RX889,78,210.82,63.5,58124.0381,0,12.1,75.95874,8.933271112
66,2000,2000,BA,2000BA,R2,RX889,80,218.44,73.66,60278.7937,0,11.5,81.75024,9.226182872
67,2000,2000,BA,2000BA,R3,RX889,79,215.9,63.5,60995.3982,0,11.8,79.0218,9.103128784
68,2000,2000,BA,2000BA,R4,RX889,78,213.36,71.12,55971.75355,0,12.4,74.56878,8.160039832
69,2000,2000,BA,2000BA,R1,DK679BtY,77,248.92,93.98,58843.11365,0,10.8,81.09387,10.18610222
70,2000,2000,BA,2000BA,R2,DK679BtY,77,251.46,93.98,60995.3982,0,10.5,81.38988,10.34798555
71,2000,2000,BA,2000BA,R3,DK679BtY,78,241.3,93.98,59559.71815,0,11.3,79.36929,10.82637837
72,2000,2000,BA,2000BA,R4,DK679BtY,77,243.84,88.9,62431.07825,0,12.1,78.36543,10.82358816
73,2000,2000,BA,2000BA,R1,DK668,80,231.14,101.6,63866.7583,0,10.7,79.00893,9.684720212
74,2000,2000,BA,2000BA,R2,DK668,,231.14,81.28,,,10.8,76.97547,
75,2000,2000,BA,2000BA,R3,DK668,80,238.76,93.98,58843.11365,0,10.8,78.64857,8.140630864
76,2000,2000,BA,2000BA,R4,DK668,80,236.22,88.9,63866.7583,0,12.8,76.94973,8.710899452
77,2000,2000,BA,2000BA,R1,DK697,82,243.84,99.06,68171.3274,0,11.1,80.38602,9.689306496
78,2000,2000,BA,2000BA,R2,DK697,82,246.38,88.9,60278.7937,0,11.5,82.39374,10.68941094
79,2000,2000,BA,2000BA,R3,DK697,82,238.76,83.82,67454.7229,2,12.7,81.73737,10.43680485
80,2000,2000,BA,2000BA,R4,DK697,82,241.3,83.82,66019.04285,3,12.5,82.08486,9.648002936
81,2000,2000,BA,2000BA,R1,DK611,77,226.06,86.36,52383.78895,0,10.4,78.67431,8.840146876
82,2000,2000,BA,2000BA,R2,DK611,79,228.6,86.36,60995.3982,1,10.2,81.75024,11.08177152
83,2000,2000,BA,2000BA,R3,DK611,77,233.68,86.36,60278.7937,0,,,
84,2000,2000,BA,2000BA,R4,DK611,78,233.68,91.44,58124.0381,0,10.1,80.72064,9.819085836
85,2000,2000,BA,2000BA,R1,32P76,76,241.3,91.44,60995.3982,0,10.5,78.67431,10.02029955
86,2000,2000,BA,2000BA,R2,32P76,78,251.46,88.9,60278.7937,0,10.2,,9.465535652
87,2000,2000,BA,2000BA,R3,32P76,78,238.76,88.9,63866.7583,0,10.8,77.28435,9.615432972
88,2000,2000,BA,2000BA,R4,32P76,78,236.22,88.9,64583.3628,0,11.3,80.03853,11.95106357
89,2000,2000,BA,2000BA,R1,3223,81,251.46,101.6,60995.3982,0,10.7,80.38602,9.688161652
90,2000,2000,BA,2000BA,R2,3223,80,256.54,109.22,65299.9673,0,10.8,81.7245,10.42674554
91,2000,2000,BA,2000BA,R3,3223,80,254,101.6,60278.7937,0,11.2,80.74638,10.64693239
92,2000,2000,BA,2000BA,R4,3223,80,264.16,106.68,61712.0027,0,10.8,80.41176,9.883578924
93,2000,2000,BA,2000BA,R1,31R88,79,261.62,99.06,62431.07825,0,12.8,81.01665,11.37592358
94,2000,2000,BA,2000BA,R2,31R88,79,259.08,88.9,60278.7937,0,12.2,84.47868,10.7842044
95,2000,2000,BA,2000BA,R3,31R88,79,266.7,99.06,58843.11365,0,11.7,81.081,10.27049726
96,2000,2000,BA,2000BA,R4,31R88,79,248.92,96.52,68171.3274,0,12.2,,11.52525884
97,2000,2000,BA,2000BA,R1,33K81,77,231.14,76.2,62431.07825,0,10.3,80.03853,8.860384804
98,2000,2000,BA,2000BA,R2,33K81,79,220.98,86.36,55971.75355,1,10.4,80.0514,9.427188088
99,2000,2000,BA,2000BA,R3,33K81,78,228.6,76.2,57407.4336,0,10.5,,9.302839064
100,2000,2000,BA,2000BA,R4,33K81,78,226.06,78.74,60278.7937,0,10.5,80.74638,10.23760702
101,2000,2000,BA,2000BA,R1,1866Bt,78,246.38,88.9,59559.71815,1,10.9,82.7541,10.77218322
102,2000,2000,BA,2000BA,R2,1866Bt,78,241.3,81.28,61712.0027,2,11.1,78.64857,9.809223724
103,2000,2000,BA,2000BA,R3,1866Bt,79,248.92,101.6,58843.11365,0,11,80.6949,9.755086356
104,2000,2000,BA,2000BA,R4,1866Bt,79,233.68,76.2,58124.0381,0,11.6,80.38602,9.794936724
105,2000,2000,BA,2000BA,R1,99202Y,79,248.92,111.76,60278.7937,0,10.8,79.72965,10.76020915
106,2000,2000,BA,2000BA,R2,99202Y,78,248.92,96.52,55971.75355,0,10.6,78.99606,9.38547256
107,2000,2000,BA,2000BA,R3,99202Y,79,261.62,114.3,58843.11365,0,10.8,79.99992,10.22047957
108,2000,2000,BA,2000BA,R4,99202Y,79,246.38,111.76,65299.9673,0,12,79.69104,11.61595084
109,2000,2000,BA,2000BA,R1,2K207Y,82,238.76,68.58,64583.3628,0,11,73.93815,7.666180632
110,2000,2000,BA,2000BA,R2,2K207Y,82,241.3,78.74,60278.7937,1,10.8,74.9034,7.8690472400000004
111,2000,2000,BA,2000BA,R3,2K207Y,82,236.22,78.74,54536.0735,0,10.4,77.32296,8.294544244
112,2000,2000,BA,2000BA,R4,2K207Y,82,238.76,78.74,63866.7583,0,10.5,78.30108,8.123168696
113,2000,2000,BA,2000BA,R1,2K208Y,82,256.54,106.68,60995.3982,0,11.3,81.06813,9.510257416
114,2000,2000,BA,2000BA,R2,2K208Y,83,241.3,93.98,61712.0027,0,13,78.66144,9.747108872
115,2000,2000,BA,2000BA,R3,2K208Y,82,266.7,91.44,66019.04285,0,12.8,79.36929,9.477136068
116,2000,2000,BA,2000BA,R4,2K208Y,83,261.62,93.98,63866.7583,0,12.7,80.38602,10.09698588
117,2000,2000,BA,2000BA,R1,2K213Y,77,236.22,76.2,53102.8645,0,11.3,75.61125,9.127385912
118,2000,2000,BA,2000BA,R2,2K213Y,77,238.76,99.06,57407.4336,0,11.1,79.70391,9.689306496
119,2000,2000,BA,2000BA,R3,2K213Y,78,226.06,99.06,63147.68275,0,12.5,79.04754,9.067976484
120,2000,2000,BA,2000BA,R4,2K213Y,78,238.76,88.9,60995.3982,4,12.1,,9.221222928
121,2000,2000,BA,2000BA,R1,2K103Y,79,236.22,68.58,54536.0735,0,13.4,79.69104,8.517459752
122,2000,2000,BA,2000BA,R2,2K103Y,80,241.3,78.74,53102.8645,0,13.4,78.33969,8.1436528
123,2000,2000,BA,2000BA,R3,2K103Y,80,241.3,78.74,62431.07825,0,13.1,80.02566,8.600551688
124,2000,2000,BA,2000BA,R4,2K103Y,82,238.76,76.2,55971.75355,0,13.7,78.31395,7.367091236
125,2000,2000,BA,2000BA,R1,31B13,80,259.08,111.76,60278.7937,0,10.8,82.05912,10.94584846
126,2000,2000,BA,2000BA,R2,31B13,81,254,104.14,63147.68275,0,11.3,80.33454,10.11533102
127,2000,2000,BA,2000BA,R3,31B13,79,251.46,93.98,55971.75355,0,10.9,79.35642,10.981652
128,2000,2000,BA,2000BA,R4,31B13,80,256.54,101.6,63147.68275,0,11.2,81.06813,10.22256076
129,2000,2000,BA,2000BA,R1,DK687,81,254,101.6,60278.7937,1,10.9,83.11446,10.99195371
130,2000,2000,BA,2000BA,R2,DK687,81,246.38,114.3,60995.3982,0,12.3,80.72064,10.76178166
131,2000,2000,BA,2000BA,R3,DK687,81,251.46,101.6,62431.07825,0,12.6,77.63184,10.07823632
132,2000,2000,BA,2000BA,R4,DK687,81,251.46,93.98,58124.0381,0,11.5,79.31781,10.78150274
133,2000,2000,BA,2000BA,R1,DK679,78,241.3,83.82,55255.14905,0,11,77.9922,7.957735912
134,2000,2000,BA,2000BA,R2,DK679,78,241.3,104.14,66735.64735,0,11.8,82.07199,10.61918358
135,2000,2000,BA,2000BA,R3,DK679,78,248.92,93.98,61712.0027,0,11.4,81.76311,10.18246422
136,2000,2000,BA,2000BA,R4,DK679,79,238.76,96.52,60995.3982,0,12.5,78.33969,8.45759942
137,2000,2000,BA,2000BA,R1,3223,82,266.7,101.6,65299.9673,0,10.9,80.03853,10.51120589
138,2000,2000,BA,2000BA,R2,3223,80,246.38,104.14,59559.71815,2,11.1,80.06427,9.600224696
139,2000,2000,BA,2000BA,R3,3223,81,261.62,111.76,65299.9673,0,,,10.3214739
140,2000,2000,BA,2000BA,R4,3223,81,254,101.6,62431.07825,0,10.7,80.36028,9.770760608
141,2000,2000,BA,2000BA,R1,31B13,81,251.46,96.52,58124.0381,0,11.2,79.65243,9.99326352
142,2000,2000,BA,2000BA,R2,31B13,80,251.46,88.9,60278.7937,0,10.9,79.34355,9.618388968
143,2000,2000,BA,2000BA,R3,31B13,80,256.54,104.14,62431.07825,0,10.8,81.73737,10.60550951
144,2000,2000,BA,2000BA,R4,31B13,81,269.24,114.3,66019.04285,0,11.1,81.73737,10.95700174
145,2000,2000,CA,2000CA,R1,F3175,68,271.78,119.38,66019.04285,0,11.5,79.17624,11.41931964
146,2000,2000,CA,2000CA,R2,F3175,67,264.16,116.84,66019.04285,0,11.3,78.67431,10.94260735
147,2000,2000,CA,2000CA,R3,F3175,68,271.78,104.14,63866.7583,0,11.3,76.69233,9.33591394
148,2000,2000,CA,2000CA,R4,F3175,68,271.78,119.38,66019.04285,0,11.4,77.88924,9.233193236
149,2000,2000,CA,2000CA,R1,F3190,68,274.32,119.38,66735.64735,0,11.6,75.70134,9.478091884
150,2000,2000,CA,2000CA,R2,F3190,68,269.24,121.92,75347.2566,1,11.3,75.36672,10.93577032
151,2000,2000,CA,2000CA,R3,F3190,68,259.08,116.84,73911.57655,1,11,77.05269,11.1408299
152,2000,2000,CA,2000CA,R4,F3190,68,266.7,127,70323.61195,1,10.7,74.44008,9.058344848
153,2000,2000,CA,2000CA,R1,9909,69,266.7,124.46,63866.7583,0,11.3,79.25346,9.752970624
154,2000,2000,CA,2000CA,R2,9909,68,271.78,127,63866.7583,0,11.5,76.65372,9.09998376
155,2000,2000,CA,2000CA,R3,9909,69,256.54,116.84,62431.07825,0,11.1,77.05269,10.24435174
156,2000,2000,CA,2000CA,R4,9909,69,271.78,119.38,66019.04285,2,11.2,77.69619,9.98984092
157,2000,2000,CA,2000CA,R1,9939,72,254,99.06,60278.7937,1,11,70.60482,7.834253528
158,2000,2000,CA,2000CA,R2,9939,72,238.76,91.44,60278.7937,0,11.3,74.1312,10.02645018
159,2000,2000,CA,2000CA,R3,9939,70,238.76,104.14,71042.6875,1,11.3,76.67946,10.37513713
160,2000,2000,CA,2000CA,R4,9939,70,259.08,111.76,60995.3982,3,11.4,75.39246,9.844414332
161,2000,2000,CA,2000CA,R1,8251IT,69,274.32,124.46,68887.9319,0,10.6,72.81846,10.04011295
162,2000,2000,CA,2000CA,R2,8251IT,69,276.86,134.62,65299.9673,0,11.5,77.31009,9.877643696
163,2000,2000,CA,2000CA,R3,8251IT,68,254,116.84,69607.00745,0,10.9,71.57007,9.59435164
164,2000,2000,CA,2000CA,R4,8251IT,69,269.24,116.84,66735.64735,1,11.7,74.42721,9.746422468
165,2000,2000,CA,2000CA,R1,2888IMI,69,271.78,129.54,71759.292,1,12,76.40919,9.974456176
166,2000,2000,CA,2000CA,R2,2888IMI,68,259.08,109.22,63866.7583,0,11.5,76.88538,9.117037728
167,2000,2000,CA,2000CA,R3,2888IMI,68,266.7,119.38,66019.04285,0,10.8,75.4182,8.690673456
168,2000,2000,CA,2000CA,R4,2888IMI,67,279.4,119.38,61712.0027,0,11.4,78.01794,10.14490291
169,2000,2000,CA,2000CA,R1,8460,72,241.3,116.84,68171.3274,1,11,76.49928,9.045064532
170,2000,2000,CA,2000CA,R2,8460,72,241.3,119.38,66735.64735,1,11.4,76.88538,11.12490508
171,2000,2000,CA,2000CA,R3,8460,71,233.68,114.3,68887.9319,0,11.5,76.03596,10.29375964
172,2000,2000,CA,2000CA,R4,8460,73,269.24,129.54,63866.7583,0,11.3,76.56363,9.800829248
173,2000,2000,CA,2000CA,R1,TR1106,69,261.62,104.14,65299.9673,1,11.1,73.29465,8.202333748
174,2000,2000,CA,2000CA,R2,TR1106,69,254,104.14,66735.64735,1,10.8,72.96003,7.865609568
175,2000,2000,CA,2000CA,R3,TR1106,68,271.78,104.14,68171.3274,0,11.5,72.80559,9.052232524
176,2000,2000,CA,2000CA,R4,TR1106,68,264.16,91.44,63866.7583,0,11,72.49671,8.84612104
177,2000,2000,CA,2000CA,R1,TR1167CL,68,256.54,119.38,69607.00745,0,11.7,78.68718,10.48148768
178,2000,2000,CA,2000CA,R2,TR1167CL,68,269.24,116.84,70323.61195,0,11,76.73094,10.12553288
179,2000,2000,CA,2000CA,R3,TR1167CL,68,261.62,119.38,68171.3274,0,11.3,75.933,9.821340356
180,2000,2000,CA,2000CA,R4,TR1167CL,67,261.62,116.84,66019.04285,0,11.5,76.40919,10.74739481
181,2000,2000,CA,2000CA,R1,TR1157,69,254,111.76,67454.7229,0,11.1,74.92914,9.151392468
182,2000,2000,CA,2000CA,R2,TR1157,69,266.7,101.6,62431.07825,0,10.9,72.80559,9.003718268
183,2000,2000,CA,2000CA,R3,TR1157,69,261.62,104.14,65299.9673,0,11.1,72.53532,8.747099884
184,2000,2000,CA,2000CA,R4,TR1157,68,256.54,114.3,71759.292,1,10.8,70.28307,9.783883296
185,2000,2000,CA,2000CA,R1,TR702,72,261.62,104.14,66019.04285,1,11.5,74.1312,9.949270236
186,2000,2000,CA,2000CA,R2,TR702,70,241.3,114.3,66735.64735,0,10.9,78.01794,10.18155048
187,2000,2000,CA,2000CA,R3,TR702,69,246.38,101.6,63866.7583,0,11.3,76.88538,10.33411492
188,2000,2000,CA,2000CA,R4,TR702,69,238.76,104.14,63147.68275,1,11.4,74.7747,8.147337276
189,2000,2000,CA,2000CA,R1,RX897,68,266.7,119.38,67454.7229,0,11,76.73094,10.45138826
190,2000,2000,CA,2000CA,R2,RX897,69,254,124.46,68171.3274,0,11.3,76.5765,9.746133588
191,2000,2000,CA,2000CA,R3,RX897,67,254,121.92,64583.3628,0,11.3,76.56363,10.29651153
192,2000,2000,CA,2000CA,R4,RX897,69,256.54,119.38,67454.7229,0,11.7,74.76183,9.97102604
193,2000,2000,CA,2000CA,R1,RX889,69,241.3,81.28,66735.64735,0,11.7,78.27534,10.28070603
194,2000,2000,CA,2000CA,R2,RX889,69,241.3,86.36,66735.64735,0,10.9,75.73995,8.739307032
195,2000,2000,CA,2000CA,R3,RX889,69,220.98,78.74,66735.64735,5,11.1,77.43879,9.898304896
196,2000,2000,CA,2000CA,R4,RX889,69,246.38,88.9,63866.7583,0,11.7,78.28821,9.46737004
197,2000,2000,CA,2000CA,R1,DK679BtY,68,264.16,127,71759.292,1,11.3,78.99606,11.52033344
198,2000,2000,CA,2000CA,R2,DK679BtY,67,271.78,116.84,70323.61195,4,11.2,77.9922,11.08499316
199,2000,2000,CA,2000CA,R3,DK679BtY,68,251.46,124.46,66735.64735,1,11.2,74.15694,10.84542875
200,2000,2000,CA,2000CA,R4,DK679BtY,68,269.24,116.84,69607.00745,0,11.9,80.63055,10.79388942
201,2000,2000,CA,2000CA,R1,DK650,71,254,101.6,71042.6875,1,11.3,76.01022,10.71356822
202,2000,2000,CA,2000CA,R2,DK650,71,251.46,104.14,63147.68275,1,11.4,74.7747,9.455145392
203,2000,2000,CA,2000CA,R3,DK650,72,266.7,111.76,70323.61195,1,10.9,76.08744,10.14721144
204,2000,2000,CA,2000CA,R4,DK650,72,256.54,104.14,67454.7229,1,11.5,78.22386,11.0680089
205,2000,2000,CA,2000CA,R1,DK697,71,266.7,134.62,66019.04285,0,11.7,79.33068,10.58698351
206,2000,2000,CA,2000CA,R2,DK697,71,281.94,127,70323.61195,0,11.1,75.73995,9.555684424
207,2000,2000,CA,2000CA,R3,DK697,69,264.16,116.84,72475.8965,0,11.2,77.02695,11.31771301
208,2000,2000,CA,2000CA,R4,DK697,70,269.24,132.08,75347.2566,0,11.4,76.35771,10.52051348
209,2000,2000,CA,2000CA,R1,7237,68,261.62,116.84,68171.3274,0,11.5,75.40533,9.836713796
210,2000,2000,CA,2000CA,R2,7237,67,259.08,119.38,70323.61195,0,11.1,73.19169,10.10387693
211,2000,2000,CA,2000CA,R3,7237,67,266.7,116.84,69607.00745,0,11.2,76.03596,10.93441007
212,2000,2000,CA,2000CA,R4,7237,69,256.54,129.54,67454.7229,3,11,72.54819,9.250867668
213,2000,2000,CA,2000CA,R1,31B13,69,269.24,132.08,64583.3628,0,10.8,75.08358,10.21360423
214,2000,2000,CA,2000CA,R2,31B13,70,269.24,132.08,67454.7229,0,12,76.07457,9.910017096
215,2000,2000,CA,2000CA,R3,31B13,69,271.78,127,66735.64735,0,11.8,78.27534,10.57159437
216,2000,2000,CA,2000CA,R4,31B13,69,264.16,127,72475.8965,4,11.5,79.57521,11.36815836
217,2000,2000,CA,2000CA,R1,32P76,68,274.32,121.92,76782.93665,0,11.4,77.96646,10.18587866
218,2000,2000,CA,2000CA,R2,32P76,68,266.7,116.84,68887.9319,1,11.7,77.72193,10.14118013
219,2000,2000,CA,2000CA,R3,32P76,68,266.7,116.84,68887.9319,0,11.8,76.35771,10.67357152
220,2000,2000,CA,2000CA,R4,32P76,69,279.4,127,66735.64735,2,11.1,77.05269,11.422965810000001
221,2000,2000,CA,2000CA,R1,31G98,70,274.32,119.38,72475.8965,0,11.4,75.70134,10.6195384
222,2000,2000,CA,2000CA,R2,31G98,71,281.94,124.46,75347.2566,0,11.3,76.34484,12.02285213
223,2000,2000,CA,2000CA,R3,31G98,71,266.7,114.3,71759.292,0,11.8,73.78371,11.55737037
224,2000,2000,CA,2000CA,R4,31G98,69,279.4,127,70323.61195,0,11.5,76.34484,11.11575951
225,2000,2000,CA,2000CA,R1,1866Bt,68,269.24,124.46,68171.3274,0,11.4,78.67431,11.25466181
226,2000,2000,CA,2000CA,R2,1866Bt,68,254,119.38,68171.3274,0,11.8,80.63055,9.691194892
227,2000,2000,CA,2000CA,R3,1866Bt,68,264.16,132.08,69607.00745,0,11.9,80.9523,9.754905492
228,2000,2000,CA,2000CA,R4,1866Bt,68,266.7,114.3,65299.9673,0,11.8,78.93171,10.09230352
229,2000,2000,CA,2000CA,R1,96204Y,70,254,114.3,63866.7583,0,12.1,80.3088,10.26801101
230,2000,2000,CA,2000CA,R2,96204Y,69,279.4,129.54,66019.04285,1,11.6,77.02695,10.16629259
231,2000,2000,CA,2000CA,R3,96204Y,69,284.48,124.46,69607.00745,1,11.2,77.68332,10.90703115
232,2000,2000,CA,2000CA,R4,96204Y,70,264.16,114.3,68887.9319,1,11.2,75.73995,8.22390806
233,2000,2000,CA,2000CA,R1,2K202Y,71,241.3,99.06,63866.7583,1,12.5,79.96131,8.390154104
234,2000,2000,CA,2000CA,R2,2K202Y,71,259.08,104.14,68171.3274,0,12.1,79.6653,7.750976332
235,2000,2000,CA,2000CA,R3,2K202Y,71,254,101.6,64583.3628,0,11.8,76.37058,8.50146522
236,2000,2000,CA,2000CA,R4,2K202Y,71,256.54,91.44,64583.3628,7,12.3,78.6357,9.396279184
237,2000,2000,CA,2000CA,R1,2K104Y,69,266.7,127,66019.04285,7,11.8,79.24059,9.731985376
238,2000,2000,CA,2000CA,R2,2K104Y,69,246.38,106.68,64583.3628,5,11.9,78.28821,8.267731784
239,2000,2000,CA,2000CA,R3,2K104Y,69,254,124.46,67454.7229,1,12.1,79.31781,9.6582318
240,2000,2000,CA,2000CA,R4,2K104Y,69,251.46,119.38,73911.57655,4,11.8,77.64471,10.3438464
241,2000,2000,CA,2000CA,R1,2K206Y,72,271.78,104.14,69607.00745,10,11.6,77.94072,9.00793466
242,2000,2000,CA,2000CA,R2,2K206Y,69,254,104.14,64583.3628,6,11.9,80.3088,8.481640516
243,2000,2000,CA,2000CA,R3,2K206Y,70,241.3,99.06,63147.68275,1,11.9,78.03081,9.82960358
244,2000,2000,CA,2000CA,R4,2K206Y,68,256.54,104.14,71759.292,15,11.5,76.67946,8.547436076
245,2000,2000,CA,2000CA,R1,2K105Y,73,271.78,132.08,66735.64735,4,12.8,73.19169,8.8083594
246,2000,2000,CA,2000CA,R2,2K105Y,74,284.48,134.62,63866.7583,3,12.4,78.67431,10.87780215
247,2000,2000,CA,2000CA,R3,2K105Y,74,276.86,144.78,70323.61195,8,12.5,77.64471,10.30559178
248,2000,2000,CA,2000CA,R4,2K105Y,73,274.32,142.24,68887.9319,6,12,77.32296,10.28986729
