rownames,year,row,col,yield,sugar,purity
147,1930,15,7,44.1,13.95,82.5
148,1930,15,8,43.2,14.36,86
149,1930,15,9,57.8,14.41,85.8
150,1930,15,10,50,13.61,80.1
151,1930,16,1,61.2,14.76,87.3
152,1930,16,2,56.3,14.03,84
153,1930,16,3,53.8,13.44,80.5
154,1930,16,4,54.7,14.22,84.1
155,1930,16,5,59.1,15.47,86.9
156,1930,16,6,49.1,13.95,83
157,1930,16,7,55.7,13.9,83.7
158,1930,16,8,48,14.58,84.8
159,1930,16,9,57.6,14.85,87.9
160,1930,16,10,51.7,14.92,85.8
161,1930,17,1,55.7,14.76,86.8
162,1930,17,2,49.7,13.52,84
163,1930,17,3,55.6,14,83.8
164,1930,17,4,45.9,14.31,83.7
165,1930,17,5,54.2,14.65,84.7
166,1930,17,6,46.4,14.43,84.9
167,1930,17,7,61.1,14.14,84.7
168,1930,17,8,54.7,14.79,87.5
169,1930,17,9,56.4,13.71,80.7
170,1930,17,10,51.2,15.06,86.1
171,1930,18,1,43.5,13.51,79.9
172,1930,18,2,48.5,13.41,79.8
173,1930,18,3,52.6,14.27,84.4
174,1930,18,4,50.1,13.74,83.8
175,1930,18,5,51.6,14.8,84.6
176,1930,18,6,48.1,13.79,82.6
177,1930,18,7,52.7,14.48,83.2
178,1930,18,8,48.1,14.55,82.2
179,1930,18,9,48,14.02,81
180,1930,18,10,50.5,14.29,79.8
181,1930,19,1,59.9,14.31,84.2
182,1930,19,2,48.7,13.66,83.8
183,1930,19,3,50.9,14.55,87.1
184,1930,19,4,48.3,14,84.8
185,1930,19,5,46.3,14.63,88.1
186,1930,19,6,51.6,14.09,81.9
187,1930,19,7,52,13.78,83
188,1930,19,8,49.6,14.05,86.2
189,1930,19,9,51.5,14.12,84.6
190,1930,19,10,55,14.58,84.3
191,1930,20,1,55.1,14.16,82.8
192,1930,20,2,55,15.04,87.4
193,1930,20,3,54.2,14.17,84.8
194,1930,20,4,49.9,13.88,85.2
195,1930,20,5,50.3,13.93,83.4
196,1930,20,6,58.6,13.97,82.2
197,1930,20,7,58.5,14.75,85.8
198,1930,20,8,61.6,14.92,87.8
199,1930,20,9,62.9,14.51,86.4
200,1930,20,10,58.1,14.66,86.2
201,1930,21,1,55.4,13.9,83.7
202,1930,21,2,49.8,13.44,83
203,1930,21,3,52.8,13.95,84.6
204,1930,21,4,48.8,14.51,86.4
205,1930,21,5,49.1,14.58,85.8
206,1930,21,6,61.7,14.55,85.6
207,1930,21,7,56.2,14,83.3
208,1930,21,8,55,14.51,85.9
209,1930,21,9,56.5,14.6,84.9
210,1930,21,10,54.8,14.38,81.2
211,1930,22,1,41.1,14.73,86.6
212,1930,22,2,46,14.05,84.1
213,1930,22,3,55.6,14.24,82.3
214,1930,22,4,51.6,14.94,87.9
215,1930,22,5,54.1,15.61,90.2
216,1930,22,6,55.4,14.71,87
217,1930,22,7,49.2,14.35,83.4
218,1930,22,8,59.6,14.82,85.7
219,1930,22,9,59.7,14.84,86.8
220,1930,22,10,58.5,14.84,82.9
221,1930,23,1,56,14,83.3
222,1930,23,2,57.8,13.97,85.7
223,1930,23,3,52.3,14.43,83.9
224,1930,23,4,48.8,14.65,84.2
225,1930,23,5,60,13.95,82.5
226,1930,23,6,56.2,14.24,83.3
227,1930,23,7,60,13.43,79.9
228,1930,23,8,56.2,14.24,84.3
229,1930,23,9,56.7,13.92,87
230,1930,23,10,54.5,14.6,84.9
231,1930,24,1,51.8,14.53,86.5
232,1930,24,2,53.2,14.25,86.9
233,1930,24,3,52,13.74,83.8
234,1930,24,4,49.7,14.19,81.6
235,1930,24,5,53.2,14.77,84.4
236,1930,24,6,50.8,13.71,84.1
237,1930,24,7,47.6,15.19,85.8
238,1930,24,8,52,14.16,84.3
239,1930,24,9,67.7,14.12,85.1
240,1930,24,10,55.9,14.52,84.9
241,1930,25,1,51.6,13.64,84.7
242,1930,25,2,49.6,13.61,81.5
243,1930,25,3,57.1,15.36,89.3
244,1930,25,4,49.8,14.09,82.9
245,1930,25,5,60,14.22,87.2
246,1930,25,6,60.6,14.41,84.8
247,1930,25,7,57.5,13.83,82.8
248,1930,25,8,54.5,14.38,85.6
249,1930,25,9,58.2,14.15,86.3
250,1930,25,10,45.5,14.82,81.2
251,1930,26,1,49.8,14.17,83.8
252,1930,26,2,54.5,13.57,83.8
253,1930,26,3,47.5,14.21,83.1
254,1930,26,4,48.1,14.87,85.5
255,1930,26,5,53.5,14.74,83.3
256,1930,26,6,49.3,14.45,84
257,1930,26,7,51,14.31,85.7
258,1930,26,8,47.2,14.85,87.4
259,1930,26,9,60.5,13.73,84.2
260,1930,26,10,59.2,15.02,87.8
261,1930,27,1,51.3,14.48,85.7
262,1930,27,2,52,13.15,80.2
263,1930,27,3,56.3,14.82,86.7
264,1930,27,4,51.1,14.97,87.5
265,1930,27,5,54.2,14.12,83.6
266,1930,27,6,60.6,14.71,86
267,1930,27,7,65.2,14.02,87.1
268,1930,27,8,56.9,14.7,85.5
269,1930,27,9,66.5,13.93,87.6
270,1930,27,10,58.1,15.19,87.3
271,1930,28,1,49.2,14.2,85.5
272,1930,28,2,48.5,14.26,83.4
273,1930,28,3,59.1,14,83.3
274,1930,28,4,60.1,14.21,83.1
275,1930,28,5,63.8,13.88,83.1
276,1930,28,6,52.5,14.27,86.5
277,1930,28,7,54.3,14.12,84.6
278,1930,28,8,58.6,15.19,85.8
279,1930,28,9,64.7,15.2,88.9
280,1930,28,10,61.4,14.22,85.7
281,1930,29,1,50.1,13.78,85.1
282,1930,29,2,57.6,13.99,84.3
283,1930,29,3,62.3,14.12,83.1
284,1930,29,4,56.1,14.48,83.7
285,1930,29,5,52.3,14.58,83.8
286,1930,29,6,63.8,14.09,82.4
287,1930,29,7,59.8,14.43,84.9
288,1930,29,8,65.3,14.07,83.8
289,1930,29,9,54.6,14.7,84.5
290,1930,29,10,50.5,14.68,85.4
291,1930,30,1,47.6,13.8,80.7
292,1930,30,2,48.1,14.52,83.9
293,1930,30,3,48.2,15.43,86.7
294,1930,30,4,47.6,14.7,85.5
295,1930,30,5,54.5,14.32,84.2
296,1930,30,6,45.3,14.31,84.2
297,1930,30,7,55.2,14.6,83.9
298,1930,30,8,52.5,13.83,84.8
299,1930,30,9,50.7,14.75,85.3
300,1930,30,10,49.5,15.84,88.5
301,1930,31,1,39.5,13.9,84.8
302,1930,31,2,40,14.87,86.4
303,1930,31,3,47,15.01,87.3
304,1930,31,4,52.1,14.82,84.7
305,1930,31,5,51.8,15.4,87
306,1930,31,6,44.8,14.8,87.6
307,1930,31,7,53.1,14,83.3
308,1930,31,8,50.7,14.51,86.4
309,1930,31,9,60.5,14.82,86.7
310,1930,31,10,54.8,15.41,87.1
311,1930,32,1,42.2,14.31,84.7
312,1930,32,2,45.8,14.28,84
313,1930,32,3,50.3,14.24,82.3
314,1930,32,4,53.3,14.68,84.9
315,1930,32,5,47.9,14.14,82.7
316,1930,32,6,57.1,14.77,83.9
317,1930,32,7,59.7,14.58,84.8
318,1930,32,8,55.1,14.31,83.7
319,1930,32,9,58,14.68,86.9
320,1930,32,10,43.3,15.75,87.5
321,1930,33,1,44.9,14.17,85.4
322,1930,33,2,52.6,15,88.8
323,1930,33,3,49.5,15.09,84.8
324,1930,33,4,50,14.55,86.1
325,1930,33,5,44.5,14.09,81.9
326,1930,33,6,40.7,14.84,86.3
327,1930,33,7,49.6,15.24,87.1
328,1930,33,8,60.6,13.88,83.1
329,1930,33,9,51.1,14.87,87.5
330,1930,33,10,55.2,15.07,87.1
331,1930,34,1,41.7,15.28,85.8
332,1930,34,2,48.9,14.71,87
333,1930,34,3,51.3,15.21,86.9
334,1930,34,4,55.3,15.24,87.6
335,1930,34,5,45.7,15.47,86.4
336,1930,34,6,46.7,14.6,84.9
337,1930,34,7,44.1,14.4,84.7
338,1930,34,8,46.2,14.21,83.6
339,1930,34,9,48.6,15.17,82.9
340,1930,34,10,54,15.3,85.5
341,1930,35,1,48.8,14.65,86.2
342,1930,35,2,46.2,14.43,84.9
343,1930,35,3,49.2,14.58,85.3
344,1930,35,4,49.9,14.84,85.3
345,1930,35,5,57.6,14.75,85.8
346,1930,35,6,48.4,13.9,84.8
347,1930,35,7,44.8,14.73,86.1
348,1930,35,8,46.6,14.45,82.6
349,1930,35,9,51.5,14.82,86.2
350,1930,35,10,50.4,15.28,86.3
351,1930,36,1,45.3,14.55,84.1
352,1930,36,2,52.1,15.17,87.2
353,1930,36,3,46.7,14.24,79.6
354,1930,36,4,53.3,14.53,86.5
355,1930,36,5,53.3,14.16,81.4
356,1930,36,6,58,14.97,85.1
357,1930,36,7,50.6,14.48,83.2
358,1930,36,8,56.6,14.58,83.3
359,1930,36,9,59.2,15.94,89.6
360,1930,36,10,55.7,14.28,81.6
361,1930,37,1,51.1,14.07,86.8
362,1930,37,2,57.6,15.28,85.8
363,1930,37,3,51.3,15.94,85.2
364,1930,37,4,62.3,14.48,83.2
365,1930,37,5,56.1,14.48,85.2
366,1930,37,6,47,15.35,85.8
367,1930,37,7,52,14.79,84.5
368,1930,37,8,58.7,14.16,81.4
369,1930,37,9,64.7,14.63,83.6
370,1930,37,10,54.2,15.9,87.4
371,1930,38,1,50.7,14.61,86.4
372,1930,38,2,53.8,14.48,83.7
373,1930,38,3,50.8,15.45,86.8
374,1930,38,4,53.1,14.8,86.6
375,1930,38,5,49.9,14.55,84.1
376,1930,38,6,52.8,14.84,86.8
377,1930,38,7,47.6,14.27,84.4
378,1930,38,8,50.9,14.53,86.5
379,1930,38,9,55.2,14.51,85.4
380,1930,38,10,51.2,15.26,86.7
381,1930,39,1,39.6,15.4,87
382,1930,39,2,43.6,15.17,84.3
383,1930,39,3,56.3,15.04,83.6
384,1930,39,4,50.6,14.31,83.7
385,1930,39,5,51.7,14.67,82.9
386,1930,39,6,59.6,13.78,80.1
387,1930,39,7,57.8,14.27,83.9
388,1930,39,8,52.1,14.24,82.3
389,1930,39,9,48.3,15.87,89.2
390,1930,39,10,58.9,15.83,87.5
391,1930,40,1,48,14.46,85.1
392,1930,40,2,50.8,14.38,85.6
393,1930,40,3,52.1,14.97,85.5
394,1930,40,4,50.3,14.38,85.6
395,1930,40,5,54.3,14.46,85.6
396,1930,40,6,42.6,14.66,86.2
397,1930,40,7,46.7,14.07,85.3
398,1930,40,8,49.3,15.22,87.2
399,1930,40,9,45.6,15,88.2
400,1930,40,10,56.9,14.14,83.2
401,1930,41,1,53.8,14.46,84.6
402,1930,41,2,48.7,14.84,84.3
403,1930,41,3,49.7,14.63,84.1
404,1930,41,4,51.9,14.48,86.2
405,1930,41,5,47.4,14.61,85.9
406,1930,41,6,48.7,15.04,86.4
407,1930,41,7,55.2,14.63,84.1
408,1930,41,8,47.8,15.01,84.8
409,1930,41,9,50.6,15.5,89.6
410,1930,41,10,42.5,14.96,83.6
411,1930,42,1,47.6,13.9,82.7
412,1930,42,2,46.5,14.29,85.1
413,1930,42,3,42.5,14.5,81.9
414,1930,42,4,47.5,14.53,85.5
415,1930,42,5,46.7,15.04,85.9
416,1930,42,6,45.5,15.04,86.9
417,1930,42,7,44.2,15.33,89.1
418,1930,42,8,45.2,14.31,84.2
419,1930,42,9,48,15.07,88.6
420,1930,42,10,42.7,14.53,81.6
421,1930,43,1,52,14,83.3
422,1930,43,2,48.8,14.84,85.8
423,1930,43,3,50.6,14.5,83.8
424,1930,43,4,46.6,13.95,82.5
425,1930,43,5,45.5,15.04,85.4
426,1930,43,6,44.7,14.94,85.5
427,1930,43,7,48.2,13.92,81.4
428,1930,43,8,52.8,13.73,79.8
429,1930,43,9,51.4,14.07,82.8
430,1930,43,10,50,14.35,83.4
431,1930,44,1,52,14.58,84.3
432,1930,44,2,46.4,14.19,85
433,1930,44,3,45.4,14.48,84.2
434,1930,44,4,49.1,14.7,85.5
435,1930,44,5,46.6,14.12,83.1
436,1930,44,6,46.8,14.16,82.3
437,1930,44,7,48.7,14.14,84.2
438,1930,44,8,50.8,14.05,84.6
439,1930,44,9,55,15.31,89
440,1930,44,10,47.7,15.29,87.9
441,1930,45,1,46.1,14.43,84.9
442,1930,45,2,51.1,14.8,85.1
443,1930,45,3,51.8,14.09,85.4
444,1930,45,4,56.4,14.61,86.4
445,1930,45,5,50.7,14.48,84.2
446,1930,45,6,47.8,14.83,87.2
447,1930,45,7,52,14.65,84.2
448,1930,45,8,54.7,14.92,87.8
449,1930,45,9,58,14.27,84.4
450,1930,45,10,52.3,16.23,89.7
451,1930,46,1,46.5,14.8,85.6
452,1930,46,2,58.8,14.31,85.2
453,1930,46,3,51.2,14.8,85.6
454,1930,46,4,53.4,14.38,84.1
455,1930,46,5,58.9,14.09,82.4
456,1930,46,6,44.6,14.58,85.3
457,1930,46,7,50.6,15.45,86.8
458,1930,46,8,51.3,13.9,85.3
459,1930,46,9,55,14.8,87.1
460,1930,46,10,53.1,14.91,85.2
461,1930,47,1,57.3,14.41,81
462,1930,47,2,65.8,14.92,88.8
463,1930,47,3,52.3,14.21,81.2
464,1930,47,4,52.6,14.73,84.7
465,1930,47,5,49,14.46,85.1
466,1930,47,6,52,14.93,82
467,1930,47,7,54.8,14.38,81.2
468,1930,47,8,52.5,14.63,85.1
469,1930,47,9,55.8,14.99,86.2
470,1930,47,10,57.5,15.6,87.2
471,1930,48,1,58.9,14.9,88.2
472,1930,48,2,65.7,14.43,85.4
473,1930,48,3,54.7,14.8,86.6
474,1930,48,4,59.8,14.63,87.1
475,1930,48,5,57.9,14.8,87.6
476,1930,48,6,53.7,14.37,86.6
477,1930,48,7,47.6,14.99,85.7
478,1930,48,8,52.3,14.55,85.6
479,1930,48,9,54.2,14.55,85.6
480,1930,48,10,53.2,15.87,85.3
481,1930,49,1,42,14.35,82
482,1930,49,2,47.8,14.05,85.7
483,1930,49,3,47.3,15.15,88.6
484,1930,49,4,58.1,14.8,86
485,1930,49,5,47.4,14.58,84.8
486,1930,49,6,46.2,14.7,85
487,1930,49,7,46.5,14.48,85.7
488,1930,49,8,51.7,15.82,88.4
489,1930,49,9,45.3,14.89,85.6
490,1930,49,10,46.6,14.85,87.9
491,1930,50,1,45.7,15.14,86
492,1930,50,2,47.5,14.6,84.4
493,1930,50,3,42,14.68,83.9
494,1930,50,4,43.7,14.92,86.2
495,1930,50,5,42,14.66,85.7
496,1930,50,6,44.1,15.06,84.6
497,1930,50,7,40.1,15.47,86.9
498,1930,50,8,48.1,15,86.7
499,1930,50,9,43,14.76,87.3
500,1930,50,10,46.5,15.82,89.9
501,1930,51,1,52.6,15.47,88.4
502,1930,51,2,53,14.63,84.6
503,1930,51,3,55,14.22,85.7
504,1930,51,4,53.5,13.76,81.4
505,1930,51,5,52.2,14.82,85.7
506,1930,51,6,56.2,15.07,88.1
507,1930,51,7,46.7,14.71,86
508,1930,51,8,56.2,14.92,86.2
509,1930,51,9,54.9,14.66,86.2
510,1930,51,10,53.7,15.16,84.7
511,1930,52,1,41.4,14.92,88.8
512,1930,52,2,46.1,14.48,85.2
513,1930,52,3,44.5,14.46,85.6
514,1930,52,4,49.8,15.01,85.8
515,1930,52,5,55.7,15.11,85.8
516,1930,52,6,66.7,15.07,86.6
517,1930,52,7,63.2,15.19,86.3
518,1930,52,8,47.5,14.82,86.2
519,1930,52,9,49.5,15.04,85.9
520,1930,52,10,46.4,16.18,89.9
521,1930,53,1,42.3,14.55,84.6
522,1930,53,2,43.7,14.27,83.9
523,1930,53,3,46.7,15.1,88.8
524,1930,53,4,51.7,14.82,86.7
525,1930,53,5,50.5,15.06,85.1
526,1930,53,6,52.7,14.8,84.6
527,1930,53,7,55.5,15.04,87.4
528,1930,53,8,49,14.92,86.7
529,1930,53,9,41.6,15.19,86.8
530,1930,53,10,48.6,15.34,89.7
531,1930,54,1,40.6,14.63,85.1
532,1930,54,2,47.5,15.14,86
533,1930,54,3,45.3,13.83,84.8
534,1930,54,4,49.6,14.58,85.8
535,1930,54,5,55,15.09,85.2
536,1930,54,6,54.1,14.81,84.2
537,1930,54,7,50.2,14.73,86.7
538,1930,54,8,51.5,14.87,85
539,1930,54,9,53.4,15.38,85.9
540,1930,54,10,48.2,15.41,88.1
541,1930,55,1,52.3,14.63,86.6
542,1930,55,2,48.6,14.75,86.3
543,1930,55,3,49.3,14.99,85.7
544,1930,55,4,57.6,14.48,83.7
545,1930,55,5,54,14.34,87
546,1930,55,6,49.3,15.07,87.6
547,1930,55,7,46.6,15.01,84.8
548,1930,55,8,52,14.58,86.3
549,1930,55,9,56.3,15.35,87.7
550,1930,55,10,50.8,14.84,84.8
551,1930,56,1,50.9,15.01,86.8
552,1930,56,2,49.1,15.41,89.1
553,1930,56,3,51.3,14.24,84.8
554,1930,56,4,52.3,15.14,86.5
555,1930,56,5,50.7,14.92,87.8
556,1930,56,6,54.2,15.09,84.3
557,1930,56,7,56.8,15.04,86.4
558,1930,56,8,55.2,14.6,84.9
559,1930,56,9,53.1,15.26,87.2
560,1930,56,10,52.5,15.18,88.3
561,1930,57,1,56.8,13.86,82.5
562,1930,57,2,55.6,14.99,87.2
563,1930,57,3,51.7,14.97,88.1
564,1930,57,4,55,14.5,83.8
565,1930,57,5,52.7,16.27,90.9
566,1930,57,6,53.9,15.37,85.9
567,1930,57,7,55.4,15.06,85.1
568,1930,57,8,55.6,14.17,84.9
569,1930,57,9,52.5,15.19,88.3
570,1930,57,10,53.2,16.2,90
571,1930,58,1,56.6,14.14,80.3
572,1930,58,2,52.1,15,87.7
573,1930,58,3,46.2,14.85,87.9
574,1930,58,4,53.3,14.31,84.2
575,1930,58,5,53.2,14.94,85.9
576,1930,58,6,52.3,14.29,84.1
577,1930,58,7,54.2,15.28,86.3
578,1930,58,8,46.7,15.07,88.1
579,1930,58,9,55.2,14.52,84.4
580,1930,58,10,44.2,15.49,86.8
581,1930,59,1,45.5,15.51,85.2
582,1930,59,2,50.9,14.7,84.5
583,1930,59,3,54.6,14.8,86.6
584,1930,59,4,49.9,14.46,89.3
585,1930,59,5,55.8,14.24,81.8
586,1930,59,6,56.5,14.89,86.6
587,1930,59,7,58.4,14.6,83.9
588,1930,59,8,47,14.58,86.8
589,1930,59,9,55,15.24,87.1
590,1930,59,10,49,15.89,88.8
591,1930,60,1,55.5,15.31,89
592,1930,60,2,47.3,14.53,85.5
593,1930,60,3,58.8,13.95,83
594,1930,60,4,63,14.98,83.7
595,1930,60,5,61.9,15.36,84.4
596,1930,60,6,63.1,14.97,87.5
597,1930,60,7,55.7,14.73,86.6
598,1930,60,8,60.3,15.31,88
599,1930,60,9,57.1,14.7,84.5
600,1930,60,10,52.3,16.26,88.8
601,1931,1,1,54.1,,
602,1931,2,1,58.7,,
603,1931,3,1,68,,
604,1931,4,1,58.1,,
605,1931,5,1,48.1,,
606,1931,6,1,54.3,,
607,1931,7,1,49.8,,
608,1931,8,1,57.5,,
609,1931,9,1,58.2,,
610,1931,10,1,58,,
611,1931,11,1,63.6,,
612,1931,12,1,53.7,,
613,1931,13,1,56.1,,
614,1931,14,1,57.8,,
615,1931,15,1,60,,
616,1931,16,1,61,,
617,1931,17,1,52.3,,
618,1931,18,1,53.1,,
619,1931,19,1,61.8,,
620,1931,20,1,60.9,,
621,1931,21,1,60.1,,
622,1931,22,1,61.8,,
623,1931,23,1,61.7,,
624,1931,24,1,58.3,,
625,1931,25,1,55.1,,
626,1931,26,1,46.5,,
627,1931,27,1,78.4,,
628,1931,28,1,48,,
629,1931,29,1,75,,
630,1931,30,1,70.6,,
631,1931,31,1,52.3,,
632,1931,32,1,53.6,,
633,1931,33,1,65.3,,
634,1931,34,1,56.8,,
635,1931,35,1,57.4,,
636,1931,36,1,53.4,,
637,1931,37,1,63.6,,
638,1931,38,1,68.3,,
639,1931,39,1,67.5,,
640,1931,40,1,66.7,,
641,1931,41,1,52.8,,
642,1931,42,1,68.8,,
643,1931,43,1,55,,
644,1931,44,1,65.3,,
645,1931,45,1,54,,
646,1931,46,1,47.1,,
647,1931,47,1,51.8,,
648,1931,48,1,56.5,,
649,1931,49,1,52.6,,
650,1931,50,1,60.5,,
651,1931,51,1,54.2,,
652,1931,52,1,63.5,,
653,1931,53,1,55,,
654,1931,54,1,51.9,,
655,1931,55,1,62.6,,
656,1931,56,1,57.4,,
657,1931,57,1,52,,
658,1931,58,1,49,,
659,1931,59,1,52.1,,
660,1931,60,1,54,,
661,1931,1,2,68.6,,
662,1931,2,2,65.3,,
663,1931,3,2,54.4,,
664,1931,4,2,77.2,,
665,1931,5,2,58.9,,
666,1931,6,2,64.1,,
667,1931,7,2,49.9,,
668,1931,8,2,54.2,,
669,1931,9,2,60.5,,
670,1931,10,2,62,,
671,1931,11,2,59.1,,
672,1931,12,2,60.9,,
673,1931,13,2,55.7,,
674,1931,14,2,59.8,,
675,1931,15,2,63.6,,
676,1931,16,2,59.7,,
677,1931,17,2,51.5,,
678,1931,18,2,51.2,,
679,1931,19,2,60.1,,
680,1931,20,2,79.9,,
681,1931,21,2,56.6,,
682,1931,22,2,70.4,,
683,1931,23,2,59.5,,
684,1931,24,2,56.8,,
685,1931,25,2,52.9,,
686,1931,26,2,59.3,,
687,1931,27,2,74.7,,
688,1931,28,2,56.3,,
689,1931,29,2,53,,
690,1931,30,2,64,,
691,1931,31,2,48.5,,
692,1931,32,2,59.9,,
693,1931,33,2,70.9,,
694,1931,34,2,63.7,,
695,1931,35,2,59.3,,
696,1931,36,2,56.9,,
697,1931,37,2,55.8,,
698,1931,38,2,59.8,,
699,1931,39,2,57.4,,
700,1931,40,2,65.7,,
701,1931,41,2,59.8,,
702,1931,42,2,62.3,,
703,1931,43,2,56.8,,
704,1931,44,2,53.2,,
705,1931,45,2,59.7,,
706,1931,46,2,46.6,,
707,1931,47,2,62.7,,
708,1931,48,2,55.8,,
