rownames,gen,rep,yield,col,row
180,NE87499,R3,2.95,4,9
181,Centura,R3,8.7,5,9
182,NE83432,R3,11.05,6,9
183,NE87512,R3,12.35,7,9
184,Roughrider,R3,22.45,8,9
185,NE83498,R3,26.9,9,9
186,Lancer,,,10,9
187,NE86T666,R4,23.55,11,9
188,NE87403,R4,29,12,9
189,NE87512,R4,27.65,13,9
190,NE87446,R4,24,14,9
191,Centura,R4,25.75,15,9
192,NE86503,R4,23.55,16,9
193,NE87408,R4,30.65,17,9
194,Colt,R4,28.2,18,9
195,Lancer,R4,28.4,19,9
196,NE83406,R4,28.7,20,9
197,NE86607,R4,25.75,21,9
198,Siouxland,R4,22.5,22,9
199,NE87612,R4,9.25,1,10
200,Buckskin,R4,24.3,2,10
201,NE85556,R4,4.95,3,10
202,Brule,R4,3.7,4,10
203,NE86507,R4,14.7,5,10
204,Roughrider,R4,13.6,6,10
205,Vona,R4,12.3,7,10
206,NE83404,R4,17.5,8,10
207,Cody,R4,15.15,9,10
208,NE87463,R4,23.55,10,10
209,NE86582,R4,19.5,11,10
210,NE87499,R4,26.5,12,10
211,Norkan,R4,20.8,13,10
212,Scout66,R4,25.3,14,10
213,NE87513,R4,17.4,15,10
214,NE83T12,R4,22.65,16,10
215,Centurk78,R4,31.6,17,10
216,NE87627,R4,16.95,18,10
217,NE86606,R4,31.25,19,10
218,NE87457,R4,23.65,20,10
219,NE86509,R4,25.45,21,10
220,Lancota,R4,27.45,22,10
221,KS831374,R4,14.55,1,11
222,NE86482,R4,6.05,2,11
223,NE85623,R4,1.05,3,11
224,NE86527,R4,6.4,4,11
225,NE87451,R4,5.1,5,11
226,NE87409,R4,17.8,6,11
227,Gage,R4,22.15,7,11
228,NE83407,R4,15.35,8,11
229,NE87615,R4,12,9,11
230,Arapahoe,R4,25,10,11
231,Cheyenne,R4,22.1,11,11
232,Redland,R4,29.3,12,11
233,NE83432,R4,23.45,13,11
234,NE87619,R4,27.9,14,11
235,NE83498,R4,31.6,15,11
236,NE87613,R4,30.2,16,11
237,NE86501,R4,30.3,17,11
238,TAM200,R4,20.3,18,11
239,NE87522,R4,29.65,19,11
240,NE84557,R4,26.55,20,11
241,TAM107,R4,25.6,21,11
242,Homestead,R4,26.9,22,11
