rownames,loc,gen,yield,stand,rootlodge,stalklodge,earht,flower,moisture
39,"Knoxville,TN",Sturdy_SG765W,187.8,95,0,1.1,50,67.3,20
40,"Knoxville,TN",Sturdy_SG777W,151.8,83.9,0,0,51.7,67.3,21
41,"Knoxville,TN",Sturdy_SG781W,147.9,91.1,0,0,47,68,21.3
42,"Knoxville,TN",Sturdy_SG797W,131.3,94.4,0,0.6,48.7,70.7,21.6
43,"Knoxville,TN",Trisler_T4113W,189.1,91.7,0,1.8,48,66.7,20.2
44,"Knoxville,TN",Trisler_T4211W,183.6,96.1,0,2.9,57,66.3,19.5
45,"Knoxville,TN",Vineyard_V413W,145.5,90.6,0,0,51.7,67.7,18.5
46,"Knoxville,TN",Vineyard_V414W,152.1,91.7,0,0.7,46,66.3,18.8
47,"Knoxville,TN",Vineyard_V424W,168.1,98.9,0,0.6,48.7,66.7,20
48,"Knoxville,TN",Vineyard_V438W,149.9,92.8,0,0.6,46,65.7,19.8
49,"Knoxville,TN",Vineyard_V448W,182.8,95.6,0,0.6,48,66,19.8
50,"Knoxville,TN",Vineyard_V449W,166.4,97.2,0,0,44,66.7,20.7
51,"Knoxville,TN",Whisnand_50W,186.4,95.6,0,1.1,51,67.7,20.1
52,"Knoxville,TN",Whisnand_51AW,175.3,93.3,0.6,0,48.7,67.7,21
53,"Knoxville,TN",Whisnand_52AW,181.3,96.1,0,1.1,47,67.3,20.9
54,"Knoxville,TN",Wilson_1780W,179.2,92.2,0,0,45,65.7,20
55,"Knoxville,TN",Wilson_1790W,157.3,88.9,0,0,46.3,67,19.7
56,"Knoxville,TN",Wilson_E1732,177,96.1,0,0,52,69.3,19.3
57,"Knoxville,TN",Wilson_E1789,173.3,97.2,0,1.3,53,68.7,20.8
58,"Knoxville,TN",Zimmerman_Z73W,160.8,97.8,0,0,47.3,71.7,19.4
59,"Knoxville,TN",Yellow_check_B73xMo17,158.7,97.8,0,4.6,49.7,65,17.5
60,"Knoxville,TN",Yellow_check_Pioneer_3394,186.9,94.4,0,0,48,64.3,17.6
61,"Galesburg,IL",AgriGold_A6680W,110.3,100,,,41,,23.5
62,"Galesburg,IL",AgriGold_XA4323W,89.9,46.7,,,39,,21.5
63,"Galesburg,IL",Asgrow_XP7555W,116.6,100,,,40,,19.6
64,"Galesburg,IL",Beck_Ex2251,116,94.4,,,48.3,,21.3
65,"Galesburg,IL",Crows_W54,113.8,70.6,,,44.7,,22.4
66,"Galesburg,IL",Crows_W55,107,96.7,,,43.3,,22.4
67,"Galesburg,IL",Crows_EX551,116.9,93.9,,,39,,21.3
68,"Galesburg,IL",Crows_EX552,106,88.9,,,48.3,,21.2
69,"Galesburg,IL",Dekalb_DK703W,94,96.1,,,37.3,,22.9
70,"Galesburg,IL",Dekalb_DK631W,120.6,97.8,,,27.7,,19.5
71,"Galesburg,IL",Dekalb_EXP564W,114.9,73.9,,,40,,20.6
72,"Galesburg,IL",GoldenHarvest_EX-106W,115.1,100,,,46.3,,21.9
73,"Galesburg,IL",Hoegemeyer_1125W,118,99.4,,,42,,22.5
74,"Galesburg,IL",Hoegemeyer_1131W,113.5,91.1,,,36,,22.5
75,"Galesburg,IL",Hoegemeyer_1142W,122.6,86.7,,,43,,25.5
76,"Galesburg,IL",ICI_8320W,112,93.3,,,45,,21.8
77,"Galesburg,IL",ICI_N3527W,105.6,98.9,,,29.7,,19.1
78,"Galesburg,IL",IFSI_90-1,119.5,92.8,,,46,,21
79,"Galesburg,IL",IFSI_93-4,124.2,98.9,,,39.7,,20.3
80,"Galesburg,IL",IFSI_95-2,122.3,94.4,,,48.7,,22.9
81,"Galesburg,IL",LG_NB571W,97.9,78.3,,,30.3,,19.7
82,"Galesburg,IL",LG_NB710W,99.8,79.4,,,40.3,,19.6
83,"Galesburg,IL",LG_NB739W,113.8,92.2,,,33.3,,23.4
84,"Galesburg,IL",LG_NB742W,113.8,86.7,,,38.3,,22.2
85,"Galesburg,IL",LG_NB749W,120.5,100,,,44,,23
86,"Galesburg,IL",Mycogen_7860W,116.4,98.9,,,47,,21.6
87,"Galesburg,IL",Mycogen_X6688W,137,97.8,,,46,,20.7
88,"Galesburg,IL",NC+_5633W,104.5,92.8,,,40.7,,21.2
89,"Galesburg,IL",NC+_6555W,127.8,92.2,,,45,,22.9
90,"Galesburg,IL",NorthrupKing_X6545W,107.3,97.8,,,41,,21.5
91,"Galesburg,IL",NorthrupKing_X6955W,114.5,92.8,,,43.3,,20.6
92,"Galesburg,IL",Pioneer_3287W,111.1,83.3,,,39.3,,22
93,"Galesburg,IL",Pioneer_3392W,110.7,100,,,39.7,,19.1
94,"Galesburg,IL",Pioneer_3443W,95.6,98.3,,,37,,19.2
95,"Galesburg,IL",Pioneer_3463W,103,85,,,34,,19
96,"Galesburg,IL",Pioneer_X1155FW,125.3,98.3,,,40,,20.9
97,"Galesburg,IL",SeedTec_ST-7545W,119,86.7,,,41.7,,21.7
98,"Galesburg,IL",Sturdy_SG730W,91.9,92.8,,,43,,19.8
99,"Galesburg,IL",Sturdy_SG765W,109.2,99.4,,,41,,21.7
100,"Galesburg,IL",Sturdy_SG777W,119.1,96.1,,,52,,22.1
101,"Galesburg,IL",Sturdy_SG781W,126.1,100,,,41,,21.8
102,"Galesburg,IL",Sturdy_SG797W,142.1,94.4,,,46.7,,23
103,"Galesburg,IL",Trisler_T4113W,128.2,91.7,,,40.7,,21.6
104,"Galesburg,IL",Trisler_T4211W,114.2,100,,,49.7,,21.9
105,"Galesburg,IL",Vineyard_V413W,111.4,92.8,,,38.3,,21.1
106,"Galesburg,IL",Vineyard_V414W,111.8,100,,,39.3,,20.3
107,"Galesburg,IL",Vineyard_V424W,118.9,100,,,44.3,,22.7
108,"Galesburg,IL",Vineyard_V438W,112.9,100,,,41.3,,22
109,"Galesburg,IL",Vineyard_V448W,128.6,100,,,38,,22.7
110,"Galesburg,IL",Vineyard_V449W,118.8,92.2,,,41.3,,22.3
111,"Galesburg,IL",Whisnand_50W,108.8,96.7,,,50,,21.5
112,"Galesburg,IL",Whisnand_51AW,112.8,99.4,,,45.7,,22.1
113,"Galesburg,IL",Whisnand_52AW,101.2,76.1,,,41.3,,20.9
114,"Galesburg,IL",Wilson_1780W,141.2,100,,,36.7,,24.5
115,"Galesburg,IL",Wilson_1790W,133.9,87.8,,,38,,23.9
116,"Galesburg,IL",Wilson_E1732,126.8,93.9,,,41.3,,21.8
117,"Galesburg,IL",Wilson_E1789,97.5,96.7,,,46,,24.1
118,"Galesburg,IL",Zimmerman_Z73W,109.5,85.6,,,44.7,,22.5
119,"Galesburg,IL",Yellow_check_B73xMo17,125.3,90.6,,,39.7,,21.1
120,"Galesburg,IL",Yellow_check_Pioneer_3394,134.1,90,,,38,,19.3
121,"Wanatah,IN",AgriGold_A6680W,125.1,96.8,0.5,23.2,51.5,,25.4
122,"Wanatah,IN",AgriGold_XA4323W,131.4,84.7,0,18.5,47.1,,23.1
123,"Wanatah,IN",Asgrow_XP7555W,123.9,96.8,0.5,25.1,50.1,,24.2
124,"Wanatah,IN",Beck_Ex2251,121.1,92.3,0,42,55.4,,22
125,"Wanatah,IN",Crows_W54,125.1,86.5,0,16.3,50.1,,24.1
126,"Wanatah,IN",Crows_W55,129.4,93.2,0,26.7,53.2,,24.7
127,"Wanatah,IN",Crows_EX551,125.2,94.1,0,13.8,46.2,,23.4
128,"Wanatah,IN",Crows_EX552,131.4,92.8,0,22.9,54.3,,23
129,"Wanatah,IN",Dekalb_DK703W,121.5,88.7,0,25.8,50.8,,24.5
130,"Wanatah,IN",Dekalb_DK631W,116.3,95,0,12.2,33.3,,22.9
131,"Wanatah,IN",Dekalb_EXP564W,127.1,92.3,0,10.7,44.7,,24.4
132,"Wanatah,IN",GoldenHarvest_EX-106W,113.6,93.7,0,40.5,52,,22.3
133,"Wanatah,IN",Hoegemeyer_1125W,129.8,94.6,0,19,51.9,,24.6
134,"Wanatah,IN",Hoegemeyer_1131W,121,93.7,0,20.1,52.9,,24.6
135,"Wanatah,IN",Hoegemeyer_1142W,143.8,92.3,0,14.2,50.4,,26.9
136,"Wanatah,IN",ICI_8320W,123.7,90.5,0.5,34.7,52,,23.5
137,"Wanatah,IN",ICI_N3527W,124.6,94.6,0,8.6,31.7,,21.4
138,"Wanatah,IN",IFSI_90-1,138,92.8,0,20,52.9,,23.9
139,"Wanatah,IN",IFSI_93-4,129.1,97.3,0,21.7,49.8,,23.5
140,"Wanatah,IN",IFSI_95-2,122,88.7,0,31.2,55.8,,22.9
141,"Wanatah,IN",LG_NB571W,113.8,87.4,0,21.6,35.8,,21.9
142,"Wanatah,IN",LG_NB710W,118.3,89.6,0.5,25.9,45.2,,23.9
143,"Wanatah,IN",LG_NB739W,130.1,91,0.5,12.3,37.1,,26
144,"Wanatah,IN",LG_NB742W,132.1,87.4,0,20,37.7,,25.7
145,"Wanatah,IN",LG_NB749W,133.3,94.1,0,29.1,52.1,,24.8
146,"Wanatah,IN",Mycogen_7860W,127.7,96.4,0.9,21.4,49.8,,23.3
147,"Wanatah,IN",Mycogen_X6688W,129.2,95.5,0,34.5,54.3,,22.8
148,"Wanatah,IN",NC+_5633W,128.2,91.4,0,23.2,48.6,,24.4
149,"Wanatah,IN",NC+_6555W,136,94.6,1,21.5,51.9,,24.8
150,"Wanatah,IN",NorthrupKing_X6545W,120.3,92.3,0,34.2,50.4,,22.8
151,"Wanatah,IN",NorthrupKing_X6955W,128.9,88.7,0.5,22.5,51.5,,24.9
152,"Wanatah,IN",Pioneer_3287W,135.1,97.7,0.5,4.2,43.6,,25.7
153,"Wanatah,IN",Pioneer_3392W,128.9,96.8,0,15.3,45.2,,21.8
154,"Wanatah,IN",Pioneer_3443W,105.9,94.6,0,25.9,41.9,,21.6
155,"Wanatah,IN",Pioneer_3463W,105.5,98.2,0,14.2,41.9,,21.6
156,"Wanatah,IN",Pioneer_X1155FW,144.1,98.2,0,15.5,45.8,,22.1
157,"Wanatah,IN",SeedTec_ST-7545W,124.1,91.4,0,11.6,48.4,,24
158,"Wanatah,IN",Sturdy_SG730W,117.4,94.6,0,28.6,48.4,,23.1
159,"Wanatah,IN",Sturdy_SG765W,120.1,89.6,0.5,27.1,48.8,,24.5
160,"Wanatah,IN",Sturdy_SG777W,130.3,96.4,0,23.4,54.6,,23.3
161,"Wanatah,IN",Sturdy_SG781W,127.3,95.5,0,23.4,46.8,,25.5
162,"Wanatah,IN",Sturdy_SG797W,118.6,93.2,0,11.6,52.8,,26.1
163,"Wanatah,IN",Trisler_T4113W,128.9,86.5,0,20.5,47.8,,23.1
164,"Wanatah,IN",Trisler_T4211W,129.4,95.9,0,18,52.1,,23
165,"Wanatah,IN",Vineyard_V413W,99.2,91.4,0.5,18.7,45.2,,22.6
166,"Wanatah,IN",Vineyard_V414W,118.6,92.8,0,24.2,43.8,,22.6
167,"Wanatah,IN",Vineyard_V424W,136.3,91,0.5,13.3,49.3,,25.1
168,"Wanatah,IN",Vineyard_V438W,110.7,90.5,0,8.5,45.1,,24.5
169,"Wanatah,IN",Vineyard_V448W,141.2,95.5,0,14.1,51.2,,25.4
170,"Wanatah,IN",Vineyard_V449W,139.4,94.1,0.5,13.3,46.4,,25.3
171,"Wanatah,IN",Whisnand_50W,131.6,93.7,0,27.3,53.2,,23.4
172,"Wanatah,IN",Whisnand_51AW,131.2,91.9,0,32.4,54.7,,23.2
173,"Wanatah,IN",Whisnand_52AW,125.7,93.2,0,31.1,49.5,,23.2
174,"Wanatah,IN",Wilson_1780W,145.4,95.9,0,13.1,45,,26.3
175,"Wanatah,IN",Wilson_1790W,140.4,94.1,0,10.5,42.9,,26.4
176,"Wanatah,IN",Wilson_E1732,139,95,0,16.6,48.4,,24.7
177,"Wanatah,IN",Wilson_E1789,118.6,89.2,0,26.8,49.4,,25.7
178,"Wanatah,IN",Zimmerman_Z73W,119.3,91.4,0,24.7,54.5,,23.5
179,"Wanatah,IN",Yellow_check_B73xMo17,115.5,91,0,24.3,47.7,,25
180,"Wanatah,IN",Yellow_check_Pioneer_3394,124.9,91.9,0,18.1,41.1,,21.9
181,"Ogden,IA",AgriGold_A6680W,132.9,95.4,,,,,26.8
182,"Ogden,IA",AgriGold_XA4323W,125.4,55.2,,,,,24.3
183,"Ogden,IA",Asgrow_XP7555W,127.2,96,,,,,21.5
184,"Ogden,IA",Beck_Ex2251,149.5,91.4,,,,,22.2
185,"Ogden,IA",Crows_W54,112.9,79.3,,,,,23.5
186,"Ogden,IA",Crows_W55,129.4,85.6,,,,,23.6
187,"Ogden,IA",Crows_EX551,132.3,86.2,,,,,21.8
188,"Ogden,IA",Crows_EX552,147,92,,,,,21.8
189,"Ogden,IA",Dekalb_DK703W,122.3,90.2,,,,,26.3
190,"Ogden,IA",Dekalb_DK631W,120.9,87.9,,,,,21.5
191,"Ogden,IA",Dekalb_EXP564W,104.1,93.1,,,,,24.6
192,"Ogden,IA",GoldenHarvest_EX-106W,143.2,85.6,,,,,21.8
193,"Ogden,IA",Hoegemeyer_1125W,137.7,97.1,,,,,24.1
194,"Ogden,IA",Hoegemeyer_1131W,106.3,80.5,,,,,26.9
195,"Ogden,IA",Hoegemeyer_1142W,116.1,89.7,,,,,31.1
196,"Ogden,IA",ICI_8320W,134.1,78.2,,,,,23.8
197,"Ogden,IA",ICI_N3527W,140.5,85.6,,,,,17.6
198,"Ogden,IA",IFSI_90-1,139.4,74.7,,,,,23.1
199,"Ogden,IA",IFSI_93-4,131.6,90.2,,,,,20.6
200,"Ogden,IA",IFSI_95-2,144.9,94.8,,,,,21.3
201,"Ogden,IA",LG_NB571W,111.1,65.5,,,,,20.3
202,"Ogden,IA",LG_NB710W,110.4,72.4,,,,,24
203,"Ogden,IA",LG_NB739W,103.6,82.2,,,,,25.1
204,"Ogden,IA",LG_NB742W,118,75.9,,,,,27.1
205,"Ogden,IA",LG_NB749W,137.8,90.8,,,,,24.2
206,"Ogden,IA",Mycogen_7860W,139.4,96,,,,,22.5
207,"Ogden,IA",Mycogen_X6688W,145.2,83.3,,,,,22.1
208,"Ogden,IA",NC+_5633W,139,92.5,,,,,25.3
209,"Ogden,IA",NC+_6555W,130.7,96,,,,,26
210,"Ogden,IA",NorthrupKing_X6545W,128.9,91.4,,,,,23.5
211,"Ogden,IA",NorthrupKing_X6955W,127.8,92,,,,,23.4
212,"Ogden,IA",Pioneer_3287W,127.2,87.9,,,,,23.7
213,"Ogden,IA",Pioneer_3392W,147.2,93.7,,,,,19.6
214,"Ogden,IA",Pioneer_3443W,127.6,95.4,,,,,17.8
215,"Ogden,IA",Pioneer_3463W,131.3,92,,,,,17.9
216,"Ogden,IA",Pioneer_X1155FW,159.4,93.1,,,,,21.9
217,"Ogden,IA",SeedTec_ST-7545W,111.2,91.4,,,,,25.1
218,"Ogden,IA",Sturdy_SG730W,132.1,90.2,,,,,24.3
219,"Ogden,IA",Sturdy_SG765W,132.6,90.2,,,,,24.3
220,"Ogden,IA",Sturdy_SG777W,140,89.1,,,,,22.7
221,"Ogden,IA",Sturdy_SG781W,134,92.5,,,,,24.1
222,"Ogden,IA",Sturdy_SG797W,138.8,83.9,,,,,26
223,"Ogden,IA",Trisler_T4113W,140.7,82.2,,,,,23
224,"Ogden,IA",Trisler_T4211W,143.6,92.5,,,,,21.8
225,"Ogden,IA",Vineyard_V413W,119.7,88.5,,,,,24.3
226,"Ogden,IA",Vineyard_V414W,128.1,92.5,,,,,22.2
227,"Ogden,IA",Vineyard_V424W,120.6,90.8,,,,,26.3
228,"Ogden,IA",Vineyard_V438W,110.8,97.1,,,,,25.3
229,"Ogden,IA",Vineyard_V448W,123.5,91.4,,,,,27.8
230,"Ogden,IA",Vineyard_V449W,136.8,96,,,,,28.9
231,"Ogden,IA",Whisnand_50W,136.2,93.7,,,,,22.1
232,"Ogden,IA",Whisnand_51AW,147.5,91.4,,,,,22.9
233,"Ogden,IA",Whisnand_52AW,133.6,81,,,,,21.9
234,"Ogden,IA",Wilson_1780W,127.1,85.6,,,,,30
235,"Ogden,IA",Wilson_1790W,140,83.9,,,,,28.3
236,"Ogden,IA",Wilson_E1732,140.8,85.6,,,,,27.5
237,"Ogden,IA",Wilson_E1789,135.3,88.5,,,,,28.4
238,"Ogden,IA",Zimmerman_Z73W,103.1,85.6,,,,,23.5
239,"Ogden,IA",Yellow_check_B73xMo17,121.8,91.4,,,,,20.7
240,"Ogden,IA",Yellow_check_Pioneer_3394,136.5,89.1,,,,,19.1
241,"StJoseph,MO",AgriGold_A6680W,210.2,100,1.8,3,,,17.9
242,"StJoseph,MO",AgriGold_XA4323W,187.2,100,7.1,1.2,,,16.6
243,"StJoseph,MO",Asgrow_XP7555W,204.9,100,33.9,14.3,,,17.3
244,"StJoseph,MO",Beck_Ex2251,230.4,100,0.6,1.2,,,16.8
245,"StJoseph,MO",Crows_W54,215.4,100,2.4,7.1,,,18.1
246,"StJoseph,MO",Crows_W55,211.6,100,0.6,3.6,,,18.2
247,"StJoseph,MO",Crows_EX551,214.8,100,4.8,1.2,,,16.3
248,"StJoseph,MO",Crows_EX552,254.4,100,5.4,1.2,,,17
249,"StJoseph,MO",Dekalb_DK703W,206.6,100,2.4,5.4,,,18.7
250,"StJoseph,MO",Dekalb_DK631W,165.7,100,0,14.3,,,16.4
251,"StJoseph,MO",Dekalb_EXP564W,273.2,100,0,0,,,19.6
252,"StJoseph,MO",GoldenHarvest_EX-106W,260.5,100,0,0.6,,,17.1
253,"StJoseph,MO",Hoegemeyer_1125W,236.6,94,3.7,0.7,,,18.4
254,"StJoseph,MO",Hoegemeyer_1131W,203,100,6,3.6,,,18.5
255,"StJoseph,MO",Hoegemeyer_1142W,203.8,100,10.1,13.7,,,21.4
256,"StJoseph,MO",ICI_8320W,222.4,100,10.7,1.2,,,17.8
257,"StJoseph,MO",ICI_N3527W,170.7,100,0,4.2,,,15.6
258,"StJoseph,MO",IFSI_90-1,222.4,100,3.6,0.6,,,18.3
259,"StJoseph,MO",IFSI_93-4,220.8,100,3.6,7.1,,,16.8
260,"StJoseph,MO",IFSI_95-2,238.2,100,0,3,,,17.2
261,"StJoseph,MO",LG_NB571W,163.4,100,0,8.9,,,15.4
262,"StJoseph,MO",LG_NB710W,234.7,100,4.2,0,,,16.2
263,"StJoseph,MO",LG_NB739W,164.1,100,0.6,1.8,,,18.6
264,"StJoseph,MO",LG_NB742W,183.2,100,0,1.8,,,18.7
265,"StJoseph,MO",LG_NB749W,198.5,100,0.6,3.6,,,18
266,"StJoseph,MO",Mycogen_7860W,227.2,100,16.1,24.4,,,17.6
267,"StJoseph,MO",Mycogen_X6688W,243.1,100,7.1,1.2,,,17.3
268,"StJoseph,MO",NC+_5633W,206.6,100,6,13.1,,,17.1
269,"StJoseph,MO",NC+_6555W,211.2,100,7.1,1.2,,,18.5
270,"StJoseph,MO",NorthrupKing_X6545W,233,100,6,2.4,,,17.5
271,"StJoseph,MO",NorthrupKing_X6955W,222.7,100,1.8,14.3,,,17.2
272,"StJoseph,MO",Pioneer_3287W,185,100,0,0,,,18.2
273,"StJoseph,MO",Pioneer_3392W,174.8,100,6,4.2,,,16.2
274,"StJoseph,MO",Pioneer_3443W,209.9,100,1.8,0.6,,,16.5
275,"StJoseph,MO",Pioneer_3463W,180.9,100,0,0,,,15.9
276,"StJoseph,MO",Pioneer_X1155FW,240.1,100,1.8,0,,,19
277,"StJoseph,MO",SeedTec_ST-7545W,254.9,100,0,0.6,,,19.5
278,"StJoseph,MO",Sturdy_SG730W,213.1,100,2.4,1.8,,,17.7
279,"StJoseph,MO",Sturdy_SG765W,197.5,100,3.6,8.3,,,17.1
280,"StJoseph,MO",Sturdy_SG777W,218.5,100,7.1,4.2,,,17.6
281,"StJoseph,MO",Sturdy_SG781W,219.4,100,1.2,1.2,,,18.5
282,"StJoseph,MO",Sturdy_SG797W,217.1,100,1.8,3,,,18.7
283,"StJoseph,MO",Trisler_T4113W,227.7,100,1.2,4.8,,,17.1
284,"StJoseph,MO",Trisler_T4211W,271.2,100,3,0,,,17.5
285,"StJoseph,MO",Vineyard_V413W,200.1,100,0,0.6,,,16.8
286,"StJoseph,MO",Vineyard_V414W,204.9,100,4.8,1.8,,,17.4
287,"StJoseph,MO",Vineyard_V424W,251.1,100,3.6,0.6,,,18.5
288,"StJoseph,MO",Vineyard_V438W,209.3,100,0.6,0.6,,,17.8
289,"StJoseph,MO",Vineyard_V448W,215.3,100,2.4,1.2,,,18.7
290,"StJoseph,MO",Vineyard_V449W,200.1,100,1.8,1.8,,,18.9
291,"StJoseph,MO",Whisnand_50W,248.2,100,5.4,1.2,,,17
292,"StJoseph,MO",Whisnand_51AW,242.8,100,6,3,,,18.1
293,"StJoseph,MO",Whisnand_52AW,207.4,100,7.1,2.4,,,17
294,"StJoseph,MO",Wilson_1780W,222.2,100,0,4.8,,,20.2
295,"StJoseph,MO",Wilson_1790W,222.9,100,1.8,1.8,,,19.4
296,"StJoseph,MO",Wilson_E1732,248.8,100,1.2,3,,,18.1
297,"StJoseph,MO",Wilson_E1789,231.2,100,1.2,0,,,18.6
298,"StJoseph,MO",Zimmerman_Z73W,201.9,100,0,0.6,,,19.2
299,"StJoseph,MO",Yellow_check_B73xMo17,217.4,100,3,4.2,,,17.1
300,"StJoseph,MO",Yellow_check_Pioneer_3394,205.7,100,0.6,1.2,,,16.3
301,"ClayCenter,NE",AgriGold_A6680W,180.5,95.1,10.8,5.8,,87.3,19.1
302,"ClayCenter,NE",AgriGold_XA4323W,152.1,69.1,2.1,6.4,,87,17.6
303,"ClayCenter,NE",Asgrow_XP7555W,182.5,103.9,2.9,5.5,,87.3,16.4
304,"ClayCenter,NE",Beck_Ex2251,201.5,96.1,3,14.1,,88.3,16.8
305,"ClayCenter,NE",Crows_W54,198.6,90.7,1.6,4.8,,88,18.3
306,"ClayCenter,NE",Crows_W55,165.6,91.7,0.5,3.8,,87.7,17.4
307,"ClayCenter,NE",Crows_EX551,183.3,99,1.5,10.3,,86,16.7
308,"ClayCenter,NE",Crows_EX552,200,98,10.5,4.6,,87,17.4
309,"ClayCenter,NE",Dekalb_DK703W,167.4,94.6,23.1,10.3,,86.3,18
310,"ClayCenter,NE",Dekalb_DK631W,175.9,97.1,0,1.5,,84.3,16.7
311,"ClayCenter,NE",Dekalb_EXP564W,169.3,92.2,0.5,3.7,,89,17.3
312,"ClayCenter,NE",GoldenHarvest_EX-106W,173.6,91.7,13.8,7,,87.3,17.7
313,"ClayCenter,NE",Hoegemeyer_1125W,177.1,97.1,10.4,8.8,,89,18.7
314,"ClayCenter,NE",Hoegemeyer_1131W,163.8,95.1,0.6,4.6,,89,17.6
315,"ClayCenter,NE",Hoegemeyer_1142W,166.2,94.1,11.5,9.4,,88,21.8
316,"ClayCenter,NE",ICI_8320W,174.6,89.7,4.6,5.7,,89,17.7
317,"ClayCenter,NE",ICI_N3527W,178.6,100.5,1.4,3.3,,83,15.8
318,"ClayCenter,NE",IFSI_90-1,195.9,95.1,1.6,6.1,,89,17.7
319,"ClayCenter,NE",IFSI_93-4,149,100,5.6,9.2,,86.3,16.8
320,"ClayCenter,NE",IFSI_95-2,192.6,94.1,5.7,9.9,,87.3,17
321,"ClayCenter,NE",LG_NB571W,153.9,79.4,5.1,1.9,,83.3,15.5
322,"ClayCenter,NE",LG_NB710W,179.6,82.8,18.8,8.7,,84,16.3
323,"ClayCenter,NE",LG_NB739W,166.3,91.7,6.9,6.5,,85.3,18.2
324,"ClayCenter,NE",LG_NB742W,165.4,89.2,7.2,5.2,,84,18.6
325,"ClayCenter,NE",LG_NB749W,153,86.8,3.7,5.3,,89,18.5
326,"ClayCenter,NE",Mycogen_7860W,175.1,94.6,5.2,4.3,,87.3,17.8
327,"ClayCenter,NE",Mycogen_X6688W,180.5,93.1,1.1,17,,89,17.1
328,"ClayCenter,NE",NC+_5633W,168.7,93.1,8.5,10.4,,87.7,18.2
329,"ClayCenter,NE",NC+_6555W,170.4,102.9,10.9,5.8,,89,18.4
330,"ClayCenter,NE",NorthrupKing_X6545W,165.6,86.3,6,9.6,,87.3,17
331,"ClayCenter,NE",NorthrupKing_X6955W,182.6,84.3,1.8,10.4,,86.3,17.3
332,"ClayCenter,NE",Pioneer_3287W,155.6,94.1,8.1,3.1,,84.3,17.9
