rownames,loc,rep,iblock,gen_new,gen_check,gen,col,row,yield
47,Alliance,R1,I01,1,0,NE16636,3,22,57.7
48,Alliance,R1,I01,0,GOODSTREAK,GOODSTREAK,3,23,52.1
49,Alliance,R1,I01,1,0,NE16469,3,24,51.2
50,Alliance,R1,I01,1,0,NE16654,3,25,45.9
51,Alliance,R2,I01,0,Freeman,Freeman,3,26,78.3
52,Alliance,R2,I01,1,0,NE16563V,3,27,62.6
53,Alliance,R2,I01,1,0,NE16671,3,28,74.2
54,Alliance,R2,I01,1,0,NE16515,3,29,69.8
55,Alliance,R2,I01,1,0,NE16489,3,30,61
56,Alliance,R2,I01,1,0,NE16638,3,31,55.6
57,Alliance,R2,I01,1,0,NE16540,3,32,49.9
58,Alliance,R2,I01,0,GOODSTREAK,GOODSTREAK,3,33,56.1
59,Alliance,R2,I01,1,0,NE16484,3,34,48.2
60,Alliance,R2,I01,1,0,NE16579,3,35,64.8
61,Alliance,R1,I02,1,0,NE16612,4,16,56.4
62,Alliance,R1,I02,1,0,NE16525,4,17,49.6
63,Alliance,R1,I02,1,0,NE16568,4,18,42.1
64,Alliance,R1,I02,1,0,NE16665,4,19,46.9
65,Alliance,R1,I02,1,0,NE16575,4,20,57.5
66,Alliance,R1,I02,1,0,NE16572,4,21,37.3
67,Alliance,R1,I02,1,0,NE16679,4,22,56.2
68,Alliance,R1,I02,1,0,NE16403,4,23,48.7
69,Alliance,R1,I02,1,0,NE16586,4,24,56.4
70,Alliance,R1,I02,1,0,NE16558,4,25,57.3
71,Alliance,R2,I02,1,0,NE16623,4,26,52.2
72,Alliance,R2,I02,1,0,NE16538,4,27,66.6
73,Alliance,R2,I02,1,0,NE16621,4,28,45.1
74,Alliance,R2,I02,1,0,NE16513,4,29,61.7
75,Alliance,R2,I02,1,0,NE16573,4,30,47.6
76,Alliance,R2,I02,1,0,NE16570,4,31,62.4
77,Alliance,R2,I02,1,0,NE16416,4,32,58.2
78,Alliance,R2,I02,1,0,NE16445,4,33,53.2
79,Alliance,R2,I02,0,GOODSTREAK,GOODSTREAK,4,34,50.5
80,Alliance,R2,I02,1,0,NE16655,4,35,58
81,Alliance,R1,I02,1,0,NE16428,5,16,46.2
82,Alliance,R1,I02,0,GOODSTREAK,GOODSTREAK,5,17,56.2
83,Alliance,R1,I02,1,0,NE16634,5,18,59.9
84,Alliance,R1,I02,1,0,NE16423,5,19,59.8
85,Alliance,R1,I02,1,0,NE16579,5,20,68.3
86,Alliance,R1,I02,1,0,NE16521,5,21,56.2
87,Alliance,R1,I02,1,0,NE16655,5,22,64.8
88,Alliance,R1,I02,1,0,NE16663,5,23,53
89,Alliance,R1,I02,1,0,NE16695,5,24,64.4
90,Alliance,R1,I02,1,0,NE16500,5,25,59.9
91,Alliance,R2,I02,1,0,NE16598,5,26,73.1
92,Alliance,R2,I02,0,Camelot,Camelot,5,27,67.5
93,Alliance,R2,I02,1,0,NE16458,5,28,60.2
94,Alliance,R2,I02,1,0,NE16485,5,29,61.7
95,Alliance,R2,I02,1,0,NE16661,5,30,49.6
96,Alliance,R2,I02,1,0,NE16659,5,31,77.4
97,Alliance,R2,I02,1,0,NE16468,5,32,65
98,Alliance,R2,I02,1,0,NE16521,5,33,60.6
99,Alliance,R2,I02,1,0,NE16507,5,34,61.3
100,Alliance,R2,I02,1,0,NE16459,5,35,55.5
101,Alliance,R1,I02,1,0,NE16653,6,16,45.3
102,Alliance,R1,I02,1,0,NE16676,6,17,47.9
103,Alliance,R1,I02,1,0,NE16600,6,18,67.5
104,Alliance,R1,I02,1,0,NE16476,6,19,52.7
105,Alliance,R1,I02,1,0,NE16656,6,20,50.2
106,Alliance,R1,I02,0,Camelot,Camelot,6,21,57.6
107,Alliance,R1,I02,1,0,NE16401,6,22,62
108,Alliance,R1,I02,1,0,NE16478,6,23,63.4
109,Alliance,R1,I02,0,Freeman,Freeman,6,24,72.7
110,Alliance,R1,I02,1,0,NE16700,6,25,65.8
111,Alliance,R2,I02,1,0,NE16432,6,26,66.8
112,Alliance,R2,I02,1,0,NE16664,6,27,59.1
113,Alliance,R2,I02,1,0,NE16601,6,28,81.3
114,Alliance,R2,I02,1,0,NE16401,6,29,63.7
115,Alliance,R2,I02,1,0,NE16444,6,30,64
116,Alliance,R2,I02,1,0,NE16464,6,31,57.5
117,Alliance,R2,I02,0,Freeman,Freeman,6,32,80.6
118,Alliance,R2,I02,1,0,NE16558,6,33,53.3
119,Alliance,R2,I02,1,0,NE16625,6,34,58.5
120,Alliance,R2,I02,1,0,NE16517,6,35,56.1
121,Alliance,R1,I03,1,0,NE16647,7,16,58.3
122,Alliance,R1,I03,1,0,NE16412,7,17,54.7
123,Alliance,R1,I03,1,0,NE16512,7,18,35
124,Alliance,R1,I03,1,0,NE16616,7,19,68.9
125,Alliance,R1,I03,1,0,NE16580V,7,20,52.8
126,Alliance,R1,I03,1,0,NE16540,7,21,59.9
127,Alliance,R1,I03,1,0,NE16564,7,22,49.4
128,Alliance,R1,I03,0,Freeman,Freeman,7,23,80.7
129,Alliance,R1,I03,1,0,NE16496,7,24,59.7
130,Alliance,R1,I03,1,0,NE16485,7,25,62.2
131,Alliance,R2,I03,1,0,NE16539,7,26,70.2
132,Alliance,R2,I03,1,0,NE16493,7,27,70
133,Alliance,R2,I03,1,0,NE16557,7,28,60.8
134,Alliance,R2,I03,1,0,NE16494,7,29,56.3
135,Alliance,R2,I03,1,0,NE16524,7,30,59.3
136,Alliance,R2,I03,1,0,NE16434,7,31,54.6
137,Alliance,R2,I03,1,0,NE16697,7,32,54
138,Alliance,R2,I03,1,0,NE16438,7,33,57.4
139,Alliance,R2,I03,1,0,NE16548,7,34,62.4
140,Alliance,R2,I03,0,Freeman,Freeman,7,35,72
141,Alliance,R1,I03,1,0,NE16621,8,16,40.4
142,Alliance,R1,I03,0,GOODSTREAK,GOODSTREAK,8,17,55.3
143,Alliance,R1,I03,1,0,NE16445,8,18,50
144,Alliance,R1,I03,1,0,NE16573,8,19,44.1
145,Alliance,R1,I03,1,0,NE16465,8,20,57.6
146,Alliance,R1,I03,1,0,NE16518,8,21,55
147,Alliance,R1,I03,1,0,NE16457,8,22,51.8
148,Alliance,R1,I03,1,0,NE16437,8,23,46.8
149,Alliance,R1,I03,1,0,NE16674,8,24,44.8
150,Alliance,R1,I03,1,0,NE16657,8,25,61.5
151,Alliance,R2,I03,1,0,NE16631,8,26,65.2
152,Alliance,R2,I03,1,0,NE16604,8,27,83
153,Alliance,R2,I03,1,0,NE16576V,8,28,71.5
154,Alliance,R2,I03,1,0,NE16465,8,29,75.9
155,Alliance,R2,I03,1,0,NE16556,8,30,64.2
156,Alliance,R2,I03,0,GOODSTREAK,GOODSTREAK,8,31,52.4
157,Alliance,R2,I03,1,0,NE16629,8,32,67.7
158,Alliance,R2,I03,1,0,NE16471,8,33,69.9
159,Alliance,R2,I03,1,0,NE16612,8,34,66.5
160,Alliance,R2,I03,1,0,NE16449,8,35,68
161,Alliance,R1,I03,1,0,NE16557,9,16,45.4
162,Alliance,R1,I03,1,0,NE16623,9,17,53.7
163,Alliance,R1,I03,1,0,NE16581,9,18,61.2
164,Alliance,R1,I03,1,0,NE16686,9,19,54.8
165,Alliance,R1,I03,1,0,NE16619,9,20,50.4
166,Alliance,R1,I03,0,Camelot,Camelot,9,21,60.2
167,Alliance,R1,I03,1,0,NE16693,9,22,59.7
168,Alliance,R1,I03,1,0,NE16537,9,23,51.8
169,Alliance,R1,I03,1,0,NE16533,9,24,62.1
170,Alliance,R1,I03,1,0,NE16543,9,25,70.7
171,Alliance,R2,I03,1,0,NE16679,9,26,58
172,Alliance,R2,I03,0,Camelot,Camelot,9,27,71.8
173,Alliance,R2,I03,1,0,NE16609V,9,28,73.1
174,Alliance,R2,I03,1,0,NE16592,9,29,69.5
175,Alliance,R2,I03,1,0,NE16544,9,30,56.4
176,Alliance,R2,I03,1,0,NE16689,9,31,58.7
177,Alliance,R2,I03,1,0,NE16531,9,32,57.8
178,Alliance,R2,I03,1,0,NE16424,9,33,72.6
179,Alliance,R2,I03,1,0,NE16656,9,34,51.4
180,Alliance,R2,I03,1,0,NE16562,9,35,65.7
181,Alliance,R1,I04,1,0,NE16472,10,16,29
182,Alliance,R1,I04,1,0,NE16451,10,17,80
183,Alliance,R1,I04,1,0,NE16515,10,18,66.2
184,Alliance,R1,I04,1,0,NE16660,10,19,74.8
185,Alliance,R1,I04,1,0,NE16596,10,20,63.3
186,Alliance,R1,I04,1,0,NE16503V,10,21,57.4
187,Alliance,R1,I04,1,0,NE16444,10,22,55.1
188,Alliance,R1,I04,1,0,NE16536,10,23,53
189,Alliance,R1,I04,1,0,NE16452,10,24,58.1
190,Alliance,R1,I04,0,Camelot,Camelot,10,25,67.3
191,Alliance,R2,I04,1,0,NE16641,10,26,73.6
192,Alliance,R2,I04,1,0,NE16567,10,27,69.7
193,Alliance,R2,I04,1,0,NE16554,10,28,61.6
194,Alliance,R2,I04,1,0,NE16428,10,29,40.8
195,Alliance,R2,I04,1,0,NE16673,10,30,53.3
196,Alliance,R2,I04,0,Camelot,Camelot,10,31,65.9
197,Alliance,R2,I04,1,0,NE16684,10,32,53.8
198,Alliance,R2,I04,1,0,NE16417,10,33,57
199,Alliance,R2,I04,1,0,NE16662,10,34,55.1
200,Alliance,R2,I04,1,0,NE16439,10,35,58.9
201,Alliance,R1,I04,1,0,NE16459,11,16,52.9
202,Alliance,R1,I04,1,0,NE16520,11,17,58.3
203,Alliance,R1,I04,1,0,NE16662,11,18,52.5
204,Alliance,R1,I04,1,0,NE16644,11,19,50.6
205,Alliance,R1,I04,0,Freeman,Freeman,11,20,77.2
206,Alliance,R1,I04,1,0,NE16528,11,21,55.7
207,Alliance,R1,I04,1,0,NE16546,11,22,66
208,Alliance,R1,I04,1,0,NE16613,11,23,47.8
209,Alliance,R1,I04,1,0,NE16524,11,24,48.6
210,Alliance,R1,I04,1,0,NE16680,11,25,66.1
211,Alliance,R2,I04,1,0,NE16686,11,26,56.6
212,Alliance,R2,I04,0,Freeman,Freeman,11,27,86.8
213,Alliance,R2,I04,1,0,NE16574,11,28,57.5
214,Alliance,R2,I04,1,0,NE16640,11,29,70.4
215,Alliance,R2,I04,1,0,NE16608,11,30,52.9
216,Alliance,R2,I04,1,0,NE16550,11,31,55.6
217,Alliance,R2,I04,1,0,NE16510,11,32,49.1
218,Alliance,R2,I04,0,GOODSTREAK,GOODSTREAK,11,33,52.6
219,Alliance,R2,I04,1,0,NE16698,11,34,41.5
220,Alliance,R2,I04,1,0,NE16564,11,35,44.3
221,Alliance,R1,I04,1,0,NE16598,12,16,65
222,Alliance,R1,I04,1,0,NE16495,12,17,59.2
223,Alliance,R1,I04,0,GOODSTREAK,GOODSTREAK,12,18,53.5
224,Alliance,R1,I04,1,0,NE16699,12,19,66.5
225,Alliance,R1,I04,1,0,NE16638,12,20,51.6
226,Alliance,R1,I04,1,0,NE16402,12,21,65.1
227,Alliance,R1,I04,1,0,NE16688,12,22,62.9
228,Alliance,R1,I04,1,0,NE16483,12,23,50.7
229,Alliance,R1,I04,1,0,NE16529,12,24,50.5
230,Alliance,R1,I04,1,0,NE16561,12,25,65.4
231,Alliance,R2,I04,1,0,NE16668,12,26,65.8
232,Alliance,R2,I04,1,0,NE16536,12,27,59.4
233,Alliance,R2,I04,1,0,NE16699,12,28,75.9
234,Alliance,R2,I04,1,0,NE16647,12,29,62.3
235,Alliance,R2,I04,1,0,NE16593,12,30,81.4
236,Alliance,R2,I04,1,0,NE16555,12,31,59.8
237,Alliance,R2,I04,1,0,NE16519,12,32,65.8
238,Alliance,R2,I04,1,0,NE16522,12,33,58.9
239,Alliance,R2,I04,1,0,NE16535,12,34,43.1
240,Alliance,R2,I04,1,0,NE16685,12,35,60.3
241,Alliance,R1,I05,1,0,NE16692,13,16,39.4
242,Alliance,R1,I05,1,0,NE16484,13,17,51.9
243,Alliance,R1,I05,1,0,NE16462,13,18,41.3
244,Alliance,R1,I05,1,0,NE16542,13,19,53.6
245,Alliance,R1,I05,1,0,NE16614,13,20,58.5
246,Alliance,R1,I05,1,0,NE16610,13,21,53
247,Alliance,R1,I05,0,GOODSTREAK,GOODSTREAK,13,22,57
248,Alliance,R1,I05,1,0,NE16436,13,23,60.3
249,Alliance,R1,I05,1,0,NE16449,13,24,63.1
250,Alliance,R1,I05,1,0,NE16643,13,25,58.7
251,Alliance,R2,I05,1,0,NE16478,13,26,74.4
252,Alliance,R2,I05,1,0,NE16482,13,27,60.7
253,Alliance,R2,I05,1,0,NE16580V,13,28,61
254,Alliance,R2,I05,1,0,NE16407,13,29,52.6
255,Alliance,R2,I05,1,0,NE16615,13,30,62.8
256,Alliance,R2,I05,1,0,NE16611,13,31,70.7
257,Alliance,R2,I05,1,0,NE16479,13,32,77.8
258,Alliance,R2,I05,1,0,NE16692,13,33,34.1
259,Alliance,R2,I05,1,0,NE16525,13,34,48.3
260,Alliance,R2,I05,1,0,NE16657,13,35,54.7
261,Alliance,R1,I05,1,0,NE16604,14,16,68.4
262,Alliance,R1,I05,1,0,NE16526,14,17,58.8
263,Alliance,R1,I05,1,0,NE16560,14,18,75.6
264,Alliance,R1,I05,1,0,NE16648,14,19,62.3
265,Alliance,R1,I05,1,0,NE16414,14,20,57.9
266,Alliance,R1,I05,1,0,NE16659,14,21,70.7
267,Alliance,R1,I05,1,0,NE16519,14,22,58.4
268,Alliance,R1,I05,1,0,NE16583,14,23,44.4
269,Alliance,R1,I05,1,0,NE16466,14,24,50
270,Alliance,R1,I05,1,0,NE16420,14,25,38
271,Alliance,R2,I05,0,GOODSTREAK,GOODSTREAK,14,26,52.6
272,Alliance,R2,I05,1,0,NE16518,14,27,65.7
273,Alliance,R2,I05,1,0,NE16617,14,28,64.2
274,Alliance,R2,I05,1,0,NE16457,14,29,49.2
275,Alliance,R2,I05,1,0,NE16463,14,30,52.3
276,Alliance,R2,I05,1,0,NE16545,14,31,65.5
277,Alliance,R2,I05,1,0,NE16421,14,32,66.6
278,Alliance,R2,I05,1,0,NE16566,14,33,63.8
279,Alliance,R2,I05,1,0,NE16414,14,34,69.8
280,Alliance,R2,I05,1,0,NE16508,14,35,54.6
281,Alliance,R1,I05,0,Camelot,Camelot,15,16,66.5
282,Alliance,R1,I05,1,0,NE16535,15,17,40.5
283,Alliance,R1,I05,1,0,NE16461,15,18,44.9
284,Alliance,R1,I05,1,0,NE16527,15,19,59.7
285,Alliance,R1,I05,1,0,NE16607,15,20,56
286,Alliance,R1,I05,1,0,NE16697,15,21,53.7
287,Alliance,R1,I05,1,0,NE16625,15,22,63.9
288,Alliance,R1,I05,1,0,NE16549,15,23,58.2
289,Alliance,R1,I05,1,0,NE16443,15,24,70.2
290,Alliance,R1,I05,0,Freeman,Freeman,15,25,82.1
291,Alliance,R2,I05,1,0,NE16600,15,26,77.3
292,Alliance,R2,I05,1,0,NE16406,15,27,75.4
293,Alliance,R2,I05,1,0,NE16511,15,28,72.2
294,Alliance,R2,I05,1,0,NE16666,15,29,64.4
295,Alliance,R2,I05,1,0,NE16591,15,30,88.1
296,Alliance,R2,I05,1,0,NE16415,15,31,
297,Alliance,R2,I05,0,Camelot,Camelot,15,32,63
298,Alliance,R2,I05,0,Freeman,Freeman,15,33,86.5
299,Alliance,R2,I05,1,0,NE16635,15,34,68.4
300,Alliance,R2,I05,1,0,NE16587,15,35,79.5
301,Alliance,R1,I06,1,0,NE16431,16,16,52.9
302,Alliance,R1,I06,1,0,NE16696,16,17,67.7
303,Alliance,R1,I06,0,Freeman,Freeman,16,18,72
304,Alliance,R1,I06,1,0,NE16603,16,19,45.4
305,Alliance,R1,I06,1,0,NE16424,16,20,59.9
306,Alliance,R1,I06,0,GOODSTREAK,GOODSTREAK,16,21,46.1
307,Alliance,R1,I06,1,0,NE16534,16,22,45.9
308,Alliance,R1,I06,0,Camelot,Camelot,16,23,54
309,Alliance,R1,I06,1,0,NE16531,16,24,49.8
310,Alliance,R1,I06,1,0,NE16609V,16,25,64.8
311,Alliance,R2,I06,1,0,NE16418,16,26,69.2
312,Alliance,R2,I06,1,0,NE16596,16,27,74.1
313,Alliance,R2,I06,1,0,NE16403,16,28,66.1
314,Alliance,R2,I06,1,0,NE16420,16,29,44.4
315,Alliance,R2,I06,1,0,NE16622,16,30,34.5
316,Alliance,R2,I06,1,0,NE16503V,16,31,
317,Alliance,R2,I06,1,0,NE16614,16,32,57.1
318,Alliance,R2,I06,1,0,NE16470,16,33,49.9
319,Alliance,R2,I06,1,0,NE16486,16,34,59.1
320,Alliance,R2,I06,1,0,NE16672,16,35,65.4
321,Alliance,R1,I06,1,0,NE16683,17,16,55
322,Alliance,R1,I06,1,0,NE16446,17,17,55.8
323,Alliance,R1,I06,1,0,NE16602,17,18,53.1
324,Alliance,R1,I06,1,0,NE16635,17,19,47.5
325,Alliance,R1,I06,1,0,NE16550,17,20,49.1
326,Alliance,R1,I06,1,0,NE16666,17,21,39.2
327,Alliance,R1,I06,1,0,NE16681,17,22,42.7
328,Alliance,R1,I06,1,0,NE16413,17,23,42.7
329,Alliance,R1,I06,1,0,NE16429,17,24,56.9
330,Alliance,R1,I06,1,0,NE16475,17,25,60.3
331,Alliance,R2,I06,0,Freeman,Freeman,17,26,84.3
332,Alliance,R2,I06,1,0,NE16443,17,27,73.9
333,Alliance,R2,I06,1,0,NE16490,17,28,51.6
334,Alliance,R2,I06,1,0,NE16462,17,29,48.1
335,Alliance,R2,I06,0,GOODSTREAK,GOODSTREAK,17,30,53.9
336,Alliance,R2,I06,1,0,NE16674,17,31,
337,Alliance,R2,I06,1,0,NE16675,17,32,34.7
338,Alliance,R2,I06,1,0,NE16636,17,33,71.5
339,Alliance,R2,I06,1,0,NE16476,17,34,59.5
340,Alliance,R2,I06,1,0,NE16466,17,35,65.4
341,Alliance,R1,I06,1,0,NE16468,18,16,74.9
342,Alliance,R1,I06,1,0,NE16622,18,17,39
343,Alliance,R1,I06,1,0,NE16467,18,18,61.9
344,Alliance,R1,I06,1,0,NE16545,18,19,60.5
345,Alliance,R1,I06,1,0,NE16541,18,20,57.2
346,Alliance,R1,I06,1,0,NE16448,18,21,56
347,Alliance,R1,I06,1,0,NE16685,18,22,57.2
348,Alliance,R1,I06,1,0,NE16438,18,23,42.7
349,Alliance,R1,I06,1,0,NE16690,18,24,60.4
350,Alliance,R1,I06,1,0,NE16460,18,25,54
351,Alliance,R2,I06,1,0,NE16409,18,26,58
352,Alliance,R2,I06,1,0,NE16526,18,27,58.6
353,Alliance,R2,I06,1,0,NE16695,18,28,67.4
354,Alliance,R2,I06,1,0,NE16483,18,29,62.4
355,Alliance,R2,I06,1,0,NE16571,18,30,70
356,Alliance,R2,I06,1,0,NE16585,18,31,46.7
357,Alliance,R2,I06,1,0,NE16472,18,32,30.5
358,Alliance,R2,I06,1,0,NE16552,18,33,48
359,Alliance,R2,I06,1,0,NE16654,18,34,42
360,Alliance,R2,I06,0,Camelot,Camelot,18,35,66.6
361,Alliance,R1,I07,1,0,NE16658,19,16,67.1
362,Alliance,R1,I07,1,0,NE16513,19,17,54.7
363,Alliance,R1,I07,1,0,NE16601,19,18,73.9
364,Alliance,R1,I07,1,0,NE16522,19,19,57.9
365,Alliance,R1,I07,1,0,NE16463,19,20,42.7
366,Alliance,R1,I07,1,0,NE16645,19,21,41
367,Alliance,R1,I07,0,Camelot,Camelot,19,22,56.8
368,Alliance,R1,I07,1,0,NE16671,19,23,60
369,Alliance,R1,I07,0,Freeman,Freeman,19,24,76.6
370,Alliance,R1,I07,1,0,NE16567,19,25,66.7
371,Alliance,R2,I07,0,Camelot,Camelot,19,26,73.8
372,Alliance,R2,I07,1,0,NE16537,19,27,55
373,Alliance,R2,I07,1,0,NE16634,19,28,70.7
374,Alliance,R2,I07,1,0,NE16658,19,29,80.3
375,Alliance,R2,I07,1,0,NE16651,19,30,49.3
376,Alliance,R2,I07,1,0,NE16410,19,31,63.4
377,Alliance,R2,I07,1,0,NE16605,19,32,76.8
378,Alliance,R2,I07,1,0,NE16441,19,33,59.3
379,Alliance,R2,I07,1,0,NE16527,19,34,65
380,Alliance,R2,I07,1,0,NE16569,19,35,53.4
381,Alliance,R1,I07,1,0,NE16418,20,16,60.5
382,Alliance,R1,I07,1,0,NE16661,20,17,47
383,Alliance,R1,I07,1,0,NE16675,20,18,30.8
384,Alliance,R1,I07,1,0,NE16632,20,19,58
385,Alliance,R1,I07,1,0,NE16624,20,20,54.2
386,Alliance,R1,I07,1,0,NE16447,20,21,47.3
387,Alliance,R1,I07,1,0,NE16502,20,22,55.7
388,Alliance,R1,I07,1,0,NE16566,20,23,57
389,Alliance,R1,I07,1,0,NE16691,20,24,51.1
390,Alliance,R1,I07,1,0,NE16511,20,25,58.3
391,Alliance,R2,I07,1,0,NE16603,20,26,54.2
392,Alliance,R2,I07,1,0,NE16650,20,27,51.8
393,Alliance,R2,I07,1,0,NE16460,20,28,49.3
394,Alliance,R2,I07,1,0,NE16412,20,29,75.3
395,Alliance,R2,I07,1,0,NE16534,20,30,67.6
396,Alliance,R2,I07,1,0,NE16683,20,31,70.7
397,Alliance,R2,I07,1,0,NE16586,20,32,61.1
398,Alliance,R2,I07,1,0,NE16660,20,33,76.1
399,Alliance,R2,I07,1,0,NE16602,20,34,67.4
400,Alliance,R2,I07,1,0,NE16543,20,35,59.6
401,Alliance,R1,I07,0,GOODSTREAK,GOODSTREAK,21,16,54.7
402,Alliance,R1,I07,1,0,NE16509,21,17,51.3
403,Alliance,R1,I07,1,0,NE16490,21,18,48.6
404,Alliance,R1,I07,1,0,NE16480,21,19,63.6
405,Alliance,R1,I07,1,0,NE16591,21,20,63.9
406,Alliance,R1,I07,1,0,NE16523,21,21,38.6
407,Alliance,R1,I07,1,0,NE16407,21,22,36.7
408,Alliance,R1,I07,1,0,NE16595,21,23,68.5
409,Alliance,R1,I07,1,0,NE16544,21,24,55.8
410,Alliance,R1,I07,1,0,NE16470,21,25,52.4
411,Alliance,R2,I07,1,0,NE16572,21,26,40
412,Alliance,R2,I07,1,0,NE16648,21,27,68
413,Alliance,R2,I07,1,0,NE16687,21,28,70.8
414,Alliance,R2,I07,1,0,NE16667,21,29,70.6
415,Alliance,R2,I07,1,0,NE16469,21,30,66.1
416,Alliance,R2,I07,1,0,NE16665,21,31,57.2
417,Alliance,R2,I07,0,Freeman,Freeman,21,32,84.7
418,Alliance,R2,I07,1,0,NE16422,21,33,74.1
419,Alliance,R2,I07,1,0,NE16696,21,34,67.5
420,Alliance,R2,I07,0,GOODSTREAK,GOODSTREAK,21,35,57.6
421,Alliance,R1,I08,0,GOODSTREAK,GOODSTREAK,22,16,50.4
422,Alliance,R1,I08,1,0,NE16569,22,17,53.4
423,Alliance,R1,I08,1,0,NE16454,22,18,51.2
424,Alliance,R1,I08,1,0,NE16562,22,19,63.9
425,Alliance,R1,I08,1,0,NE16668,22,20,42.4
426,Alliance,R1,I08,1,0,NE16458,22,21,45
427,Alliance,R1,I08,1,0,NE16504,22,22,67.1
428,Alliance,R1,I08,1,0,NE16606,22,23,69.8
429,Alliance,R1,I08,1,0,NE16498,22,24,53.7
430,Alliance,R1,I08,1,0,NE16639,22,25,70.2
431,Alliance,R2,I08,1,0,NE16446,22,26,64.1
432,Alliance,R2,I08,0,GOODSTREAK,GOODSTREAK,22,27,61.8
433,Alliance,R2,I08,1,0,NE16467,22,28,76.9
434,Alliance,R2,I08,1,0,NE16461,22,29,61.3
435,Alliance,R2,I08,1,0,NE16502,22,30,60.4
436,Alliance,R2,I08,1,0,NE16619,22,31,72.3
437,Alliance,R2,I08,1,0,NE16475,22,32,64.9
438,Alliance,R2,I08,1,0,NE16512,22,33,30.7
439,Alliance,R2,I08,1,0,NE16492,22,34,52
440,Alliance,R2,I08,1,0,NE16630,22,35,65.1
441,Alliance,R1,I08,1,0,NE16629,23,16,49.1
442,Alliance,R1,I08,1,0,NE16477,23,17,56
443,Alliance,R1,I08,1,0,NE16456,23,18,45.9
444,Alliance,R1,I08,1,0,NE16605,23,19,58.1
445,Alliance,R1,I08,1,0,NE16689,23,20,47.4
446,Alliance,R1,I08,0,Camelot,Camelot,23,21,53.4
447,Alliance,R1,I08,1,0,NE16664,23,22,45.5
448,Alliance,R1,I08,1,0,NE16628,23,23,58
449,Alliance,R1,I08,0,Freeman,Freeman,23,24,83.1
450,Alliance,R1,I08,1,0,NE16576V,23,25,63.4
451,Alliance,R2,I08,1,0,NE16645,23,26,55.6
452,Alliance,R2,I08,1,0,NE16691,23,27,66.9
453,Alliance,R2,I08,1,0,NE16529,23,28,63.3
454,Alliance,R2,I08,1,0,NE16595,23,29,80.8
455,Alliance,R2,I08,1,0,NE16452,23,30,67.4
456,Alliance,R2,I08,1,0,NE16509,23,31,79.3
457,Alliance,R2,I08,0,Camelot,Camelot,23,32,74.2
458,Alliance,R2,I08,1,0,NE16523,23,33,49.3
459,Alliance,R2,I08,1,0,NE16610,23,34,69.6
