"","litter","rx","time","status","sex"
"244",82,1,102,0,"m"
"245",82,0,98,0,"m"
"246",82,0,102,0,"m"
"247",83,1,73,1,"f"
"248",83,0,104,0,"f"
"249",83,0,66,1,"f"
"250",84,1,88,0,"m"
"251",84,0,54,0,"m"
"252",84,0,39,0,"m"
"253",85,1,92,1,"f"
"254",85,0,104,0,"f"
"255",85,0,102,1,"f"
"256",86,1,67,0,"m"
"257",86,0,84,0,"m"
"258",86,0,54,0,"m"
"259",87,1,104,0,"f"
"260",87,0,98,0,"f"
"261",87,0,73,0,"f"
"262",88,1,104,0,"m"
"263",88,0,104,0,"m"
"264",88,0,87,0,"m"
"265",89,1,55,0,"f"
"266",89,0,104,0,"f"
"267",89,0,104,0,"f"
"268",90,1,81,0,"m"
"269",90,0,82,0,"m"
"270",90,0,102,0,"m"
"271",91,1,49,0,"f"
"272",91,0,83,0,"f"
"273",91,0,77,0,"f"
"274",92,1,94,0,"m"
"275",92,0,104,0,"m"
"276",92,0,102,0,"m"
"277",93,1,89,1,"f"
"278",93,0,104,0,"f"
"279",93,0,104,0,"f"
"280",94,1,104,0,"m"
"281",94,0,89,0,"m"
"282",94,0,77,0,"m"
"283",95,1,88,0,"f"
"284",95,0,79,0,"f"
"285",95,0,99,0,"f"
"286",96,1,104,0,"m"
"287",96,0,69,0,"m"
"288",96,0,102,0,"m"
"289",97,1,103,1,"f"
"290",97,0,91,0,"f"
"291",97,0,104,0,"f"
"292",98,1,104,0,"m"
"293",98,0,75,1,"m"
"294",98,0,64,0,"m"
"295",99,1,104,0,"f"
"296",99,0,104,0,"f"
"297",99,0,79,1,"f"
"298",100,1,92,0,"m"
"299",100,0,104,0,"m"
"300",100,0,102,0,"m"
