"","id","date","time","name","size","type","price"
"74","2015-000027","2015-01-01","15:11:17","classic_dlx","M","classic",16
"75","2015-000028","2015-01-01","15:35:46","ckn_alfredo","S","chicken",12.75
"76","2015-000029","2015-01-01","15:41:01","green_garden","S","veggie",12
"77","2015-000030","2015-01-01","15:41:25","thai_ckn","L","chicken",20.75
"78","2015-000031","2015-01-01","15:50:18","mexicana","M","veggie",16
"79","2015-000031","2015-01-01","15:50:18","pepperoni","S","classic",9.75
"80","2015-000032","2015-01-01","15:53:18","ital_cpcllo","L","classic",20.5
"81","2015-000032","2015-01-01","15:53:18","green_garden","L","veggie",20.25
"82","2015-000032","2015-01-01","15:53:18","big_meat","S","classic",12
"83","2015-000032","2015-01-01","15:53:18","ital_supr","M","supreme",16.5
"84","2015-000033","2015-01-01","15:54:08","bbq_ckn","L","chicken",20.75
"85","2015-000033","2015-01-01","15:54:08","green_garden","S","veggie",12
"86","2015-000034","2015-01-01","16:21:21","the_greek","S","classic",12
"87","2015-000035","2015-01-01","16:32:04","pepperoni","M","classic",12.5
"88","2015-000035","2015-01-01","16:32:04","pep_msh_pep","L","classic",17.5
"89","2015-000035","2015-01-01","16:32:04","thai_ckn","L","chicken",20.75
"90","2015-000035","2015-01-01","16:32:04","green_garden","M","veggie",16
"91","2015-000036","2015-01-01","16:54:09","bbq_ckn","M","chicken",16.75
"92","2015-000036","2015-01-01","16:54:09","classic_dlx","M","classic",16
"93","2015-000037","2015-01-01","16:56:09","mexicana","L","veggie",20.25
"94","2015-000037","2015-01-01","16:56:09","ital_supr","L","supreme",20.75
"95","2015-000038","2015-01-01","17:03:00","ital_cpcllo","L","classic",20.5
"96","2015-000038","2015-01-01","17:03:00","hawaiian","S","classic",10.5
"97","2015-000039","2015-01-01","17:07:23","ital_supr","L","supreme",20.75
"98","2015-000040","2015-01-01","17:14:36","southw_ckn","S","chicken",12.75
"99","2015-000040","2015-01-01","17:14:36","four_cheese","L","veggie",17.95
"100","2015-000041","2015-01-01","17:15:20","green_garden","S","veggie",12
"101","2015-000041","2015-01-01","17:15:20","four_cheese","M","veggie",14.75
"102","2015-000042","2015-01-01","17:28:09","big_meat","S","classic",12
"103","2015-000042","2015-01-01","17:28:09","five_cheese","L","veggie",18.5
"104","2015-000042","2015-01-01","17:28:09","peppr_salami","M","supreme",16.5
"105","2015-000042","2015-01-01","17:28:09","mexicana","L","veggie",20.25
"106","2015-000043","2015-01-01","17:38:34","ital_supr","M","supreme",16.5
"107","2015-000043","2015-01-01","17:38:34","peppr_salami","L","supreme",20.75
"108","2015-000043","2015-01-01","17:38:34","ckn_alfredo","M","chicken",16.75
"109","2015-000044","2015-01-01","17:54:20","spin_pesto","S","veggie",12.5
"110","2015-000045","2015-01-01","17:55:48","four_cheese","L","veggie",17.95
"111","2015-000045","2015-01-01","17:55:48","hawaiian","S","classic",10.5
"112","2015-000045","2015-01-01","17:55:48","thai_ckn","M","chicken",16.75
"113","2015-000046","2015-01-01","18:25:51","thai_ckn","M","chicken",16.75
"114","2015-000046","2015-01-01","18:25:51","ckn_pesto","L","chicken",20.75
"115","2015-000046","2015-01-01","18:25:51","classic_dlx","L","classic",20.5
"116","2015-000047","2015-01-01","18:26:34","veggie_veg","S","veggie",12
"117","2015-000047","2015-01-01","18:26:34","southw_ckn","L","chicken",20.75
"118","2015-000048","2015-01-01","18:26:42","prsc_argla","L","supreme",20.75
"119","2015-000048","2015-01-01","18:26:42","spicy_ital","L","supreme",20.75
"120","2015-000048","2015-01-01","18:26:42","green_garden","S","veggie",12
"121","2015-000048","2015-01-01","18:26:42","ckn_pesto","M","chicken",16.75
"122","2015-000049","2015-01-01","18:33:00","sicilian","L","supreme",20.25
"123","2015-000050","2015-01-01","18:41:01","the_greek","XL","classic",25.5
"124","2015-000051","2015-01-01","18:48:28","bbq_ckn","L","chicken",20.75
"125","2015-000051","2015-01-01","18:48:28","pep_msh_pep","L","classic",17.5
"126","2015-000052","2015-01-01","18:53:02","spicy_ital","L","supreme",20.75
"127","2015-000052","2015-01-01","18:53:02","mexicana","L","veggie",20.25
"128","2015-000052","2015-01-01","18:53:02","hawaiian","L","classic",16.5
"129","2015-000053","2015-01-01","18:54:17","pep_msh_pep","S","classic",11
"130","2015-000053","2015-01-01","18:54:17","spinach_supr","M","supreme",16.5
"131","2015-000054","2015-01-01","19:01:45","prsc_argla","M","supreme",16.5
"132","2015-000054","2015-01-01","19:01:45","thai_ckn","L","chicken",20.75
"133","2015-000055","2015-01-01","19:03:19","peppr_salami","S","supreme",12.5
"134","2015-000055","2015-01-01","19:03:19","spicy_ital","L","supreme",20.75
"135","2015-000056","2015-01-01","19:07:00","southw_ckn","M","chicken",16.75
"136","2015-000056","2015-01-01","19:07:00","classic_dlx","M","classic",16
"137","2015-000056","2015-01-01","19:07:00","mediterraneo","L","veggie",20.25
"138","2015-000057","2015-01-01","19:10:51","classic_dlx","M","classic",16
"139","2015-000058","2015-01-01","19:30:40","five_cheese","L","veggie",18.5
"140","2015-000058","2015-01-01","19:30:40","pepperoni","M","classic",12.5
"141","2015-000059","2015-01-01","19:40:08","pep_msh_pep","S","classic",11
"142","2015-000059","2015-01-01","19:40:08","pepperoni","L","classic",15.25
"143","2015-000059","2015-01-01","19:40:08","ital_veggie","S","veggie",12.75
"144","2015-000060","2015-01-01","20:05:16","ckn_pesto","L","chicken",20.75
"145","2015-000060","2015-01-01","20:05:16","four_cheese","M","veggie",14.75
"146","2015-000061","2015-01-01","20:08:43","ital_supr","L","supreme",20.75
"147","2015-000061","2015-01-01","20:08:43","bbq_ckn","M","chicken",16.75
"148","2015-000062","2015-01-01","20:50:16","spinach_supr","M","supreme",16.5
"149","2015-000062","2015-01-01","20:50:16","bbq_ckn","M","chicken",16.75
"150","2015-000063","2015-01-01","20:51:42","pep_msh_pep","M","classic",14.5
"151","2015-000064","2015-01-01","20:52:08","big_meat","S","classic",12
"152","2015-000065","2015-01-01","21:16:00","spinach_supr","M","supreme",16.5
"153","2015-000065","2015-01-01","21:16:00","pep_msh_pep","S","classic",11
"154","2015-000065","2015-01-01","21:16:00","sicilian","S","supreme",12.25
"155","2015-000065","2015-01-01","21:16:00","spicy_ital","S","supreme",12.5
"156","2015-000066","2015-01-01","21:47:55","classic_dlx","M","classic",16
"157","2015-000066","2015-01-01","21:47:55","ital_cpcllo","M","classic",16
"158","2015-000067","2015-01-01","22:03:40","southw_ckn","L","chicken",20.75
"159","2015-000068","2015-01-01","22:07:32","ital_supr","L","supreme",20.75
"160","2015-000068","2015-01-01","22:07:32","classic_dlx","M","classic",16
"161","2015-000068","2015-01-01","22:07:32","ital_supr","M","supreme",16.5
"162","2015-000069","2015-01-01","22:12:13","bbq_ckn","L","chicken",20.75
"163","2015-000070","2015-01-02","11:38:51","soppressata","L","supreme",20.75
"164","2015-000070","2015-01-02","11:38:51","ital_veggie","S","veggie",12.75
"165","2015-000071","2015-01-02","11:40:50","thai_ckn","L","chicken",20.75
"166","2015-000072","2015-01-02","11:57:25","spinach_fet","L","veggie",20.25
"167","2015-000073","2015-01-02","11:58:56","thai_ckn","S","chicken",12.75
"168","2015-000074","2015-01-02","12:01:12","mexicana","L","veggie",20.25
"169","2015-000074","2015-01-02","12:01:12","spin_pesto","S","veggie",12.5
"170","2015-000074","2015-01-02","12:01:12","spinach_supr","L","supreme",20.75
"171","2015-000074","2015-01-02","12:01:12","five_cheese","L","veggie",18.5
"172","2015-000075","2015-01-02","12:10:15","napolitana","L","classic",20.5
"173","2015-000075","2015-01-02","12:10:15","ital_supr","S","supreme",12.5
"174","2015-000075","2015-01-02","12:10:15","mediterraneo","L","veggie",20.25
"175","2015-000076","2015-01-02","12:21:17","hawaiian","L","classic",16.5
"176","2015-000076","2015-01-02","12:21:17","ital_veggie","L","veggie",21
"177","2015-000076","2015-01-02","12:21:17","spicy_ital","L","supreme",20.75
"178","2015-000076","2015-01-02","12:21:17","big_meat","S","classic",12
"179","2015-000077","2015-01-02","12:22:46","hawaiian","M","classic",13.25
"180","2015-000077","2015-01-02","12:22:46","bbq_ckn","M","chicken",16.75
"181","2015-000078","2015-01-02","12:28:14","classic_dlx","S","classic",12
"182","2015-000078","2015-01-02","12:28:14","spicy_ital","L","supreme",20.75
"183","2015-000078","2015-01-02","12:28:14","spicy_ital","L","supreme",20.75
"184","2015-000078","2015-01-02","12:28:14","thai_ckn","S","chicken",12.75
"185","2015-000078","2015-01-02","12:28:14","four_cheese","L","veggie",17.95
"186","2015-000078","2015-01-02","12:28:14","ital_cpcllo","M","classic",16
"187","2015-000078","2015-01-02","12:28:14","spicy_ital","L","supreme",20.75
"188","2015-000078","2015-01-02","12:28:14","big_meat","S","classic",12
"189","2015-000079","2015-01-02","12:29:11","ital_cpcllo","L","classic",20.5
"190","2015-000079","2015-01-02","12:29:11","thai_ckn","L","chicken",20.75
"191","2015-000079","2015-01-02","12:29:11","pep_msh_pep","S","classic",11
"192","2015-000080","2015-01-02","12:35:38","pepperoni","S","classic",9.75
"193","2015-000080","2015-01-02","12:35:38","thai_ckn","M","chicken",16.75
"194","2015-000081","2015-01-02","12:40:01","thai_ckn","L","chicken",20.75
"195","2015-000082","2015-01-02","12:45:51","spicy_ital","L","supreme",20.75
"196","2015-000082","2015-01-02","12:45:51","big_meat","S","classic",12
"197","2015-000082","2015-01-02","12:45:51","cali_ckn","M","chicken",16.75
"198","2015-000082","2015-01-02","12:45:51","veggie_veg","M","veggie",16
"199","2015-000083","2015-01-02","12:53:27","southw_ckn","S","chicken",12.75
"200","2015-000084","2015-01-02","13:13:41","pepperoni","L","classic",15.25
"201","2015-000085","2015-01-02","13:34:49","classic_dlx","S","classic",12
"202","2015-000085","2015-01-02","13:34:49","classic_dlx","M","classic",16
"203","2015-000085","2015-01-02","13:34:49","ital_supr","L","supreme",20.75
"204","2015-000085","2015-01-02","13:34:49","the_greek","M","classic",16
"205","2015-000086","2015-01-02","13:40:31","hawaiian","L","classic",16.5
"206","2015-000087","2015-01-02","14:01:02","mexicana","M","veggie",16
"207","2015-000087","2015-01-02","14:01:02","ital_cpcllo","M","classic",16
"208","2015-000087","2015-01-02","14:01:02","spinach_supr","S","supreme",12.5
"209","2015-000087","2015-01-02","14:01:02","spinach_supr","L","supreme",20.75
"210","2015-000088","2015-01-02","14:10:08","five_cheese","L","veggie",18.5
"211","2015-000089","2015-01-02","14:30:19","thai_ckn","L","chicken",20.75
"212","2015-000089","2015-01-02","14:30:19","soppressata","L","supreme",20.75
"213","2015-000090","2015-01-02","15:08:48","thai_ckn","S","chicken",12.75
"214","2015-000090","2015-01-02","15:08:48","sicilian","L","supreme",20.25
"215","2015-000091","2015-01-02","15:14:43","bbq_ckn","L","chicken",20.75
"216","2015-000091","2015-01-02","15:14:43","pepperoni","S","classic",9.75
"217","2015-000091","2015-01-02","15:14:43","bbq_ckn","L","chicken",20.75
"218","2015-000091","2015-01-02","15:14:43","ckn_pesto","S","chicken",12.75
"219","2015-000092","2015-01-02","15:17:02","spinach_fet","S","veggie",12
"220","2015-000092","2015-01-02","15:17:02","ital_supr","M","supreme",16.5
"221","2015-000092","2015-01-02","15:17:02","peppr_salami","M","supreme",16.5
"222","2015-000092","2015-01-02","15:17:02","bbq_ckn","M","chicken",16.75
"223","2015-000092","2015-01-02","15:17:02","spinach_supr","S","supreme",12.5
"224","2015-000092","2015-01-02","15:17:02","the_greek","M","classic",16
"225","2015-000092","2015-01-02","15:17:02","ital_supr","L","supreme",20.75
"226","2015-000092","2015-01-02","15:17:02","pepperoni","M","classic",12.5
"227","2015-000092","2015-01-02","15:17:02","ital_veggie","S","veggie",12.75
"228","2015-000092","2015-01-02","15:17:02","the_greek","M","classic",16
"229","2015-000093","2015-01-02","15:29:31","sicilian","M","supreme",16.25
"230","2015-000094","2015-01-02","16:17:16","ital_cpcllo","M","classic",16
"231","2015-000094","2015-01-02","16:17:16","southw_ckn","S","chicken",12.75
"232","2015-000095","2015-01-02","16:18:04","peppr_salami","L","supreme",20.75
"233","2015-000095","2015-01-02","16:18:04","napolitana","S","classic",12
"234","2015-000096","2015-01-02","16:21:20","napolitana","S","classic",12
"235","2015-000097","2015-01-02","16:45:33","big_meat","S","classic",12
"236","2015-000098","2015-01-02","17:18:18","napolitana","L","classic",20.5
"237","2015-000098","2015-01-02","17:18:18","classic_dlx","L","classic",20.5
"238","2015-000099","2015-01-02","17:45:42","ital_supr","L","supreme",20.75
"239","2015-000100","2015-01-02","17:46:17","hawaiian","L","classic",16.5
"240","2015-000101","2015-01-02","17:51:33","soppressata","L","supreme",20.75
"241","2015-000101","2015-01-02","17:51:33","cali_ckn","L","chicken",20.75
"242","2015-000101","2015-01-02","17:51:33","pepperoni","L","classic",15.25
"243","2015-000101","2015-01-02","17:51:33","spicy_ital","M","supreme",16.5
"244","2015-000102","2015-01-02","17:54:04","prsc_argla","S","supreme",12.5
"245","2015-000102","2015-01-02","17:54:04","bbq_ckn","S","chicken",12.75
"246","2015-000103","2015-01-02","18:02:09","spinach_supr","S","supreme",12.5
"247","2015-000104","2015-01-02","18:02:12","veggie_veg","L","veggie",20.25
"248","2015-000104","2015-01-02","18:02:12","bbq_ckn","M","chicken",16.75
"249","2015-000104","2015-01-02","18:02:12","ital_veggie","M","veggie",16.75
"250","2015-000104","2015-01-02","18:02:12","ckn_alfredo","M","chicken",16.75
"251","2015-000105","2015-01-02","18:12:01","hawaiian","S","classic",10.5
"252","2015-000105","2015-01-02","18:12:01","hawaiian","S","classic",10.5
"253","2015-000105","2015-01-02","18:12:01","prsc_argla","M","supreme",16.5
"254","2015-000105","2015-01-02","18:12:01","pepperoni","L","classic",15.25
"255","2015-000106","2015-01-02","18:12:13","spicy_ital","L","supreme",20.75
"256","2015-000106","2015-01-02","18:12:13","mexicana","L","veggie",20.25
"257","2015-000107","2015-01-02","18:25:09","ital_supr","M","supreme",16.5
"258","2015-000107","2015-01-02","18:25:09","cali_ckn","L","chicken",20.75
"259","2015-000107","2015-01-02","18:25:09","veggie_veg","L","veggie",20.25
"260","2015-000107","2015-01-02","18:25:09","spicy_ital","L","supreme",20.75
"261","2015-000108","2015-01-02","18:25:25","hawaiian","L","classic",16.5
"262","2015-000108","2015-01-02","18:25:25","classic_dlx","L","classic",20.5
"263","2015-000108","2015-01-02","18:25:25","spinach_supr","L","supreme",20.75
"264","2015-000109","2015-01-02","18:27:50","prsc_argla","L","supreme",20.75
"265","2015-000109","2015-01-02","18:27:50","pepperoni","M","classic",12.5
"266","2015-000109","2015-01-02","18:27:50","ital_cpcllo","L","classic",20.5
"267","2015-000109","2015-01-02","18:27:50","ital_supr","L","supreme",20.75
"268","2015-000110","2015-01-02","18:36:19","soppressata","L","supreme",20.75
"269","2015-000110","2015-01-02","18:36:19","napolitana","L","classic",20.5
"270","2015-000110","2015-01-02","18:36:19","big_meat","S","classic",12
"271","2015-000110","2015-01-02","18:36:19","spicy_ital","S","supreme",12.5
"272","2015-000111","2015-01-02","18:38:01","cali_ckn","M","chicken",16.75
"273","2015-000111","2015-01-02","18:38:01","spin_pesto","L","veggie",20.75
"274","2015-000111","2015-01-02","18:38:01","pepperoni","M","classic",12.5
"275","2015-000111","2015-01-02","18:38:01","five_cheese","L","veggie",18.5
"276","2015-000112","2015-01-02","18:41:40","pepperoni","S","classic",9.75
"277","2015-000113","2015-01-02","18:50:21","cali_ckn","L","chicken",20.75
"278","2015-000113","2015-01-02","18:50:21","southw_ckn","M","chicken",16.75
"279","2015-000113","2015-01-02","18:50:21","mexicana","L","veggie",20.25
"280","2015-000114","2015-01-02","18:59:32","pepperoni","L","classic",15.25
"281","2015-000114","2015-01-02","18:59:32","sicilian","S","supreme",12.25
"282","2015-000115","2015-01-02","19:05:17","thai_ckn","M","chicken",16.75
"283","2015-000115","2015-01-02","19:05:17","big_meat","S","classic",12
"284","2015-000115","2015-01-02","19:05:17","napolitana","L","classic",20.5
"285","2015-000116","2015-01-02","19:18:49","five_cheese","L","veggie",18.5
"286","2015-000117","2015-01-02","19:23:02","peppr_salami","M","supreme",16.5
"287","2015-000117","2015-01-02","19:23:02","sicilian","L","supreme",20.25
"288","2015-000118","2015-01-02","19:26:59","prsc_argla","L","supreme",20.75
"289","2015-000118","2015-01-02","19:26:59","spinach_fet","S","veggie",12
"290","2015-000119","2015-01-02","19:32:29","four_cheese","M","veggie",14.75
"291","2015-000120","2015-01-02","19:35:07","spinach_fet","L","veggie",20.25
"292","2015-000120","2015-01-02","19:35:07","hawaiian","S","classic",10.5
"293","2015-000120","2015-01-02","19:35:07","classic_dlx","S","classic",12
"294","2015-000121","2015-01-02","19:38:48","sicilian","L","supreme",20.25
"295","2015-000121","2015-01-02","19:38:48","bbq_ckn","M","chicken",16.75
"296","2015-000121","2015-01-02","19:38:48","southw_ckn","L","chicken",20.75
"297","2015-000121","2015-01-02","19:38:48","four_cheese","L","veggie",17.95
"298","2015-000122","2015-01-02","19:50:19","ital_supr","M","supreme",16.5
"299","2015-000123","2015-01-02","20:12:09","ital_cpcllo","S","classic",12
"300","2015-000124","2015-01-02","20:12:34","bbq_ckn","S","chicken",12.75
"301","2015-000124","2015-01-02","20:12:34","the_greek","S","classic",12
"302","2015-000124","2015-01-02","20:12:34","sicilian","L","supreme",20.25
"303","2015-000124","2015-01-02","20:12:34","spicy_ital","L","supreme",20.75
"304","2015-000125","2015-01-02","20:31:06","the_greek","XL","classic",25.5
"305","2015-000126","2015-01-02","20:53:42","veggie_veg","L","veggie",20.25
"306","2015-000127","2015-01-02","20:58:23","pepperoni","M","classic",12.5
"307","2015-000128","2015-01-02","21:05:06","spicy_ital","S","supreme",12.5
"308","2015-000129","2015-01-02","21:13:02","big_meat","S","classic",12
"309","2015-000129","2015-01-02","21:13:02","the_greek","M","classic",16
"310","2015-000130","2015-01-02","21:14:55","mexicana","M","veggie",16
"311","2015-000130","2015-01-02","21:14:55","southw_ckn","S","chicken",12.75
"312","2015-000130","2015-01-02","21:14:55","ital_cpcllo","L","classic",20.5
"313","2015-000130","2015-01-02","21:14:55","hawaiian","S","classic",10.5
"314","2015-000131","2015-01-02","21:33:10","spinach_supr","S","supreme",12.5
"315","2015-000131","2015-01-02","21:33:10","five_cheese","L","veggie",18.5
"316","2015-000131","2015-01-02","21:33:10","green_garden","S","veggie",12
"317","2015-000131","2015-01-02","21:33:10","ckn_pesto","L","chicken",20.75
"318","2015-000132","2015-01-02","21:42:45","pepperoni","S","classic",9.75
"319","2015-000133","2015-01-02","22:00:17","bbq_ckn","L","chicken",20.75
"320","2015-000133","2015-01-02","22:00:17","hawaiian","L","classic",16.5
"321","2015-000133","2015-01-02","22:00:17","the_greek","S","classic",12
"322","2015-000134","2015-01-02","22:13:24","southw_ckn","L","chicken",20.75
"323","2015-000134","2015-01-02","22:13:24","spinach_supr","S","supreme",12.5
"324","2015-000134","2015-01-02","22:13:24","big_meat","S","classic",12
"325","2015-000135","2015-01-02","22:29:34","veggie_veg","L","veggie",20.25
"326","2015-000136","2015-01-02","22:32:49","peppr_salami","S","supreme",12.5
"327","2015-000136","2015-01-02","22:32:49","five_cheese","L","veggie",18.5
"328","2015-000137","2015-01-03","11:34:10","mediterraneo","L","veggie",20.25
"329","2015-000137","2015-01-03","11:34:10","spicy_ital","M","supreme",16.5
"330","2015-000137","2015-01-03","11:34:10","pepperoni","S","classic",9.75
"331","2015-000138","2015-01-03","11:44:50","ital_veggie","L","veggie",21
"332","2015-000138","2015-01-03","11:44:50","sicilian","M","supreme",16.25
"333","2015-000138","2015-01-03","11:44:50","four_cheese","L","veggie",17.95
"334","2015-000138","2015-01-03","11:44:50","cali_ckn","M","chicken",16.75
"335","2015-000139","2015-01-03","11:57:39","five_cheese","L","veggie",18.5
"336","2015-000140","2015-01-03","12:26:44","veggie_veg","M","veggie",16
"337","2015-000140","2015-01-03","12:26:44","prsc_argla","S","supreme",12.5
"338","2015-000141","2015-01-03","13:16:01","classic_dlx","M","classic",16
"339","2015-000142","2015-01-03","13:33:59","green_garden","M","veggie",16
"340","2015-000143","2015-01-03","13:41:36","pepperoni","L","classic",15.25
"341","2015-000143","2015-01-03","13:41:36","mexicana","M","veggie",16
"342","2015-000143","2015-01-03","13:41:36","classic_dlx","S","classic",12
"343","2015-000143","2015-01-03","13:41:36","thai_ckn","L","chicken",20.75
"344","2015-000143","2015-01-03","13:41:36","cali_ckn","S","chicken",12.75
"345","2015-000143","2015-01-03","13:41:36","prsc_argla","S","supreme",12.5
"346","2015-000143","2015-01-03","13:41:36","veggie_veg","M","veggie",16
"347","2015-000143","2015-01-03","13:41:36","hawaiian","L","classic",16.5
"348","2015-000144","2015-01-03","13:44:28","five_cheese","L","veggie",18.5
"349","2015-000144","2015-01-03","13:44:28","veggie_veg","L","veggie",20.25
"350","2015-000144","2015-01-03","13:44:28","southw_ckn","S","chicken",12.75
"351","2015-000144","2015-01-03","13:44:28","thai_ckn","M","chicken",16.75
"352","2015-000144","2015-01-03","13:44:28","bbq_ckn","M","chicken",16.75
"353","2015-000144","2015-01-03","13:44:28","four_cheese","L","veggie",17.95
"354","2015-000144","2015-01-03","13:44:28","bbq_ckn","M","chicken",16.75
"355","2015-000144","2015-01-03","13:44:28","bbq_ckn","M","chicken",16.75
"356","2015-000144","2015-01-03","13:44:28","big_meat","S","classic",12
"357","2015-000144","2015-01-03","13:44:28","spicy_ital","L","supreme",20.75
"358","2015-000144","2015-01-03","13:44:28","cali_ckn","L","chicken",20.75
"359","2015-000144","2015-01-03","13:44:28","pep_msh_pep","S","classic",11
"360","2015-000144","2015-01-03","13:44:28","southw_ckn","L","chicken",20.75
"361","2015-000144","2015-01-03","13:44:28","ckn_pesto","M","chicken",16.75
"362","2015-000145","2015-01-03","13:53:48","the_greek","S","classic",12
"363","2015-000146","2015-01-03","14:22:10","cali_ckn","L","chicken",20.75
"364","2015-000146","2015-01-03","14:22:10","four_cheese","M","veggie",14.75
"365","2015-000146","2015-01-03","14:22:10","hawaiian","M","classic",13.25
"366","2015-000147","2015-01-03","14:32:51","the_greek","XL","classic",25.5
"367","2015-000148","2015-01-03","14:40:42","mediterraneo","S","veggie",12
"368","2015-000149","2015-01-03","14:48:45","spinach_fet","M","veggie",16
"369","2015-000150","2015-01-03","14:49:58","pepperoni","M","classic",12.5
